{'短评内容': '还不错，也很方便，价格有点贵', '短评打分': 4}
{'短评内容': '蛮干净的，环境也还可以。快捷酒店里还算可以的 。下次来还住这。', '短评打分': 5}
{'短评内容': '1.环境好，\n2.尤其服务挺不错，\n3.早餐也很好\n4.会向朋友推荐 ', '短评打分': 5}
{'短评内容': '环境不错 性价比高 交通便捷 下次还住这里', '短评打分': 5}
{'短评内容': '这个酒店离琶洲展馆比较近，周边交通也比较方便。周边餐厅种类也还算多。酒店内的设施也还算清洁、干净。适合商务出差的人士。', '短评打分': 5}
{'短评内容': '可以，就是房间有点小，下次还会住那里的，房价也不贵', '短评打分': 5}
{'短评内容': ' 环境不错', '短评打分': 3}
{'短评内容': '房间小', '短评打分': 3}
{'短评内容': '性价比不错的酒店，就是有一部分房间是没有窗子，别扭！', '短评打分': 5}
{'短评内容': '不错的酒店，位置方便。不足是大堂前面没有停车位置。不方便接送客人。', '短评打分': 5}
{'短评内容': '先说优点，离广交会琶洲馆很近，有免费大巴接送，在客人上车前，酒店管理人员都会在大门口，感觉比较重视的样子，适合参加广交会的客商。离科韵路地铁站步行大概15钟。不足之处，房间隔音效果不好，我住的高级间，床头一侧经常听到貌似管道流水的声音，有时候睡到半夜也听到，只是由于参加交易会很累的原因，还是可以睡着的，也就没有向酒店投诉哦哦。有的服务人员见到客人不主动打招呼，感觉不够友善，希望改进。5月3号的欢迎', '短评打分': 5}
{'短评内容': '房间还是不错的，服务业不错，就是早餐差点。地理位置也蛮方便\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '下午到店的时候吓了一跳，不像准四啊，外观实在不怎么样。内部还可以，展会期间，都差不多吧。位置还不错，附近有可逛的地方，离展馆又不是很远。平时价格就展会期间的一半都不到', '短评打分': 5}
{'短评内容': '在会展中心开会的话，还是比较推荐的。有班车。早餐能改进些，下次开会定为我司首选', '短评打分': 5}
{'短评内容': '酒店还算过得去，就是上网出了问题，酒店的IT人员折腾了半天才搞定。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '住的豪华单人房，简直就是个招待所。浴池小得不到一寸。最破的就是网络了，经常无法连接。一入住就想退房。', '短评打分': 1}
{'短评内容': '性价比不高，，，，，，，，，，，，，，，', '短评打分': 1}
{'短评内容': '离展馆很近~房间不错~下次来广州参展还住这里~', '短评打分': 5}
{'短评内容': '房间还是不错的，服务业不错，就是早餐差点。地理位置也蛮方便', '短评打分': 5}
{'短评内容': '不贵，地点离客户比较近，算是比快捷酒店好一点的档次吧。推荐', '短评打分': 5}
{'短评内容': '比较安静，离会展中心路程近。卫生很好。2楼的潮雅轩餐厅的潮州菜味道不错，价格也不算贵。', '短评打分': 5}
{'短评内容': '还是很不错的，价格合理！会继续延住的！………………', '短评打分': 5}
{'短评内容': '早餐不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '一切OK！一如既往的喜欢！早餐简单了点！', '短评打分': 5}
{'短评内容': 'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', '短评打分': 5}
{'短评内容': 'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', '短评打分': 5}
{'短评内容': '很好，不错的酒店，下次还会来。酒店评价怎么这么烦人啊，还要不少于20个字，真是有点教条。', '短评打分': 5}
{'短评内容': '早餐不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比我想像中好，比较干净，卫生，靠马路边上，有一点嘈', '短评打分': 5}
{'短评内容': '当地算是不错的酒店了，虽然比较老了，不过周围还算热闹，马马虎虎吧 \n', '短评打分': 5}
{'短评内容': '广州软银数码港酒店冬天住没有暖气，同事晚上睡着也感觉比较冷。 其他还好', '短评打分': 5}
{'短评内容': '还是一样的问题，定了两间房！\n冬天住没有暖气，同事晚上睡着也感觉比较冷。', '短评打分': 1}
{'短评内容': '冬天住没有暖气，晚上睡着感觉比较冷。借电暖气也没有，说是都被借光了，挺郁闷的！', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店态度不错。房间还可以。', '短评打分': 3}
{'短评内容': '数码港酒店值得再回头住', '短评打分': 3}
{'短评内容': '房间只有20平米左右, 地点也不是很好,而且房间里都发霉了...还要630一晚?', '短评打分': 1}
{'短评内容': '主要是觉得这酒店地理位置适合我们客户的需要、性价比还可以。所以以后类似客户来，还是会推荐的', '短评打分': 5}
{'短评内容': '很不错的一家酒店，服务周到，房间干净，装修看起来很舒服，唯一不足的就是房间小，普通单人房都没窗，豪华单人房实际上也才半扇窗户', '短评打分': 5}
{'短评内容': '很干净交通很方便，离展会很近！早饭一般，服务人员态度很好！以后还会去住', '短评打分': 3}
{'短评内容': '很干净交通很方便，离展会很近！早饭一般，服务人员态度很好！', '短评打分': 3}
{'短评内容': '酒店还可以，属于三星级的标准，早餐不好吃，房间太小了，打', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '比较干净卫生，服务还可以，性价比还可以，如果是附近出差是很好的选择', '短评打分': 5}
{'短评内容': '如果来天河科技园这边出差或是去会展中心，这是第一选择。', '短评打分': 5}
{'短评内容': '离工作需要的地方很近，其他设施一般，希望赠送的饮料是可以携带的听装的而不是纸杯装的。', '短评打分': 5}
{'短评内容': '酒店环境不错。 在软件园附近，到地铁站有点远，走路10分钟。去琶洲会馆不太方便， 要转地铁， 要么打车。', '短评打分': 5}
{'短评内容': '干净卫生，到机场交通快捷， 周围吃饭地方不多', '短评打分': 3}
{'短评内容': '从机场通过华南高速到酒店最快只要30多分钟，路费贵一点， 但是可以避开市区的拥堵。\r\n\r\n酒店位置还算不错，房间也还算干净安静。\r\n\r\n就是周围吃饭地方不多', '短评打分': 5}
{'短评内容': '服务不错，能想客人所想。比如帮我加急洗衣，头天晚上送到外面洗，第二天上午退房前及时送回。补寄发票。就是网络有点问题，好像不支持VPN\r\n', '短评打分': 5}
{'短评内容': '头一次住这么地理位置这么偏的酒店，不过胜在比较安静，性价比还不错。', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '广交会期间的价格和地点都比较合适。', '短评打分': 5}
{'短评内容': '总体而言，还是不错的酒店', '短评打分': 5}
{'短评内容': '非常舒适的一家酒店。房间里面还有足底按摩木桶，不过是要付费的。前台虽然工作速度慢些不过态度很好，笑容美丽。', '短评打分': 5}
{'短评内容': '相对于其价格，房间很狭隘，不如如家等酒店。', '短评打分': 1}
{'短评内容': '酒店性价比很好，推荐入住', '短评打分': 3}
{'短评内容': '酒店性价比很高，住得舒服，吃得放心，服务周到', '短评打分': 5}
{'短评内容': '如果是参加展会的话，这个酒店可以考虑，但平常而言，位置还是稍微偏了一点点。而且前台的服务实在不敢恭维，我退房的时候三个不同的服务生问了我5遍我是哪个房间的。。。（我告诉第一个之后，她说您稍等，我们马上查房），过了5分钟，我问怎么样了，又问我一遍我的房间号，我告知。如是者三。。。', '短评打分': 1}
{'短评内容': '第一次入住这个酒店，总体感觉非常不错。服务态度很好，卫生也很好。交通方便，性价比高。下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店的位置比较偏,但是距离会展比较近,环境硬件设施都还不错,价格也很合适.', '短评打分': 5}
{'短评内容': '我常常访问广州东附近。\r\n从那个地方恨远。\r\n', '短评打分': 1}
{'短评内容': '如果去软件园或暨南大学办事那么这里很方便。酒店门口的路是单行线。&lt;br /&gt;\n酒店的服务和设施都不错。卫生也不错。&lt;br /&gt;\n推荐入住', '短评打分': 5}
{'短评内容': '没有电脑上网', '短评打分': 5}
