{'descr': '地段不好，而且房间太简陋啦，是住过的汉庭中最差劲的', 'star': 1}
{'descr': '酒店不错  就是位置有点偏 定的百元房 虽然有点麻烦 不过灰常值', 'star': 5}
{'descr': '酒店服务不错，房间干净整洁！给力！闹中取静的一个地方', 'star': 5}
{'descr': '很不错的酒店，房间也比较干净，有窗户，就是前台服务员态度不是很好。', 'star': 3}
{'descr': '假日百元房，不错，只要100块。不过，订完之后说没房间了，赔偿我们首夜房费，重新定了家庭房。', 'star': 5}
{'descr': '位置有点偏，到地铁站还是蛮远的，除去这些，别的还是很不错的，环境也还行，特别是枕头比别的酒店舒服位置有点偏，到地铁站还是蛮远的，除去这些，别的还是很不错的，环境也还行，特别是枕头比别的酒店舒服', 'star': 5}
{'descr': '﹢不错', 'star': 3}
{'descr': '非常不错的酒店，下次还会来住的。节日百元房没有给我们留，但是同样价钱给我们两间标间，服务态度非常的好', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '在附近办事随便住住可以的。', 'star': 3}
{'descr': '定的是家庭房.入住酒店时,一切还算正常.但,出去办事情回到房间后,离门口大概有6米左右的壁挂式电视机下的地板赫然多了好几张色情小广告.询问酒店工作人员,说不可能是酒店服务员放的小广告.按理汉庭的管理是进电梯必须刷卡才可以到达指定楼层的,也就是说在入住后,除了服务员和当日入住该房的客人之外,其他外来的人，可以在客人不在房间的情况下进入,个人觉得,存在严重安全隐患,望酒店管理引起重视.其他的,房间够大', 'star': 1}
{'descr': '房间很大也很安静，卫生间小了点，总体还是很不错的。', 'star': 3}
{'descr': '新装修的酒店,干净,打比较方便,其它交通工具不太方便.吃饭也不方便.只适合休息,不过价格还算合理,可以一住.', 'star': 5}
{'descr': '酒店设施和硬件不错，安全措施做的很好，但前台服务水平有待提高。', 'star': 5}
{'descr': '房间挺好，就是指示的路标不是太清楚,地点标得再清楚些就好了', 'star': 5}
{'descr': '房间很干净很舒适，网速也很快，就是周围吃饭的地方不多。', 'star': 5}
{'descr': '挺好的，交通还是比较方便的，房间也比较大', 'star': 5}
{'descr': '晚九点之后入住的，当时客人比较多被等待了半个小时。硬件设施还是不错的。值得一去', 'star': 5}
{'descr': '比想象中的好', 'star': 3}
