{'descr': '价格实惠 房间比较小 但是也挺干净 交通位置也好～', 'star': 5}
{'descr': '还可以，只是空调坏了，后来加的被子，也不是开始订的那间房，这方面还要改善呀', 'star': 5}
{'descr': '条件太差了', 'star': 3}
{'descr': '房间很差，很冷，服务员服务态度也很差，停车也很麻烦，网速也很慢，相当差的酒店。', 'star': 1}
{'descr': '靠走廊的窗户没有插销，前台服务差，说是有车到南站接送，其实都是浮云！', 'star': 1}
{'descr': '酒店房间太小了，且床的质量差，睡着不舒服！', 'star': 1}
{'descr': '哥哥第一次出差去北京，情急之下就让我找一个离火车站近点的，就找了连锁酒店速8。可能是我没见过世面的缘故吧，我是浙江人，从来没见过酒店房间的窗户是在走廊方向的，不过北方冷窗户靠内侧也许有一定道理，可是哥哥说这个酒店跟我家旁边的小宾馆有不小的差距，而且还不提供免费一次性洗漱用品。在此希望你们可以改善一下卫生环境，这么好的地理位置如果可以提升一下服务质量以及完善一些硬件设施相信你们可以财源滚滚的', 'star': 1}
{'descr': '实在太差。房间没有窗户，跟过道通风，然后别的房间的脚臭传过来，电视声音传过来，比青年旅社还有差多了。', 'star': 1}
{'descr': '特别差，是我住过最差的一家店，服务态度也很差', 'star': 1}
{'descr': '位置还好 价格便宜。唯一不足 。屋内太闷。', 'star': 5}
{'descr': '价格便宜，位置也不错，设施差点不算什么啦', 'star': 5}
{'descr': '十贵店房间虽小了点，但设备齐全．还算满意．', 'star': 3}
{'descr': '隔音效果差，家也很小，定的大床房去的时候已经没有了，唯一可取的是，前台美女的态度非常好！', 'star': 1}
{'descr': '嗯，不错，就是小了点，卫生挺不错，就是没有免费的洗刷用具。', 'star': 5}
{'descr': '嗯，不错，就是小了点，卫生挺不错，就是没有免费的洗刷用具。', 'star': 5}
{'descr': '房间地方太小，连放个包包的地方都找不到，网线太短，坐在床上上网都够不着，本身空间太小加上房间的灯也太暗，感觉很压抑，晚上睡觉不知道被什么虫子咬了两个疙瘩痒死了导致觉也没睡好，反正感觉相当糟糕！', 'star': 1}
{'descr': '房间地方太小，连放个包包的地方都找不到，网线太短，坐在床上上网都够不着，本身空间太小加上房间的灯也太暗，感觉很压抑，晚上睡觉不知道被什么虫子咬了两个疙瘩痒死了导致觉也没睡好，反正感觉相当糟糕！', 'star': 1}
{'descr': '房间很小，隔音效果不好。前台服务一般，价格还算可以。', 'star': 5}
{'descr': '房间很小，隔音效果不好。前台服务一般，价格还算可以。', 'star': 5}
{'descr': '房间有点小。不过还可以啦，交通比较便捷，比较好找，服务也不错。', 'star': 5}
{'descr': '房间有点小。不过还可以啦，交通比较便捷，比较好找，服务也不错。', 'star': 5}
{'descr': '这是速8酒店吗.屋这么小.没有窗口.洗漱用具都是收费的.最可恨床上还有虫子', 'star': 3}
{'descr': '这是速8酒店吗.屋这么小.没有窗口.洗漱用具都是收费的.最可恨床上还有虫子', 'star': 3}
{'descr': '如果用一个字来点评这家酒店的话，我实在不想用“烂”这个词，但是又没有其实词汇来形容我的感情。首先和其它地方的速8不一样，房间非常小，全是隔断，隔音效果非常差，甚至连隔壁仁兄吃的什么牌子方便面的都能听得出来；酒店洗漱用品什么都收费，连卫生纸都不送；里面空间狭窄，我女朋友都转不开身；地面卫生非常差，像厕所一样；总之要多烂有多烂。很失望。', 'star': 1}
{'descr': '如果用一个字来点评这家酒店的话，我实在不想用“烂”这个词，但是又没有其实词汇来形容我的感情。首先和其它地方的速8不一样，房间非常小，全是隔断，隔音效果非常差，甚至连隔壁仁兄吃的什么牌子方便面的都能听得出来；酒店洗漱用品什么都收费，连卫生纸都不送；里面空间狭窄，我女朋友都转不开身；地面卫生非常差，像厕所一样；总之要多烂有多烂。很失望。', 'star': 1}
{'descr': '房间小，隔音比较差，不过床还是睡的很舒服的。', 'star': 3}
{'descr': '房间小，隔音比较差，不过床还是睡的很舒服的。', 'star': 3}
{'descr': '本来定的大床房，去了之后发现根本就没预留大床，给了一个双床的。\n最可恶的是，房间里面很潮，有很多虫子，而且晚上关了灯之后爬的床上都是，特小的小虫子，太恶心了！！！！', 'star': 1}
{'descr': '本来定的大床房，去了之后发现根本就没预留大床，给了一个双床的。\n最可恶的是，房间里面很潮，有很多虫子，而且晚上关了灯之后爬的床上都是，特小的小虫子，太恶心了！！！！', 'star': 1}
{'descr': '148元 跟208元 的房间大小一样，就是148没窗户而已，服务一般，卫生不好，有蟑螂，一次性洗漱用品是收费的5-10元。', 'star': 1}
{'descr': '148元 跟208元 的房间大小一样，就是148没窗户而已，服务一般，卫生不好，有蟑螂，一次性洗漱用品是收费的5-10元。', 'star': 1}
{'descr': '当时都没拿到发票，不知道现在发票寄出没有呀。环境也不觉得如何，跟我在锦江酒仙桥店相比价格一样，服务感觉差得好多呀', 'star': 1}
{'descr': '当时都没拿到发票，不知道现在发票寄出没有呀。环境也不觉得如何，跟我在锦江酒仙桥店相比价格一样，服务感觉差得好多呀', 'star': 1}
{'descr': '哎。反正这个不应该要酒店。你要在网上订那就赶快闪。我是没有办法临时有事电话预定。这个不是一般的差。可以用恶心来形容。反正不说了。要尝试的自己去看看尝试了。这个速8真的有一套。这样都不做瘫掉牌子。', 'star': 1}
{'descr': '哎。反正这个不应该要酒店。你要在网上订那就赶快闪。我是没有办法临时有事电话预定。这个不是一般的差。可以用恶心来形容。反正不说了。要尝试的自己去看看尝试了。这个速8真的有一套。这样都不做瘫掉牌子。', 'star': 1}
{'descr': '房间利用率相当高，一个很节省体力的房间，在床上可以摸到任何一面墙，从床上一步可以到马桶，在床上不用遥控器可以操作电视。预约早上叫醒服务也能忘记，保证你睡个好觉。去一次不是我的责任，如果再去的话我就是脑子进水了！', 'star': 1}
{'descr': '房间利用率相当高，一个很节省体力的房间，在床上可以摸到任何一面墙，从床上一步可以到马桶，在床上不用遥控器可以操作电视。预约早上叫醒服务也能忘记，保证你睡个好觉。去一次不是我的责任，如果再去的话我就是脑子进水了！', 'star': 1}
{'descr': '不干净，感觉就直接睡在床垫的弹簧上，服务态度也不好。', 'star': 1}
{'descr': '不干净，感觉就直接睡在床垫的弹簧上，服务态度也不好。', 'star': 1}
{'descr': '太差了，房间非常不干净，有发霉的味道，窗台上桌子上灰尘太多，订房间的时候看是连锁就订了，没看房间进去就后悔了，10分钟就要要退房间结果还收全价，真是垃圾到极致了，凳子上粘糊糊的东西，可能是口香糖，总之以后再也不来这里了，根本很难睡好觉，猪窝啊！从此不住速8了，这还是我第一家不推荐的酒店，真劝大家别来了！', 'star': 1}
{'descr': '太差了，房间非常不干净，有发霉的味道，窗台上桌子上灰尘太多，订房间的时候看是连锁就订了，没看房间进去就后悔了，10分钟就要要退房间结果还收全价，真是垃圾到极致了，凳子上粘糊糊的东西，可能是口香糖，总之以后再也不来这里了，根本很难睡好觉，猪窝啊！从此不住速8了，这还是我第一家不推荐的酒店，真劝大家别来了！', 'star': 1}
{'descr': '出其不意的差，床硬死了。很不隔音，房间巨小。', 'star': 1}
{'descr': '出其不意的差，床硬死了。很不隔音，房间巨小。', 'star': 1}
{'descr': '酒店性价比稍低，一是地方小，二是空调是两个外面开的，三是洗漱用品需付费10元。', 'star': 1}
{'descr': '酒店性价比稍低，一是地方小，二是空调是两个外面开的，三是洗漱用品需付费10元。', 'star': 1}
{'descr': '这个酒店里北京南站很近，对于一大早干高铁的人来说位子很好，但是它的服务设施和员工的素质和收费价格不合，房间根本不隔音的，也没有免费的一次性用品，晚上也没有热水，房间非常狭小，大部分房间没有窗户，没有使用的桌子，但是有一大堆计划生育用品，这样的房间本人觉得不适合出差人员居住，没有舒适感。小心它的洗嗽用品部是免费的，但是在卫生间又没有说明，很容易产生纠纷。', 'star': 1}
{'descr': '这个酒店里北京南站很近，对于一大早干高铁的人来说位子很好，但是它的服务设施和员工的素质和收费价格不合，房间根本不隔音的，也没有免费的一次性用品，晚上也没有热水，房间非常狭小，大部分房间没有窗户，没有使用的桌子，但是有一大堆计划生育用品，这样的房间本人觉得不适合出差人员居住，没有舒适感。小心它的洗嗽用品部是免费的，但是在卫生间又没有说明，很容易产生纠纷。', 'star': 1}
{'descr': '什么破酒店呀，简直跟猪窝一样，服务态度还恶略。软硬件都差，就没见过这么差的酒店，30元一天还差不多。下午实在受不了，白搭一天房钱，换酒店住吧。是要是想生气，想受罪，快来入住这家酒店，包你气得半死。', 'star': 1}
{'descr': '酒店卫生条件不错，服务也可以。下次还会选择入住。', 'star': 5}
{'descr': '位置挺好的，很好找，周围吃的也挺多的。前台小姐服务态度不错，因为我提前电话通知会晚一个小时退房，最后144元的延迟退房费也没收我的，很感动。不过就是可能运气太差，在房间里能听到隔壁（不确定）的装修凿墙的声音，影响休息。还有床铺卫生一般。和价钱不太符。', 'star': 1}
{'descr': '房间小了些，其他还可以。', 'star': 3}
{'descr': '装修差，环境差，设施差，服务差，实在想不起来又哪儿稍微好点的', 'star': 1}
{'descr': '标间房间太小，窗户是对着楼道的，隔音不好，房子比较老。', 'star': 1}
{'descr': '太差了，看一眼房间，在北京来说 50块钱都不值，北京其他的快捷酒店没遇到过这样的情况，太糟糕了，房间小不说，设施差，门下很大的缝，不隔音，床上翻个身就能翻进卫生间！！！下次千万别再推荐这样的酒店了', 'star': 1}
{'descr': '酒店內环境干净，服务周到，交通方便。整体来说，还是满意的。', 'star': 5}
{'descr': '房间很小，隔音效果很差，网速慢，服务一般', 'star': 1}
{'descr': '大家还是别去了 环境差，感觉就像网吧的包厢一样。而且床很硬 躺在床上能感觉到床上的弹簧。而且床上还好多头发。还不如小旅店呢。。永远不会去了。。。', 'star': 1}
{'descr': '网络不行', 'star': 3}
{'descr': '房间小，隔音不好\n但网络很好，屋里的电视和电脑是一体机。', 'star': 5}
{'descr': '房子不大但空间利用的好，干净', 'star': 3}
{'descr': '这家前台服务一般，房间一般不太干净。下次不会在住', 'star': 1}
{'descr': '太冷有味不过态度挺好的！', 'star': 3}
{'descr': '房间挺干净的，价位合理', 'star': 3}
{'descr': '价格便宜，距离北京南站比较近，虽然我就是本地人，但还是觉得下火车到这里比较方便，环境也还可以，只是浴室地面有些滑。', 'star': 5}
{'descr': '中央空调无暖风 厕所地砖太滑 面积比较小，窗户也不朝外', 'star': 1}
{'descr': '服务态度很不错', 'star': 3}
{'descr': '没其他地方的速8好  地方太小 隔音不好，但价格合理些', 'star': 1}
{'descr': '真的很差，谈不上服务，更别说房间设施差的没法睡觉。', 'star': 1}
{'descr': '房间很小，隔音效果很差，床很小一翻身就要掉下去，床板很硬，睡醒一觉浑身都疼', 'star': 1}
{'descr': '总体感觉是可以，毕竟价格低，但是办理入住的时间较长和卫生间太小，距离火车南站也不是很近，要乘72路车，坐20分钟才到，而且72路车的上下车地点不是正对着的，需要绕一下', 'star': 5}
{'descr': '就是空间小，服务还不错，地方稍微有点远，不过也还算方便，希望以后可以价钱更低点', 'star': 5}
{'descr': '不错，方间很干净，就是小了点，总的来说比较满意', 'star': 3}
{'descr': '酒店位置不错，在南二环边上，出行比较方便，酒店是新装修的，设施比较新，前台服务也很周到热情，门口打车座公交都没问题，吃饭也很方便，住宿环境还可以', 'star': 5}
{'descr': '床单很黄，电视还坏的，叫了半天才来修，修完好多台也都是雪花！退房时候房费还给算错了，多收了二十！连句道歉都没有！太次了！不推荐！\n', 'star': 3}
{'descr': '一个人住还是可以的，毕竟价格是很优惠啦~', 'star': 5}
{'descr': '酒店位置不错，门口打车座公交都很方便，前台服务很好周到热情，房间装修的还可以，性价比不错', 'star': 5}
{'descr': '位置算是距离北京南站距离最近的快捷酒店了，由于新开业不久的原因吧，价格很实惠，只是卫生间地板太滑了，只好用毛巾垫在地上防滑。', 'star': 5}
{'descr': '性价比较高', 'star': 5}
{'descr': '冷，有点脏，设施真的很一般，不过位置还是可以的', 'star': 1}
{'descr': ' 还可以吧，就是房间比较小，离北京南站很近，环境还可以', 'star': 3}
{'descr': '虽然说是速8酒店，但感觉有点像假的，不知是不是加盟店？真正的速8确实干净、舒适，但这家只能勉强说还可以。屋内设施一般，床垫不是很舒服，床单也不是很干净，洗澡水偏凉。', 'star': 1}
{'descr': '条件还可以吧，对得起这个价位了，卫生间不是太干净~~~', 'star': 5}
{'descr': '环境太差。不值得住。里面那个设施...即使是特价房也不能差成那个样子。马桶...服务员打扫的时候擦过吗？总之差到不行', 'star': 1}
{'descr': '一般般  还过得去\r\n交通还行，吃的挺方便的\r\n', 'star': 5}
{'descr': '因为是10,1期间就去住的，觉得价格很合适了。还有，还给我免费升级了房间。觉得不错。前台态度很好，只是上楼后找不着服务员，房间电话不通。隔音不是很好。交通还算不错。门口的公交车到西单啊什么的很方便。总体是满意吧。下次应该还会去吧。', 'star': 5}
{'descr': '地理位置还不错，离北京南站挺近的，就是房间太小了，其他的还是不错的', 'star': 1}
{'descr': '脏乱差 前台办理很慢 等了很久 前台服务员话都说不清楚\n', 'star': 3}
{'descr': '+不好 ', 'star': 5}
{'descr': '简单来说 脏乱差  （为了给其他用户提供更有价值的意见，请您发表20个字以上的点评。）\r\n', 'star': 1}
