{'短评内容': '没有早餐吧', '短评打分': 3}
{'短评内容': '还不错，性价比比较高，服务态度好，就是电梯很陈旧。走廊有点陈旧的味道，房间没有什么不好的味道，床铺干净，下面褥子都看了，挺白净。古色古香，窗外就是江南古宅，烟雨中很美，街弄里面，比较安静，也可能是因为还没有怎么上班，也可能是城市管理不允许鸣笛，真是很安静，很舒适。距离观前街很近。距离机场大巴起点终点200米。', '短评打分': 5}
{'短评内容': '离观前街不远，房间挺干净的吗，就是国产空调冬天打不热，有点冷', '短评打分': 5}
{'短评内容': '环境和服务都不错!一家不错的酒店!', '短评打分': 3}
{'短评内容': '房间设施不错，套间很适合家庭住。 早餐太懒', '短评打分': 5}
{'短评内容': '装修挺好 ！前台 服务比较客气！就是价格有点贵 ！', '短评打分': 5}
{'短评内容': '比较安静，出行也挺方便，挺干净，房间较大。总之印象不错。', '短评打分': 5}
{'短评内容': '酒店就是和别的一样，很好，最最值得一提的是门口的保安叔叔超级好，我们打车去沧浪亭他不但告诉我们注意事项，还告诉我们价格以免被骗，而且对于我这个路痴的问题不厌其烦的一一解答！！！！！！！！！！！！！！！！顶！！！！！！！', '短评打分': 5}
{'短评内容': '酒店在一个闹中取静的位置，逛街什么的都很方便，周围有几个公交车站，房间还算宽敞，干净整洁，就是走廊上小孩子跑来跑去有点吵。遗忘了东西在酒店还可以寄回，比较人性化。总体满意。', '短评打分': 5}
{'短评内容': '一直忘了点评。。都很好。。就是有门缝卡片进来。。', '短评打分': 5}
{'短评内容': '这家酒店挺好的，位置很方便，设施也挺新，总体印象很好。', '短评打分': 5}
{'短评内容': '遵循格林豪泰一贯的风格，还是不错,旅游入住还是可以，缺点就是早餐不怎么行。', '短评打分': 5}
{'短评内容': '不说了。 真的很推荐。 价格适中实惠，但是大气。', '短评打分': 5}
{'短评内容': '真的很推荐 极度安静 不贵 周边全园林式商业建筑 棒极了', '短评打分': 5}
{'短评内容': '酒店走廊里黑咕隆咚，阴森可怕，不至于省电到这个地步吧。房间、卫生间都很简陋，特意要了一间不是面向停车场的房间，但是外面还是低沉的机器轰鸣一夜不停。', '短评打分': 1}
{'短评内容': '酒店不错,周围比较方便,房间也比较大,总体还可以.', '短评打分': 5}
{'短评内容': '新开的酒店，位置不错，离观前街10分钟，干净，很容易找到', '短评打分': 5}
{'短评内容': '离市中心比较近，但是不提供早餐，其他一切都还不错，价格较高了点。', '短评打分': 5}
{'短评内容': '地处市中心，交通方便，而且酒店内环境可以，闹中带静，完全不受外界影响！', '短评打分': 3}
{'短评内容': ' 酒店挺好的。就是原来定的标间被还成了大床房。大床房价格贵，酒店太会做生意了。', '短评打分': 3}
{'短评内容': '酒店设施相对简单了些，早餐也不够丰富，不过所处位置还是相当方便的，总体来说还过得去。', '短评打分': 3}
{'短评内容': '酒店所处位置不错，离观前步行街步行大概十五分钟，总体性价比还不错。', '短评打分': 5}
{'短评内容': '房间还好,还算干净卫生。但是卫生间设施过于简陋。', '短评打分': 5}
{'短评内容': '所处位置比较安静，可惜房内设施太简单，半夜不到四点钟楼上不知在搬什么东西，咚咚的吵人。卫生间有点异味。从房内设施来说价位上高了一点，但如果不在世博期间也许价格会降下来，并且如果没有这半夜的咚咚声，下次还会选择这个地方，因为它的位置确实很安静，出行也还算方便。', '短评打分': 5}
{'短评内容': '被子湿气太大，盖得不暖和！房间还可以，还蛮大的！', '短评打分': 5}
{'短评内容': '酒店很干净，服务不错，离观前街走路确实很近，下回有机会来应该还会住这', '短评打分': 3}
{'短评内容': '服务还可以，打个电话，网马上就开通了，房间比较干净', '短评打分': 5}
{'短评内容': '+还行，可以选择！', '短评打分': 5}
{'短评内容': '有很大的停车场；房间面积还可以；卫生间稍小而且马桶还会晃悠；蚊子有点多；距离观前街稍远，步行两站地；周围环境很安静；旁边可以捏脚，呵呵。', '短评打分': 5}
{'短评内容': '房间很干净，酒店位置也不错，到观前街步行只要10分钟', '短评打分': 5}
{'短评内容': '服务周到，环境较好，感觉很不错，我下次还会选择的', '短评打分': 3}
{'短评内容': '洗脸淋浴下水处都堵，电梯开门声象拖拉机感觉不安全', '短评打分': 5}
{'短评内容': '房间比较宽敞，设施也比较新，所以舒适度较高，不错。酒店位置在市中心，交通便利。', '短评打分': 5}
{'短评内容': '此酒店设施新，服务良好！', '短评打分': 5}
{'短评内容': '设施很齐全，位置不错', '短评打分': 5}
{'短评内容': '不错，满意，以后有机会还会来订，继续保持', '短评打分': 5}
{'短评内容': '环境很静，卫生好；服务真诚。想去观前街、玄妙观等景点交通方便，不行也不远，性价比好。值！', '短评打分': 5}
{'短评内容': '位置位于古城区，离观前街很近。不错。周围环境古色古香的，就是古城区里出租车比较少', '短评打分': 5}
{'短评内容': '地理位置好;停车场很大;对旅客遗失物品保管完整;', '短评打分': 5}
{'短评内容': '很安静的地方，不错', '短评打分': 5}
{'短评内容': '提前预定的，性价比很高，低消费，高享受，感觉不错。', '短评打分': 5}
{'短评内容': '位置还不错，很好找。房间设施一般，早餐种类太少了，', '短评打分': 5}
{'短评内容': 'haihao', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境比较宁静,酒店内也舒适,只是厕所冲凉池有点塞,水要一段时间才留走~', '短评打分': 5}
{'短评内容': '离市中心近', '短评打分': 5}
{'短评内容': '卫生还不错了，干净舒适，休息的也还好，性价比不错，可以推荐入住。', '短评打分': 5}
{'短评内容': '临时决定去苏州的，提前一个星期定了这间酒店。位置比较不错步行10分钟就到观前，周围小巷里可以看到苏州生活的场景。特价双人间十分宽敞，浴室也很大，165的价格十分超值。酒店一楼的商务中心还能代订苏州一日游，跟着康辉的散客拼团，200块去拙政园虎丘水上游报恩寺塔和寒山寺的形成性价比很高。以后有机会还会入住！', '短评打分': 5}
{'短评内容': '价格比较有优势，在连锁型酒店里也算是比较优惠的。', '短评打分': 5}
{'短评内容': '卫生还不错，浴室也还好，优势是喷头水很大，很舒适。', '短评打分': 5}
{'短评内容': '性价比很好的酒店，房间干净，设施很新，服务周到，下次如果在附近出行还会选择入住的', '短评打分': 5}
{'短评内容': '客房弄的很干净，没有异味，让人感觉很舒服。', '短评打分': 5}
{'短评内容': '感觉还行吧。', '短评打分': 5}
{'短评内容': '配置硬件设施都还不错，面积稍微有些小。', '短评打分': 5}
{'短评内容': '设施条件还可以，就是总台服务效率低，网上不去打了几遍电话才上来一个人，还不是专业的~~汗，后来还是自己搞起来的！', '短评打分': 5}
{'短评内容': '对酒店整体印象很不错，环境比较幽静，酒店很干净，并不是在马路边上，给人感觉很舒服', '短评打分': 5}
{'短评内容': '服务态度很好，环境不错，交通方便', '短评打分': 3}
{'短评内容': '无论是服务还是卫生设施等等都很不错，就是位置有些偏僻，离观前街还要走一段路程，而且附近便利商店，饭店之类的也不多。。每次要走挺久到了观前街附近才能繁华一些', '短评打分': 5}
{'短评内容': '除了房间里面有股很浓的油漆味外其余都很好！', '短评打分': 5}
{'短评内容': '条件很不错，服务也很好，我以后还会选择的', '短评打分': 5}
{'短评内容': '我觉得酒店位置特别好，不靠马路，特安静，一天旅游累了，很适合休息的。', '短评打分': 3}
{'短评内容': '这个价位，在苏州住在这个位置，还是很合适的，去步行街很方便。\r\n房间也不错。  就是新房子，还有点味道。', '短评打分': 5}
{'短评内容': '位置优越，去石路、观前街步行街都很方便，基本设施齐全。', '短评打分': 5}
{'短评内容': '房间环境不错。住的很舒服，下次还要住那里', '短评打分': 5}
{'短评内容': '除了地理位置稍差点外，其他总体都是比较满意的。', '短评打分': 5}
