{'descr': '位置挺好 听不到火车音', 'star': 5}
{'descr': '干净，服务态度很好，进门一杯热饮，很温暖', 'star': 5}
{'descr': '房间很干净,适合单人和情侣.', 'star': 3}
{'descr': '单人间太小，不隔音，很吵！没窗户！深夜到的，否则一定不会住！今天赶紧换酒店！！！', 'star': 3}
{'descr': '酒店交通便利，房间设施不错，服务态度好，但是周边环境不好。总得值得推荐！', 'star': 3}
{'descr': '酒店不错，单人间不小，比如家的大床房房间还大，网速也不错，床超大，下次有机会还住！', 'star': 3}
{'descr': '房间很干净，服务员态度也很好。', 'star': 3}
{'descr': '不是太好，房间有点冷，并且都是隔开的单间，隔音差…', 'star': 3}
{'descr': '不错。出差到徐州，订得很局促，住得很理想。', 'star': 5}
{'descr': '离火车站不远 卫生很不错 干净 值得推荐  晚上睡觉比较安稳 床不错', 'star': 5}
{'descr': '离火车站，长途客运很近。干净，舒适，洗手间很大，以后路过徐州还会来。', 'star': 3}
{'descr': '经济实惠，房间干净整洁，服务态度也好，就是晚上不太好找。', 'star': 5}
{'descr': '居住的时候可能在装修期，早上比较吵，其他都不错', 'star': 1}
{'descr': '从火车站往饭店走的路比较烂，去的时候又正好赶上下雨天...晚上有蚊子，可是房间没有蚊香。房间较大，新开业设施也比较新', 'star': 5}
{'descr': '住的是616电脑房： 1、离火车站走路10分钟内 2、酒店对面就是一个车站，便于出行  3、服务员不错 4、店内有便利店 5、房间较新 6、电脑联想凌动CPU一体机 7、电话全国免费 8、早7点 早餐被一群妇女抢完了  完毕！', 'star': 5}
{'descr': '房间还好，我和老婆住的很开心！下次去徐州的话还去那住！', 'star': 5}
{'descr': '服务还可以，价位也合适。就是隔音效果实在太差。', 'star': 5}
{'descr': '感觉很干净,服务态度也很好!', 'star': 3}
{'descr': '\u3000服务还不错。', 'star': 3}
{'descr': '服务态度不错，但经济房的房间过小，隔音效果也不好', 'star': 5}
{'descr': '离火车站较近,单人间有点小，比较干净，房间是地毯。', 'star': 5}
{'descr': '新开的酒店，比较干净，房间是地毯。离火车站较近。', 'star': 5}
{'descr': '挺干净.就是没窗!', 'star': 3}
{'descr': '好··········································', 'star': 5}
{'descr': '酒店5月份刚装修好，很干净，位置好找。可惜目前还不能供应早餐。', 'star': 5}
{'descr': '交通方便干净,外面临街车声大', 'star': 3}
{'descr': '服务很好。。酒店卫生也 不错。。主要问题房间隔音太差', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '酒店设施很不错，服务很到位，房间也很干净', 'star': 3}
{'descr': '速8真不错，刚下火车过来就入住了，不到9点呢。装饰很新，很舒服。下次还住！推荐', 'star': 3}
{'descr': '离火车站很近 交通也算方便 ~ 就是住进去第二天一早楼上就在装修声音很大 希望下次能改进', 'star': 5}
{'descr': '酒店正在装修，非常吵！价格比较公道！房间比较干净，下次还来入住！', 'star': 5}
{'descr': '还是可以…就是房间小了点！', 'star': 3}
{'descr': '性价比比较高，对得起价格。', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错，很干净！装修也很好，各方面设施不错，交通也算方便', 'star': 5}
{'descr': '酒店比较干净，就是房间小也没有窗，地面的地板掀起。', 'star': 5}
{'descr': '＋性价比不错，网速略慢！', 'star': 3}
{'descr': '挺舒适温馨的', 'star': 3}
{'descr': '环境还不错 也挺干净的 床很舒服 就是希望能有电脑就更好了', 'star': 5}
