{'descr': '在如家中算是翘楚，卫生状况好，早饭还可以。', 'star': 5}
{'descr': '这是住过最差的如家！定的大床房，但是是由两张单人床拼起来的，这无伤大雅；但是房间小的出奇，除了床，两边只能容一个人通过，连衣柜都没有，吹风机也没有，要到前台去借用，网络还是坏掉的。心情十分的不爽啊！说了要安静的房间，结果早上很早旁就是施工的声音。我老公都受不了了。绝对不会住第二次。', 'star': 1}
{'descr': '服务很好，环境很干净！', 'star': 3}
{'descr': '酒店不错，推荐入驻，交通不是太方便，不过还可以啦。', 'star': 5}
{'descr': '去外滩  城隍庙 南京路等景点比较方便~~~服务态度很好  房间设施比较齐全  性价比较高的的地方', 'star': 5}
{'descr': '在南浦大桥附近，离市中心有一点距离，周边不是很发达。\n不过两三站公交基本上也可以到外滩、城隍庙这些著名景点。', 'star': 5}
{'descr': '很好哦，每次去上海都会住这里，有家的感觉，交通比较便利', 'star': 3}
{'descr': '还可以，就是如家的一般样子，不过离地铁站有点远哇', 'star': 1}
{'descr': '地理位置很好，离4号线地铁站和黄浦旅游集散中心很近。住的特价房，房子很大，热水很好。但是床很硬，房间隔音差，睡不好。', 'star': 3}
{'descr': '服务很好，打扫卫生的大婶见到你也主动问好，贴心细微\n\n不过地理位置一般，说是外滩店，但离外滩还是有段距离，离人民广场也是有段距离，离南京路步行街还是有段距离，总之离哪里都有段距离，本想晚上步行去外滩看夜景，着实有点小远\n\n房间干净整洁', 'star': 5}
{'descr': '前台的服务不错，特惠大床房间很小，不过卫生还不错。到地铁站走路10分钟，公交车也听方便的。要求不高了可以选择。', 'star': 5}
{'descr': '一般吧  卫生还可以', 'star': 3}
{'descr': '交通不够方便  窗户正对居民家 早上是被吵醒的  窗户只能开一点点 开空调的时候有臭味 ', 'star': 5}
{'descr': '酒店很好！位置很好，能看见南浦大桥，交通方便。', 'star': 5}
{'descr': '从前台小姐到清洁工人阿姨每个人都有很有礼貌面带微笑', 'star': 5}
{'descr': '很干净的酒店，服务也很好', 'star': 3}
{'descr': '为了转天去坐普陀的大巴特意选了这家，离着大巴站确实挺近，不过房间是我住过如家最小的（我选的是商务标间，还不是最便宜的房间。）双床也很小也就90的床，房间潮气很重，味道也很重，小小窄窄的窗户，早上开窗一股楼下做饭的味道，如果可以选择，真的不建议选这家，也就地点占优势。', 'star': 1}
{'descr': '空调太不给力，睡得好冷，床头无法充电不够方便。其他还好。', 'star': 1}
{'descr': '一般般。。。。停车场还要40块钱。其他倒是跟所有如家都差不多', 'star': 1}
{'descr': '挺不错的，酒店比较安静，酒店也挺干净的。', 'star': 5}
{'descr': '这次如家地理位置离我想要的地方实在太近太方便了！非常满意，就是有点旧，空调很响，插头松。不过总体来说不错啦', 'star': 3}
{'descr': '还好,有点远,打车特别不方便', 'star': 3}
{'descr': '地理位置还可以 ，离南浦大桥地铁站有十分钟，来玩了，住在了三楼一个拐角处，感觉怪怪的，服务态度很好  一如既往的干净\n', 'star': 5}
{'descr': '阁楼房间，好夸张', 'star': 3}
{'descr': '我已经算是回头客了 还是停车的问题 到边上停要30元一夜 ', 'star': 5}
{'descr': '不错 连住3天了 下次还会入住的 停车问题上 最好能有地方 安全停车', 'star': 5}
{'descr': '第2次入住了  都还可以 不错还会来的  就是停车不怎么好停 人在房间里 车在门口停 怕罚单哦', 'star': 5}
{'descr': '已经第2次入住了  总体还是满意的  就是车停门口 人在房间里 担心被罚单会不会来 ', 'star': 5}
{'descr': '很好的服务,很好的网络,很好的环境,很好的性价比.', 'star': 5}
{'descr': '很不錯，四号线南浦大桥一号出口出来沿着中山南路走一段就到了', 'star': 5}
{'descr': '吧台服务一般，地方不是很好以后定酒店一定不选这样的', 'star': 1}
{'descr': '很不错，干净整洁交通方便', 'star': 3}
{'descr': '备注里注明离外滩需10-15分钟，但前台告诉我们步行需30分钟，我们走过一次，确实需要30分钟左右，有4站路呢；酒店的热水器洗第一个人，洗了一半就没有热水了，这么低的温度，那个冷啊！前台的服务态度很好，马上派来了人，但却是保安，根本什么都不懂！无奈拖着散乱的行李换房！', 'star': 5}
{'descr': '先说位置。南浦大桥的边上（幸福码头）其实还是很好找的，因为去的时候直接给了房卡，我们就出去了，没看房间位置。结果给了一个挨近柜台的。晚上柜台的电话声，早上住客的脚步声让我们很郁闷。。。环境到还是不错，就是周边吃的少了一点。如果去金茂的话，打车也就是30块钱以内，26块钱左右。。很方便的说。', 'star': 5}
{'descr': '数码大床房间干净，面积不错，地理位置还是比较方便的，但房间无wifi，去玩建议住如家靠近城隍庙的店会更方便一些。', 'star': 3}
{'descr': '很舒服啊 很好  ', 'star': 3}
{'descr': '酒店房间很小，隔音也不太好，不过员工很好，我很晚才到点餐，保安给送餐，做饭的大叔也很好', 'star': 3}
{'descr': '2晚上住下来 不错  房间也算大 网速也不错  够用了', 'star': 5}
{'descr': '酒店还可以  空调暖气也很给力  热水洗时间长了 有点不够用  停车场没有 要到边上去停 听保安说要30元一晚停一停  有点贵 没去停  其他都还好', 'star': 5}
{'descr': '还算干净的，就是地点有点偏，房间比较小。', 'star': 3}
{'descr': '价位不高，服务挺好！挺棒的！...................', 'star': 5}
{'descr': '入住家庭房。闹中取静、出行方便、居住舒适、性价比高。非常实惠，非常整洁、非常满意！', 'star': 5}
{'descr': '房间还可以，秉承如家一贯风格，性价比还是不错的', 'star': 5}
{'descr': 'ok', 'star': 3}
{'descr': '因为离我家很近 把父母就安排在这里了\n\n说真得 除了 很近 没其它的\n\n房间墙很薄 老能听到 其他房间的声音 厨房什么的\n\n定车什么的 没戏 \n\n不清楚 怎么回那么难!!!\n\n希望该进下 \n\n价格还是蛮便宜的', 'star': 5}
{'descr': '手机完全没有信号，问服务员怎么办，说“加点钱订豪华房间就有了”。这是什么服务？', 'star': 1}
{'descr': '挺干净的，挺安静的，交通也很便利，但是卫生间有点小。', 'star': 5}
{'descr': '很满意。', 'star': 3}
{'descr': '位置偏，房间小得可怜，异味巨大，不会再来了', 'star': 3}
{'descr': '方便，干净，不错。', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '还可以吧 就是地点有点偏 周围没有什么吃的玩的什么的', 'star': 5}
{'descr': '很好很不错，下次还会选择的，环境还可以，比较干净', 'star': 5}
{'descr': '服务尚可', 'star': 3}
{'descr': '  酒店还可以', 'star': 3}
{'descr': '性价比很高，就是屋子有点小，我住的像地下室一样，下2个台阶···', 'star': 5}
{'descr': '价格适中，就是房间稍小。已经推荐朋友去了！', 'star': 5}
{'descr': '延期到23点', 'star': 3}
{'descr': '特惠房，挺干净卫生的，就是有点点吵，如果有机会还住！', 'star': 5}
{'descr': '有所值，感觉在南浦这个地方，这样一个价位，还不错了。', 'star': 5}
{'descr': '这次定的特惠房性价比很高啊 值得推荐 不错', 'star': 5}
{'descr': '环境很好，干净卫生，服务态度也好，要是有早餐就好了', 'star': 5}
{'descr': '价格很合理的，交通方便。服务很热情，就是隔音有一点点差啦。不过去上海旅游选如家还是很实惠的。', 'star': 5}
{'descr': '如家快捷酒店（上海世博南外滩店)房间很干净，价格很给力啊！而且服务员的态度很热情，很喜欢。美中不足的就是有点噪音，也许是过年的原因住的人太多。不过这里交通很方便的。', 'star': 5}
{'descr': '一如其特点，客房简洁，服务专业，美中不足，无自备停车场，隔壁商务楼停车，保安磨刀霍霍，停一晚要加五十。', 'star': 5}
{'descr': '除了地段比较好外，其他都很一般。。。。。。', 'star': 1}
{'descr': '很干净。很喜欢。就是有点噪音。。。。。。。。。。。。', 'star': 5}
{'descr': '环境好，很干净，服务也行。就是离浦东机场太太远，建议乘早班飞机的不要选择此店。起码得提前两个半小时出发。', 'star': 3}
{'descr': '房间挺干净的，大床房的床非常大，很舒服。服务员态度也不错。', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '世博会后酒店的价格还比较实惠，住了两天 比较方便 推荐下', 'star': 5}
{'descr': '位置很好的酒店', 'star': 3}
{'descr': '看起来像世博会专门增加的一个门面，地方小，走廊房间整体都比其他住过的要小。\n果然寸土寸金~~~', 'star': 5}
{'descr': '离地铁4号线较远.房间很干净,还升级了.下次去还住那里', 'star': 5}
{'descr': '很好 下次继续选择', 'star': 3}
{'descr': '态度很好.因为睡眠不好,房间也升级了.价格很合适.下次来还选择', 'star': 5}
{'descr': '+内容好', 'star': 5}
{'descr': '房间有点小，别的都还好\n', 'star': 5}
{'descr': '没有电梯，周围噪音大，床上用品比较卫生，洗澡间干净、用水方便。', 'star': 1}
{'descr': '酒店很温馨，很不错，很喜欢！位置也相当好，很方便', 'star': 5}
{'descr': '到了酒店没有住到预定的房间，只能住到贵的房间，接下来的三天时间，通过网络下单，结果特价322的房间竟然是没有窗户的房间，无奈只得继续住单价493的商务房，同时服务台的工作人员态度是非常一般。而且这地方就在南浦大桥高架桥附近，周围据说是拆迁的，连个吃饭，买水果的地方都没有，到世博会3号门得走15分钟，到外滩打车12元，由于位置不是很繁华，打车也不是很方便。离地铁也不是很近便。我住宿期间都是出门到中山', 'star': 1}
{'descr': '我从来没住过快捷酒店，这次是帮朋友爸妈预订的，虽然房间比较小，但是很惊喜的是挺干净的，对卫生间很挑剔的也觉得很干净了。床铺舒适程度就不知道了，看着挺干净。\n离南浦大桥的旅游集散中心很近，步行5分钟，离四号线站10分钟内。\n就是7楼是没有电梯的，只能到6楼然后走上去。我们带了2个箱子有点不方便。\n有个小插曲，上电梯时看到里面有个别人留下的袋子，结果服务生特意来敲我们的门，问是不是我们留下的。还挺贴心', 'star': 5}
{'descr': '位置有点偏，附近没有什么商业设施，买一些日用品什么的不方便，厨房离大堂比较近，使大堂充满了油烟味。', 'star': 1}
{'descr': '前台服务好，地理位置好，但是吃饭地方没找到……', 'star': 3}
{'descr': '为看世博，找了如家离世博比较近的店，该店条件还可以，离世博园&amp;地铁4号线很近很近，服务也非常好，就是酒店周围饭店的没有，商店的一个，非常不便。', 'star': 5}
{'descr': '国庆在那住了一晚房间还可以，就是附近打车不太方便', 'star': 5}
{'descr': '位置还不错，但设施太差，性价比较低，下次应该不会再住。', 'star': 1}
{'descr': '房子一般吧！', 'star': 5}
{'descr': '酒店还可以 比较便利', 'star': 5}
{'descr': '一般。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '是否推荐，应该是不推荐吧，不值这个价钱，其他都还可以吧，离南浦大桥近', 'star': 5}
{'descr': '酒店总体上还不错吧，但附近的不太好打，可能是因为太近的士不愿意去的缘故。只有选择步行，走路到世博园的话要20分钟，走到门口就觉得已经走不动了。', 'star': 3}
{'descr': '酒店不错，前台服务态度也很好，离世博园3号门也很近，就是附近可就餐的位置太少，总体上讲还是不错了！', 'star': 5}
{'descr': '貌似已经评过了。地理位置OK，周边环境不好，没有什么餐厅。设施陈旧。', 'star': 3}
{'descr': '地理位置还可以，靠近世博3号门，打车起步价。但是的确设施陈旧至极，原来估计就是个破落厂房改建的。不过本人人品爆发，被直接升到了商务房，还不错。', 'star': 5}
{'descr': '大床房在7楼. 哪间光线很好. 可以看到风景. 但是要走一层', 'star': 3}
{'descr': '房间干净. 蛮好的/ . 离地铁蛮近的. 大概走7.8分钟', 'star': 3}
{'descr': '酒店蛮干净的。我住的三楼. 离地铁站大概走7.8分钟.  去世博园可以选择走路或者打的士. 走路大概20分钟。打的不会跳表', 'star': 5}
{'descr': '房间很多设备比较久，一些设施都年久失修了，而且整个建筑隔音不好，但是服务还是不错的', 'star': 5}
{'descr': '周边吃饭是个问题，宾馆总台订的饭味道确实不怎么样。但是离车站和公交站，地铁站不是很远，出去还算方便。房间很小，整体比较整洁，也许是世博期间，感觉房价有点贵。', 'star': 3}
{'descr': '服务不错哦，下次还来\nhttp://www.7taou.com', 'star': 5}
{'descr': '+房子有点小，但比较整洁。周边吃饭不方便', 'star': 5}
{'descr': '房间气味太浓', 'star': 3}
{'descr': '不错的酒店 但是离主要场馆较远  还算不错吧', 'star': 5}
{'descr': '很一般的酒店,酒店不符合这个价位~如果不是为了看世博方便，绝对不会选择住这样的酒店。', 'star': 1}
{'descr': '还好', 'star': 5}
{'descr': '嗨，本酒店的房子隔音实在是不敢恭维。我12点睡下还听到隔壁有几个人大声说话，我就忍了！可是睡到半夜时被一个女生的大声尖叫给惊醒。心恸恸地直跳，吓死我了。当时一看表是凌晨3点，还听到有男生的声音。我立马拿起电话往前台打，说如果你们不管，我就要打举报电话了。前台说是几个90后的学生住的。\r\n搞不懂为什么本酒店要接受几个男女住在一个房？而且第二天结账前我想和前台商量一下我能否在2点退房。她说不行，12点', 'star': 1}
{'descr': '酒店的服务符合这个价位~', 'star': 3}
{'descr': '如果是去上海世博，住这里是很不错的，步行就可到世博3号门，总之世博期间很值得推荐，就是房间真的很小巧。', 'star': 5}
{'descr': '服务态度好,地理位置好!', 'star': 5}
{'descr': '我是去看世博才选择入住这里。位置还好。其他很差。房间太小。被子潮湿。浴巾很薄，旧。床硬。枕头睡后第二天脖子落枕。疼4天。前台服务人员素质差。', 'star': 1}
{'descr': '位置离外滩很近，晚上可以去欣赏下夜景，整体感觉还行', 'star': 5}
{'descr': '都是沾了世博会的光啊，要不然这样的酒店能有这么高的价格么，很一般的酒店', 'star': 5}
{'descr': '还可以，就是房间小了点', 'star': 5}
{'descr': '还可以，就是房间小了点', 'star': 3}
{'descr': '世博会期间 可以接受', 'star': 5}
{'descr': '本来各方面就乏善可陈，服务全是实习的，连信用卡授权都不会操作。', 'star': 1}
{'descr': '上海如家南外滩店交通便利，环境优美，服务好，下次还会光顾。', 'star': 5}
{'descr': '就是房子小些', 'star': 5}
{'descr': '性价比还行。位置不错', 'star': 5}
{'descr': '这是第一次住这家酒店，酒店大堂很明亮，前台服务人员态度很亲切，房间设备齐全，卫生很好，值得入住。', 'star': 5}
{'descr': '这性价比已经很高了 ，因为属于世博店 所以店内有志愿者，问路什么的都很方便，前台服务很好，卫生也很好，酒店位置也还算不错了，交通还算方便，离南浦大桥还蛮近，去世博园4号门坐公交车几站就到了，不过一楼确实很吵很吵，早上很早就被吵醒了。', 'star': 5}
{'descr': '这里是我这几天玩住的最差的酒店，可能是世博的原因，房价贵，还潮，噪音还大，一次性拖鞋打扫房间第二天都没有给换。我们有孩子，要的是大床，大床特别小还。离地铁还要走十五分钟，不推荐', 'star': 1}
{'descr': '这家酒店的位置感觉不太爽，出了地铁要走很远才能到。房间很小，服务还是不错。早餐的地方很小，总的感觉不太值，可能是正赶上世博会吧。', 'star': 1}
{'descr': '较为干净舒适', 'star': 5}
{'descr': '干净，温馨，离世博很近，非常满意', 'star': 5}
{'descr': '位置还不错，不过房间小，300 的房费住那么小的房子性价比有点低', 'star': 5}
{'descr': '设施陈旧，房间窄小，交通不方便。收费又高。\r\n建议不要推荐这家酒店！', 'star': 1}
{'descr': '很失望', 'star': 1}
{'descr': '离市中心，外滩比较近，房间比较静，总体还可以', 'star': 3}
{'descr': '位置很好，但不推荐1层的特惠房，房间在1层的过道旁，尽头是电梯，所以房间很吵。', 'star': 5}
{'descr': '如家一贯的便捷、经济！', 'star': 5}
{'descr': '如家就是如家！', 'star': 5}
{'descr': '我住的是特惠大床房，房间小了点，也矮了点，卫生间很干净，地段不错', 'star': 5}
{'descr': '地理位置很不错，旁边有个中山公园环境很优美，有空可以去走走，离轮渡也非常近。晚上出去逛街距离中山路很方便', 'star': 3}
{'descr': '如家快捷酒店上海世博南外滩店非常好找，靠近南浦大桥公交换乘枢纽，出行非常方便。酒店设施很齐全，服务非常周到贴心，价位合理，性价比非常高。以后还会再来这里。', 'star': 5}
{'descr': '隔音非常差，还有就是特惠大床房真的很旧。不过前台很好人！', 'star': 1}
{'descr': '房间很小，可能是特价房没有窗户，所以房里有异味。墙角还有点发霉~', 'star': 1}
{'descr': '住着很舒服 ，地点也比较好，适合入住，满意', 'star': 5}
{'descr': '特惠房还不错', 'star': 5}
{'descr': '卫生和设施还不错，就是地段不算很好~~~而且赶上道路维修，噪音偏大~~\r\n其他都很不错', 'star': 5}
{'descr': '硬件一般，卫生尚可，交通便利，到地铁口和公交站步行都是十几分钟就到。', 'star': 3}
{'descr': '房间设施环境都很一般，很小，不过还算干净，比较好的是位置，到地铁口或公交车站走路都只需十几分钟吧。', 'star': 5}
{'descr': '值得一去的酒店，服务还不错。', 'star': 5}
{'descr': '环境不错，房间干净明亮，非常满意，下次还会去', 'star': 5}
{'descr': '好\r\n', 'star': 5}
{'descr': '这叫一个偏僻啊&#183;&#183;', 'star': 1}
{'descr': '交通便利，服务和设施一般，相对来讲性价比较高。\r\n', 'star': 5}
{'descr': '地理位置不错，离外滩很近，就是不太好找，隔音不太好，其他都还可以', 'star': 5}
{'descr': '打的要绕来绕去才找得到啊', 'star': 1}
{'descr': '设施、位置、价格都还可以，但是在退房时遇到些不愉快，有一个服务员的态度很差，感觉很傲慢，以后如家的酒店都不会再住了', 'star': 3}
{'descr': '还有一点要补充的是，该酒店的位置不错，离南浦大桥很近，离南京路和外滩以及城隍庙很近，很容易找到公交车。', 'star': 3}
{'descr': '总体来说性价比不错，我预定的特价大床房，在一楼，虽然没有窗户，但比预想的要好的多。卫生很好，有桶装纯净水，比用电水壶烧水好多了。\r\n\r\n前台人员的服务都不错，有个还是我们的老乡，虽然最后发票卡错，最后还是通过快递邮寄给了我，这点做得很好。\r\n上网有点贵了，10元一小时，且只有一台电脑。建议5元左右，多弄几台电脑，毕竟现在电脑也不贵，可以在酒店配备神舟的液晶一体机，也就1000多元一台，设置一些带电', 'star': 5}
{'descr': '酒店外面有外滩改造有施工会比较乱，不过室内环境还是不错的.位置很好很方便出行.总体感觉不错', 'star': 3}
{'descr': '服务都还不错，价格也比较合理，当时去呢是住在7层，而电梯只能能到6屋，还得再爬一层楼，虽说可以小小锻炼一下，但还是很不方便的', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '不错哦', 'star': 5}
{'descr': '位置不错，只是可惜外滩改造，不然将会是个不错的地方', 'star': 5}
{'descr': '附近在有工地在搞建设然后就是酒店当时也停电了不过后来服务员还是提醒了也没有造成什么影响,下水道通水不是很好必须把下水道的盖子打开才能通水,其他的都还行,酒店离南京路挺近的坐公交车也就三站地旁边还有地铁出行挺方便的,感觉还是很满意的.', 'star': 3}
{'descr': '我去的时候酒店周边正在修路,感觉很吵很脏.酒店里边还可以了,设施还算比较齐全比较新,房间里的卫生一般了,价格方面还是比较合适的.整体感觉还可以了.\n\n', 'star': 3}
{'descr': '服务上很不错,非常热情,价位也很合适,就是房间有点煤味感觉不太好,另外就是位置稍微有点偏,不太好找.', 'star': 3}
{'descr': '主要是酒店手机信号很差,一点信号都没有(1300的),另觉得还是比较偏远了，整个酒店所在位置都在施工，很多灰尘到处飞。很不舒服。我自己本对如家印象很好的,我也是他们的会员,基本上出外都是是如家,想不到这么大的连锁也是齐差不齐的,是我住过国内各分店最差的,服务态度也不是很好。\r\n', 'star': 1}
{'descr': '我觉得还不错离南京路打车也就12元左右&#183;&#183;旁边有地铁站&#183;还不错&#183;&#183;&#183;', 'star': 5}
{'descr': '我当时在酒店办入住和退房手续很慢，竟然要40分钟，我很不满意，不错他们酒店的硬件条件还是不错的，卫生和地理位置是不错的，所以还可以考虑。', 'star': 3}
{'descr': '打车去外滩起步价，不过个人觉得还是比较远了，那边最近都在施工，看着灰尘很多的样子哦。。。', 'star': 5}
{'descr': '酒店的位置很偏 交通不便利，房间空间很小，价格到便宜的', 'star': 1}
{'descr': '不挑剔的人住的还不错，我住的一楼房间里面没有信号，一点也没有，一天都很吵，晚上12点以后会比较安静。如果旅游的话性价比不错。', 'star': 5}
{'descr': '位置不错,房间里面很干净,就是面积有点小,性价比很高.', 'star': 5}
{'descr': '酒店很差劲，地理位置很不好，最主要的是房间隔音效果非常差，隔壁咳嗽一声都听的一清二楚，服务也不好，服务员在楼道大喊大叫的，休息不好。 房间也非常的小和潮湿，有一种霉味！', 'star': 1}
{'descr': '马马虎虎，价格便宜', 'star': 5}
{'descr': '应该是住过的最糟糕的特价房了，他们的房子太不隔音了。\n我住的特价房位置就在入门的屏风后面，太吵。\n\n有其他旅客进出，吵；\n前台办理手续，吵；\n服务员经过，吵；\n楼上下水过水，卫生间的水道也有声音，吵；\n最夸张的是，该特价房的隔壁就是他们的厨房，早晨6点多久开始嗡嗡嗡嗡，吵到不行。。。\n\n值得表扬的就是服务员还是蛮亲切的。\n另外新装修，设施还是新的。\n\n其他都不错，可就是吵。。。。', 'star': 1}
{'descr': '位置方便,放假里面也很干净,就是通风不太好,可能是由于房间面积有些小.其他都还不错.', 'star': 5}
{'descr': '对如家酒店一直还是觉得还不错的,出差也一直选择这种经济型酒店性价比比较高,设施齐全很适合出差选择.', 'star': 5}
{'descr': '酒店的服务很周到，地理位置也不错，而且价格便宜，环境也很好', 'star': 5}
{'descr': '一楼的潮湿有点重，被子总感觉有些潮湿。还有就是卫生间的洗浴应该用玻璃门，因为洗浴间较小，洗浴连容易粘在皮肤上。', 'star': 5}
{'descr': '酒店有些靠里,而且标识也不明显,不太好找.酒店的环境是不错的,而且价格也实惠', 'star': 5}
{'descr': '酒店的环境硬件设施都很不错，位置出行交通方便，价格合理优惠服务卫生也很达标，整体来讲很不错，性价比很好。值得推荐入住。', 'star': 5}
{'descr': '酒店的隔音不好，但是挺干净，服务和环境也很一般，说离地铁很近，但我感觉挺不好找的', 'star': 5}
{'descr': '酒店还是不错的，他的环境，人员服务，硬件设施在这个价位来说都算是比较合适的，位置也还可以。', 'star': 5}
{'descr': '很干净，设施也很新。可惜隔音不好，声音太吵。另外一楼手机没信号，很不方便。', 'star': 5}
{'descr': '酒店重新装修的，外表还不错，位置很好附近交通还不错，价格比较合理，很方便，的酒店步行10几分到地铁站，环境硬件设施都还不错了，就是那天那个门是坏的。其他都还不错了。', 'star': 5}
{'descr': '酒店最大的优势是特别干净，卫生特别好，因为周边在修路 ，环境比较脏，而且酒店这没有公交车，只能打车，打车还不太好打，酒店在巷子里，外面的标识不大，不太好找，要是能有早餐就更好了', 'star': 5}
{'descr': '位置离南浦大桥地铁站步行10分钟 很好找。\r\n附近是公安局 有安全感\r\n135的特惠大房在一楼靠近大厅 晚上有点吵~建议觉轻的就不要选择一楼了 \r\n而且手机完全没信号 下次还是不选择这类的房间了~宁愿多给几十块住的可以更加的舒适。\r\n但是卫生条件很好,服务态度也非常好。\r\n', 'star': 5}
{'descr': '理论位置和实际位置相差有点大,酒店大门很难找,古董级的电梯运行很缓慢.....标间里香烟味很重,酒店旁边据说是养鸽子的,晚上睡觉很吵!!!周边公交线路不大方便.....价位偏高!!!', 'star': 1}
{'descr': '是一家新开的，还比较舒适，但附近的交通不是很方便，离公交站点远，当时这边正在修路，过街时比较乱，没有过街天桥的，当时住的是特惠大床135元/晚，感觉还是稍稍有点偏高', 'star': 5}
{'descr': '在房间发间一小虫,白白的.还有在马桶里竟发现蜈蚣.当时因为是晚上没有及时告知.但因自己吓到了.赶快用水冲了.另房间真的很不好打开或关上.', 'star': 5}
