{'短评内容': '很精致，非常舒服', '短评打分': 5}
{'短评内容': '网上订的价格还可以，主要是离目的地近。 不过有些东西有点老了，需要修了。', '短评打分': 5}
{'短评内容': '位置挺好，设施有些老化了，不过估计下次还会住这里的。', '短评打分': 5}
{'短评内容': '服务态度较好，房间干净、卫生、安静，很适合居住', '短评打分': 5}
{'短评内容': '房间设施不错，就是房间小了点，下次还会选择入住，', '短评打分': 5}
{'短评内容': '环境过得去，价格偏高了一点。', '短评打分': 3}
{'短评内容': '酒店很经济，房间比较干净，服务态度一般，自己出门推荐！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店环境一般，服务质量有很大提高，值得入住！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店挺好的  住了两次了   就是隔音有点差  晚上会被邻居吵到', '短评打分': 5}
{'短评内容': '位置在市中心，从火车站乘坐101路东线在工人新村下车，然后步行约300米左右就可到达，但是第一次到郑州的人找寻起来比较不变，但是酒店的房间很温馨，足以弥补路途的辛劳，下次到郑州还要入住。', '短评打分': 5}
{'短评内容': '入住环境很好，房间也不错，值得这个价位！下次还会入住！', '短评打分': 3}
{'短评内容': '. 实在不错，超值。。。。', '短评打分': 3}
{'短评内容': '第一次在网上预定房间，很满意，服务很满意，接待和安排都很及时；雅悦房间虽小，但整洁干净，简单但也挺舒适，满意！', '短评打分': 3}
{'短评内容': '感觉挺不错的，房间大小和性价比差不多，卫生还好，价格便宜就好', '短评打分': 5}
{'短评内容': '交通方便,价格也算公道,就是不提供早餐.', '短评打分': 5}
{'短评内容': '酒店前台挺热情的，就是业务不熟练，房间还干净就是太小了点', '短评打分': 5}
{'短评内容': '房间大小挺合适，挺干净，就是桌子小点，电视比较古老', '短评打分': 5}
{'短评内容': '酒店环境优雅,内部设施也尚可。但茶具的卫生令人置疑：用水壶烧的水有一股酸味,不知是水壶还是水杯的事.刷后再烧,不再有味.', '短评打分': 5}
{'短评内容': '交通便利 距离大上海很近  服务态度很好。卫生很干净。', '短评打分': 5}
{'短评内容': '性价比高 朋友推荐的 性价比尚可 下次还要住', '短评打分': 5}
{'短评内容': '我住的房间靠近马路，晚上比较吵，其他的还不错，', '短评打分': 5}
{'短评内容': '整体感觉不错。\n干净整洁，服务设施较完善，服务有瑕疵，作为经济型酒店而言，我觉得值得推荐。', '短评打分': 5}
{'短评内容': '1、性价比好。\n2、前台服务好\n3、淋浴不热', '短评打分': 5}
{'短评内容': '以前经常住这家，因为比较安静\n最后一次因不能上网 宾馆答复马上派人来检查 结果空等 第二天换房 网速比爬还慢 致电总台 答复马上派人来 又是空等 今后不住这里了 不想与不诚实的人勾通', '短评打分': 1}
{'短评内容': '离火车站的车10分钟，9元。不远。房间里很干净，卫生间也不错。服务员的态度最好。对我们累的旅行者很热情。下次也来到。', '短评打分': 5}
{'短评内容': '酒店不错，前台服务态度很好，可以存放东西，很安静的。', '短评打分': 5}
{'短评内容': '第二次入住了，很好找，就在马路边上。酒店服务态度不错，一楼的餐厅早、中、晚餐都 有，主要是价格不贵，菜味道也不错，晚餐三人吃，人均消费25元', '短评打分': 5}
{'短评内容': '  位置不是很好找，但是离27广场很近，走路10分钟就到了。', '短评打分': 5}
{'短评内容': '  服务态度好，硬件也可以，离商圈也很近，而且这个价格也不贵，比其他的连锁酒店要优惠10%', '短评打分': 5}
{'短评内容': '  位置不是很难找，服务态度也不错，硬件也可以，推荐。', '短评打分': 5}
{'短评内容': '真的是挺不错的，前台也很好，离二七广场和火车站都近。                     ', '短评打分': 5}
{'短评内容': '其实还好了，离二七很近，吃饭、逛街都方便。就是洗澡水不是很热。总的来说还不错啦。', '短评打分': 5}
{'短评内容': '还不错了，离二七挺近。环境还行，就是洗澡的水不是太热。', '短评打分': 5}
{'短评内容': '＋很好，性价比高', '短评打分': 3}
{'短评内容': '酒店不错   要是自己办卡 还给优惠  早餐差点', '短评打分': 3}
{'短评内容': '酒店很干净，服务很好，地理位置也不错，值得推荐。', '短评打分': 5}
{'短评内容': '感觉一般般！！！~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '住着还挺好的，尤其是里面是木地板，比有些地毯要干净的多。不错', '短评打分': 5}
{'短评内容': '酒店位置比较好,交通便利,特别在高考其间性价比比较突出,房间卫生比较好.服务台前休息区有电脑可上网,便于查询.网订比门市价要优惠很多.评级:推荐', '短评打分': 5}
{'短评内容': '地理位置比较安静，房间设施也比较好，卫生也不错。唯一一点门前是单行道，打车比较麻烦，可能是郑州的出租车太少的缘故吧', '短评打分': 5}
{'短评内容': '房间卫生不错，服务部也可一，就是结帐时稍微慢点', '短评打分': 5}
{'短评内容': '住着挺好的，挺舒服，只是房间有些小，没有凉拖鞋，晚上没有热水。', '短评打分': 5}
{'短评内容': '房间面积不算很大，但干净舒适，价格也很适中，推荐', '短评打分': 3}
{'短评内容': '2011流行语，地点给力、服务给力、温馨给力、周到给你、价格给力、总之综合给力ing。', '短评打分': 5}
{'短评内容': '不太好找，而且酒店比较破旧，门脸很小，标间也不含早，不知为何。', '短评打分': 1}
{'短评内容': '价格不错 位置也不错 都还不错吧 就是卫生不好', '短评打分': 5}
{'短评内容': '脏，客房服务相当不好，前台很好', '短评打分': 5}
{'短评内容': ' 住郑州雅悦酒店感到设施完备，位置好，近市中心商业区，服务卫生都不错，周边小店不少，餐饮到方便。', '短评打分': 5}
{'短评内容': '房间还好,与一般快捷酒店相仿,但餐饮卫生实在不敢恭维-----一次性纸杯竟有苹果汁味,餐具似乎没洗,局部有黑灰.或许路边排档也要比这好得多.', '短评打分': 1}
{'短评内容': '卫生别提了，一进房间一股烟味，服务员还告诉待会就好了。\r\n隔音不好，外面动静听的很清楚。\r\n餐厅只要有团或者会议之类的就不管散客了，不推荐', '短评打分': 1}
{'短评内容': '晚上热水不好，其他的还可以', '短评打分': 5}
{'短评内容': '位置不错，但地毯污迹斑斑，还有臭脚的味道，卫生实在不敢恭维！', '短评打分': 5}
{'短评内容': '干净整洁，位置有点偏', '短评打分': 3}
{'短评内容': '干净整洁，设施有些陈旧，网速很快', '短评打分': 5}
{'短评内容': '挺好的 值得推荐', '短评打分': 5}
{'短评内容': '经济实惠，挺干净的，不错。', '短评打分': 3}
{'短评内容': '位置有些偏出行有些不方便,酒店的设施和卫生还是挺不错的,服务态度也挺好的,价格也还挺合理,感觉还是挺不错的酒店', '短评打分': 3}
{'短评内容': '对这家酒店各方面的服务还是比较满意的,房间住着也比较舒服,而且价格也不贵,挺方便的.', '短评打分': 5}
{'短评内容': '餐厅服务不好,厨师上菜非常慢我吃碗面等了一个小时，环境硬件设施都还不错,位置出行交通方便,价格也很好.', '短评打分': 5}
{'短评内容': '门牌号是不是有问题，找了半天才找到地方！出租司机也搞不清楚！附近在修路，比较乱一点！\r\n住的还可以，周边没有比较好一点的吃饭的地方！', '短评打分': 5}
{'短评内容': '位置难找点,&lt;br /&gt;\n门面很小,不是明显&lt;br /&gt;\n房间还可以,有点类似汉廷&lt;br /&gt;\n价格比较适中&lt;br /&gt;\n可以考虑下次再住', '短评打分': 3}
{'短评内容': '比较干净整洁，位置较好', '短评打分': 5}
