{'descr': '还可以，干净，', 'star': 5}
{'descr': '酒店订房和退房太慢，好几个窗口就2个在工作，其他人就闲着，', 'star': 1}
{'descr': '酒店订房和退房太慢，好几个窗口就2个在工作，其他人就闲着，', 'star': 1}
{'descr': '酒店的人员服务态度还是挺好的,有什么问题都能积极帮助处理,房间也蛮干净的,离当时要去地方也蛮近的.', 'star': 3}
{'descr': '酒店的人员服务态度还是挺好的,有什么问题都能积极帮助处理,房间也蛮干净的,离当时要去地方也蛮近的.', 'star': 3}
{'descr': '就在三环边，很明显，出行也是比较方便的，房间的卫生和设施也还不错，服务也比较到位我觉得这家酒店性价比还是比较高的', 'star': 3}
{'descr': '就在三环边，很明显，出行也是比较方便的，房间的卫生和设施也还不错，服务也比较到位我觉得这家酒店性价比还是比较高的', 'star': 3}
{'descr': '应该说性价比是相当不错的，总体来说，卫生条件和舒适度都令我满意。', 'star': 5}
{'descr': '应该说性价比是相当不错的，总体来说，卫生条件和舒适度都令我满意。', 'star': 5}
{'descr': '酒店就是设施比较一般,别的都还好,房间挺干净的,服务也不错', 'star': 3}
{'descr': '酒店就是设施比较一般,别的都还好,房间挺干净的,服务也不错', 'star': 3}
{'descr': '房间卫生条件提高一下,然后就是房间里面的空气不是太好,价格倒是还可以,地理位置还是比较让我满意的,其他方面也什么了,都挺好的.', 'star': 3}
{'descr': '房间卫生条件提高一下,然后就是房间里面的空气不是太好,价格倒是还可以,地理位置还是比较让我满意的,其他方面也什么了,都挺好的.', 'star': 3}
{'descr': '酒店的周边环境还是不错的,而且交通位置也很方便,价格也比较适中,还是值得推荐的.', 'star': 5}
{'descr': '酒店的周边环境还是不错的,而且交通位置也很方便,价格也比较适中,还是值得推荐的.', 'star': 5}
