{'短评内容': '挺好的吧。', '短评打分': 5}
{'短评内容': '一样的如家风格，很喜欢，到那里只要有如家都会是首选，饭菜挺合口，如果水果多些就更好了。', '短评打分': 3}
{'短评内容': '收到！很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错！', '短评打分': 3}
{'短评内容': '虽然很小，但很干净温馨...服务态度也很好，还不错', '短评打分': 3}
{'短评内容': '还不错，房间挺干净的，就是小了点', '短评打分': 3}
{'短评内容': '南阳目前唯一的如家，我住的带窗户的特惠大床房，发现窗户只是摆设，外边是封死的过道，上面有个日光灯来代替日光，嗯.....挺像的', '短评打分': 5}
{'短评内容': '过年出差住在哪里，还可以吧，就是住进去时，网络有问题，不能上网咯，她们积极监测甚至调换房间，还是没有解决问题，谢谢了！', '短评打分': 5}
{'短评内容': '还不错，经济实惠', '短评打分': 3}
{'短评内容': '房间实在是太小了  位置还可以  而且通过网上预订没便宜多少 有点言过其实', '短评打分': 1}
{'短评内容': '卫生间不错，网速也很给力，只是房间确实有点小。', '短评打分': 5}
{'短评内容': '环境不错，而且出的地理位置也很好，满分', '短评打分': 3}
{'短评内容': '设施很不错，比较新，但就是房间太小', '短评打分': 3}
{'短评内容': '房间特别吵，还有小姐半夜给房间打电话，恶心死了。选择别的酒店吧', '短评打分': 1}
{'短评内容': '总体上，还算可以吧，但是各别房间非常的吵！', '短评打分': 5}
{'短评内容': '挺不错的，房间还算宽敞。就是吧，晚上会有骚扰电话和发小图片的。。', '短评打分': 5}
