{'descr': '酒店服务很好，定房很方便', 'star': 5}
{'descr': '酒店房间很大很干净，离湖南路的狮子桥也很近，打的的话一个起步费，走过去10-15分钟就可以了', 'star': 5}
{'descr': '房间还行，地理位置交通方便，离湖南路上附近的步行街不远。', 'star': 5}
{'descr': '＋被子太薄是夏被，南京五度啊，空调出风口是冷风，没有热风设置，其他都好', 'star': 3}
{'descr': '被子 枕头很旧 一股油油的味道', 'star': 3}
{'descr': '一般情况还好,就是不供应早饭,地理位置不太好,很难找!', 'star': 5}
{'descr': '1，电视太老化。\n2，建议更换电视的同时，增加无线网络，便于客人上网。', 'star': 1}
{'descr': '环境蛮好的，晚上睡觉很安静，不会吵，性价比还是蛮不错的，就是不太好找', 'star': 5}
{'descr': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', 'star': 5}
{'descr': '挺安静的，价格还算合理，就是枕头不太干净，建议每日更换枕套及被单', 'star': 5}
{'descr': '总体一般，周边环境一般，没有什么其他东西', 'star': 5}
{'descr': '亮点是交通便利。不过隐藏在大厦背后么...不是很好找\n房间有点潮、隔音一般吧，能听到隔壁ooxx的声音--..\n不过总体还是挺满意的', 'star': 5}
{'descr': '房间内感觉潮湿，酒店位置还算可以，就是门口不是很明显，在小巷里面，第二天就换了宾馆。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '年代有点久远了................................................................................', 'star': 1}
{'descr': '还不错，就是有点旧了,离办事处比较近所以选择这里···································································', 'star': 5}
{'descr': '比较方便,服务也不错。下次还是会去住的。', 'star': 5}
{'descr': '酒店位置挺好的，离我朋友家非常近，酒店设施相对老了些，但是还是比较干净，比较舒服！', 'star': 5}
{'descr': '性价比还可以的，就是房间刚进去有点味道，卫生间有点小，淋浴的地漏堵塞，早上没有早餐，好像和其他的格林豪泰不一样。周边吃饭，交通打的地铁，商场都挺方便，去火车南站打车20分钟，汽车东站也20分钟左右。', 'star': 5}
{'descr': '房间还可以，就是不喜欢一个大镜子正对着床，卫生间有点小，空调声音有点大。周边交通，吃饭都很方便。', 'star': 5}
{'descr': '房间比较宽敞，卫生设施也还可以。就是房间墙壁上比较脏。', 'star': 5}
{'descr': '方便，周围有很多小吃店。环境一般，快捷酒店还行吧', 'star': 5}
{'descr': '非常差，服务非常不好，价格也不便宜，关键是毛巾也不是很干净，晚上还不给开空调，需要打电话才给开,因为空调问题没睡好，想延时交房1个小时居然被拒绝。卫生间也很不好，跟其他格林豪泰不一样', 'star': 1}
{'descr': '住的标准间,环境感觉还不错,就是房间不隔音,走廊里说话听得一清二楚.', 'star': 5}
{'descr': '位置很方便，内部设施还不错，要是有早餐就更好了。', 'star': 5}
{'descr': '晚上不知道有什么声音，可能是附近施工的声音，其它都好', 'star': 5}
{'descr': '朋友要去南京大学办事，就帮他们定了这家。价格不算便宜。一切还ok啦。', 'star': 5}
{'descr': '交通比较便利，服务也不错，距离南京大学很近，可以顺便体验一下校园风情，值得推荐。', 'star': 5}
{'descr': '地理位置还可以，就是没有餐厅就是很不方便了，服务还可以的', 'star': 5}
{'descr': '地理位置很好，挨着鼓楼医院，离地铁站和公交车站都很近。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '位置不错', 'star': 3}
{'descr': '挺旧挺简陋', 'star': 3}
{'descr': '位置有点偏僻，打车过去，司机都找不到的 ！房间设施很旧，床也不是很舒服！\n', 'star': 1}
{'descr': '位置还不错，价格也合理。房间显得有些旧，卫生一般。', 'star': 5}
{'descr': '好像是以前的单位宾馆改造的，地理位置不错，就是门脸不好找。附近吃东西和逛街都挺方便。', 'star': 5}
{'descr': '鼓楼附近很方便，设施还行，价格也实惠，出差住挺好。值得推荐。\n', 'star': 5}
{'descr': '挺实惠的，附近很方便吃东西。就是门口的标识满不显眼的，差点没找到。', 'star': 5}
{'descr': '地理位置很方便，小巧但是实惠，普通出差一两天住住挺好的。', 'star': 5}
{'descr': '房间小，设施旧点，不过离南大商学院比较近，价格相对低，经过的小巷早餐比较丰富。', 'star': 5}
{'descr': '不像09年的酒店，太旧了，不住了，而且晚上很冷，连个转换插头都没有', 'star': 1}
{'descr': '帮领导预订，据说不错～下次还会推荐别人来', 'star': 5}
{'descr': '不错。挺好的,  房间不错，就是浴室下水道水下不去。', 'star': 5}
{'descr': '距离南京大学很近，服务态度不错，但房间隔音效果差，标准房间无茶几及座椅。不太方便，热水很好。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '还好！', 'star': 3}
{'descr': '地方比较难找 不过房间挺大的', 'star': 3}
{'descr': '位置比较偏，门口的标识很难看到。我找的累死了。。。住宿条件还不错，我定的是大房，那天外面比较冷，晚上空调开成一档，感觉里面就很暖和了。内部设施比较简单，符合快捷酒店的一般标准。', 'star': 5}
{'descr': '很干净，位置好，交通便利又不嘈杂，下次还会光顾。', 'star': 5}
{'descr': '第一次住格林豪泰酒店，感觉不错，比别的经济性酒店好，就是房间不够温馨，值得推荐', 'star': 5}
{'descr': '交通方便 服务业不错  很安静 但是就是房间有点低  不知道是不是我住的那个房间这样', 'star': 5}
{'descr': '我个人非常喜欢。不错的酒店。还可以。。。。', 'star': 5}
{'descr': '交通比较方便，房间安静，但预定时一定不要订没有窗户的房间，异味太大，除此之外，性价比合理', 'star': 1}
{'descr': '不错的酒店 就是房型不太好哦 \n酒店电梯一般 ', 'star': 5}
{'descr': 'very good ', 'star': 3}
{'descr': '还可以。还可以。还可以。还可以。还可以。还可以。还可以。还可以。还可以。', 'star': 5}
{'descr': '南面豪华大床房。太吵了，没法入睡。', 'star': 3}
{'descr': '在南京市城区，性价比还是可以的，但稍麻烦一点的就是离这家酒店步行大约二十分钟的中上还有另一家格林豪泰，去的时候一定要分清楚。', 'star': 5}
{'descr': '酒店的位置不错。环境清净，在鼓楼医院北院后面。酒店距离狮子桥和湖南路很近，步行5分钟即到。', 'star': 5}
{'descr': '房间够大，但床硬邦邦的，睡着不舒服。数字电视超级难调。我们四个南大的MBA都感慨，调个电视频道，简直像刘姥姥玩电脑。', 'star': 5}
{'descr': '地点离鼓楼地铁站很近，去南京大学比较方便，各方面都不错。', 'star': 5}
{'descr': ' 酒店位置很好，很中心，服务人员很有礼貌，主动帮助我们停车等，很热情，房间设施很齐全，下次还会来住。', 'star': 5}
{'descr': '酒店正对马路方，前面是一个不知什么的设施，晚上开机到约2点，停了之后旁边一个小风机，反正一直到早上5点左右，非常吵。窗户虽然是2层玻璃，但是还是吵得厉害。', 'star': 1}
{'descr': '如果是安排客户入住的话，感觉不是很合适，首先它的正门在一个小胡同里，而且大厅基本算是没有，前台还挺算，摆着好多东西，房间还是挺干净的，晚上也很安静。服务很一般，也不知道提醒要发票，也不给叫出租车，连买杯啤酒都没地买。', 'star': 1}
{'descr': '距离鼓楼很近，交通方便，设施不错，比较干净，', 'star': 5}
{'descr': '很遗憾，我没有入住，因为有亲戚来车站接，坚持要去他家住。', 'star': 5}
{'descr': '环境还行，地方不太好找。', 'star': 5}
{'descr': '服务态度很好，能够为客户考虑，推荐！服务态度很好，能够为客户考虑，推荐！服务态度很好，能够为客户考虑，推荐！', 'star': 5}
{'descr': '环境不错，卫生挺好', 'star': 5}
{'descr': '地理位置相当好，离狮子美食街就5分钟路程（走路）。房间比想象中大且干净，服务也不错。', 'star': 5}
{'descr': '没有值得推荐的地方，电视机非常复杂，需要服务员反复教才会使用，上网也上不去，住宿环境也不好。关键是大热的天让我们反反复复几趟才找到，那种狼狈象让人心中火起。', 'star': 1}
{'descr': '卫生和地理位置都不错，但是前台服务不是很好', 'star': 5}
{'descr': '干净,卫生,酒店的位置非常好,服务也不错.有机会还来住这家酒店.', 'star': 5}
{'descr': '如果有早餐服务更好', 'star': 5}
{'descr': '前台服务感觉不好。', 'star': 5}
{'descr': '服务不怎么样', 'star': 1}
{'descr': '房间挺大 位置也不错  就是房间有点异味', 'star': 3}
{'descr': '挺幹凈整潔，交通很便利', 'star': 5}
{'descr': '位置不错，但卫生不是太好。', 'star': 5}
{'descr': 'good', 'star': 5}
{'descr': '地理位置好，方便。酒店干净。', 'star': 5}
{'descr': '交通比较方便，吃饭可以去湖南路美食一条街。', 'star': 5}
{'descr': '位置不错，但没有早餐厅挺不方便。', 'star': 5}
{'descr': '一般！', 'star': 3}
{'descr': '洗手间积水比较严重！', 'star': 3}
{'descr': '183的房间没有窗户，实在有些受不了。。。', 'star': 1}
{'descr': '位置不错，闹中取静。', 'star': 3}
{'descr': '环境可以。', 'star': 3}
{'descr': '值得推荐！', 'star': 5}
{'descr': '离南大很近 很方便', 'star': 5}
{'descr': '晚上挺安静的，房间也比较大', 'star': 5}
{'descr': '还不错的酒店，主要位置比较好，去湖南路吃方便', 'star': 3}
{'descr': '位置不错的酒店，一贯格林豪泰的风格', 'star': 5}
{'descr': '酒店位置非常好，靠近鼓楼地铁站，有很多公交，设施非常新，值得推荐', 'star': 5}
{'descr': '前台的接待态度太差，电梯也不行，透气也不好，总体的看一般般', 'star': 1}
{'descr': '去南大很方便,穿过巷子就到了.', 'star': 5}
{'descr': '房间里能提供有偿使用的商品就更好了', 'star': 5}
{'descr': '位置不错', 'star': 5}
{'descr': '\u3000\u3000这家店我喜欢的原因是位置很好，到哪里去都非常方便，而且旁边的小吃也很地道！网速很好，服务态度也不错！不好的地方是隔音效果不是很好，几乎是可以跟门外的人直接对话的！总体来说还是不错的！~值得推荐！~', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '酒店还不错，不过没开车去，比较难找到', 'star': 5}
{'descr': '只推荐豪华大床间。原来预定的是标间，谁知距离水塔很近，非常吵！前台并告知所有标间离水塔的距离都差不多。换为豪华大床间，各方面都还不错的。', 'star': 5}
{'descr': '除了没早餐其它都不错', 'star': 5}
{'descr': '交通还行  房间整洁  ', 'star': 5}
{'descr': '服务态度还不错，性价比一般', 'star': 5}
{'descr': '靠近南大南师大 考试比较便利', 'star': 3}
{'descr': '南大旁边考托福很方便', 'star': 5}
{'descr': '地理位置比较好，装修比较新。唯一缺点是酒店无法提供早餐。前台说酒店楼上是人事局，不然开火做饭的，所以无法提供早餐。不过出酒店左拐的小巷子有很多小吃店。', 'star': 5}
{'descr': '去南大考托福住在该店，干净卫生方便。不错！', 'star': 5}
{'descr': '我很喜欢这家酒店,出行很方便,房间的卫生和设施方面也都不错,住着很舒适,是一家性价比比较高的酒店.', 'star': 3}
{'descr': '总体来说还可以，设施比较完善，地理位置交通方便，就是酒店内部在装修，有油漆味，服务蛮好的热情周到，下次还会入住', 'star': 3}
{'descr': '我感觉这家酒店有点不太好，房间的设施简单陈旧，卫生还行，服务还可以，整体感觉性价比很一般', 'star': 3}
{'descr': '总体感觉满意但设施简单了一些', 'star': 5}
{'descr': '卫生服务方面做的都非常好,打扫的很干净,位置也不错,出行都很方便,就是设施上有点陈旧了.', 'star': 3}
{'descr': '我们去的时候很冷但是酒店不开空调很冷,其它还都可以.交通很方便.', 'star': 3}
{'descr': '空调不但不热 开了还反而冷 没话说了', 'star': 1}
{'descr': '住的很舒适！下次去南京还选择在那！', 'star': 5}
{'descr': '酒店是新开业的，但是应该是旧楼重新装修的，所以并不感觉很清新。位置很好，离湖南路和鼓楼很近，交通很便利。但是就是比较难找，房间有味道。', 'star': 1}
{'descr': '硬件条件与新街口orange快捷之类的比很一般，', 'star': 5}
{'descr': '11月14号入住的。婆婆冷死了，没有空调。还好可以送条被子', 'star': 5}
{'descr': '位置还是挺好找的出行也挺方便,房间的卫生和设施方面还是挺满意的,价格也很合适,还是比较满意这家酒店的.', 'star': 3}
{'descr': '由于到鼓楼医院北院办事，酒店就在医院旁边，图方便选择该酒店，价格较南京地区入住过的几家都高，又不能使用消费券不说，关键是房间卫生间下水味道太重，整个房间异味太重，换了一次房还是没有太大好转，被熏了一天，只有在晚上整栋楼用水高峰时舒坦了几个小时。', 'star': 1}
{'descr': '酒店的设施、服务、地理位置都很好，交通也便利，唯一一个不好的就是房间的隔音效果很差，睡了一晚还失眠了，哎。。。', 'star': 5}
{'descr': '服务员态度挺差的,房间的设施和卫生也是挺好的,位置还可以,价格还是挺贵的,总体还是比较不错的,就是那个服务态度要是改善一下就好了', 'star': 3}
{'descr': '可以', 'star': 5}
{'descr': '蛮好', 'star': 5}
{'descr': '酒店的洗手间不好，如果洗澡的话不小心水就会流到地面上，地面有些滑不小心就会摔倒，其他的都没有问题，只是担心这个问题呀，设计的不是很合理吧！', 'star': 3}
{'descr': '推荐很不错', 'star': 5}
{'descr': '卫生还不错,房间感觉有些压抑,设施还算可以.', 'star': 3}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', 'star': 3}
{'descr': '酒店的服务卫生以及设施都还可以的，酒店的位置以及交通都很好的，性价比不错的酒店。', 'star': 3}
{'descr': '酒店房间里面的空调太吵了向发动机一样,吵的没法好好休息,位置比价好,性价比一般.', 'star': 1}
{'descr': '开车去，兜了圈子才找到。在巷子里面。\r\n借用别的大厦，电梯也很差，大堂也很差。豪华大床房都不送矿泉水。还是地板不是地毯。\r\n下次不会去住了。还是御道街店好一些。', 'star': 1}
{'descr': '整体感觉还可以，价格很优惠，就是房间里淋浴的花洒不好用，位置因为在鼓楼附近环境有点吵，服务需要改进，我当时向服务人员借用吹风机使用，他们本来是有的，等我把进房间后，就听到一个人让服务员告诉我说，“你就告诉她没有吹风机”这种服务很不好，我觉得不如格林豪泰（南京御道街店）服务和条件', 'star': 1}
