{'短评内容': '不错很好 很多很好', '短评打分': 5}
{'短评内容': '装修简洁前卫，果然像KTV改造的，入住时人不多，没体会到隔音设施怎么样，180X200的大床睡起来很舒服，因为是无窗房，住着有些闷，这个价格很实惠了，比直接去酒店订便宜不少。桌上的零食，橱子里的饮料价格都还可以，比超市略贵1,2块，懒得出去的时候还是很方便的。', '短评打分': 5}
{'短评内容': '装修很时尚，卫生也很干净，价格在北京应该说属于性价比比较高的宾馆。', '短评打分': 5}
{'短评内容': '比较安静，房间有点小，设施挺齐全，经济型，卫生干净。。。。', '短评打分': 5}
{'短评内容': '服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.', '短评打分': 5}
{'短评内容': '服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.', '短评打分': 5}
{'短评内容': ' 环境没得说，太好了', '短评打分': 3}
{'短评内容': '唯一觉得方便的就是有个免费的停车场，明明住了两晚只给我确认了一晚。', '短评打分': 1}
{'短评内容': '地方还可以。。。服务质量不敢恭维。。。地方比较小。。隔音一般。。。\n我家人住。。。纸巾要钱，茶叶包要钱。。。还好我们都自带不用酒店东西\n一个坏的香烟缸，非说我们弄坏的 要我们陪20元。。。最后没有赔 不了了之 \n马桶座便器坏了，刮伤屁屁  你们怎么不赔钱。。。\n服务态度也一样的不好。。。\n以后也不打算去了。。。  住的以来 最不好的酒店', '短评打分': 1}
{'短评内容': '房间较小，不过设施还可以。', '短评打分': 3}
{'短评内容': '服务态度很好，房间环境也还不错，交通比较便利', '短评打分': 5}
{'短评内容': ',酒店硬件还可以，比较新，干净整洁舒适，服务态度也很热情。就是隔音效果不好，地处偏僻，不太好找。总体感觉不错。', '短评打分': 3}
{'短评内容': '挺不错的价格合理，也很卫生。24小时热水也不错。就是灯光不太亮哦', '短评打分': 5}
{'短评内容': '只能说优缺点都有了，优点：房间内的装修还不错是我喜欢的类型。缺点：信用卡担保的竟然能给取消了，不管是哪边的原因，这种事我觉得是不应该发生的！房间忒小，虽说介绍上说了13平可也太小了，只有放一张床的地方，衣服都没地方挂！隔音效果特别差，走廊里说话房间听得特别清楚、早上特别吵，服务员说话声音很大都不考虑顾客的感受、隔壁房间的水管声音也特别大，住了几天都没休息好！服务态度不咋滴，房间内缺的东西催了三次才', '短评打分': 1}
{'短评内容': '挺满意，就是有点偏僻，而且隔音效果不怎么好。挺干净，适合出门在外的人入住。价格也合理。而且服务员每天都会给打扫。就是服务员好像太勤快了，我们还在睡觉她就一直敲门，把我们吵醒又说进错房间了。要是下次去北京，还会去。', '短评打分': 5}
{'短评内容': '房间隔音特别差，走廊声音听的一清二楚，隔壁房间放水的声音也听得特别清楚，严重影响休息。房间以前不知道干嘛的，有一扇透明的玻璃门，用一个塑料布挡上了，走廊的光能透进来。服务员特别没素质，都还没确认房间有没有人，直接就进房间，让打扫卫生也是，洗漱用品不换，卫生也不打扫，铺了被子就完事。绝对不会再去了。', '短评打分': 1}
{'短评内容': '房间隔音特别差，走廊声音听的一清二楚，隔壁房间放水的声音也听得特别清楚，严重影响休息。房间以前不知道干嘛的，有一扇透明的玻璃门，用一个塑料布挡上了，走廊的光能透进来。服务员特别没素质，都还没确认房间有没有人，直接就进房间，让打扫卫生也是，洗漱用品不换，卫生也不打扫，铺了被子就完事。住了两天，特别不舒服。绝对不会再去。而且退房的时候，衣服落在房间了查房的人也没说。都是走了之后才想起来的。特别气愤。', '短评打分': 1}
{'短评内容': '总体还行', '短评打分': 3}
{'短评内容': '环境还不错 房间灯是声控的挺灵敏 一点声就亮 房间比较小很温馨', '短评打分': 3}
{'短评内容': '开始房间有下水道味儿, 后来换了一间. 房间还好, 前台服务像5流小旅店:)', '短评打分': 3}
{'短评内容': '除了隔音效果不好意外....其他都很满意~ 很温馨的房间...服务态度也特别好。。值得推荐！', '短评打分': 5}
{'短评内容': '不错. 就是晚上空调遥控找不到.幸亏不太冷！', '短评打分': 3}
{'短评内容': '便宜！但地沟味很大，隔音很差=几乎没有！', '短评打分': 5}
{'短评内容': '宾馆很新，房间很小但是电脑冰箱都有，物资丰富，虽收费但确实方便，前台不太专业，做了信用卡担保都能取消房，还好有空房。', '短评打分': 3}
{'短评内容': '房间里装修味道太浓了', '短评打分': 3}
{'短评内容': '就是附近没有地铁，房间不错的。价格也便宜。服务态度不错。', '短评打分': 5}
{'短评内容': '果然它得前身就是个ktv，就是有点小。不过还好。周围交通比较便利。挺不错', '短评打分': 3}
{'短评内容': '环境很好，就是有点小，不过总体来说还是可以的！', '短评打分': 3}
{'短评内容': '环境很好、值得入住！', '短评打分': 3}
{'短评内容': '我先说说优点，环境设施我都很满意，价格很便宜，我再去北京，我还在禧龙住，缺点:\n卫生间没有卫生纸，难道非让我们用纸抽吗？（纸抽5元）我希望你们宾馆能改一下。', '短评打分': 5}
{'短评内容': '走廊里真有点像KTV包房，房间有点儿小，没有挂衣服的地方~零食、饮料什么倒也齐全，都是另外收费的~卫生间地漏有点儿吓人，不知道是眼儿小还是下水慢，洗着洗着就漫过脚面了~声控灯也很逗，忽闪被子的时候就能亮，咳嗽几下反而不管用了~床还算舒服吧~挺大的', '短评打分': 5}
{'短评内容': '房间挺好 就是空间小了点 位置和价位还可以', '短评打分': 5}
{'短评内容': '离北京站挺近的，而且环境还不错，很干净，再去那附近的话还会选择这家的', '短评打分': 5}
{'短评内容': '价格还算经济实惠，但是不知道为什么客人都到店了才开始打扫房间，之前就联系好了到店时间为什么不提前打扫好，还让客人等十几分钟感觉很不舒服，希望以后不会出现这样的情况，其它还好，客人最想要的就是安全、干净、卫生', '短评打分': 5}
{'短评内容': '很好,干净整洁,在北京这个城市具超高性价比,要求大空间的请慎重选择,虽然小点但对得起这个价位', '短评打分': 5}
{'短评内容': '我的客人反应房间不是很安静，有点像卡拉OK包房。其他还可以，尤其是价格不错。', '短评打分': 5}
{'短评内容': '凑合，不好找呀呀呀呀 其他的还一般可以的', '短评打分': 5}
{'短评内容': '位置不错，离北京站近，但是房间稍微小了一点', '短评打分': 5}
{'短评内容': '总体不错，价格便宜，就是房间小，灯光开关在脚下，关开灯不方便！', '短评打分': 5}
{'短评内容': '房间还不错，氛围比较好，浪漫。就是不好找，也有点小。卫生还可以，还有早餐。', '短评打分': 5}
{'短评内容': '房间设施不错，但大床房间的面积有些小，活动空间不够。如要乘坐火车，或去天坛公园，这个酒店的位置应该说非常不错。强力推荐！', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 3}
{'短评内容': '  总体还不错 。服务态度有待加强。位置也还不错', '短评打分': 5}
