{'短评内容': '太吵了太吵了真的真的太吵了，完全睡不着', '短评打分': 5}
{'短评内容': '处于市中心，去哪儿都方便。房间不错。不过就是停车不方便', '短评打分': 5}
{'短评内容': '价格适中 环境还不错 值得推荐 有服务很方便', '短评打分': 5}
{'短评内容': '酒店还可以，但是前台工作人员的态度不敢恭维。服务态度有待提高。', '短评打分': 3}
{'短评内容': '交通很便利，环境也不错，早餐也还是可以。总体来说还是很满意的。唯一不太好的是比较临街，有点吵', '短评打分': 5}
{'短评内容': '位置挺好，出行便利，宾馆有餐厅，网速也挺好，就是房间窗户隔音不好，房间的衣钩都是贴着墙的，挂湿毛巾衣服什么的感觉不太好，住着基本满意，推荐一个。', '短评打分': 5}
{'短评内容': '住了了好几次了，挺不错的！', '短评打分': 3}
{'短评内容': '位置挺好，出行便利，宾馆也有餐厅，网速也挺好，就是房间窗户隔音不好，外边挺吵的，房间的衣钩都是贴着墙的，挂湿毛巾衣服什么的感觉不太好，150的价格稍显贵，住着基本满意。', '短评打分': 5}
{'短评内容': '住的大床房，还挺不错的，这次热水不错，就是电视信号不好，雪花严重啊', '短评打分': 5}
{'短评内容': '连锁都是这个样子，住习惯了，还算满意。提几个小问题：1 可能是夏天吧，房间发现小虫子，被我打死了。 2 淋浴热水不够热啊，开到头了也就是温乎，夏天还好，冬天咋办？ 3 有线电视效果太差，每个台都有雪花。 ', '短评打分': 5}
{'短评内容': '房间很大，设施齐全，不错，不错。', '短评打分': 5}
{'短评内容': '性价比还是比较高的，下次继续入住！', '短评打分': 3}
{'短评内容': '还不错，卫生挺干净，毛巾很白很软，临街可听到车声和叫卖声， 但是不至于影响睡觉。这个价位来说，早餐应该更丰盛一些就更好了。', '短评打分': 5}
{'短评内容': '交通方便，酒店衛生環境一般，價格實惠，值得推荐。', '短评打分': 5}
{'短评内容': '和前两次入住相比，本次是最差的，桌子上居然还有烟灰没打扫干净，今天太晚了，找个时间把照片上传了。', '短评打分': 1}
{'短评内容': '装修以及环境设施都不错的，地理位置优势很明显，去哪里都很方便\n缺点：1、停车位很少，不方便；2、毛巾不干净，很旧；3、没有WIFI，\n\n总的来说 还是不错的！~', '短评打分': 5}
{'短评内容': '酒店很想不错。地理位子和环境都不很优越。准备申请莫泰会员卡了。支持！', '短评打分': 3}
{'短评内容': '莫泰的店 我哈市一直蛮喜欢的，呵呵，不错，可以。', '短评打分': 5}
{'短评内容': ' 设施不错，服务态度有待加强', '短评打分': 3}
{'短评内容': '酒店新装修，设施还不错的，地理位置优势很明显，去哪里都很方便\n缺点：1、临街的房间有点吵\n      2、毛巾不干净，很旧。好在没有用酒店毛巾的习惯\n      3、有免费宽带，但没有WIFI，对于IPAD而言就没有意义了', '短评打分': 5}
{'短评内容': '不错的酒店，比较干净，价格也适中，位置也好', '短评打分': 5}
{'短评内容': '还是可以就是涨价了现在。！！！！！！！！！！！                ', '短评打分': 5}
{'短评内容': '还可以，基本祸害可以性价比不错 值得推荐 就是房卡那东西有点麻烦。', '短评打分': 5}
{'短评内容': '整洁、干净、方便，很满意！', '短评打分': 3}
{'短评内容': '住了很多次了，这酒店性价比在内江算不错了。', '短评打分': 5}
{'短评内容': '环境不错，空调老好了', '短评打分': 3}
{'短评内容': '酒店还可以，但是不好停车。而且很吵。楼道上面有人讲话就听得很清楚，隔音不好', '短评打分': 1}
{'短评内容': '在市区繁华地带，吃饭， 买东西都挺方便的。看起来也比较卫生，干净。', '短评打分': 5}
{'短评内容': '地理位置很好，性价比不错。周边属于老城区吃饭要费些功夫', '短评打分': 5}
{'短评内容': '内江算比较好的酒店了，经济型的。物有所值。房间大，干净，就是有点吵哦。', '短评打分': 5}
{'短评内容': '不好，真的不好，除了位置没有什么好的。比锦江之星，如家之类的快捷酒店差很多。', '短评打分': 1}
{'短评内容': '环境很干净，设施很齐全，交通很便利，非常不错的 \n', '短评打分': 5}
{'短评内容': '还可以，位置很好，床也不错，就是不太隔音，走廊上的声音太大', '短评打分': 5}
{'短评内容': '还可以，网速很快...............', '短评打分': 5}
{'短评内容': '很不错的酒店，物美价廉，这次是第二次来住了，', '短评打分': 5}
{'短评内容': '酒店在市中心，房间宽敞，比较干净，桔色的装饰很醒目，不足是没有衣柜。', '短评打分': 3}
{'短评内容': '虽是第一次入住，但感觉环境不错，交通也很方便，卫生蛮好', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比很高，下个月去内江还住那！', '短评打分': 5}
{'短评内容': '位置很好，就是停车很困难，室内设施一般，总的来说还是不错\n', '短评打分': 5}
{'短评内容': '总体来说还是不错，价格合理，服务周到，地理位置好，自己旅行是可以选择。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，干净便宜，推荐去住噢噢噢噢噢。很不错的酒店，干净便宜，推荐去住噢噢噢噢噢。很不错的酒店，干净便宜，推荐去住噢噢噢噢噢。很不错的酒店，干净便宜，推荐去住噢噢噢噢噢。很不错的酒店，干净便宜，推荐去住噢噢噢噢噢。', '短评打分': 5}
{'短评内容': '不错，性价比高，早餐差点······不错，性价比高，早餐差点······不错，性价比高，早餐差点······不错，性价比高，早餐差点······不错，性价比高，早餐差点······', '短评打分': 5}
{'短评内容': '环境还是可以的，周边环境很好，旁边就是肯德基，就餐很方便，而且在市中心，想逛街的话走路就可以了，总的来说还是很好啊，满意了~·', '短评打分': 5}
{'短评内容': '房间干净，还会光顾；希望下次能用上无线网络；', '短评打分': 5}
{'短评内容': '拖鞋太小其他还行', '短评打分': 3}
{'短评内容': '还是不错，价格合理。', '短评打分': 3}
{'短评内容': '还不错啦 圆床还行 即使有点硬 其他还不错 前台可以', '短评打分': 5}
{'短评内容': '性价比比较高，但是餐厅才差了，要的菜都没有，既然没有，就别在菜单上写那么多。', '短评打分': 5}
{'短评内容': '地理位置在老城中心，酒店前台服务很好，不过餐厅服务积极性不好，餐厅卫生也不好，特别碗边有油垢，早餐品种本来就不多，8点去有一半的菜没有了，让加菜服务员都不理会，望酒店加强餐厅管理', '短评打分': 5}
{'短评内容': '位置好，性价比高。卫生也还不错，早餐很差。', '短评打分': 5}
{'短评内容': '位置在市中心，购物及吃饭都很方便，服务员的态度良好，而且服务提供的很及时。', '短评打分': 5}
{'短评内容': '还可以，性价比不错，给的房间是临街的，声音太大啦！其他还可以！', '短评打分': 5}
{'短评内容': '外面交通方便。处于市中心，喜欢购物的朋友可以选择住在此，晚上外面宵夜隔得很近，味道很好，里面隔音效果不是很好，住在里面还是很舒服的，', '短评打分': 5}
{'短评内容': '环境不错。。住着很舒服。。就是靠近大街了。。不过哈是赞一个。', '短评打分': 5}
{'短评内容': '地理位置好  环境不错  餐厅也可以  隔音效果一般', '短评打分': 5}
{'短评内容': '长住客了比较满意', '短评打分': 3}
{'短评内容': '吃饭中午一点钟跑去就被告之下班了，周围交通不方便---还要下地道的', '短评打分': 1}
{'短评内容': '地处繁华，但是还算是较安静的，可上网，房间还是比较干净的且还送早餐，比较划算的！', '短评打分': 5}
{'短评内容': '这家酒店的服务很不好。。我一大早就去询问有房没，居然说没房。然后我通过ELONG预定。半个小时就有房。。。太冷淡了。。。再也不会去住这家酒店', '短评打分': 1}
{'短评内容': '就在当地的中心地带，早餐还可以，基本的都有，房间也不错', '短评打分': 5}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '还可以，不过圆床房感觉也就是那样 和大床房就是床不一样~~~其他的还可以~~~~~~~~', '短评打分': 5}
{'短评内容': '价格不错,清洁度不够.卫生间的气味要弄一弄.', '短评打分': 5}
{'短评内容': '位置还可以，就是周边环境太吵了，不太好打车', '短评打分': 5}
{'短评内容': '房间比较干净，但靠近街道，较吵闹', '短评打分': 3}
{'短评内容': ' 还可以', '短评打分': 3}
{'短评内容': '可以，早餐很早就没有了。', '短评打分': 3}
{'短评内容': '商务房一都还行.但热水不够热...', '短评打分': 3}
{'短评内容': '卫生很差，在墙上有明显的不明黑色物体，床上以及床单上还有残留的头发和其他东西。并且预定了8点半的叫醒服务，结果10点的时候才打电话过来。', '短评打分': 1}
{'短评内容': '非常好！', '短评打分': 3}
{'短评内容': '酒店感觉好，卫生也不错，比较人性化；美中不足就是停车，大门在上坡的地方，是个单行道，停下车去问停车场，后面堵了一串，问了才知道没有专门停车场，准备换个地方住的时候，酒店主管说上面有个公共停车场还有位置，可以停了酒让报停车费，停车比较曲折。', '短评打分': 5}
{'短评内容': '干净  舒适  交通挺好的  方便~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '交通便利视野比较好，附近吃的也多。房间设置也不错，喜欢卫生间的设计。只是退房的时候速度过慢。', '短评打分': 5}
{'短评内容': '很不错，一再停留！\n\n呵呵   \n\n这家店住的真久。', '短评打分': 5}
{'短评内容': '继续支持，希望做的更好。\n\n商务大床房很不错。', '短评打分': 5}
{'短评内容': '再一次入住，这次的水不够热！\n\n其他还是可以的。', '短评打分': 5}
{'短评内容': '酒店位置好，干净卫生，服务态度热情，上网速度快，适合商务人士', '短评打分': 3}
{'短评内容': '酒店处在市中心,周围有肯德基,吃东西便利。', '短评打分': 5}
{'短评内容': '卫生不错，服务不错。\n\n内江出差首选。\n\n希望生意更好\n\n', '短评打分': 5}
{'短评内容': '出差的好选择，附近也很热闹。\n\n隔音还可以!', '短评打分': 5}
{'短评内容': '很不错，前台服务不错，就是比较忙！\n\n早餐属于一般。', '短评打分': 5}
{'短评内容': '房间很干净，很舒服，适合出差商务', '短评打分': 3}
{'短评内容': '干净舒适，位置好。美女服务不错。包含早餐', '短评打分': 5}
{'短评内容': '交通方便，不错的，就是室内的硬件需要进一步加强！', '短评打分': 5}
{'短评内容': '经济实惠，房间整洁干净，比较适合商旅人士。 交通也算比较方便。', '短评打分': 5}
{'短评内容': '环境不错，服务到位，干净卫生，离市区近，交通方便', '短评打分': 5}
{'短评内容': '还可以，位置也不错，楼下肯德基 苏宁百货什么都有 下次去还考虑这家 ', '短评打分': 5}
{'短评内容': '设施比较新\n逛街餐饮娱乐各个方面都很不错！\n 推荐入住！', '短评打分': 5}
{'短评内容': '非常满意··\n房间很干净··也没有味道\n下次去还要选择那里', '短评打分': 5}
{'短评内容': '挺不错的，卫生方便，态度也不错，就是停车不方便！', '短评打分': 5}
{'短评内容': '性价比比较高；餐厅很好；价钱好，服务也很好', '短评打分': 3}
{'短评内容': '无有所值,房间干净,价格实惠,我以后还要住...', '短评打分': 3}
{'短评内容': '   很好性价比较高', '短评打分': 5}
{'短评内容': '位置和硬件设施都不错,只是临街的房间比较嘈杂.', '短评打分': 3}
{'短评内容': '酒店位置挺好，楼下就有个KFC，只是打扫不太及时。推荐入住。', '短评打分': 5}
{'短评内容': '还挺好的，位置好，服务卫生各方面都不错，很新。', '短评打分': 5}
{'短评内容': '+性价比高！', '短评打分': 5}
{'短评内容': '价格合理服务周到房间简约干净卧具舒适。', '短评打分': 5}
{'短评内容': '酒店房间很新，装修也挺漂亮的。不过有两点不是太满意，一是房间隔音不好，早上我被隔壁的手机闹钟给闹醒了，隔壁洗澡的水声哗啦哗啦的也听的很清楚，索性隔壁的人没有大声讲话；二是停车很难，没有专门的停车场，只能停在酒店门口的街上，而且据酒店的人说，总共只有10个车位。', '短评打分': 5}
{'短评内容': '该酒店位于市中区，房间内的设计时尚，设施新，也很干净，性价比高，但有一点不足，就是靠大街那排房间，听的到马路上的声音，有点吵。', '短评打分': 3}
{'短评内容': '酒店性价比蛮高的，比较适合出差的朋友入住，店里有自动麻将机的房间，可以娱乐一下，其他条件都还可以', '短评打分': 5}
{'短评内容': '酒店环境挺好的房间还不错但是可能因为是新装修过的所以里面还是有点味道，位置还是也很方便就在市中心，性价比还是蛮不错。', '短评打分': 5}
{'短评内容': '这里位于市中心，出行很便捷，卫生服务都不错，是一个性价比高的酒店。', '短评打分': 5}
{'短评内容': '环境还不错.服务还要加强.吴永华', '短评打分': 5}
{'短评内容': '酒店地处繁华的市中心，出行还是挺方便的，酒店是新开业的，房间硬件设施都还是很新的，住宿条件还可以', '短评打分': 5}
{'短评内容': '本酒店是新酒店，卫生、服务、设施感觉总体很满意，在南方环境，也不觉得潮热，总之比较舒适！价格再低点更好啦，哈哈', '短评打分': 5}
{'短评内容': '  卫生很干净，很舒适', '短评打分': 5}
{'短评内容': '卫生很干净，环境非常好，在市中心，逛街很方便，房间很别致，我很喜欢，住得很舒服，早餐也很好，员工很热情！下次还会来住！', '短评打分': 5}
{'短评内容': '没有停车位，停车还要另外找位子\r\n', '短评打分': 5}
{'短评内容': '酒店比较新，地理位置较好，性价比较好。', '短评打分': 5}
{'短评内容': '性价比还行，就是房间电视配得太差了', '短评打分': 3}
{'短评内容': '各方面都过得去，就是那电机看起来有些不太舒服，弄个液晶的嘛，哪怕小点也好噻', '短评打分': 5}
{'短评内容': '缺少商务中心，晚间有点吵。', '短评打分': 5}
{'短评内容': '服务不好，有什么事服务员不能及时响应我们，设施倒还可以，卫生一般，性价比还成。', '短评打分': 1}
{'短评内容': '位置很好的一家酒店，紧邻西南二街商业闹市区，缺点是靠马路的房间显得闹了一点。', '短评打分': 5}
