{'短评内容': '比较一般化吧', '短评打分': 2}
{'短评内容': '卫生间设施太差水流的到处都是下水也下不去房间也就一般，位置还好，价格还是高了和酒店硬件环境不是很匹配，服务还可以。', '短评打分': 1}
{'短评内容': '酒店都挺好的，价格还差不多。位置也很好找。酒店的环境倒是挺不错的。', '短评打分': 1}
{'短评内容': '房间大 设施也可以 早餐很差和这个价位比较', '短评打分': 5}
{'短评内容': '还不错 还不错 还不错 还不错 还不错 还不错 ', '短评打分': 5}
{'短评内容': '酒店环境不错，赠送的早餐和晚餐也很好，就是房间里有蟑螂。。住了一晚上遇到10多只。', '短评打分': 5}
{'短评内容': '也没有没有暖空调 但其他服务很多 也没有没有暖空调 但其他服务很多 ', '短评打分': 5}
{'短评内容': '可以入住，挺好               建议 ', '短评打分': 5}
{'短评内容': '退房的时候把房卡交与前台并通知，但是15分钟过后仍然没有完成~一问才知道没有报道房务中心~前台爱理不理~服务不是一般差劲', '短评打分': 1}
{'短评内容': '已入住临汾富世龙酒店', '短评打分': 5}
{'短评内容': '早餐很丰厚', '短评打分': 3}
{'短评内容': '房间还可以，就是前台服务太差，个个都拉着脸，没一点笑容', '短评打分': 5}
