{'短评内容': '还可以…………', '短评打分': 5}
{'短评内容': '位于乌市的第二商业中心——铁路局商圈，距离机场较近；\n房间太小，商大房型行李架仅是摆设而已，想开门就别用行李架；想用行李架就别开门；\n早餐的品种及搭配在如家里算是好的，但服务意识太差：缺的菜品添加极不及时；就餐高峰时段脏的桌子视而不见；\n员工的服务态度很好，遇到事情“请您稍等”挂在嘴边，但解决问题的效率太差。\n卫生条件中规中矩，时好时坏；\n比较可恨的是，门店在补刷油漆，网站上却不告知，气味很大。', '短评打分': 5}
{'短评内容': '总体印象良好。房间偏小。交通便利，周围有大市场和商场，购物比较方便。', '短评打分': 5}
{'短评内容': '交通方便，房间光线好，网速也可以，离我办事的地方近，离机场也近，周围有超市，商场，市场。', '短评打分': 5}
{'短评内容': '交通方便，光线好，房间质量还可以，网速也可以，周围有超市，商场，市场。还是很方便的。', '短评打分': 5}
{'短评内容': '交通方便，光线好，房间质量还可以，周围有商场，超市。', '短评打分': 5}
{'短评内容': '服务态度很好~房间也很干净的，下次还会选择这个', '短评打分': 5}
{'短评内容': '房间的一切设施都很好！24小时有热水！但房子太太太太小了···感觉是单人住还差不多呢···跟北京的如家比起来真的是小太多呢···', '短评打分': 5}
{'短评内容': '酒店的位置非常的好，附近吃饭 购物否很方便。就是房间太小了，似乎单人居住', '短评打分': 5}
{'短评内容': '房间太小，真的有点转不过身的感觉。房间24小时提供热水。其他的都一般吧。', '短评打分': 1}
{'短评内容': '这个酒店很不错，环境很优雅，就是有点小。', '短评打分': 3}
{'短评内容': '服务态度很好。', '短评打分': 3}
{'短评内容': '干净，暖气刚好！', '短评打分': 3}
{'短评内容': '还不错：\n1、房间有点小，\n2、暖气很足，洗澡的热水也很热。\n3、上网速度还可以，能达到180K左右；\n4、早餐要单独出钱，12元一位。\n5、注意如家在铁路局有两家，分别是如家铁路局店（大陆桥酒店旁）和如家铁路局北京南路店（西单商场向南走），不要弄混了。', '短评打分': 5}
{'短评内容': '一如既往的舒适，就是房间太小，空气不是很流通', '短评打分': 5}
{'短评内容': '地理条件优越、但房间有点小。', '短评打分': 3}
{'短评内容': '房间太秀真服务态度不好,不会再有下次了。', '短评打分': 3}
{'短评内容': '床很舒服，并且早餐也丰富，位置也好了，距市场,超市，夜市都很近，遗憾的就是房间太袖珍，转身都困难', '短评打分': 3}
{'短评内容': '乌鲁木齐其他酒店都14点退房，但是这家酒店是12点退房，在乌鲁木齐，12点甚至很多人还在睡懒觉呢', '短评打分': 1}
{'短评内容': '就是小点、服务态度好、干净整洁。环境好方便出行、吃喝玩乐都比较方便，旅游出行的最佳选择，下次还定此地', '短评打分': 5}
{'短评内容': '房间干净整洁、环境挺好、服务态度较好、价廉物美、就是房间小、但歇歇脚还是挺好的，我会推荐给朋友入住的。', '短评打分': 5}
{'短评内容': ',服务不错，房间收拾得很干净，房间有点小。', '短评打分': 3}
{'短评内容': '干净，卫生。服务生业务不熟悉。淋浴头冷热水管反了。网络每天都要请服务员折腾才能上。房间隔音不佳，走道稍有动静就会传入房间。价格稍高。枕头不佳，睡得不舒适。', '短评打分': 5}
{'短评内容': '酒店地理位置很方便，打车到机场才20元。吃饭也很方便。酒店很干净，服务人员很认真，下次还住！', '短评打分': 5}
{'短评内容': '单间面积不大，有点挤。环境还可以！旁边有商场也有集市，购物，吃喝很方便。', '短评打分': 5}
{'短评内容': '房间不是一般的小，而且房价也不便宜，要不是旺季订不到房真不会住那。', '短评打分': 1}
{'短评内容': '总体环境还不错，就是下面KTV晚上睡觉有点吵啊。', '短评打分': 5}
{'短评内容': '因航班原因入住时已是凌晨2点半，前台接待热情，房间布置简洁明快，卫生条件良好，感到很温馨。', '短评打分': 5}
{'短评内容': '位置挺好，房间也干净，只是最近北京路在修路，交通就更堵了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '感觉还可以，只是早晨要等到10点以后才能入住', '短评打分': 5}
{'短评内容': '服务不错。', '短评打分': 3}
{'短评内容': '房间虽然小点，很干净的感觉', '短评打分': 3}
{'短评内容': '该酒店外观醒目，房间内设置非常温馨、干净，总体服务态度较好，只是六楼的服务员服务态度较差，给此项予以差评。', '短评打分': 5}
{'短评内容': '房间装修卫生还可以，酒店的位置还行离市区比较近，价格的话在当地还是偏贵了，服务方面还是比较一般。', '短评打分': 5}
{'短评内容': '房间很好， 舒服', '短评打分': 3}
