{'短评内容': '黄村一家不错的酒店。。。普通房的价格 比商务酒店高点，', '短评打分': 4}
{'短评内容': '房间很不错，我很喜欢。', '短评打分': 3}
{'短评内容': '整体感觉很好，环境营造的也不错，就是有些硬件的质量还有待提高', '短评打分': 5}
{'短评内容': '不错，，，环境不错，很舒适 房间很大。。。\n\n下次还会去的', '短评打分': 5}
{'短评内容': '昨天忘了发了', '短评打分': 3}
{'短评内容': '很好很安心也很舒服，呵呵，下午两点也变得很人性化呢', '短评打分': 5}
{'短评内容': '前台服务态度不好。', '短评打分': 3}
{'短评内容': '挺好的。还可以，挺干净的，就是访客也要登记，迷糊', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '，谢谢您们周到的服务，您们对客人很客气，我们非常满意', '短评打分': 3}
{'短评内容': '南洋魅力', '短评打分': 3}
{'短评内容': ' 有点 贵  ，  希望 可以收拾 的 干净一切 ，其他都还行', '短评打分': 5}
{'短评内容': '服务员态度不好~环境也吵~不会再来了。地毯也不干净。', '短评打分': 1}
{'短评内容': '加码主题酒店环境很好,服务太度也很不错,非常喜欢~', '短评打分': 3}
{'短评内容': '还凑活吧，就是有些房间很不好。还有就是浴缸几乎是不能用的 ， 以为水不够热，还看到了小虫子。。。。', '短评打分': 5}
{'短评内容': ' 还不错 ，   有点贵 。  太暗了 ， 全是黄色的灯', '短评打分': 5}
{'短评内容': '还行，有点儿贵。   设备卫生在跟新跟进一下就好   淋浴蓬头不好', '短评打分': 5}
{'短评内容': '装修很不错 。主题酒店 ，装修是没得说的  ，但是 缺点不少 ，首先 隔音太差 ，很吵，闹心  。  其次 ，卫生间感觉不干净  ，象没收拾 。 浴缸 根本向摆设 ，没热水就算了 ，放水放的放的 就有小虫子  。唉 ', '短评打分': 1}
{'短评内容': '＋环境好服务也可以', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '说不上来 不过服务员的态度 改进了很多啊！！！好像前台换人了', '短评打分': 5}
{'短评内容': '还好，就是脏点 真脏！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还好就是水很容易冷  暖气也不暖', '短评打分': 3}
{'短评内容': '服务质量较好!', '短评打分': 3}
{'短评内容': '算是大兴附近不错的酒店了·· 价格也很合算', '短评打分': 5}
{'短评内容': '酒店房间非常棒！超值！', '短评打分': 3}
{'短评内容': '不如想象中的好！', '短评打分': 3}
{'短评内容': '整体不错(只是个别死角处有灰尘', '短评打分': 3}
{'短评内容': '环境超棒  很优惠', '短评打分': 3}
{'短评内容': '房间够大，装修挺有想法，但细节做得不足，如花洒漏水，地板较脏。。。', '短评打分': 5}
{'短评内容': '环境还好，网速太慢。', '短评打分': 3}
{'短评内容': '环境有点吵，中央空调不是很暖~其他都一般般~', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '特别冷,并且很不卫生,只有摩登那间主题最好', '短评打分': 3}
{'短评内容': '屋里没有效果图那么好，不过设施还算齐全，按价钱来说性价比还不错', '短评打分': 3}
{'短评内容': ' 住宿硬件不错 但室内空调噪声太大 而且有些时段水泵噪声无法忍受', '短评打分': 3}
{'短评内容': '不错，不错，环境蛮好的，态度也不错，下次还会继续住', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '还行，就是水是热水器烧的，量少，得过会才能洗', '短评打分': 5}
{'短评内容': '挺好的~~· 跟我对象经常来这里\n就是网络不好使', '短评打分': 5}
{'短评内容': '酒店内部装修标准和使用的硬件都是不错的（浴室龙头很差，浴巾都是飞边的但还算干净），但服务质量很差，主要是员工在与客人说话的时候都感觉有人欠她钱，像是小旅店的服务员。最主要的是酒店噪音非常大，五层以上是空调机，一晚上都是在响个不停，根本没法睡觉，我问服务员其它层会不会安静点，她们说这里算不错的，四层以下是个KTV，那更吵，我晕，一夜只睡了4个小时，睡觉怕有声音的还是不要去了。', '短评打分': 1}
{'短评内容': ' good', '短评打分': 3}
{'短评内容': '酒店真的不错，各种风格。我们住的欧陆思迷类型的。房间没有想象中的大，但也足够宽敞了，房间很干净，但是可能客房服务人员比较粗心，上一波客人的内衣落在洗手间了也没发现。。。。其他的都不错，周边商场也较多，就是没有早餐，忘改进一下', '短评打分': 5}
{'短评内容': '非常有特点的酒店，但是按照这个地段，就是价格偏贵~', '短评打分': 5}
{'短评内容': '环境服务都挺好的，就是有点贵，如果折扣再多些就好了', '短评打分': 5}
{'短评内容': '性价比超高的地方，地方很大，风情房很有味道', '短评打分': 5}
{'短评内容': '环境什么的都不错，就是卫生一般，浴缸很旧，不敢用，前台服务人员一般，不够专业和热情。', '短评打分': 5}
{'短评内容': '  good', '短评打分': 3}
{'短评内容': '北京JIA主题酒店（主题酒店）服务不错，房间环境好，推荐入住。早餐不太好吃，唯一的缺点\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '主题房整体风格不错 设施很有个性化，比较有特点，我选的摩登挺现代，隔壁还有ktv和餐厅，很方便。', '短评打分': 5}
{'短评内容': '房子不错,很干净,只是房间比图片上看起来的小一些。', '短评打分': 3}
{'短评内容': '\u3000环境很好\u3000性价比高', '短评打分': 3}
{'短评内容': '还好，就是有点吵！！！！！！！！！环境及设施还不错，交通也算便利。', '短评打分': 5}
{'短评内容': '不太好，卫生很糟，不值', '短评打分': 3}
{'短评内容': '房间很干净！主题房很棒！性价比高！作为四星级酒店价格很公道！', '短评打分': 5}
{'短评内容': '真的很不错，房间宽大舒适，服务也不错！只是天气冷了房间有点凉！', '短评打分': 5}
{'短评内容': '性价比一般，服务死板，设施有些老了，房间到是很大，', '短评打分': 1}
{'短评内容': ' 很好很舒适', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '孩子的玩具忘了拿，回去找，可酒店就说没有，奇了怪了。', '短评打分': 1}
{'短评内容': 'The service from the front desk is now getting worse. I do not know why.', '短评打分': 1}
{'短评内容': '洗澡水不热', '短评打分': 5}
{'短评内容': '             简单 舒服  主题房很不错,适合情侣。', '短评打分': 5}
{'短评内容': '门口现在在施工修地铁口，灰尘很大也比较吵。地铁年底通车后就好了。', '短评打分': 5}
{'短评内容': '一般的酒店，不过在北京算便宜的了，性价比还算可以，比较干净', '短评打分': 5}
{'短评内容': '酒店在黄村的中心，唯一就是没有早餐供应，环境很幽静。', '短评打分': 5}
{'短评内容': '设施不错，服务较好，性价比还行。卫生尚好，但卫生间面板有很厚灰尘。酒店不附餐厅是一缺憾。', '短评打分': 5}
{'短评内容': '性价比 蛮不错的。\r\n前台也比较和蔼\r\n推荐一下下', '短评打分': 5}
{'短评内容': '+宾至如归，很好。', '短评打分': 5}
{'短评内容': '很漂亮很干净的宾馆，就是灯光不是特别充足', '短评打分': 5}
{'短评内容': '各方面都不错，就是吃饭不方便。上网速度太慢了，强烈要求整改！', '短评打分': 3}
{'短评内容': ' 价格挺合适，房间也基本满意。就上网速度太慢，望尽快整改！', '短评打分': 5}
{'短评内容': '就是标准房间没有窗户通风不太好，房间较大，浴室还好', '短评打分': 5}
{'短评内容': '环境很好 内部装饰很温馨 性价比很高 热水都还好 主题房很有意思', '短评打分': 5}
{'短评内容': '干净,房间内的酒水和零食很贴心,性价比不错,餐厅的饭也很美味', '短评打分': 5}
{'短评内容': ' 还不错', '短评打分': 5}
{'短评内容': '入住十分的开心，环境等等都不错，入住的是圆舞曲，服务员还带我参观了其他的主题房，真的不错，只是价格贵点', '短评打分': 5}
{'短评内容': '房间很大，布置得很有新意，环境不错，就是周围在修地铁，不过噪声不大，只能感觉到房间有点震。总体来说还不错。', '短评打分': 5}
{'短评内容': '+北京加码主题酒店住宿环境优雅洁净,价格适中,附近购物方便,值得一住。', '短评打分': 5}
{'短评内容': '我推荐过几个朋友入住加码酒店，大家感觉都很好，与市内同级别酒店相比，在舒适，卫生方面更具优势！', '短评打分': 5}
{'短评内容': '酒店装潢有特色，设施也较新。遗憾地是酒店门前正在修地铁，周围环境较差。', '短评打分': 5}
{'短评内容': '在大兴来说性价比还可以', '短评打分': 5}
{'短评内容': '还可以了', '短评打分': 5}
{'短评内容': '对了，目前全北京在严打，在酒店里接待朋友或客人必须得出示有效证件。嘻嘻嘻', '短评打分': 3}
{'短评内容': '酒店的总体感觉还是不错得。可能是目前正在修建地铁的原因，酒店正好在施工的上方，机器一想感觉整个房间都在颤抖。', '短评打分': 1}
{'短评内容': '环境很优雅  也很有情调  有人反应的水龙头 还有热水问题 我没有发现  总的来说性价比很高~', '短评打分': 5}
{'短评内容': '洗手间卫生不太好洗浴也不太好用服务人员态度还可以总体说空间足够大很舒服可以考虑下次入住。', '短评打分': 5}
{'短评内容': '.....................', '短评打分': 5}
{'短评内容': '个人觉得针对这个价格还是可以接受的。房间的位置还行。由于3楼是ktv导致4楼很是吵闹。但大堂经理给我调到了5楼（服务还不错）房间的卫生只能说一般。毛巾 浴巾 都有味道了。洗手间味道很难闻 房间的空调还可以 但是空气循环不好 在房间呆时间过长就会有缺氧症状出现。床垫很硬。别的就没什么了', '短评打分': 5}
{'短评内容': '酒店的硬件设施很好，但是估计是管理的问题，卫生很差，那天去了，热水还坏了，不过，大兴来说，还算可以的吧', '短评打分': 5}
{'短评内容': '总体来说还不错~  但是价格还是有些偏贵~  网速非常慢&#183;&#183;&#183;&#183;&#183;', '短评打分': 5}
{'短评内容': '大床房蛮不错的 窗子很大 230贵了点 服务态度很好 不过空调不太给劲啊。。。', '短评打分': 5}
{'短评内容': '热水方面不行', '短评打分': 3}
{'短评内容': '大兴区内最好的酒店了，除了卫生比较差，其他条件都不错，价位稍贵，也没啥活动。', '短评打分': 5}
{'短评内容': '房间比较大价格扁贵建议从网上预定可以省不少钱其他都还不错', '短评打分': 5}
{'短评内容': '还可以，有点儿欧式风格，房间的简单清新。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '设施有些陈旧，主题房还是很不错的，另外酒店里有KTV晚上很吵，其他都不错。', '短评打分': 5}
{'短评内容': '不错的酒店  在大兴 已经算比较上档次的了', '短评打分': 5}
{'短评内容': '很有特色，性价比高，不错，很舒服！', '短评打分': 5}
{'短评内容': '经常住加码，我个人认为在大兴黄村还是性价比不错的宾馆，唯一不足的就是4层比较吵，每次都住5层！！！！', '短评打分': 5}
{'短评内容': '还可以了', '短评打分': 3}
{'短评内容': '不错，房间有很多主题，就是空调和水温不怎么好。', '短评打分': 3}
{'短评内容': '房间挺大，设施也还可以，就是位置不好，去市区很麻烦', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '除了喷头个别房间不太好用  其他都很不错！！', '短评打分': 5}
{'短评内容': '比较好', '短评打分': 3}
{'短评内容': '还可以对我来说挺方便的', '短评打分': 5}
{'短评内容': '主题房很不错。就是楼下的歌厅太吵了。不适合过夜，适合开钟点房', '短评打分': 5}
{'短评内容': '性价比很不错，酒店很有风格', '短评打分': 5}
{'短评内容': '温度比较低 热水也远远不够热！不过在大兴这种标准的酒店不好找！', '短评打分': 5}
{'短评内容': '空调不是很舒服其他都很好', '短评打分': 3}
{'短评内容': '室内温度不是很舒服', '短评打分': 3}
{'短评内容': '还可以就是温度不太舒服', '短评打分': 5}
{'短评内容': '在大兴这个地方有这么个酒店很不错了~ 价格和一下好点的快捷酒店差不多 但是环境要更舒适一些~ 建议淋浴头修一修出水不太好 其他都不错~', '短评打分': 5}
{'短评内容': '近日住了一回，标间都让人抢光了，住了个350的，感觉面积很大44平，但是条件一般，尤其卫生间不行，洗澡的喷头跟水枪差不多，太幽默了。客观的说服务还可以，引导很积极。其他的，就一般了，如果再住，我只住标间。因为档次不够四星。', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '硬件设施虽然略显陈旧,但整体还是相当有特色的\r\n软件设施,又不尽如人意的地方,但整体上还说的过去\r\n特别三点\r\n1：卫生有待加强\r\n2：配套设置需要添加,如吹风机等最好随房间配套\r\n3：服务上整体很不错,小节地方还需要注意', '短评打分': 5}
{'短评内容': '酒店很有特色~但是热水不是很好~而且服务下降~原先的很多服务都没有了...', '短评打分': 5}
{'短评内容': '水温还不错，环境很好', '短评打分': 5}
{'短评内容': '有个电热水器，一个人用够了，卫生打扫得也比较及时。位置在大兴来说挺好的，旁边不远有个集市，买水果很方便。', '短评打分': 5}
{'短评内容': '环境和卫生都不错，房间也特别大，非常浪漫。就是位置有点偏，同等区域内的酒店价高偏高。房间里面有点冷。', '短评打分': 5}
{'短评内容': '其他都还可以，就是 热水方面不大行！！！', '短评打分': 1}
{'短评内容': '整体风格很不错，我很喜欢，但是洗澡热水太差了，。。。那么大个浴池。。。那么小个电热水器。。。。', '短评打分': 5}
{'短评内容': '新换的地毯很干净，热水器也比以前好了，主题小时房很有诱惑哦&#183;&#183;&#183;\r\n总体来说不错比以前干净很多', '短评打分': 5}
{'短评内容': '总体还说还不错就是睡一夜起来会有点干燥！房间内要是有加湿器就好了', '短评打分': 5}
{'短评内容': '酒店服务态度很不好,房间里面很脏,一看这样我们要退房她们不给退,后来换了房还是一样,设施陈旧,床单很脏,价格又贵.', '短评打分': 3}
{'短评内容': '酒店的设施非常不错，环境也还行，位置方便，价格适中。', '短评打分': 3}
{'短评内容': '空调和热水方面有待加强', '短评打分': 5}
{'短评内容': '酒店外面还可以,浴室很不好,设施很陈旧,位置比较偏,交通自己开车还可以.', '短评打分': 3}
{'短评内容': '设计很特别!很喜欢。', '短评打分': 5}
{'短评内容': '卫生不行，没有热水，但房间设备还是不错的', '短评打分': 5}
{'短评内容': '我去的期间正在维修管道，没有热水洗澡，这个还是挺讨厌的。其他还是不错的~！推荐圆舞曲~就是房间的窗帘是否考虑洗一洗，还是挺脏的~！谢谢~', '短评打分': 5}
{'短评内容': '酒店的服务还行，设施条件我觉得挺不错的，位置也很好，就是价格稍微高了一点，其他都还不错。', '短评打分': 3}
{'短评内容': '酒店服务和环境比较一般，硬件设施的配备感觉还是不错的，位置很好，对我们来说挺方便的。', '短评打分': 3}
{'短评内容': '老没热水', '短评打分': 5}
{'短评内容': '缺点是太阳能热水，经常在高峰时期无热水，希望能改进。', '短评打分': 5}
{'短评内容': '这酒店还不错，房间的卫生和设施挺好的，服务也比较到位，位置也挺好找的，整体感觉这家酒店的性价比还是非常高的', '短评打分': 3}
{'短评内容': '卫生、环境不错，可以上网', '短评打分': 5}
{'短评内容': '很不错，除了KTV有点吵', '短评打分': 3}
{'短评内容': '酒店的服务还可以，设施条件非常不错的，位置也挺好的，而且大兴那没有什么特别好的酒店也。', '短评打分': 3}
{'短评内容': '房间的卫生和设施还是比较比较不错的,服务也还行,位置也挺好找的,性价比还是挺不错的.', '短评打分': 3}
{'短评内容': '主题放很有特色，房间很干净，前台服务很好，周边有玩的有吃的有逛的。就是晚上旁边的KTV有点吵。', '短评打分': 5}
{'短评内容': '设施可以，服务也还行，不过价格有点偏高。', '短评打分': 3}
{'短评内容': '黄村最好的酒店，性价比很高', '短评打分': 3}
{'短评内容': '大兴黄村最好的酒店，装修很好，很有情调，性价比高', '短评打分': 5}
{'短评内容': '酒店的条件非常不错，服务也很好，位置也没什么问题，我们一起的，经常住这里，就是就爱个我觉得稍微有一点点高。', '短评打分': 3}
{'短评内容': '房间设计、大小都还好，就是位置不佳，楼下KTV太吵了', '短评打分': 1}
