{'短评内容': '超乎想象', '短评打分': 3}
{'短评内容': '一进去院里都找不到正门，房间走廊特别小，也没有电梯，硬件设施很不好，价格不贵，感觉家庭旅馆差不多，很不好，很一般的酒店我下次肯定是不会去了。', '短评打分': 1}
{'短评内容': '隔音效果很差 ', '短评打分': 1}
{'短评内容': '步行去看鸟巢太方便了，性价比也可以，就是窗户朝过道，不透气，卫生间有味道，其它还好', '短评打分': 5}
{'短评内容': '房间隔音不太好，卫生蛮干净的，服务热情周到，性价比不错的酒店。', '短评打分': 5}
{'短评内容': '房间有点小，周围不是很安静！', '短评打分': 3}
{'短评内容': '房间有点小，位置不是很好找，房卡经常失效，前台服务态度不好！', '短评打分': 1}
{'短评内容': 'nnnnn', '短评打分': 1}
{'短评内容': '位置方便，价格实惠', '短评打分': 5}
{'短评内容': '除了离鸟巢近以外，没什么优点。', '短评打分': 1}
{'短评内容': '还可以,价格比较实惠', '短评打分': 5}
{'短评内容': '酒店一般，就是性价比高，在北京不好找这样的。', '短评打分': 5}
{'短评内容': '这个酒店除了位置比较靠近鸟巢外，其他都不行', '短评打分': 1}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': '房间的卫生和设施很一般，在这个价位上，性价比还是比较高，位置还不错，出行是很方便的，服务还行', '短评打分': 3}
{'短评内容': '差', '短评打分': 1}
