{'descr': '便宜性价比高', 'star': 4}
{'descr': '不太干净，设施陈旧，打60分。', 'star': 3}
{'descr': '房间太小了，墙面还有点发霉', 'star': 3}
{'descr': '住的是118的特价房，房间非常小，放下一张床之后就没多少空间了，平板电视贴在墙上。房间挨着走廊，靠走廊这边开了两个很小的窗子，没有窗帘，晚上睡觉走廊发黄的灯光照进房间。房间里还有另外一扇门，门紧闭着，门里可能是些什么基础设备，因为门上贴着一张纸，写着维修负责人的姓名、电话，设备的情况。整个房间毫无美感可言，是我住过最没有美感的酒店。隔音效果也很差，外面人走路的脚步声都听得一清二楚。 整体评价，差评', 'star': 1}
{'descr': '我这人一向很实在  好就好 不好就不好   这个真的不推荐  喷头是坏掉的  四处喷水  墙壁脏的受不了   ', 'star': 1}
{'descr': '我订的是特价房，我只能说差的一塌糊涂，没法睡觉，床垫上的纹理烙的疼的要命，房间非常小，我从没住过酒店像这样小的，要换，两字，没有。没有桌子，，东西都没法放，只能放在地上。被子看起来黄黄的，还是开口笑的。什么都不方便，隔音很差。下去想要退房，我进这里一个半小时左右，问他可不可以退房，她告诉我现在退和你住一天一样，我彻底无语了，就这样我一整夜没睡，在床上烙饼。', 'star': 1}
{'descr': ' 服务非常好啊！大床118\u3000标间148！', 'star': 3}
{'descr': '用护照居然把我送到派出所还要出证明我的个晕啊 ', 'star': 3}
{'descr': '地理位置不错，500左右有个TESCO乐购，离火车站比较方便！！', 'star': 5}
{'descr': '感觉还不错的,离地铁不远，还有个大超市，就是临街的房间到早上会有点吵', 'star': 5}
{'descr': '服务很好 经济实惠 ', 'star': 3}
{'descr': '第三次入住了，一如既往的方便。实惠！', 'star': 3}
{'descr': '高级大床房（无窗），面积是大了点，总觉得还不如特价的大床房呢，只是还算可以，以后还会去住', 'star': 5}
{'descr': '房间很矮，很压抑，卫生间条件还好，条件很一般，价格合理', 'star': 3}
{'descr': '离地铁十来分钟，环境总体上过得去。购物吃饭方便。', 'star': 3}
{'descr': '第二次入住了，没想到和上次的房间号一样，同一间。真是很有缘份……交通十分方便。有机会还会入住', 'star': 3}
{'descr': '性价比很高…也很安静…挺好', 'star': 3}
{'descr': '装修差,房间小,不太干净,吵.', 'star': 3}
{'descr': '相对来说比较方便，但房间太小，卫生间比房间还大…', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '本来还打算住这家酒店的，但是这家店服务实在是差，毛巾上有东西洗不掉，还得扣50的服务费，而且不解释的、、隔音非常差、、房间也很小，电视机没几个频道', 'star': 1}
{'descr': '酒店环境远没有网上描述的那样好，晚上值班人员态度不好，下水不通畅，屋内特别吵，总之不满意！', 'star': 3}
{'descr': '比如家差一点，卫生间很滑，摔了一跤，靠马路房间很吵，都是汽车啦叭声，性价比还可以', 'star': 3}
{'descr': '价格便宜交通便利，房间小，卫生条件还很好。', 'star': 5}
{'descr': '还可以，交通方便，卫生间宽敞。客房有点小，不过还能将就', 'star': 5}
{'descr': '房间小，卫生还好。交通便利，此次住网络不太稳定', 'star': 5}
{'descr': '酒店价格还可以，房间太小了。环境太吵。楼下就是马路，一整夜的吵，睡不好。卫生条件还可以。', 'star': 3}
{'descr': '很好谢谢。', 'star': 3}
{'descr': '房间有点小，隔音教差，还算不错，位置有点偏，总体还算满意', 'star': 5}
{'descr': '地段不错，离地铁也近，附近就是乐购，饮食、出行都方便。就是房间有点小，宾馆没有电梯。', 'star': 5}
{'descr': '   刚开始订的时候比较担心，网评感觉不是很好，不是不隔音，就是比较小或者乱之类的问题。可是最后我还是选择了这家店，没想到，除了有点小之外，其余的都相当不错，我非常满意。希望大家一起支持！！', 'star': 5}
{'descr': '非常小的房间，隔音很不好，排风声音很大，走廊说话就象在身边说一样，不过还算干净，价格便宜，交通方便', 'star': 3}
{'descr': '还行 虽然便宜 就是房间小了点 但总体而言 性价比还是很高的!', 'star': 5}
{'descr': '很经济实惠的一家宾馆，本来订的是经济房，结果没房了服务员给同样的价格换了间大床房，周边环境也比较安静，不到一百能在上海住到这样的房间已经很好了。', 'star': 5}
{'descr': '不是很好，不是很好，不是很好，一般，一般，一般。', 'star': 1}
{'descr': '房间有股怪味既然服务员进来说没有闻到，空调也是坏的，晚上睡的冷死了！', 'star': 1}
{'descr': '太吵了无法睡觉，淋浴器坏的水一点也不热，空调开热的一点效果也没有！！！', 'star': 1}
{'descr': '价格很便宜...但是房间很小噢....床也不大，但是一分价钱一分货。算不错的。下次应该还会住。', 'star': 5}
{'descr': '位置不错，环境很好，价格便宜，就是没法上网，有点郁闷', 'star': 5}
{'descr': '订的特价大床，房间很小，床和卫生间挨着，但是卫生不错，没有异味。交通很方便，非常适合单人或两人出游住宿，性价比高。房间面积，加上卫生间，估计有10平方米左右，但是大床占了很大的面积，一个人还好，两个人走动的话就嫌挤了。房间很干净\n', 'star': 5}
{'descr': '房间还可以，不过服务很差，质量一般，酒店人员态度不好', 'star': 1}
{'descr': '为了考试住的，环境不敢恭维！不像一个酒店，倒像一个旅馆', 'star': 1}
{'descr': '地方有点偏 有限吵 总体还行吧地方有点偏 有限吵 总体还行吧', 'star': 5}
{'descr': '\n还不错的,', 'star': 3}
{'descr': '挺好的！有机会会继续入住！！！！呵呵……', 'star': 5}
{'descr': '很不错的一个宾馆 服务态度也非常好 下次有机会还会光顾', 'star': 5}
{'descr': '特价房很小，但很洁净，电视不好，太少效果也不太好', 'star': 5}
{'descr': '其他还好，地理位置比较偏了一点，没什么特色，价格倒是过意的去', 'star': 5}
{'descr': '酒店还是蛮干净的，地理位置也还行。只不过隔音效果太差，而且阿姨早上清扫房间的时候动作声音太大，建议阿姨注意下音量。。。。', 'star': 1}
{'descr': ' 房间位置太差了在一个拐角里 门口还堆了很多建筑杂物 卫生间的门还是坏的 橱门也是坏的 以后不会再住', 'star': 3}
{'descr': '房间设施齐全，有卫生间可洗澡，干净卫生，不错不错，就是小点没窗户，物有所值。', 'star': 5}
{'descr': '这家酒店隔音很差，声音很吵。......', 'star': 1}
{'descr': '今天和朋友去了浦江之星光新路的那家酒店，我们要的是大床房。感觉很干净服务态度也很好，还有就是离超市很近买吃的很方便，特别要说的就是他们淋雨水温很适合，不像其他的酒店水温跟不上，这是我特别喜欢的，以后我还会去哦，还会介绍给我的姐妹去。', 'star': 5}
{'descr': '环境还行，就是房间太小，卫生一般，电视机太小。', 'star': 5}
{'descr': '地点是不错，就在地铁旁。只是感觉房间有点小，而且入住的时候，居然发现房间还没整理，很乱……打给总台，回复是可能上一个客人刚刚退房，所以来不及收拾房间。早上7、8点就被隔壁的装修给吵醒了，想睡个舒服觉都不行!', 'star': 1}
{'descr': '离地铁不算太远，可以走到，环境卫生还好，可以选择，经济行\n那天有点吵，搞装修隔壁', 'star': 5}
{'descr': '离地铁不算太远，可以走到，环境卫生还好，可以选择，经济行', 'star': 5}
{'descr': '号称国际连锁，上海连锁都有问题～为了考试订的，隔音不行，服务员说话太大声，马桶位置太小，淋浴忽冷忽热～', 'star': 1}
{'descr': '酒店很好。很适合旅游居住。\r\n酒店很好。很适合旅游居住。\r\n酒店很好。很适合旅游居住。', 'star': 5}
{'descr': '国庆入住268的高级大床房，怎么看怎么像100多块钱的招待所，顶楼，水箱边上，房间超小，屋内就够摆两个小床的，没有窗户，只有一个小通风口，总体来说很差，就这还说是高级的呢，不知道不高级是什么样子。', 'star': 1}
{'descr': '+卫生不是很好，房间很小', 'star': 3}
{'descr': '好好的酒店，住的好舒服，真的舒服，强烈推荐', 'star': 5}
{'descr': '除了房间有点小别的都很棒，毕竟是这么便宜的房间，也不苛求啥了！赞', 'star': 5}
{'descr': '地理位置比较好，工作人员的服务态度很好。入住时没有合适房子等了一会还是给我们安排好了', 'star': 3}
{'descr': '第一次住这个酒店，感觉还行。反正我们要求不高', 'star': 3}
{'descr': '房子干净，价格实惠', 'star': 5}
{'descr': '房间很小，基本只有一张床和一个洗手间，位置还是不错的', 'star': 5}
{'descr': ' 酒店挺干净的 离地铁站十来分钟的距离 总体不错的 只是房间比较小 花洒坏了', 'star': 5}
{'descr': '酒店距离地铁近 这个地段和价钱 性价较高', 'star': 3}
{'descr': '酒店距离地铁近 这个地段和价钱 性价较高', 'star': 5}
{'descr': '总体来说还不错，非常的经济，交通也不错。', 'star': 5}
{'descr': '地方太小环境不好,都睡不好', 'star': 3}
{'descr': '哎呀住了一晚睡的累死了，床太小，地方也小，以后不去住了', 'star': 1}
{'descr': '服务不错，交通方便，就是隔音效果不是很好~', 'star': 3}
{'descr': '不亏是特价房，小的只能站一个人…感觉很山寨的…', 'star': 5}
{'descr': '前台小姑娘服务很热情，让人很舒服。房间很干净，洗澡水很足。赞一个！', 'star': 5}
{'descr': '相对来说，这家店比7天还要实惠，订的房虽然是大床房，但实际入住的好象是家庭房，一大一小；比较晚了才去住，服务比较好，让我们睡得比较好舒适，值得推荐', 'star': 5}
{'descr': '房间面积很小\r\n价格很实惠\r\n很局促\r\n位置还不错 \r\n靠近路边 很吵', 'star': 1}
{'descr': '酒店还算干净，热水充足，刚进去的时候其中一个枕头套脏了，后来要求后有更换，地理位置不错，离七号线地铁还算近。不足之处是进出都没有过问，这样感觉不太安全，而且不通知客人交押金就随意冻结房卡的使用，酒店没有电梯害我爬上爬下交押金，这点需要改进。', 'star': 5}
{'descr': '世博期间，性价比算OK了。 地铁3号线出口，走大概15分钟到的。还算干净的一个旅馆。价格也还合理。 是世博玩 300左右的旅馆，可以推荐~', 'star': 5}
{'descr': '一分钱一分货，特价房非常小，基本一张床就没有太多的空间了，入住要有心理准备。其他的话，基本有的东西都有。', 'star': 5}
{'descr': '+交通方便，以后还会光顾', 'star': 5}
{'descr': '地理位置不错，但是没有电梯和餐厅，并且上楼比较麻烦，住宿号靠后要走很长的通道，性价比一般。', 'star': 3}
{'descr': '地理位置不错，但是没有电梯和餐厅，并且上楼比较麻烦，住宿号靠后要走很长的通道，性价比一般', 'star': 1}
{'descr': '＋是上海连锁的酒店，位置很好，到地铁和公交都很方便。里面比较整洁，不足是没有电梯，走起来累。另外就是临街比较吵，睡眠质量有影响。', 'star': 5}
{'descr': '感觉房间小一点，卫生还可以，不过好像有老鼠！', 'star': 1}
{'descr': '房间比较干净', 'star': 5}
{'descr': '+不错 挺好，设施比较新 比较干净 就是价位高了点 ', 'star': 5}
{'descr': '环境卫生设施都还可以 周边交通也比较方便 性价比不错的一家酒店', 'star': 5}
{'descr': '很不错的一家店！', 'star': 5}
{'descr': '房间小的不行。。。只有位置还可以\r\n房里闷，热水不够热', 'star': 1}
{'descr': '服务态度很好', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '+虽然是特价房，但很干净，卧具都是新换的。不错的地方，物美价廉。', 'star': 5}
{'descr': '卫生间的条件很好，房间有点小，另离地铁较远，走过去很久。', 'star': 3}
{'descr': '酒店没有电梯.不是很方便.不过地理位置还可以挺方便出行的,其它各方面一般.', 'star': 1}
{'descr': '空调和电视不怎么样，价格还好，硬件还可以接受。', 'star': 3}
{'descr': '很好，很小', 'star': 5}
{'descr': ' 这个价位还可以，房间小了点就是。整体环境不如锦江，七天好', 'star': 5}
{'descr': '还可以，交通方便，离地铁比较近，比较安静。注意有的房无窗。', 'star': 5}
{'descr': '交通便利，房间较整洁', 'star': 3}
{'descr': '房间比较干净，交通便利。', 'star': 5}
