{'短评内容': '卫生不错，很方便', '短评打分': 5}
{'短评内容': '舒适，宽敞，交通很方便，价格实惠，值得你停留住脚步', '短评打分': 5}
{'短评内容': '主要是方便，长龙地铁站A出口就是了，住的7楼，豪单，跟图片差不多。。。', '短评打分': 5}
{'短评内容': '床很大，普通单人房也是是1.8米的。房间宽敞，里面还有茶几和两个椅子。送早餐，我是十点才去吃早餐，已经没有什么好吃的了，不如锦江之星汉庭总体推荐。桌子上的烟比外面贵5块，而且有记号，你动了就得买单不能用外面烟换。房间计生用品齐全，我没动。', '短评打分': 5}
{'短评内容': '还不错,挺干净的。', '短评打分': 3}
{'短评内容': '交通便利，挨着布吉中学 ，布吉汽车站；房间简约舒适，房间够大。床是1.8米*2米的', '短评打分': 5}
{'短评内容': '交通便利，就是早餐太简单了，房间的都不错！', '短评打分': 5}
{'短评内容': '房间挺大的，早餐挺好的。服务也不赖。不足的就是热水不够热啊，还有就是晚上汽车路过的时候比较吵。其他都不错吧。', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '很一般，等了好久都打不到车，酒店环境也一般。但是有早餐', '短评打分': 1}
{'短评内容': '整体环境不错，早点不错，很好吃，且饭店很干净。', '短评打分': 5}
{'短评内容': '门口就是地铁长龙站，卫生达标，是这个标准，服务热情，超过这个标准，网络几乎不能用，给我说是门口挖地铁，网络不好用，蒙我吧？挖地铁关网络啥事，再说地铁已经运行了好久了，本来预计住2天，因为网络几乎没有，所以第2天搬到了旁边新开的如家，比这里还便宜，网络是联通的，不快，但是能用，所以我在这里一起就点评了吧，我对如家没好感，就是一个便当酒店，可是银通连便当如家都比不过，还比人家贵，别管如家是不是新开优惠', '短评打分': 1}
{'短评内容': '酒店位置不错，交通出行方便，相对干净，只是早餐一般，但在深圳性价比算不错的了。', '短评打分': 5}
{'短评内容': ' 满意。', '短评打分': 3}
{'短评内容': '房间不错，对得起价格，比较大，不过要是隔音更好一点就理想了', '短评打分': 5}
{'短评内容': '酒店服务很到位，可以提供24小时热水，而且价格也便宜，很不错.', '短评打分': 5}
{'短评内容': '相对来说性价比很高，毕竟才88元，能有这样也不错了', '短评打分': 5}
{'短评内容': '房间很大很干净，卫浴也很好，才88块，真正的物超所值，值得推荐', '短评打分': 5}
{'短评内容': '特价很便宜，房间比我的心理承受力好很多，没想到88还这么实惠，去的朋友注意了，门前在修路，你打车坐说去布吉老街或者说去布吉中学都能看到这个酒店。很好，很实惠，以后去布吉还会定这家。', '短评打分': 5}
{'短评内容': '酒店很不错，哈哈，很干净，床也很大，还有窗户不错', '短评打分': 5}
{'短评内容': '非常超乎我的想像，床很大，有窗，里面也很整洁，干净，88元的体验价非常值。还送一早餐。门口因为修路，所以有点难进，但如果不修路，这个活动也很难做到这个价格吧。', '短评打分': 5}
{'短评内容': '还可以，就是里面的一些设施看起有点旧了，还有就是热水不是很热哟', '短评打分': 5}
{'短评内容': '这家银通酒店性价比很高，还含早饭，房间很大，舒适。但目前正修路，堵车太严重！', '短评打分': 3}
{'短评内容': '酒店还算不错，不过现在酒店外面在修路，交通不是太方便', '短评打分': 5}
{'短评内容': '酒店服务很到位，可以提供24小时热水，而且价格也便宜，很不错.', '短评打分': 5}
{'短评内容': '酒店还不错，出行方便，服务周到，房间感觉，设施也还可以，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店的位置还好，离公交地铁站很近，出行还是很方便的。', '短评打分': 5}
{'短评内容': '性价比还可以，房间很干净，设施齐全，服务特别好，下次还会住的', '短评打分': 5}
{'短评内容': '位置不错，很方便。', '短评打分': 5}
{'短评内容': '本来位置还不错，但是前面好像是在修地铁还是在干什么，要进去有点难找，房间比较大，睡着很舒服，但是晚上0点以后没有吃的供应了。', '短评打分': 5}
{'短评内容': '套间比较旧，但我住的豪华双人间还是比较干净的，性比价比较高！', '短评打分': 5}
{'短评内容': '房间挺宽敞的，设施也挺新的挺齐全的。打扫的也挺干净，住的挺舒适的。', '短评打分': 5}
{'短评内容': '在当地这家酒店算是不错的，价格也挺合适的。', '短评打分': 5}
{'短评内容': '服务挺人性化的，态度也挺热情，有事能做到随叫随到，感觉挺贴心的。', '短评打分': 5}
{'短评内容': '能提供24小时热情，房间也挺大，设施也比较齐全，住的挺舒适的。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
