{'短评内容': '房间较小，但很干净。还不错。下次还会选择。', '短评打分': 5}
{'短评内容': '酒店性价比高，服务态度好，地理位置也行，接近滨河大道和人民广场', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '最终改成了普通标准间 当时订错了 前台小姐忙得晕头转向 普通话也不是很好~不太好懂。。标准间的墙面都是裂纹，设施有点陈旧，但是地理位置还是不错，旁边是银座超市，对面是顺风肥牛，从这里去长途汽车站不是很方便，打车需要16元左右', '短评打分': 5}
{'短评内容': ' 不错的差旅酒店', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错，值得推荐', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '整体还行 早餐品种有点少', '短评打分': 5}
{'短评内容': '整体设施老了一点,其它还可,关键是位置好,性价比高.', '短评打分': 5}
{'短评内容': '总体感觉挺温馨~~~', '短评打分': 5}
{'短评内容': '不错的选择！', '短评打分': 3}
{'短评内容': '下次去，还住入住此店！', '短评打分': 5}
{'短评内容': '垃圾中的垃圾', '短评打分': 1}
{'短评内容': '交通方便,大床房的房间比较小,房间里有点潮湿。服务比较满意。价格便宜。', '短评打分': 5}
{'短评内容': '服务人员周到热情！', '短评打分': 5}
{'短评内容': '设施、装修陈旧，卫生还可以但因为装修风格显不出多干净来。最好像现在的商务快捷酒店一样装修颜色干净点。其它还可以。没有早餐不好。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '虽然酒店历史很久，但房间住起来还是很舒服，尤其价格特便宜，这家酒店菜很好吃的', '短评打分': 3}
{'短评内容': 'bucuo', '短评打分': 3}
{'短评内容': 'bucuo', '短评打分': 5}
{'短评内容': '设施有点差', '短评打分': 1}
{'短评内容': '总体还可以，就是旧了点。', '短评打分': 5}
{'短评内容': '酒店性价比很高,住的也很舒适,是个不错的值得推荐的酒店.\r\n平时经常出差的人可以选择这个酒店.\r\n而且很所的哥都知道这个酒店.\r\n离机场也不远.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设施老旧！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '灯有不亮的，浴巾上有血渍。卫生不好！', '短评打分': 1}
{'短评内容': '环境还不错，就是隔音效果稍微有点差。', '短评打分': 5}
{'短评内容': '房间老了些，不过性价比不错，干净，也方便。如果能再送早餐就好了，哪怕价格再加一些。不建议住三人间，卫生间太不方便，我们就是先订的三人间，后来又改为了两个标间。', '短评打分': 5}
{'短评内容': '地理位置很好，紧靠市中心。', '短评打分': 5}
{'短评内容': '交通上是很方便的,酒店位于市中心的一家很不错的酒店,卫生和服务方面作的也都不错,就是稍有些陈旧了.', '短评打分': 3}
{'短评内容': '酒店不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店价格不贵，而且位置不错。就是床不是很舒服。', '短评打分': 5}
{'短评内容': '离市中心较远，房间一般，有点味道', '短评打分': 1}
{'短评内容': '我认为酒店的设施陈旧、破败，我住的豪华单人间的卫生间很差劲，破破烂烂，而且最重要的是还没有电梯直达8楼，要拐啊拐啊拐，先坐电梯到5楼，再走过去，相当不方便！', '短评打分': 1}
