{'短评内容': '地方好找，房间比较大，性价比高', '短评打分': 5}
{'短评内容': '房间宽敞明亮 设施一般过得去 去七宝老街七宝商业中心很紧 附近有地铁 是一个旅游性价比较高的客房', '短评打分': 5}
{'短评内容': '性价比较高，但网速太慢，另外因为停车在菜市场内，有点恐怖。', '短评打分': 5}
{'短评内容': '房间一般，但是前台的态度不错，蚊子超级多啊，卫生一般', '短评打分': 1}
{'短评内容': '酒店内装修比较老，墙壁都有些脱落了，环境实在一般', '短评打分': 1}
{'短评内容': '总体不错。空间大，交通方便。价格便宜。就是电视效果不好有雪花。。。。', '短评打分': 5}
{'短评内容': '性价比高，总体还是不错的，面积大。价格低。空调好', '短评打分': 5}
{'短评内容': ' 入主一晚，没有靠马路，比较安静。大床很硬，不是一般的硬。总体来说不错，算性价比高的。', '短评打分': 3}
{'短评内容': '环境和这个价钱是匹配的，比其他连锁快捷酒店差一些，就是床有点短了，个太高的可能要事先说明一下。总体来说，还是值得的。', '短评打分': 5}
{'短评内容': '整体还行.房间够大.就是隔音效果不好.', '短评打分': 3}
{'短评内容': '酒店装修老旧，卫生条件较差，不推荐大家入住，                          ', '短评打分': 5}
{'短评内容': '窗户生锈，要花很大的力气才能打开，电视机不够清晰，地毯有破洞，我住的是8508，开了厕所的灯就有很大的噪音~其他都还好~', '短评打分': 5}
{'短评内容': '价格实惠 前台服务态度好 环境也不错 有机会还会入住', '短评打分': 5}
{'短评内容': '预定的大床房结果只有标准房 说是五楼洗地毯，却不通知预定不成功，房间隔音很差 早上隔壁有个女人叫个不停，空调声音超大制热效果却不好。离地铁站和公交有点远。', '短评打分': 1}
{'短评内容': '酒店硬件环境还是不错的，但还需要做的更好！另外酒店的服务不错值得说一下！168元三人房很值的！床也蛮大的！呵呵！有机会还会去那家！提醒大家在虹桥打的要在北门这样可以节省一半车费！', '短评打分': 5}
{'短评内容': '帮别人订的，标准间128，别人入住后说还可以。', '短评打分': 5}
{'短评内容': '物美价廉，总体评价还是不错的，环境也还好，关键就是交通比较便利', '短评打分': 5}
{'短评内容': '很好，很不错啊\n酒店也很干净啊\n肯定会向朋友推荐的了啊', '短评打分': 5}
