{'短评内容': '价格便宜，其他很一般', '短评打分': 4}
{'短评内容': '大同很多店都不正规，这家店已经是第二次入住了，店是旧了一点，但安全环境也还可以，打的十块钱就到了，很方便', '短评打分': 3}
{'短评内容': '不错，环境安静，房间大！热水一直有，就是空调声音大，老化严重！', '短评打分': 5}
{'短评内容': '酒店服务还不错,附近吃的也多，就是里面设施有点旧了。', '短评打分': 5}
{'短评内容': '床太硬，被子太薄，枕头太低，停车条件还可以。都这么久了，硬件条件期待改善。希望下次入住能够有所改变。', '短评打分': 5}
{'短评内容': '还可以吧，就是宾馆设施有些旧了。被子再厚些就好了。', '短评打分': 5}
{'短评内容': '还行，就是有点不太好找，地点有些偏，不过挺实惠的。', '短评打分': 5}
{'短评内容': '还可以吧 热水不算是充足 洗不几分钟就凉了 条件一般 ', '短评打分': 5}
{'短评内容': '很实惠的宾馆，整体环境还可以，价格与发票都公道，在大同来说还可以。', '短评打分': 5}
{'短评内容': '大同怡园居宾馆还可以，比较便宜、安静，我住了五天。', '短评打分': 5}
{'短评内容': '在当地算是很实惠的宾馆了，整体环境还可以，短途出差的话是不错的选择，关键是价格与发票都公道。', '短评打分': 5}
{'短评内容': '服务不错，房间稍显陈旧，创业比较硬不过倒也物有所值吧！', '短评打分': 5}
{'短评内容': '一般，比较安静，设备较老', '短评打分': 3}
{'短评内容': ' 还可以吧，比较干净', '短评打分': 3}
{'短评内容': '设施较老，被子太薄，服务尚可。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店服务态度好，地理位置也很方便，附近就有许多餐馆，离华严寺等景点很近。乘车也很方便。谢谢酒店的服务人员。特别是前台的服务员，谢谢，辛苦了！', '短评打分': 5}
{'短评内容': '酒店环境还不错，比较干净整洁。网上订的是单间，到了店里，单间在一楼，怕吵，就给调到标准间了，价格还没变，感觉挺满意的。', '短评打分': 5}
{'短评内容': '价格适中，环境一般，有一间房的热水器居然手柄漏电。但总体来说，这家酒店对得起这个价钱', '短评打分': 5}
{'短评内容': '入住环境还不错！挺干净的，电视有点颜色失真。算是很物超所值的！就是吃饭不是特别方便～', '短评打分': 3}
{'短评内容': '该店地理位置优越，门口公交站方便，距火车站、汽车站都很近。店内安全措施较全，服务生热情主动，有问必答；房间设施性价比较高，住过就能体会到，不会有被忽悠的感觉。\n因为点比较小，没有餐饮，比较遗憾。', '短评打分': 5}
{'短评内容': '周围环境还可以，清静。房间设施还可以，但是有点老旧，空间也小了点。', '短评打分': 5}
{'短评内容': '   大同怡园居宾馆交通还是比较方便：距离大同火车站不远；大同怡园居宾馆门口有四路车站去云岗换三路车也很方便；还能上网。如有早餐会更好！', '短评打分': 5}
{'短评内容': '性价比很高的一个宾馆~交通非常方便，出门就有一辆车，基本贯穿大同市的主线，最远可以到云冈和火车站~房间也很干净，让人住起来非常舒服~服务生也很热情，基本上告诉我们应该去哪里，怎么坐车，让大同之旅非常愉快~非常喜欢~有机会去大同海珠这里~', '短评打分': 5}
{'短评内容': '房间不大，但是五脏俱全布局合理，没有丝毫局促感觉，热水也挺好的，服务规范方便，离火车站也近。就是给安排住了一楼，早上有点吵', '短评打分': 5}
{'短评内容': '价格便宜，交通比较方便，位于市区。房间设施也还不错，性价比比较高。', '短评打分': 5}
{'短评内容': '价格还不错，很大，离火车站不算太远，推荐一下', '短评打分': 5}
{'短评内容': '房间位置还可以，但房间卫生间比较陈旧，也比较潮，有潮味，且结账不能有银行卡，不方便。', '短评打分': 1}
{'短评内容': '位置很好，去云冈石窟和华严寺交通便利，服务周到', '短评打分': 5}
{'短评内容': '整体不错，房间卫生可以。主要是服务态度很好', '短评打分': 5}
{'短评内容': '房间和服务都不错~离各大风景区都不远，交通情况十分便利~', '短评打分': 5}
{'短评内容': '到大同火车站真的很方便。前台服务态度好，房间干净整洁，就是设施稍微陈旧一点，不过出门在外嘛，也不用讲究许多啦！', '短评打分': 5}
{'短评内容': '酒店交通方便，房间卫生很好，被褥很新也很干净。网速太慢。', '短评打分': 5}
{'短评内容': '还好～   就是有点陈旧设备  其他的都不错！很安静', '短评打分': 5}
{'短评内容': '酒店服务人员挺热情,距离汽车站很方便。就是设施有些旧', '短评打分': 5}
{'短评内容': '＋一般，不便宜', '短评打分': 3}
{'短评内容': '干净，服务态度好，非常适合自助出游者，坐车去景点也方便。', '短评打分': 5}
{'短评内容': '服务员态度较好，也比较干净，只是有些工作人员是外地的，问她们旅游景点的事情也得不到答案', '短评打分': 5}
{'短评内容': '宾馆服务态度不错，条件一般，设施相对简陋，但比较干净，性价比不错！', '短评打分': 5}
{'短评内容': '服务还行，洗澡水只够一个人用，空调噪音特别大。', '短评打分': 3}
{'短评内容': '离华严寺、古城墙、火车站这些地方都不远，火车站坐4路到二医院下车。稍显陈旧，不过晚上门口好像有门卫，12点就关门，还是挺安全的', '短评打分': 5}
{'短评内容': '还不错，在大同二医院对面，挺干净的，就是大厅的电话夜里老响', '短评打分': 5}
{'短评内容': ' 宾馆设施陈旧 有异味 交通还算方便 服务态度不错', '短评打分': 3}
{'短评内容': '设备齐全,服务周到.', '短评打分': 3}
{'短评内容': '还不错，性价比一般，临近马路边的房子真的有那么一点点小吵', '短评打分': 5}
{'短评内容': '服务挺好其他硬件太差房间冷电视太久伤眼，颜色都变了全是雪花，洗澡龙头太远，卫生间地滑没有防滑设施，没有一次性拖鞋无浴霸，枕头太难枕，被子又旧又硬又薄，椅子很脏，不推荐入住。', '短评打分': 1}
{'短评内容': '价格还行,就是破旧了点（一分钱一分货啊）！', '短评打分': 1}
{'短评内容': '服务人员很热情！附近的交通，吃饭，购物也都很方便。', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 3}
{'短评内容': '房间很干净，服务态度很满意。空间小了些，总体满意…', '短评打分': 3}
{'短评内容': '住的感觉挺好,就是空调声音有点大.服务态度还是很好的.', '短评打分': 3}
{'短评内容': '环境还行，设施略显陈旧。', '短评打分': 3}
{'短评内容': '还好，环境，设施对得起这个房价，服务很到位', '短评打分': 5}
{'短评内容': '大同怡园居宾馆，单间宽敞整洁，服务热情！不错！', '短评打分': 3}
{'短评内容': ' 比较干净，还可以', '短评打分': 3}
