{'短评内容': '给亲戚订的，他们每次来都喜欢住这儿，应该还可以吧', '短评打分': 5}
{'短评内容': '服务到位，酒店的位置也很好，就是在整修中，没有电梯', '短评打分': 5}
{'短评内容': '灰常好的一家酒店，服务态度很棒，餐饮非常有特色', '短评打分': 5}
{'短评内容': '这个酒店还蛮不错的，吃住行都很方便，晚上还会送甜品到房间，前台服务还蛮不错的，因为酒店费用含的是单早，本想再买一个早餐，前台就跟我们说因为餐厅还在装修，赠送的早餐可能很简单，劝我们要慎重考虑。', '短评打分': 5}
{'短评内容': '地理位置不错 服务态度不错 晚上还会送点心和冰红茶\n酒店设施较为陈旧 设施和快捷酒店差不多', '短评打分': 1}
{'短评内容': '比较安静，离八佰伴比较近，南禅寺也不远，服务也还可以。不错吧', '短评打分': 5}
{'短评内容': '酒店位置很好，晚上有甜品和饮料赠送，餐厅的菜口味很好。但是可能由于之前的餐厅在装修的缘故，早餐感觉不如之前丰富了。但在此价位，还是值得推荐。', '短评打分': 5}
{'短评内容': '环境不错，物有所值！', '短评打分': 3}
{'短评内容': '酒店就在市中心，酒店里面的花园在市中心是闹中取静亮点，逛街购物都方便，夜景很美，尤其南禅寺的夜景金碧辉煌，广场美食一条街。棒！', '短评打分': 5}
{'短评内容': '非常好的酒店，尤其是餐饮更好，很有当地的特色。服务也周到，我的衣服落在了酒店，后来酒店打过电话，邮寄给了我，很是感动！', '短评打分': 5}
{'短评内容': '饭店很温馨，前台和餐厅的服务非常热情，特别是客房服务员非常让我敬佩，18号晚上我在房间打电话要洗衣服，服务员来登记后将衣服拿走，睡觉时发现身上少了2000元，自认为今天旅游丢了，19日下午回饭店后得知钱在要洗的衣服兜里，服务员交给饭店了。。下次来无锡还住君来梁溪饭店。', '短评打分': 5}
{'短评内容': '酒店很漂亮，里面的公园很有气氛，就是房间稍显老旧，其他都不错', '短评打分': 5}
{'短评内容': '出行方便，饭菜可口，服务热情,酒店内环境优雅。', '短评打分': 5}
{'短评内容': '很好的的酒店，闹市里难得的，早餐人很多，餐厅再大些吧。下次还会住的！', '短评打分': 5}
{'短评内容': '整体感觉还不错，大堂有WiFi房间没有但是有网络，卫生间毛巾不是很干净。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，院里绿化也很漂亮，25元的自助早餐很丰盛，第二次住了。酒店管理也不错，入住后房间空调有点漏水，免费给升级成别墅房了', '短评打分': 3}
{'短评内容': '环境不错，房间也很新，很满意,下次还会考虑住。', '短评打分': 5}
{'短评内容': '十梁溪饭店很不错', '短评打分': 3}
{'短评内容': '原来的无锡市政府招待所\n老的那幢不行\n新的那幢还不错\n环境也还可以', '短评打分': 5}
{'短评内容': '酒店比较成旧 地毯脏 老电视机 早餐那个寒酸 品种少 有一个优点是位置靠市中心', '短评打分': 1}
{'短评内容': '酒店就在市区，出行很方便，但硬件设施比较陈旧，晚上有银耳汤送，很贴心，朋友上次去住还有小礼物送，这次我没收到哦，但总体来说还是不错的！', '短评打分': 5}
{'短评内容': '还不错，房间都在小别墅里面，蛮有感觉的，房间稍微小了点。', '短评打分': 5}
{'短评内容': '这次住的房间紧靠一停车场，早上5点多就有躁音，影响睡眠。但酒店总体还不错，下次还会住', '短评打分': 3}
{'短评内容': '干净，出行比较便利，每晚送小吃-红豆羹、银耳羹,服务态度好......说说缺点，房间有点味道（衣橱的味道），早餐简单了点儿，房价偏高了', '短评打分': 5}
{'短评内容': '不错的酒店!', '短评打分': 3}
{'短评内容': '该酒店不错，住的比较满意，会向朋友推荐，周围环境也不错', '短评打分': 5}
{'短评内容': '  住在主楼6305，确实早上汽车噪声太大，影响休息。房间的卫生间也太小。总体感觉性价比不高。景点门票价格也和同程网一样，没有优势。', '短评打分': 3}
{'短评内容': '环境很好，闹中取静，交通比较方便，但早餐一般', '短评打分': 5}
{'短评内容': '与想象中的有点差距。床太小。早餐不行~可吃的太少。', '短评打分': 5}
{'短评内容': '酒店地点很方便，价格也实惠，就是入住的这一天（2002年4月28日）气温很高，开了空调根本没效果，打电话给总台竟然说中央空调没清洗，所以没有冷气，真是晕死！作为一家星级酒店没有空调实在是说不过去，而且理由也太牵强。我想如果两次入住都遇到这种情况的话恐怕下次不会考虑入住了。早餐品种太少，费用可以加一点，早餐自助的品种再多一些。房间里赤豆汤和小礼品赠送很温馨。', '短评打分': 5}
{'短评内容': '已经是第二次住了，一起来的朋友都认为很不错，地理位置绝佳，距离无锡名吃名店名街都很近，步行几分钟的事。', '短评打分': 5}
{'短评内容': '优点众多，基本属实。地理位置好，交通购物都方便，酒店内还有小花园，可谓闹中取静。服务态度不错，还提供低价无锡景点门票，可以说是旅游购物好的落脚点。美中不足的是，主楼有房间侧靠路边，会有点吵。要是住里面楼会好很多。', '短评打分': 5}
{'短评内容': '酒店位置很好，房间安排也很好，我们7间房都挨着的。第二次带公司同事入住了。还有小点心和小礼品赠送，非常好。晚上也很安静，就是早上汽车声有点大。', '短评打分': 5}
{'短评内容': '酒店位置很好，就在八佰伴斜对面，别墅环境很好，主楼新房间装修很好，面积大，但床有点小，早上打扫房间的大妈聊天声音太大。', '短评打分': 3}
{'短评内容': '不错，在市中心', '短评打分': 3}
{'短评内容': '环境服务都不错,下次再来还要住这。', '短评打分': 3}
{'短评内容': '经常住的一家酒店，非常便利，舒适', '短评打分': 3}
{'短评内容': '酒店位置不错，比邻闹市区，但又闹中取静。房间设施虽然有点老但是服务很贴心\n\n下次来还会考虑这个酒店', '短评打分': 5}
{'短评内容': '酒店非常满意，干净舒适，随处体现着江南文化底韵，服务也很周道，晩上到店，前台的帅哥更是亲切，连女儿都说下次来还会住。', '短评打分': 3}
{'短评内容': '酒店位置很好，很舒适，周围交通也很方便，房间也很干净。', '短评打分': 5}
{'短评内容': '在网友的推荐下，选择了这家酒店。入住的是主楼的4楼，各方面表现都令人满意。交通方便，绝对的市中心；环境宜人，酒店本身就是个景点；客房内设施温馨舒适，也很干净；虽然是市中心，但晚间基本没有噪音影响；晚上还收到了酒店赠送的红豆沙和小礼品，很贴心。下次去无锡，还是会选择这家酒店。', '短评打分': 5}
{'短评内容': '本酒店在市中心，酒店很干净，酒店内有小花园很幽静，是出差和旅游的好住处。', '短评打分': 5}
{'短评内容': ' 空间挺大的，很干净，清爽！', '短评打分': 3}
{'短评内容': '说是无锡以前的市委招待所，很不错，服务态度好，酒店就代售景点的优惠门票，灵山门票很值，比淘宝还便宜，酒店内的早餐不错，餐厅价位也不错，晚饭也在那吃的，定的主楼标间，房间其实不大，设施一般，但住起来很舒适，早饭吃完在酒店内的花园溜达，也很不错', '短评打分': 5}
{'短评内容': '交通方便，离商业区，南谭寺很近，酒店园区环境不错，酒店设施有些旧', '短评打分': 5}
{'短评内容': '地点不错，在市中心这个价位的基本算是可以。设施稍微有点旧。', '短评打分': 5}
{'短评内容': '早餐还可以，\n但房间较小，很一般普通。位置处于闹市区。还算方便。', '短评打分': 5}
{'短评内容': '地理交通位置佳，出行很方便\n房间也挺干净的，早餐不满意，基本上都是冷的，需要加热处理', '短评打分': 5}
{'短评内容': '酒店还行，干净，出行方便，门口打车基本不用等。', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，中山路近八百伴，出门无论是打车还是坐公交都很方便。走路可至王兴记、三凤桥、南禅寺（有高铁代售、清名桥古运河游）。酒店庭院古色古香。住了六晚主楼双标间，选择背街的方向可以闹中取静。早餐面点的花样比较多，煎蛋有点凉，吃了一次就没吃了，但喝茶吃点心还是比较惬意的。居室内装修有一点陈旧，刚好够用。每晚赠送的红豆汤太暖胃了，比家里熬得还细，赞！另外酒店还有景点优惠门票，挺周到的。', '短评打分': 5}
{'短评内容': '性价比高，还会住', '短评打分': 3}
{'短评内容': '还可以的酒店，地理位置不错，酒店环境不错，小礼物不错', '短评打分': 5}
{'短评内容': '酒店环境不错，前台入住速度比较慢，房间太小，性价比不高', '短评打分': 5}
{'短评内容': '市中心的酒店 出门逛逛很方便', '短评打分': 3}
{'短评内容': '服务人员态度非常好，在市中心出入非常方便。', '短评打分': 5}
{'短评内容': '环境好，交通方便，服务热情，还送点心，总体还说适合商务出行，推荐~', '短评打分': 5}
{'短评内容': '一直订这家啊，不错的说。出来打车也方便，基本不用等。', '短评打分': 5}
{'短评内容': '酒店服务热情，早餐丰盛。在网上预订的晚上还送了红豆汤和小礼品。', '短评打分': 3}
{'短评内容': '地點不錯離南禪寺很近、有很好的小吃街、就房間很老舊、但還乾淨、每天會送甜點、早餐一般、多住幾天會吃膩、整體還是值得推薦', '短评打分': 5}
{'短评内容': '这家酒店的住宿环境特别优雅，服务人员专业素质到位。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，步行就可以到达八佰伴百盛中心区及步行街。早饭自助如果单买25元一位，内容算丰盛。环境和房间设施都还不错，性价比较高', '短评打分': 3}
{'短评内容': '酒店很干净，环境清新自然，闹中取静，不错', '短评打分': 3}
{'短评内容': '性价比非常高，环境优雅，以后出差无锡这里就是落脚地了。但早餐确实一般', '短评打分': 5}
{'短评内容': '酒店设施稍微有电陈旧，但是酒店环境非常的好，总体来说还是很满意的', '短评打分': 5}
{'短评内容': '还不错的。下次还会入住，很干净。', '短评打分': 3}
{'短评内容': '面上看着干净，但是床铺枕头一股陈年的头皮臭味；\n早餐简单的让人没什么胃口；\n前台服务人员互相嬉笑打闹，没有职业规范可言；\n整晚的不知何处的噪声，让人无法入睡，只好开着电视催眠；\n\n此店不宜入住！！！', '短评打分': 1}
{'短评内容': '近市区，可说是闹中取静，服务人员态度很好，不晓得他们加大床的定义。', '短评打分': 5}
{'短评内容': '酒店的服务非常好，晚间还有饮品赠送，感觉很温馨，床铺没有潮湿的感觉，以后有机会还住这家。', '短评打分': 5}
{'短评内容': '住过无锡很多家酒店，现在回过头来想还是这家性价比较高，早餐非常丰盛，位置也不错，可惜高级房隔音不是很好。', '短评打分': 5}
{'短评内容': '早餐很不错啦，尤其是小笼，觉得比旁边的百年老店还好吃，哈，地段不错，就是房间的空调不给力，大冬天的，制暖不行，老妈朝北的屋倒还好，不知道是不是特别安排的，不过还是要推荐。', '短评打分': 5}
{'短评内容': '每次都住这里，虽然装修有些旧了，但是位置好，方便', '短评打分': 3}
{'短评内容': '入住了好久才想起点评。此次免费升级到了套件。房间很大，俩卫生间，不错。但是不知道怎么回事，也不是新宾馆了，怎么楼道里有很大的气味呢？', '短评打分': 1}
{'短评内容': '此索菲特非彼索菲特；\n环境一般，卫生一般，服务一般；不过早餐还算及格；\n最令人囧的是网线，房间内网线超级短，自带的电脑只能房在矮的桌子上，才能勉强接上，影响使用效果，人家工程学很不合理。\n给前台打电话，居然说网线短了他们也没办法，没有长得网线。沟通好久他们才说，那我们派人去看看把，结果送来长得网线。\n最后，令人搞笑的事情发生了，我好不容易剂到靠墙的位置（电脑插头也很不方便），发现网线居然没是通过接', '短评打分': 1}
{'短评内容': '酒店地理位置比较好，对面就是八佰伴，吃的逛得比较多。\n房间干净整洁，床比较舒服。\n美中不足的就是空调设置不太好，比较吵，晚上睡觉要关了才能睡着。', '短评打分': 5}
{'短评内容': '第二次入住，服务，早餐，房内设施一切OK比较适合出差入住。', '短评打分': 5}
{'短评内容': '环境好，交通方便，价格合理。比较满意，下次应该还会入住的。', '短评打分': 5}
{'短评内容': '入住的是主楼 设施以及空间尚可 性价比一般 位置极佳 前台缺乏足够的热情以及服务意识 只是应付式 大床换成1.8米估计会更好 饭店里面环境不错 茶杯有点特别 过道转角有台灯沙发，有特色 总体尚可', '短评打分': 1}
{'短评内容': '房间很陈旧，很脏，厕所都出都是黑黑的垢。。。。', '短评打分': 1}
{'短评内容': ' 市中心 很方便 总体还可以', '短评打分': 3}
{'短评内容': '地处市中心，方便。房间清洁，卫生。今后还会选择入住。', '短评打分': 5}
{'短评内容': '这次没订到白金汉爵，换成这里，房间还算干净，设施较老旧，性价比稍微欠缺了点。', '短评打分': 5}
{'短评内容': '酒店地理位置比较好，在无锡商业区中山路上，购物吃饭都很方便。酒店位于一院落内，园林景观，可谓闹中取静。房间内部，家俱的款式比较老旧，是非常老土的黄色木质家俱，这点很受不了。另外，电视机太差了，居然是25寸的显像管式的电视，什么年代了。', '短评打分': 5}
{'短评内容': '出行方便,酒店主楼地毯比较脏\n酒店早餐不错,种类比较多.\n房间还是比较整洁的,设施过于陈旧', '短评打分': 5}
{'短评内容': '该酒店非常舒适，内部环境和服务人员的素质都很到位。就是早餐稍微有点差，总体不错', '短评打分': 5}
{'短评内容': '酒店很好，早餐丰富，服务到位，各类设施也好。', '短评打分': 5}
{'短评内容': '酒店位于无锡市中心，离鼋头渚景区和无锡机场也很近，打的去鼋头渚38元去无锡机场50元，酒店是由老住宅改造的有特色，园林也很漂亮，里面早餐25元自助餐，还是可以的，中餐厅的饭菜味道还不错，也不贵，酒店房间里面的设施就破旧了点，我11月27号入住，那天很热，问服务员怎么开冷气，他好好笑地说，现在天气冷了，酒店里只能开暖气，然后我们开窗户，外面就很吵，有一边窗户没纱窗，被蚊子跑进来，害得我们那天又热又吵', '短评打分': 5}
{'短评内容': '不说别的 就凭酒店在预定的房型无房的情况下免费给升了一个房型入住 还有下午2点退房 这两点 就比大部分酒店强 更不要说酒店的位置好 环境好 服务好了 下次去无锡一定还住这里 我一般懒得给酒店评价 但是真好的我一定要顶', '短评打分': 5}
{'短评内容': '干净；安静； 早餐很好。位于市中心，非常方便。下次出差还会定这家。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，周围环境较好，酒店硬件设置很好，服务周到热情，下次还会入住。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，之前已经住过一次这次还是来住了，很不错的酒店', '短评打分': 5}
{'短评内容': '在无锡出租车司机只知道梁溪饭店不知道君来梁溪饭店，大厅与房间是分开的比较不方便，房间的设施还可以，床稍嫌小了点。', '短评打分': 5}
{'短评内容': '地点适中,接近市中心,离景点区也近,最重要,吃饭很多选择.', '短评打分': 5}
{'短评内容': '最满意的是酒店的床，很舒服。环境不错。房间是新装修过的，感觉还不错。', '短评打分': 5}
{'短评内容': '酒店地处市中心，交通、消费方便。闹中取静，建筑有特色。\n奇怪的是，每个房间只提供一份早餐，如有需要，要另行购买，不方便。', '短评打分': 5}
{'短评内容': '该酒店不错，环境和服务以及硬件都很好，会向朋友推荐的。', '短评打分': 5}
{'短评内容': '所谓庭院别墅，其实就是一个院里几栋很普通的小矮楼。酒店房间倒是很干净，但是可能因为楼层太低，有蚊子！酒店的电蚊香还不好用。因为已经十月底根本没想到有蚊子，自己也没带防蚊的东西，结果一晚上被蚊子骚扰的起来好几次，到早上刚迷迷糊糊睡着了，就听外面车声不断，反正是没睡好。起来后发现2个手上全是包，奇痒无比。本来是订了两天的房，经过这一晚上的折腾果断退房，赶紧办好公事回家补觉去。', '短评打分': 1}
{'短评内容': '非常好，我很喜欢，我很喜欢，我很喜欢，我很喜欢，我很喜欢，我很喜欢，', '短评打分': 5}
{'短评内容': '很不错的环境，设施也不错，交通方便在市中心，有花园，早餐品种也很丰富，性价比蛮高的酒店', '短评打分': 5}
{'短评内容': '交通非常便利，环境也很不错，早餐还算可以，推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，就在市中心，周围吃饭购物都很方便，房间设施有些陈旧了，特别是地板看上去有点坑坑洼洼，总体来说性价比还可以吧', '短评打分': 5}
{'短评内容': '主楼豪华间（6号楼），清清爽爽干干净净；\n但是我还是羡慕我同事住的，3号楼401的房间，有感觉啊', '短评打分': 5}
{'短评内容': '酒店地处闹市但却是闹中取静，房间布置简约，早餐品种齐全。', '短评打分': 5}
{'短评内容': '房间味道比较重；由于住在出入口位置，晚上比较吵；房间环境一般', '短评打分': 1}
{'短评内容': '环境还好，服务态度十分，隔音不好，走廊说话房间里听的清清楚楚', '短评打分': 3}
{'短评内容': '早餐不错', '短评打分': 3}
{'短评内容': '君来梁溪酒店很好的,这里是一家王姓私家老宅,很有文化味道的,欢迎来住', '短评打分': 3}
{'短评内容': '很不错的一家宾馆。地处无锡市的核心地带。距离八佰伴，王兴记200M，三凤桥400M，崇安寺、南禅寺都在1公里之内。宾馆闹中取静，民国建筑很有感觉。只是，不能因为10月份了，宾馆自己觉得凉快了，就可以不开空调主机啊，毕竟不是每位旅客喜欢的温度都是一样的，毕竟房费里面也应该包含空调服务的！反正我睡着就很热，开了窗户都热。宾馆千万不要给自己个响应国家号召节能减排这么光面堂皇的理由，千万不能为了省这点钱丧', '短评打分': 5}
{'短评内容': '宾馆位于市中心的老式洋房，周边交通十分方便，闹中取静，宾馆内的小花园也很有味道', '短评打分': 5}
{'短评内容': '虽然地处绝对的市中心，但是却很幽静的一家宾馆', '短评打分': 5}
{'短评内容': '酒店具有浓厚的历史气息，位于于市中心的老式洋房，周边交通方便，闹中取静，购物和吃饭十分方便，下次有机会还要去。', '短评打分': 5}
{'短评内容': '除了有点吵 其他都很不错哦 晚上还有银耳汤送的 还可以买到优惠门票  值得推荐！', '短评打分': 5}
{'短评内容': '很不错，离市中心很近，环境和好，服务也好。不过这个天已经不给开空调啦，前台说是夜里很冷，所以只有通风，结果就是前半夜很热，后半夜冻死，哈哈', '短评打分': 5}
{'短评内容': '闹中取静,店内是庭院,店外是商业街;只是设施陈旧,有些房间和楼层刚换的地毯,味道刺鼻.', '短评打分': 1}
{'短评内容': '闹中取静，环境幽雅的老酒店', '短评打分': 3}
{'短评内容': '感觉还不错，就是卫生间的毛巾有点旧。下次还会住该酒店。', '短评打分': 5}
{'短评内容': '不错的酒店，环境挺好，交通也方便..................................................................................................................', '短评打分': 5}
{'短评内容': '饭店不错，但是离太湖风景区有点距离', '短评打分': 3}
{'短评内容': '位置很好，离南禅寺和东林书院斗很近，也有老字号的饭店，酒店设施还不错，就是床有点小', '短评打分': 3}
{'短评内容': '不错，交通方便，由于预定的房间没有了，升级到了别墅房。', '短评打分': 5}
{'短评内容': '該酒店地點很好,環境清靜,飲食方便,消費亦方便.\n房間價格亦實惠.', '短评打分': 5}
{'短评内容': '酒店很干净，我订的单人间，到酒店已晚上9点，单人间没了，酒店免费升级至商务单人间，床很大很大，有会客室，二个卫生间。', '短评打分': 5}
{'短评内容': '酒店不错，老饭店的新姿。有点武汉江汉饭店的味道。性价比不错，出门就是商业中心，闹中取静。唯一就是床小了点，订的大床房，床只有1.5M，起码要1.8M啊', '短评打分': 5}
{'短评内容': '值得一住，真正是闹中取静，环境非常不错，唯一不足的是住在老楼的话，直面地铁工地，晚上施工声响比较大。', '短评打分': 5}
{'短评内容': '地理位置不错，满中心的，到崇安寺跟南禅寺都用走的就可以~\n就是门口在修地铁，听说已经一年半了，还没好= =  所以周围环境不太佳\n\n住的豪华单间，六号新楼，装修味还稍有一点~ 房间跟卫生淋浴都满干净的\n\n饭店有代购无锡景点门票服务，有一定折扣，不错喔~ \n', '短评打分': 5}
{'短评内容': '这家酒店的性价比很差，卫生情况不好，毛巾看上去有点脏。但是出行还是很方便的，希望有所改进。以后应该不会去住。', '短评打分': 1}
{'短评内容': '梁溪确实有些旧了，毛巾都黑乎乎的了，该重新装修一下了，不过住在梁溪可以买到很便宜的景点门票，所以一直住这里', '短评打分': 5}
{'短评内容': '酒店的环境和地理位置都不错，只是早餐性价比很差；.......', '短评打分': 5}
{'短评内容': '酒店环境不错，据说是以前林立果的私家大院。\n不过地处闹市区，早上噪音大。\n早餐一般，房间内连免费的矿泉水都没有。', '短评打分': 1}
{'短评内容': '位于市中心方便、快捷、价格实惠，有单早。', '短评打分': 5}
{'短评内容': '房间比较干净，卫生间的门和冲淋房的门共用，设计比较有特色。', '短评打分': 5}
{'短评内容': '有历史的酒店，客房有的是在小楼里面。\n住的主楼，4层，不高。\n客房新装修了，设计还是不错的。走道地毯，客房地毯，比较干净。\n客房床，太软，睡得不舒服，腰疼。枕头也是太软。\n餐厅味道还是可以的。比较正宗，干净。\n加了床，多花80。价格可以去住新锦江了。\n结账速度还是快的。\n市中心，逛街还是方便的。', '短评打分': 5}
{'短评内容': '地段不错，装修较新，交通方便快捷，服务周到，很不错', '短评打分': 5}
{'短评内容': '酒店又开始提供早餐了，这样比较好，饭店的网速是很快的，以后还会常住的。', '短评打分': 5}
{'短评内容': '新楼很不错 性价比很高 地点也ok 没什么问题 下次可以住住齐眉居', '短评打分': 5}
{'短评内容': '住的应该是新装修的，整体硬件不错，四周餐饮购物很方便，下次继续。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置和环境都很不错，装修较新交通方便', '短评打分': 5}
{'短评内容': ',  环境很好！硬件设施比较老化。总体感觉还行。', '短评打分': 3}
{'短评内容': '不错的酒店，下次来还是这里！地段很好！就是房间装修有点旧了', '短评打分': 5}
{'短评内容': '不错的花园酒店，很有味道', '短评打分': 3}
{'短评内容': '主楼装修较新，设备齐全，交通方便，值得推荐', '短评打分': 5}
{'短评内容': '该酒店不错，地理位置各方面都不错，推荐朋友入住。', '短评打分': 5}
{'短评内容': '房间比想的要小，服务不错，当时我还把网线给插错了是服务台的先生帮我搞好的，谢谢。\n不足 话就是电视机实在太老太小了，好郁闷呢。', '短评打分': 5}
{'短评内容': '很老很久的酒店。价格太贵！实在不会再住。', '短评打分': 1}
{'短评内容': '很不错，闹中取静，环境也不错，主楼是新装修的设施还行', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很好，历史悠久，服务很不错，经常住这家，以后还会入住', '短评打分': 5}
{'短评内容': '服务很好，周边也很繁华，就是门口在修地铁，旁边酒店在装修，很吵。', '短评打分': 5}
{'短评内容': '环境不错，交通方便是个好地方,房间也卫生干净', '短评打分': 5}
{'短评内容': '房间旧了点', '短评打分': 3}
{'短评内容': '地理环境位置十分方便,停车方便,价格也非常合理,就是早餐不太可口!', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '给客户定的，反馈意见还可以。推荐入住，市中心，逛街很方便。', '短评打分': 5}
{'短评内容': '服务不好，空调坏了还不乐意修，位置挺好的，性价比还不错，我同事的房子没问题就好，我就感冒了。', '短评打分': 1}
{'短评内容': '环境还不错 \n地段也可以\n房间稍微旧了一点\n\n', '短评打分': 5}
{'短评内容': '交通便利，价格合适，环境还不错。位于市中心。', '短评打分': 5}
{'短评内容': '客服态度不错，地理位置也好找～就是客房设施简陋，房里地毯很脏，过道地毯气味很大～', '短评打分': 3}
{'短评内容': '帮同事预定的，位置比较好，在商业中心，进出方便。服务也不错，下次会继续预定。', '短评打分': 5}
{'短评内容': '酒店周围环境很安静，服务员的服务很好，这次还赠送了早餐，房间也很宽敞明亮，很喜欢，下次还会入住的。', '短评打分': 5}
{'短评内容': '说实话，进了大门后我都失望了，不知道大堂在哪里，也没有任何标志。进了客房，过道一片漆黑，房间都找不到。\n\n不过房间里的设施很不错，床也很舒服，比较难见的是竟然有洗手液，还是舒肤佳的，入住后总体感觉不错，可能还是在装修，希望前台的设施能改善一下。\n\n早餐很一般，不推荐', '短评打分': 5}
{'短评内容': '帮同事预定的，第3次了，位置好，出行方便。服务也不错。', '短评打分': 5}
{'短评内容': '酒店的服务人员不错，有问必答，很亲切，齐眉的房间有分大床跟双床的，我们想要大床的，结果到了之后没有大床的了，帮我们留的是双床的，只好再换。酒店中庭的小花园还不错，里面还有2栋酒店的住房，应该不错，但是不知道价格如何。酒店就在市中心比较繁华的地段。', '短评打分': 5}
{'短评内容': '经常住这里反正也习惯了，感觉房间价格和服务都还可以。', '短评打分': 5}
{'短评内容': '交通还很方便，比较安静和舒适，服务也不错。', '短评打分': 5}
{'短评内容': '位置很好，八佰伴旁边，房间不大，用的家具不知是响应环保还是风格使然，感觉较旧。小地方很贴心，不过四星的没吹风机有点奇怪，还好。', '短评打分': 3}
{'短评内容': '一直住这个饭店，反正交通便利，挺好，就是早餐没有了，缺少了诱惑', '短评打分': 5}
{'短评内容': '房间里有装修的味道，不送早餐，服务一般。只是地段尚可', '短评打分': 1}
{'短评内容': '服务非常好！我入住时，所定的房间没有了，直接给我升级成套房。\n硬件条件也不错，地理位置就在著名的南禅寺对面。\n旅游商务都不错。', '短评打分': 5}
{'短评内容': '地段和房间都还可以，就是早餐不好，，，，，，，', '短评打分': 5}
