{'短评内容': '真的很不错，以后还会再来！', '短评打分': 5}
{'短评内容': '可以看见很美的太湖风景，酒店很干净，服务也很好。\n让人住着很舒服。', '短评打分': 5}
{'短评内容': '非常好的酒店，下次还会入住，如果一定要提要求，就是服务能力要提高', '短评打分': 3}
{'短评内容': '极其优美灵动的希尔顿酒店。结合了大佛的空灵，和太湖园林的极致典雅。以后每次节假日一定会再去。', '短评打分': 5}
{'短评内容': '酒店服务挺好的，环境也不错，就感觉细节上不太像5星，不过还算满意啦', '短评打分': 3}
{'短评内容': '入住3天。9到12号。', '短评打分': 3}
{'短评内容': '面向太湖，另外离新开发的龙头渚很近，开着车兜盘山公路，景色优美。酒店内部很大，有室内温水游泳池。吃饭的地方景色很美，价格也不太贵，还可以叫到房间吃，不加收服务费。\n房间很大。\n\n缺点，如果天气热，有蓝藻的臭味，另外离市区比较远，周边也比较荒凉一点。', '短评打分': 5}
{'短评内容': '是个自驾车的好去处，在里面都不用出去，环境，设施非常齐全，美中不足是早餐，不是很丰盛，每天一样的菜式，员工都很亲切，他们的餐厅经理很热情', '短评打分': 5}
{'短评内容': '环境很好，酒店也很新，很喜欢这种酒店。下次还会选择的', '短评打分': 5}
{'短评内容': '缺点主要有浴室的水一会儿热一会冷，水也小了一点，早餐吃的人多了所以被安排到旁边的小餐厅吃，东西不算太多，煎蛋也不是现煎的，所以不是不好，只是以这个价格来说做得还不够好，性格比不高。', '短评打分': 1}
{'短评内容': '\n环境不错', '短评打分': 3}
{'短评内容': '＋飯店很舒服…希望再來玩…', '短评打分': 3}
{'短评内容': '去那边给未婚夫过生日的，订了豪华套房，经理人很好，选的房间位置极佳，布置了也很简单大方，还有谢谢你们的蛋糕真的很好吃。。。唯一不足的就是有飞虫，叮在蛋糕上了，所以可惜了大半个蛋糕了。。。建议酒店可以考虑种点驱虫的植物吧，总体来说真的很喜欢这里，下次来太湖还是继续住这里', '短评打分': 5}
{'短评内容': '环境优美设施不错 修建中 尚不完善 餐厅美食甚佳', '短评打分': 5}
{'短评内容': '总的来说相当不错，性价非常高，以后有机会还会去的', '短评打分': 5}
{'短评内容': '+环境好、空气好，硬件较好，适合自助游玩，商务服务较方面较弱', '短评打分': 5}
{'短评内容': '环境没得说！好！\n服务很好，服务人员都微笑主动打招呼。\n不足：\n   1.房间电源插口太少。\n   2.卫生间没有化妆镜\n   3.卫生间设计有问题，洗淋浴排水太慢。而且地势问题，水会漏到外面。弄的台盆下都是水。用了三条浴巾才擦干。\n\n总体还是满意！！！！', '短评打分': 5}
{'短评内容': '10.2日先到了1881半岛,感觉实在太山寨,于是换到希尔顿逸林.综合评价非常好,就是广本雅阁和奔驰S350的区别,不用多废话!', '短评打分': 5}
{'短评内容': '硬件不错，配套不行，酒店定价不够灵活，显得老板不太会做生意', '短评打分': 5}
{'短评内容': '+酒店位置很幽静，很适合度假。', '短评打分': 5}
{'短评内容': '酒店可能是因为新开的，导航仪找不到这里，路标又太少所以让人很难找。', '短评打分': 3}
{'短评内容': '酒店还不错，就是走错了路，所以饶了路才找到。路标太少了，让人迷糊。', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '酒店环境很安静，是个适合带儿童和长辈出游的地方，但酒店的位置比较偏出行若没自驾车会比较不方便，早餐品种比较少有些小失望，但服务', '短评打分': 5}
{'短评内容': '非常安静的度假酒店，环境、设施、服务全部很不错，随缘中餐厅的菜式也非常不错，符合无锡的特色。唯一让我想不通的是酒店的自助晚餐，居然只有火锅自助餐及蒙古烧烤自助餐？我用了火锅的自助餐，唯一的海鲜是不会动的虾，食物还不如大排档的，完完全全路边大排档的档次，这样的自助餐居然出现在五星希尔顿酒店，实在匪夷所思。希望酒店赶紧换成正规的自助晚餐，不然实在对不起希尔顿的名气。', '短评打分': 5}
{'短评内容': '环境优美，很适合一家三口度假。', '短评打分': 5}
{'短评内容': '汽车GPS导航仪找不到这家酒店，很奇怪。', '短评打分': 3}
{'短评内容': '房间面积不大，卫生间也小。舒适度不够，阳台上挂着蜘蛛网，有点恶心。', '短评打分': 1}
{'短评内容': '+很满意！', '短评打分': 5}
{'短评内容': '房间很满意', '短评打分': 5}
{'短评内容': '报告大家几个好消息，\r\n1、太湖的蓝藻最近好一些。臭味道好多了，尽管还有一点点，可以忍受。\r\n2、湖景房真的好漂亮，坐在阳台上喝茶打牌一级棒。\r\n3、从陆马公路和环太湖公路都有到灵山的指示牌，到灵山过去4公里左右就到西尔顿了。\r\n4、蚊虫是多一点，不过房间里有电蚊香。设施还行，有温水游泳池。\r\n5、酒店比较大、比较离市中心远一点，开车比较方便\r\n6、安静是酒店最大的特色，服务也比较热情，收费也还好', '短评打分': 5}
{'短评内容': '酒店的整体还是不错的，唯一不足的就是地理位置有点偏远 ，靠近灵山大佛 是绝对方便的，适合于自驾游的朋友，轻松度假，远离都市繁华的安逸生活。我们住的是3号楼。房间感觉有点小，整体还是满意的，如果价格能稍有降低，或者送早餐的话，更理想了。入住的旅客，可以免费使用游泳池等其他设施等等。。如果不是自驾的朋友，要注意出行的情况了。叫车好像是个问题。。。前台很忙碌，不过服务还很不错的。很感谢酒店的服务。推荐入', '短评打分': 5}
{'短评内容': '顶着希尔顿的光环，硬件不错。但是淋浴根本不密封，排水也不好。洗完一个澡，浴室已经水漫金山寺了', '短评打分': 1}
{'短评内容': '曾入住过国内三家希尔顿：上海希尔顿、金茂三亚希尔顿大酒店、无锡灵山元一希尔顿逸林酒店。 \r\n1)上海希尔顿:商务城市的商务酒店，无休闲功能，管理、服务水平一流。 \r\n2）金茂三亚希尔顿大酒店：因地处亚龙湾而高贵，管理水平有待提高。 \r\n3）无锡灵山元一希尔顿逸林酒店：太湖边，隔一条马路。应该说是沪宁线上很好的休闲度假地点。 \r\na)豪华湖景房在1、2号楼（在连通酒店大堂的左右）4～5层，尽管无法与', '短评打分': 3}
{'短评内容': '曾入住过国内三家希尔顿：上海希尔顿、金茂三亚希尔顿大酒店、无锡灵山元一希尔顿逸林酒店。\r\n1)上海希尔顿:商务城市的商务酒店，无休闲功能，管理、服务水平一流。\r\n2）金茂三亚希尔顿大酒店：因地处亚龙湾而高贵，管理水平有待提高。\r\n3）无锡灵山元一希尔顿逸林酒店：太湖边，隔一条马路。应该说是沪宁线上很好的休闲度假地点。\r\na)豪华湖景房在1、2号楼（在连通酒店大堂的左右）4～5层，尽管无法与金茂三亚', '短评打分': 5}
{'短评内容': '虽然酒店还没有完全建成，但大堂设计还不错，较成功地融合了水乡特色。遗憾的是入住的四号楼特别是底楼很潮湿，房间里潮气很重，甚至被褥都有湿感，不得不换房。整个酒店内的卫生状况也有改进余地。\n早餐的服务生态度冷漠，显然培训工作没有跟上。\n', '短评打分': 1}
{'短评内容': '酒店本身是很好的 设施也不错\r\n不过感觉生日太好了 导致全程都人很多 走廊里面小孩跑来跑去得 \r\n在那么好的位置，没有体会到“悠然见南山”的情怀 有点可惜\r\n下回应该绝对不会在双休日入住', '短评打分': 5}
{'短评内容': '如果该酒店的餐饮可以到达一定水准的话， 可以成为上海Expat们周末度假的一个好去处。我们本来订了两晚，但是住了一晚就离开了， 因为酒店没合适我们吃喝的地方。', '短评打分': 1}
{'短评内容': '好喜欢湖景房，浴池在阳台上，一边泡澡一边欣赏太湖景色，那感觉。。。。。。', '短评打分': 5}
{'短评内容': '环境还不错，但是没有GPRS的话真的不大好找。酒店的工作人员态度都很好，会向朋友推荐这一家的', '短评打分': 3}
{'短评内容': '酒店环境不错，但是淋浴房往外渗水，希望能改进一下', '短评打分': 5}
{'短评内容': '该酒店的设施不错,很有东南亚气氛.但是酒店的软设施实在太差.入住和退房都需要很长时间.办理入住时,把预授权办成了消费,以至于退房时,不能解除授权,让我多付了近两千人民币,要两周后退到我的信用卡上,这实在不象一家五星级的品牌酒店所应有的前台素质吧!!!房间阳台和楼层的阳台上有许多死虫子,打扫不及时,前一天晚上看到死虫,第二天中午还躺在那里.酒店的二楼西餐厅,现在提供火锅自助了,就是一五星酒店里的超级', '短评打分': 3}
{'短评内容': '该酒店的设施不错,很有东南亚气氛.但是酒店的软设施实在太差.入住和退房都需要很长时间.办理入住时,把预授权办成了消费,以至于退房时,不能解除授权,让我多付了近两千人民币,要两周后退到我的信用卡上,这实在不象一家五星级的品牌酒店所应有的前台素质吧!!!房间阳台和楼层的阳台上有许多死虫子,打扫不及时,前一天晚上看到死虫,第二天中午还躺在那里.酒店的二楼西餐厅,现在提供火锅自助了,就是一五星酒店里的超级', '短评打分': 1}
{'短评内容': '酒店地理位置偏远，周边没有可以闲逛的地方，距离灵山不远。酒店很气派，服务不错，房间很好，楼与楼之间有苏州园林之气息。总体感觉很好。', '短评打分': 5}
{'短评内容': '酒店设施蛮好的， 就是网上人气不住！\u3000周边也缺乏一些相应的高档一些的娱乐设施\u3000！！！\u3000', '短评打分': 3}
{'短评内容': '很不错的酒店， 度假休闲的好地方。 可惜周围的娱乐设施少了一些。 ', '短评打分': 5}
{'短评内容': '定的是湖景房，看出去还算不错，但是房间整体装修比较粗糙，地毯看上去比较脏，整体性价比不高。不过前台态度还不错。', '短评打分': 1}
{'短评内容': '酒店真的不错，环境、卫生、服务都很好。下次度假还去住。', '短评打分': 5}
{'短评内容': '各方面都不错，是度假的好地方，下次还会来的，赠送的甜点也很美味！', '短评打分': 5}
{'短评内容': '节假日接待、餐饮需要加大投入。', '短评打分': 5}
{'短评内容': '很不错的酒店,站在阳台上看太湖,有很开阔的感觉.服务也很好,尤其是中餐厅,性价比不错', '短评打分': 5}
{'短评内容': '环境一流，但就是有点偏，很难找，连当地的的士司机都花了很大力气才找到那里', '短评打分': 1}
{'短评内容': '希尔顿逸林真的很灵的 最棒的就是可以一边泡澡一边欣赏太湖', '短评打分': 5}
{'短评内容': '经朋友介绍入住该酒店确实很好，环境也很好，很安静，房间的布置、装潢别具一格，站在窗前眺望太湖真的很美。\r\n', '短评打分': 5}
{'短评内容': '3/21在酒店住了一天，总的感觉相当不错。酒店的设施够一流，湖景房的阳台浴缸给人印象最深。酒店各项服务也到位。健身房和泳池开放时间从早6点到晚11点，够长。遇到的服务员都能主动微笑问好；用餐时向餐厅服务员打听无锡王兴记的地址，也能帮助解决，后来还特意来提示所给地址附近在修路，又提供另一地址供选择。事虽小反映出酒店对客人的服务在管理上是有要求的。我很满意。指出点不足：1客房有一灯不亮，虽能及时修理，', '短评打分': 5}
{'短评内容': '价位略高', '短评打分': 5}
{'短评内容': 'check in的时候大堂副理来推荐了湖景房，果然不错，窗外就是浩淼的太湖，临窗的浴缸设置也很有创意。酒店依山面湖，虽离市区较远，对于真正要安静度假的客人来说是不错的选择。但在服务的细节上还有待提高，我房间的枕套上居然有大块的黄渍，还发现了遗留的头发，服务员倒是很快来换掉了。另外晚餐的上菜速度太慢，自助早餐的一些品种都是凉的，这些方面令人颇为失望，不符合希尔顿的品质。', '短评打分': 5}
{'短评内容': '酒店位置较偏，元月一号当天早餐跟五星级不相配，不仅品种少，而且没有领位的服务员，最后由于人多的关系吧造成无位可坐的局面，我想这不应该是五星级酒店应该出现的状况。', '短评打分': 1}
{'短评内容': '酒店个方面都挺不错的,性价比也蛮高的,值得推荐', '短评打分': 3}
{'短评内容': '酒店位置在风景区，背山面水，自然风景很不错，房间的装修是休闲风格，浴缸不在卫生间，而是在阳台旁边，整面是落地的窗户，看出去就是太湖，非常美。缺点就是酒店有几栋楼组成，房间较远，走廊没空调，餐饮太单调。', '短评打分': 5}
{'短评内容': '不好；客訴沒人理', '短评打分': 3}
{'短评内容': '刚从酒店回到家中，整体感觉很好，服务和设施都是一流的，由于正好复旦大学EMBA的江苏校友聚会，客房不够，我预定的逸林大床房和双床房自动升级成了湖景房，有点小小的窃喜。美中不足的是位置较偏，不是自驾车的话路程较远，从无锡市区到酒店需要1个半小时，另外中餐厅的上菜速度虽然已经改善，菜价确实便宜，不过菜的味道并没有体现出五星级的水准，还有酒店房间使用的毛巾、浴巾等也不是很高档，一抖就有纤维掉落，希望在细', '短评打分': 5}
{'短评内容': '酒店很气派，有独特的风格，但是交通太不方便了，连出租车都没有，都只有私家出租车，那些车都很旧又烂，但酒店是真的值得去住一晚，顺便说一下如果诸位要去苏州的话，一定要去住苏州吴宫喜来登喔，好有风格呢！', '短评打分': 5}
{'短评内容': '起初是看了希厂顿这饭店才入住的;没想到跟一般的郊区酒店没什么两样啊;从入住的那天接待就很失礼的急着要完成他的工作;而乎略了一旁的我的家人;等到待者跟我到客房还故意介故停留很久根本就是在等小费.问他泳池在哪他敷衍的代过,泳池水很脏至才半个月没换水服务人员特少连个救生员也没有实在危险.健身中心简介说有课程其实也没有;都没人啊只有需要消费的按摩房才有人服务但一听我不消费就不理人了.晚餐的中餐厅更烂了居然', '短评打分': 1}
