{'短评内容': '最近楼外在装修，比较吵', '短评打分': 4}
{'短评内容': '房间整洁，地里位置较方便，就是房间小了些！', '短评打分': 3}
{'短评内容': '酒店还行，大床间的独力卫生间有点小，环境好', '短评打分': 5}
{'短评内容': '感觉一般，房间比较小，跟七天，如家等一般的商务酒店差不多\n价格略高，刚刚住下，还得慢慢品味\n周围有很多的小餐馆，吃饭比较方便', '短评打分': 1}
{'短评内容': '位置不错，卫生也很好。也安静。店主总是推荐他们的连锁卡。\n房间内收费项目比较多，停车的地方有点 小。不过在乌鲁木齐的这条北京路上，能有个这种地方也不错了', '短评打分': 5}
{'短评内容': '干净，位置好，交通方便，物有所值，晚上较稍吵', '短评打分': 5}
{'短评内容': '酒店—般', '短评打分': 3}
{'短评内容': '不错,干净舒适', '短评打分': 3}
{'短评内容': '成功入住乌鲁木齐美豪速8 谢谢!', '短评打分': 3}
{'短评内容': '酒店卫生不够，房间有味道，周边吃饭的地方不多。', '短评打分': 1}
{'短评内容': '明明在线预定了，早上下了飞机 ，直接过去了，前台却说我没有预定，然后 一大早的上班时间 在冬天的乌鲁木齐 雪中 等出租车 到处重新 找酒店 ，我 直接 无语了 。', '短评打分': 1}
{'短评内容': '感觉不错，服务态度及硬件都很好。卫生间设施蛮齐全的，卫生条件很好。', '短评打分': 5}
{'短评内容': '各方面条件还不错，服务员很热情，下次还住这。', '短评打分': 5}
{'短评内容': '服务不错 ，位置很好 卫生也好  早餐丰富', '短评打分': 5}
{'短评内容': ' 感觉不错 服务及硬件都很好 早餐不错', '短评打分': 3}
{'短评内容': '总体来说还可以的酒店，卫生间设施蛮齐全的，卫生条件很好，床品睡着舒服，布置的比较简洁，住宿条件一般', '短评打分': 3}
{'短评内容': '酒店周边环境很不错，房间装修的比较新，硬件设施很齐全，房间里可以上网，网速还可以，比较顺畅，前台服务热情周到，房间舒适度不错', '短评打分': 5}
{'短评内容': '总体感觉很不错的酒店，房间硬件设施较七区，服务很好热情周到，卫生条件不错，干净整洁，住着舒服', '短评打分': 5}
{'短评内容': '酒店周边出行蛮方便的，性价比还可以，装修风格不错，环境很优雅，价格适中，住宿环境不错', '短评打分': 5}
{'短评内容': '酒店位置不错，周边出行蛮方便的，性价比还可以，房间布置的简单大方，一些基础硬件设施齐全，服务还好', '短评打分': 3}
{'短评内容': '房间床单很干净，卫生条件不错，酒店在十字路口附近，比较醒目很好找，门口打车坐公交都很方便，房间卫生条件不错，住宿条件很好', '短评打分': 5}
{'短评内容': '房间硬件设施比较好，蛮齐全的，还可以上网，很方便，卫生间是透明玻璃的，设计的还可以，卫生条件不错，住着还可以', '短评打分': 3}
{'短评内容': '酒店的服务很好，服务员随叫随到，办事效率蛮速度的，早餐很适合北方人的口味，卫生不错，房间打扫的很干净，房间装修的很古朴，距离机场较近', '短评打分': 5}
{'短评内容': '卫生不错而且感觉环境很好，蛮安静的，房间舒适度很好，酒店服务不错，前台办理入住手续很快，酒店位置不错，周边出行方便', '短评打分': 5}
{'短评内容': '酒店距离步行街不远，出行很方便，房间隔音效果不错，装修的比较简单，色彩搭配很合理，住着很温馨，卫生不错，感觉很干净，各方面都很好', '短评打分': 5}
