{'短评内容': '房间比较袖珍，单人床非常窄，带孩子不方便住', '短评打分': 5}
{'短评内容': '环境好，木屋有点味。服务不错。', '短评打分': 3}
{'短评内容': '设施完善、管理有序、环境优美、服务周到热情，如果您想真正过上一段脱离城市的安静生活，这是一个值得去的地方。', '短评打分': 5}
{'短评内容': '住一个晚上是可以的，比较休闲原生态，躺在床上晒太阳听海浪声吹海风看大海，在吃晚餐的时候我被蚊子咬了很多包，晚餐只营业到10点。早餐吃素吃了顺便去南山看南海观音吃斋饭.....不错的，就是服务有在提高，开电动车的司机是不会给游客拿行李的这点我觉得很奇怪', '短评打分': 5}
{'短评内容': '小木屋别墅很温馨，服务员很好，晚上听海入睡太惬意了！', '短评打分': 3}
{'短评内容': '若该酒店不列入五星级或价格适中,则感觉还是不错。但既然是所谓五星级酒店(其实入住过的人都知道不配),就有以下不妥之处:1、服务员的素质实在太差，动作实在太慢，没有看到一丝五星酒店的样子，也就一个度假村而已；2、早餐太差。连6岁的小孩都要收78元的早餐费，却做出不值10元的早餐，一些稀饭馒头之类，也就农家乐的早餐水平；3、有欺骗行为。本来酒店是在大小洞天景区内，广告说送门票，其实也就是走过去而已，根', '短评打分': 1}
{'短评内容': '环境不错，地点不错，房子不错，软件需加强，服务员业务能力有待提高', '短评打分': 5}
{'短评内容': '有如世外桃源般的酒店，环境设施服务都不错。唯一美中不足就是服务员在打扫小木屋后总是打开所有的窗户，丛林里蚊子太多全都飞进屋里，连灭蚊器也无补于事。酒店餐厅菜色也比较单一。', '短评打分': 5}
{'短评内容': '非常不错的酒店，风景很好。小木屋也非常浪漫。', '短评打分': 5}
{'短评内容': '首先小月湾度假酒店的服务还是蛮好的，环境比较幽雅，适合小两口度蜜月度假什么的，特别是海边的别墅木屋，很不错，我老婆很喜欢开放式的餐厅，晚上在沙滩上烧烤也别有风味！', '短评打分': 5}
{'短评内容': '曲径通幽的栈道，面朝大海的早餐，热情接送的服务员，还有免费的大小洞天风景区观光游览，对于远离喧嚣的休闲度假而言，应该是个首选的地方。新国线公交车可以直达亚龙湾（最少一个半小时，车费17元，比打车100多，划算很多），可惜就是收工时间太早，六点以后，就只能请摩的司机送回景区，费用40元，不过就是一路迎风颠簸，飞沙走石。', '短评打分': 5}
{'短评内容': '客房在海边，在景区内。缺点是房间小，双人床还是用2张单人床拼起来的，很不舒服。 好处是可随时在大小洞天景区内游玩，没有时间限制。', '短评打分': 1}
{'短评内容': '如果不需要游泳，不需要去其他景点玩，小月湾的确是非常好的选择。\r\n优势：更真实的大海，更贴近自然的环境，很有味道的小木屋\r\n劣势：交通不便，海滩沙粒太粗，不能游泳。\r\n意见：露天卫生间创意不错，不过下雨的话。。。在雨中WC的味道不好的。另外让人担心有蛇或者其他不受欢迎的东西入侵。\r\n期望：如果有可以游泳的地方，沙滩更细一点，买东西更方便一点（提供代客购物的话会很不错），那小月湾就完美了。\r\n\r\n下', '短评打分': 5}
{'短评内容': '酒店的服务还是可以的，服务员比较热情，就是住的人太少了，小木屋也很舒适，就是蚊虫比较多。吃饭比较贵，贵点也可以，就是做的味道很一般。希望酒店能够有更多其他的消费项目，比如游泳啊，什么的。环境感觉还是不错的。交通是非常的不方便，比亚龙湾还要差，晚八点后就没有出租车了，所以要想晚上出去玩的话，要在六点以前坐巴士出去。所以说该酒店还是非常适合度假的。但是旅游的话交通就不便利了。。', '短评打分': 5}
{'短评内容': '度假区里的工作人员都非常热情，木屋很有特色，海景很漂亮，在屋里打开门就看到海好舒服。可惜现在礁石太多不可以下水。希望下次去的时候就可以下水。这次妈妈都说很喜欢这里。', '短评打分': 5}
{'短评内容': '我们一家三口在小木屋里过了一个年，儿子喜欢得很，只要有时间就尽量钻到小木屋里，儿子走进小木屋说的第一句话就是“好温馨哪”，不错，就是时间住几夜的话可能衣服没地方晾。一句话，真的好好温馨的，服务员也不错，以后再去。', '短评打分': 5}
{'短评内容': '非常不错的一家度假酒店，位置在南山那边，适合想要安静独处的游人！', '短评打分': 5}
{'短评内容': '花园还不错，早餐可以，就是沙滩没有亚龙湾的号', '短评打分': 5}
{'短评内容': '酒店在大小洞天景内，面海背山，晚上睡觉时可以听到海浪声。设施一般，但位置太好了，非常适合酒店领海的大堂发呆。坐在哪儿，体会的是最美在心，也在眼前。\r\n\r\n', '短评打分': 5}
