{'短评内容': '早餐丰盛，近商业区', '短评打分': 5}
{'短评内容': '这个酒店非常不错。住的非常舒服。房间也大，很干净。餐饮的味道也不错，就是有点咸。算是朔州市性价比最好的酒店了。下次还会去住。', '短评打分': 5}
{'短评内容': '不错。值得推荐！。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这个酒店非常不错，可以说是朔州性价比最好的酒店了，硬件和软件还都不错。餐饮的味道不错，就是有点咸。再就是到酒店登记时，酒店说查不到预定，后来又说有了，说明管理还存在问题。', '短评打分': 5}
{'短评内容': '房间还算舒适，退房结算时间太长,服务不够热情。', '短评打分': 3}
{'短评内容': '环境，服务都不错，朔州的好选择。不过在朔州来说，算是价位较高一点的，不过物有所值。', '短评打分': 5}
{'短评内容': '硬件非常好 服务非常不好 自驾车方便 还可以 ', '短评打分': 5}
{'短评内容': '不错。值得推荐。尤其是酒店的装修值得一提', '短评打分': 5}
{'短评内容': '不错。酒店装修，早餐都不错。算得上我住过四星级里面最好的酒店了.就是交通不是很便利，打车不太好打', '短评打分': 5}
{'短评内容': '环境不错,房间舒适,交通便利,还会入住.', '短评打分': 5}
{'短评内容': '酒店还蛮不错的。反正在朔州是最好的了。。。。。', '短评打分': 5}
{'短评内容': '一般吧，反正也找不到更好的了。靠近高速挺方便的。', '短评打分': 5}
{'短评内容': '酒店非常好，房间宽大，设施很新，尤其是卫生间的热水，水压很大，冲淋浴的感觉非常好，价格对于商务出行而言偏高，正好赶上打折，折后居然258元。', '短评打分': 5}
{'短评内容': '当地比较好的酒店，这次住的酒店卫生间没有异味。还好。不过中央空调出问题了，搞的很郁闷。', '短评打分': 5}
{'短评内容': '性价比极高的一家酒店，值得一住,满意它的卫生条件，而且很安静', '短评打分': 5}
{'短评内容': '早点不好.也算是朔州最好的酒店之一了应该提高提高\n', '短评打分': 5}
{'短评内容': '推荐。酒店硬件不错，前台和客房服务也好，只是卫生间有味，空调不凉。', '短评打分': 3}
{'短评内容': '酒店不错，在朔州应该属于最好的了，淋浴非常好，每次来都住这。', '短评打分': 5}
{'短评内容': '酒店房间卫生间有异味，服务不怎么到位。。。。。', '短评打分': 5}
{'短评内容': '非常值得推荐，性价比高，交通便利，距离汽车站 ，高速路近', '短评打分': 5}
{'短评内容': '非常方便，出门就是高速入口。朔州最好的酒店，非常值得推荐', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '离长途车站近', '短评打分': 3}
{'短评内容': '床垫比较硬，希望能加厚使睡眠舒服点，吃的东西有点少', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还好，服务很好，也比较干净卫生。就是自助早餐很一般', '短评打分': 5}
{'短评内容': '早餐不丰富，不过这个价钱性价比还算可以了', '短评打分': 5}
{'短评内容': '洗手间的味道还是要改进一下, 其他就是餐厅改进一下', '短评打分': 5}
{'短评内容': '交通方便 最靠近高速口的酒店 性价比可以', '短评打分': 5}
{'短评内容': '整体不错', '短评打分': 3}
{'短评内容': '以前就住过, 朔州最好的酒店之一, 很干净, 就是冬天空调不够, 有点儿冷', '短评打分': 5}
{'短评内容': '还是住在上次来的那个房间。房间还是老样子，就是卫生间有味道。其他没什么。挺好的。推荐。', '短评打分': 5}
{'短评内容': '就是酒店餐厅的上菜速度比较慢。。太慢了。。房间卫生间有异味，发现很多房间都这样。不过这酒店的性价比还是很好的。', '短评打分': 5}
{'短评内容': '房间设施不错。算是当地最好的酒店了!!!', '短评打分': 5}
{'短评内容': '已经经常住了，可以定的就两家，轮流住也可以', '短评打分': 5}
{'短评内容': '位置就在高速路口 ，开车往返就很不错，城市也就这么点大小，附近要开车去吃东西', '短评打分': 5}
{'短评内容': '早餐如果款式更多就还好，不过现在已经不错了，就是娱乐比较少', '短评打分': 5}
{'短评内容': '酒店还是好酒店，就是有些房间有点异味,位置很好', '短评打分': 5}
{'短评内容': '还不错，酒店的服务对得起这个价位。在朔州来说 算是比较高档的酒店了，性价比好。交通还算方便，我是去平鲁区办事。', '短评打分': 5}
{'短评内容': '酒店性价比还是很高，会议期间住房预定比较紧张', '短评打分': 5}
{'短评内容': '环境挺好房间的设施卫生都还行，酒店价格还是很便宜的，因为也是第一次过去感觉位置不是很好找。', '短评打分': 5}
{'短评内容': '离高速公路挺近的交通位置是不错，房间还是比较一般设施达不到四星标准，服务也没什么特别地方，价格倒是挺优惠的。', '短评打分': 5}
{'短评内容': '房间还不错，酒店服务也很好，性价比也很合适。酒店的环境总体看起来不错还是值得推荐的一家。', '短评打分': 5}
{'短评内容': '在当地算是比较好的酒店了。就是服务员的脑子反应会比较慢一点。卫生间有异味，实在有点受不了。其他卫生搞得挺不错的。性价比挺高', '短评打分': 5}
{'短评内容': '酒店宽敞明亮，性价比较好，早餐丰富，是我来这里的常住酒店。', '短评打分': 5}
{'短评内容': '位置偏，周围买不到东西，吃饭要走很远的路。', '短评打分': 3}
{'短评内容': '早餐丰富可口，服务热情周到，干净卫生。宽敞明亮。', '短评打分': 5}
{'短评内容': '卫生很好，房间很宽敞，下次还会来这里住。', '短评打分': 5}
{'短评内容': '位置比较偏，要走十分钟才有一个便利店，比较不方便。\r\n早餐很好吃，样式多。', '短评打分': 1}
{'短评内容': '酒店地理位置不错，靠近我办事的地方蛮近的，服务也还好，整体觉得住宿环境还是不错的', '短评打分': 5}
{'短评内容': '房间比较宽敞，感觉不错。位置不错，紧临民福东街。早餐一般。', '短评打分': 3}
{'短评内容': '环境不错，服务也不错。房间很大，尤其是豪华单间。', '短评打分': 5}
{'短评内容': '酒店的位置不错，我是就近选的，距离我办事的地点比较近.其它各方面服务也不错，综合水平比较好.', '短评打分': 5}
{'短评内容': '这个酒店不错，是个新酒店，比以前住的平朔酒店好多了。唯一不好的是，吃饭，只有自助餐，或包房，要想散点菜，得去茶餐厅，又太简单。', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '\r\n不错', '短评打分': 1}
