{'短评内容': '不怎么样啊', '短评打分': 3}
{'短评内容': '地段好，就是房间太破旧了，设施很差，如果能改进就好', '短评打分': 1}
{'短评内容': '优点：离文殊院景区很近，周围环境较好。价位合理；\n缺点：一、酒店比较旧，彻夜开空调，还是很冷；二、我住的房间墙壁纸都脱落发霉；三、中午时我准备外出吃饭，想在前台存包，竟然要每个包收一元钱的存包费，钱虽然不多，但是让人感觉心里很不舒服。这点就不如锦江之星、如家酒店了，在这些酒店即使退房后外出也可以免费存包。', '短评打分': 1}
{'短评内容': '酒店一般。不过价格很便宜', '短评打分': 3}
{'短评内容': '卫生还不错……就是隔音效果极差。。整个隔壁的谈话就是现场直播。。性价比还行吧。', '短评打分': 5}
{'短评内容': ' 地段还可以，房间很旧。我是晚上24点入住的，早上赶飞机早上六点就退房了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': ' 房间很小，热水还是需要烧的，卫生间没有提供地板垫，非常滑，我妈都摔跤了', '短评打分': 3}
{'短评内容': '服务态度一般，门锁有问题，设施还可以，就是地点不是很好找', '短评打分': 5}
{'短评内容': '大冬天的热水不够用，洗了几分钟就没热水了', '短评打分': 1}
{'短评内容': ',条件一般,位置好!', '短评打分': 3}
{'短评内容': '什么都还不错就是隔音又点差了！还有就是卫生间里的设施应该换换了！有些都有点烂了！', '短评打分': 5}
{'短评内容': '性价比还是不错的， 按照她家的价钱还是很值得住的', '短评打分': 5}
{'短评内容': '实惠‘服务好', '短评打分': 3}
{'短评内容': '周边比较安静,房间不大装修比较旧墙纸都破了', '短评打分': 3}
{'短评内容': '文殊坊祥平酒店就是有一点点是，其它都好，就在广殊坊的旁边，交通也是比较方便的，服务也不错非常热情，价位也适合工薪们，下次如果去还会住的，并且也会向亲朋们推荐，非常好。', '短评打分': 5}
{'短评内容': '首先，位置不错，靠近文殊院，也靠近新开的人民中路上的一个地铁站，第二，价格比较便宜，118的价格算是比较低了，第三，设施很旧，屋子里味道比较大，好像不是连锁型的。总体来说比较适合预算很有限的人，稍微宽裕一点的不推荐入住。', '短评打分': 1}
{'短评内容': '舒适实惠', '短评打分': 3}
{'短评内容': '祥平酒店很好干净卫生', '短评打分': 3}
{'短评内容': '这个酒店真不怎么样，好大的霉味。', '短评打分': 3}
{'短评内容': '地理位置相当不错，2分钟到文殊坊。房间干净整洁宽敞，性价比很高了。', '短评打分': 5}
{'短评内容': '服务不好，不支持信用卡预授权。当晚我去刷卡的时候，服务员叫我明天刷卡，今天押金出现金。第二天一早又换了个服务员，她还怨我昨天怎么不刷信用卡。而且很不专业。后面她都没给我发票，等我回去要的时候，她还狡辩说我没有给她押金单。真的很目中无人。房间还凑乎。墙纸有脱落！我以后不会来了反正', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '设施还不错，就在文殊坊里面，出门就可以逛街，感觉环境很不错，很喜欢~', '短评打分': 5}
{'短评内容': '还是不错，价格也实惠，附近还有好多小吃，唯一的不足是房间隔音效果不是很好。。。。', '短评打分': 5}
{'短评内容': '服务一般，门都有问题 不过价格还便宜  下次如果服务好些的话还是可以去的  呵呵 ', '短评打分': 1}
{'短评内容': ' 环境不错 价格十惠  就是房间小点', '短评打分': 3}
{'短评内容': '总体来说还是不错的~感觉上很卫生！118这个价位在成都来说还是物有所值啦~但是就是位置有点难找！', '短评打分': 5}
{'短评内容': '太偏僻了 整体房间太小了 \n床也太硬了 很不舒适 \n出门做车 不是方便 建议 不要去 ', '短评打分': 1}
{'短评内容': '就像个招待所，感觉不好不值那个价', '短评打分': 3}
{'短评内容': '很一般，房间装饰很久，地毯有味道，电视颜色色彩失真严重', '短评打分': 1}
{'短评内容': '就是位置好，但是里面的设施还有等改善，\n特别说一句啊，有小强', '短评打分': 5}
{'短评内容': '还可以哈，就是餐厅不怎么卫生！离市区近这倒是挺方便的！', '短评打分': 5}
{'短评内容': '总的来说不错，离地铁站近，房间干净不错，就是不隔音，这个价钱也划算', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '离地铁很近，出行很方便。离文殊坊很近，看看很方便。离人人乐超市和摩尔百货很近，购物很方便。', '短评打分': 5}
{'短评内容': '相对来讲，地段不错。离地铁近，就是早餐问题一直没有解决过。另外就是，这个酒店离文殊坊比较近。', '短评打分': 5}
{'短评内容': '呵呵 总体还是比较可以的 只是这儿的早餐餐具 她居然直接就用抹布擦洗完以后就给顾客使用了 看到这一幕郁闷啊 那些员工在使用自己的餐具就自个用水煮半天', '短评打分': 5}
{'短评内容': '跟网友们说的一样，一个字差，居然价格还那么贵，里面的设施太差了，只能值100以内', '短评打分': 1}
{'短评内容': '适合背包旅游的驴友们，价格特优惠，位置也好不吵，在文殊坊站下车后进小巷里去就是的了。但是房间晚上隔音效果不太好，隔壁小声说话的声音都听得清楚。', '短评打分': 5}
{'短评内容': '酒店地点还算好，但环境非常一般,卫生环境还需要提高', '短评打分': 1}
{'短评内容': ' 总体来说不错，酒店等地理位置非常好，离那个春熙路很近，服务也很好，就是早饭有点早!!!!!!!!!!', '短评打分': 5}
{'短评内容': '地点离地铁，火车站都比较近，离文殊坊也近。唯一可惜的是——早餐如果自己不主动提出，也许就错过了。', '短评打分': 5}
{'短评内容': '酒店各方面都好，谢谢', '短评打分': 3}
{'短评内容': '酒店很不错，谢谢', '短评打分': 5}
{'短评内容': '服务态度差，酒店质量差！宰客现在严重！！！换了酒店未入住！', '短评打分': 5}
{'短评内容': '我们己入住成都文殊坊祥平酒店,房号317,这个酒店位置很好,交通方便,也有很多小吃,真是太好了。', '短评打分': 5}
{'短评内容': '提供特殊服务的老是在12点以后打电话:(', '短评打分': 5}
{'短评内容': '除了位置离文殊院近一点，其他的一点让人留恋的地方都没有\r\n硬件条件比较差，房间很小，屋子里味道怪怪的\r\n入住的时候被罩很脏，我要求更换，保洁竟然说床单用了三年了，洗不干净没办法！门缝里还被塞进学生妹的服务广告！！', '短评打分': 1}
{'短评内容': '不知道怎么说，，说位置好呢，旁边到处都是卖死人东西的，，除了很便宜，，完全找不到其它理由到这里了。。', '短评打分': 1}
{'短评内容': '住了两天了，早餐最雷人，服务员尽然在门口小摊给客人买豆浆油条做早餐，晕！房间不隔音，检查了才发现原来是窗户是连通的，汗！\r\n除了距离地铁以及周边小吃极近，其他。。。', '短评打分': 3}
{'短评内容': '该酒店哪都很差，均不值得推荐，唯一就是地理位置还可以。最让人不可容忍的是，一大早上睡得正香，突然一个陌生人拿着前台发的房卡进了我付了钱的房间！！！前台态度还比较恶劣！！！！', '短评打分': 1}
{'短评内容': ' 一般', '短评打分': 5}
{'短评内容': '房间还可以，不算小，但设施有些老，尤其床坐上去都摇晃，若非有返券估计不会续住', '短评打分': 1}
{'短评内容': '+酒店感觉挺不错，床很大，离景点文殊院很近，而且又小吃一条街。很兴奋啊。就是灯光暗了点插座少了点', '短评打分': 5}
{'短评内容': '地理位置不错，酒店古色古香，周围的交通，餐饮等配套设施都很齐全，很方便，由于是临时住一晚，没有太多要求，总体感觉还是很便捷，下次可能会仔细品味下~', '短评打分': 5}
{'短评内容': '卫生太差了，就是地理位置还可以 ...........', '短评打分': 1}
{'短评内容': '整体感觉还行。性价比不错。位置比较好，附近有很多小吃。离市中心近', '短评打分': 5}
{'短评内容': '一个烂酒店,可惜了这么好的位置.凑数字,凑数字.', '短评打分': 1}
{'短评内容': '在这个价位下，总的来说还是不错的，周围环境不错，小吃很多', '短评打分': 5}
{'短评内容': '酒店地方很好,服务还行.总体不错.', '短评打分': 5}
{'短评内容': '文书坊祥平酒店其他方面都还不错，但就是卫生间有点小，不过位置很好，旁边就是小吃一条街！', '短评打分': 5}
{'短评内容': '酒店设施较陈旧，服务态度还行，价格倒是不贵，房间窗户不好，淋浴喷头不好！', '短评打分': 5}
{'短评内容': '地段比较好，出行方便紧挨文殊坊，但是我一直想不明白所谓的禅文化就通过房间内的一幅画体现？服务态度一般，装修有点旧了，但是总体性价比还是不错的', '短评打分': 5}
{'短评内容': '卫生间很小，没有洗澡的拖鞋。走廊装修很久，墙纸脱落。早餐基本没有，叫了半天，也没有送。但大厅提供雨伞和免费上网服务，总的说来很一般，唯一好的是周围有很多地道的成都小吃，勉强能弥补遗憾。', '短评打分': 5}
{'短评内容': '比较方便环境还不错', '短评打分': 5}
{'短评内容': '离文殊坊很近，附件有很多藏品和小吃，去各景点也方便。服务不错！唯一不足就是小了点儿，但是性价比很高了。', '短评打分': 3}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '位置太好了，出门就是文殊坊和文殊院，周围的小吃也很多，很不错\r\n', '短评打分': 5}
{'短评内容': '总体感觉一般', '短评打分': 1}
{'短评内容': '还不错.就是晚上打来的骚扰电话满多的.', '短评打分': 5}
{'短评内容': '有点吵', '短评打分': 3}
{'短评内容': '有点吵', '短评打分': 5}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '位置不错，早餐建议不要吃了，性价比3.5', '短评打分': 3}
{'短评内容': '刚好适逢成都书博会，房价涨了近三分之一，位置不错，到文殊坊步行2分钟，附近有居民区，中药泡脚按摩的15/单次，洗头10/单次，吃小吃很方便，水果摊也很多，步行到最近的商业购物广场5分钟。但酒店很旧，早餐不咋的，如果是平日入住按会员价的话还是值的！', '短评打分': 5}
{'短评内容': '所有住过的酒店中这是早餐最差的一家。', '短评打分': 1}
{'短评内容': '位置还不错，不过小问题挺多，双人间偏小~', '短评打分': 1}
{'短评内容': '地理位置非常好，紧邻文殊院，有藏品市场和小吃等在附件。无论去火车站还是汽车站都很方便，到景点和商业街等地方也很便捷。唯一的不足是房间有点小，比较紧凑，建议增加衣柜和大点的桌子。', '短评打分': 5}
{'短评内容': '房间窗户互通，隔壁讲话听得一清二楚，很吵闹，早餐是包子、稀饭、咸菜和一个煮鸡蛋，不能多拿，要抢！', '短评打分': 1}
{'短评内容': '位置不错，文殊坊步行几分钟有的逛，周围有超便宜足疗，黄姐蹄花，万州烤鱼，老字号兔头，人人超市等。性价比高，出门方便\r\n\r\n酒店条件一般，卫生间没有做隔离，遍地水。服务态度很不好，结账时发票不问不给，问了后没细看只给了一天的。\r\n\r\n应该住附近的锦江之星就完美了', '短评打分': 5}
{'短评内容': '挺好的酒店，位置不错，设施不错!', '短评打分': 3}
{'短评内容': '酒店是普通的经济型酒店，设施等实属一般，但经营理念比较人性化，很多东西可以根据需要合理调整，因本次入住是会展时期，酒店紧张，预定及酒店安排方面出现了差错，过程曲折，但结果我们还是比较满意，在这里，感谢酒店前台美女及酒店经理的合理安排。我们下次还会入住。', '短评打分': 5}
{'短评内容': '酒店性价比很好，交通便利。赞一个！', '短评打分': 5}
{'短评内容': '真逗有点感觉上当了！！！', '短评打分': 1}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店位置不错， 装饰不错， 服务挺好（早餐简陋了点，呵呵），最重要的是性价比很高啊！', '短评打分': 5}
{'短评内容': '设施卫生好，位置方便出行。', '短评打分': 5}
{'短评内容': '真正的经济性酒店，位置好，在市中心，适合未开车的游客居住（无停车位）。但房间设施有点陈旧，喜欢成都小吃的朋友可以住此，周围全是著名的小吃。', '短评打分': 5}
{'短评内容': '特价房８８元，２楼靠窗的一间地毯好脏好旧', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施一般了，服务还不错。地理位置也还可以。', '短评打分': 5}
