{'descr': '还不错，去北京就定这', 'star': 5}
{'descr': '距离地铁13号线柳芳车站近，比较方便。房间比较干净。', 'star': 5}
{'descr': '第三次住了, 赶上暖气坏了, 就靠空调制热, 不太爽', 'star': 5}
{'descr': ' 酒店卫生较好', 'star': 3}
{'descr': '总体还不错， 就是前台的态度稍微差了些。 总体性价比还可以', 'star': 5}
{'descr': '床单弄脏了一点，结帐时被收了10元的清洗费，本人没在房间看到任何类似的标价。一次性拖鞋莫名其妙被打扫房间的人扔掉了，也不给新的。床底下都是灰，估计几个月没打扫过，还有之前客人吃东西留下来粘粘的包装', 'star': 1}
{'descr': '还不错， 挺干净的， 性价比比较高。   交通也还算方便， 下次应该会首选这家酒店的。 ', 'star': 5}
{'descr': '感觉还好！没有一次性的洗漱用具，洗漱套装十元！房间有些小', 'star': 5}
{'descr': '地点不错。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '给同事订的 位置 价格都可以 离公司也近 下次应该还会入住 同事说房间太小', 'star': 5}
{'descr': '给同事订的 位置 价格都可以 离公司也近 下次应该还会入住', 'star': 5}
{'descr': '对得起这个价格。位置还好，房间太小。。。。。', 'star': 5}
{'descr': '最后一分钟订到了酒店最后一间。\n尚可吧。有一点点小。。', 'star': 5}
{'descr': '房间比较干净，只是上网时没有明显提示操作手册，也不能直接上网还需拨号，不太方便', 'star': 5}
{'descr': '这里是我住过的酒店里最让我觉得恶心的了。前台服务就跟欠他多少钱一样，没有半分笑容，还存在乱收费现象', 'star': 3}
{'descr': '离地铁柳芳站比较近，旁边也有一家天虹百货，里面有超市。\n每天还送两个苹果，这个还不错！头几天没有，后面十几天天天都有。\n目前想到的不足就是没有餐厅。', 'star': 5}
{'descr': '下水道反味始终是个问题，其他都不错，还有就是国际品牌质量有保障，希望一直坚持', 'star': 5}
{'descr': '第一次住“速8”，才知道这酒店也有“文化积淀”，该店床铺被褥干爽舒适，比周围的如家、汉庭要好，步行到老国展4号门6分钟，很不错，下次来国展还住这里。', 'star': 5}
{'descr': '交通很方便，去机场火车站都很OK～但房间还是偏差，比杭州的速八差太多了。。。。可能因为太老旧了吧。。。距离东直门交通枢纽还有一站地铁，换乘走得路还是比较多的，最后赶飞机差点没赶上～ 下次来可能还是直接找东直门交通枢纽处的酒店～', 'star': 5}
{'descr': '酒店位置很好，交通方便，服务态度好，和同事一起，大家都很喜欢~', 'star': 5}
{'descr': '很不错，舒适干净，便捷，下回还是这里~~~', 'star': 5}
{'descr': '很好，很不错的。干净，离地铁站很近，很方便', 'star': 5}
{'descr': '入住手续办的有点慢，那天居然无法使用信用卡，要现金让我很狼狈。', 'star': 5}
{'descr': '入住手续办的慢，大厅没有空调热的很。外其他都还好。\n\n', 'star': 5}
{'descr': '除入住手续办的有点慢外其他都很好，交通方便', 'star': 5}
{'descr': '实惠点更好', 'star': 3}
{'descr': '不错，环境很好，交通便利，干净，舒适，安全', 'star': 5}
{'descr': '除入住手续办的有点慢外其他都很好  距离地铁柳芳站很近', 'star': 3}
{'descr': '交通方便  离地铁5分钟左右  房间整洁 服务态度好 吃的很方便 房间是新装修的有味 相信 几天以后就没有了 总的来说很好 ', 'star': 5}
{'descr': '还不错,就是房间小,离老国展很近', 'star': 3}
