{'短评内容': '房间有蜘蛛，房间设施老旧，老板也不热情。下次绝对不去了', '短评打分': 2}
{'短评内容': '客栈很不错…四楼还有个小阳台…晚上看', '短评打分': 3}
{'短评内容': '房间很不错，老板免费升级了房间，服务周到，就是有点难找，不过可以打电话给老板让他过来接！！！', '短评打分': 5}
{'短评内容': '不错。。。老板很热情，房间也干净。下次如果还去的话，应该还会再选这家吧！', '短评打分': 5}
{'短评内容': '我觉得那里的环境很好，老板人也不错还为我们介绍了当地的美食和游玩路线，下次如果还有时间一定会再次的光顾！', '短评打分': 3}
{'短评内容': '临江房环境不错，阳台很好可以看到江景，还有吧台', '短评打分': 3}
{'短评内容': '刚到客栈，老板蛮帅的，房间还不错，在顶楼有个阳台。晚上还可以在摇椅上看沱江夜景哟!', '短评打分': 3}
{'短评内容': ' 老板人挺好， 很热情  房间位于古城里面 到处玩 很方便', '短评打分': 5}
{'短评内容': '老板人很好，接送帮买票啥的。客栈内部环境如果再改善一些的话，就更棒了', '短评打分': 5}
{'短评内容': '小店在古城中，出入方便，临江房有阳台，可看到沱江及对岸建筑，夜景比较漂亮。老板给升级了房间，表示感谢。相邻有很多酒吧，要等到12:00后才能静下来，喜欢喝酒、逛夜店的朋友比较适合，喜欢安静的朋友可以考虑不靠江边的房间，价格也相对便宜。', '短评打分': 5}
{'短评内容': '酒店位置非常好,就在酒吧街樓下,入住衛生很好,最重要水夠熱暖氣夠暖,另外老闆人非常好,有機會再去一定再次入住', '短评打分': 5}
{'短评内容': '环境尚可…入夜后不吵的…这价钱值了…', '短评打分': 3}
{'短评内容': '如果你想安静的在凤凰度假，不建议住这家客栈，如果喜欢热闹就可以考虑。', '短评打分': 1}
{'短评内容': '环境不错，掌柜人很好！玩的挺开心的', '短评打分': 3}
{'短评内容': '定的特色木板屋，服务态度很好，还特地去接的我们怕找不到。顶层的露台也很不错，还能洗衣服晒衣服，就是房间有小强！', '短评打分': 5}
{'短评内容': '老板很热心，四楼景色不错，客栈位置很好，去哪都方便', '短评打分': 5}
{'短评内容': '老板很热心，看起来心态非常好的一个人，蛮会做生意，小孩很漂亮，四楼天台很舒服，露天的，上上网，吃吃水果，看看夜景，非常惬意。酒店位置也很好，去哪里都方便。', '短评打分': 5}
{'短评内容': '江景房推开门在阳台就可欣赏沱江，房间虽小，但还算整洁，特别是接待的小妹笑容不错', '短评打分': 5}
{'短评内容': '价格适中，但是房间较小，客栈老板很热情。。。', '短评打分': 5}
{'短评内容': '   这次的入住是相当的满意啊！首先，老板非常的热情，很会做生意~嘎嘎！客栈的地点是在沱江最繁华的地带，出去玩啊什么的很贴心~老板还做了一个很贴心的凤凰旅游攻略~相当的不错~鼓掌鼓掌！\n   不过我们所住的那间房间没有窗户，只有很小的两个通风的，对窗户要求比较高的朋友记得要提前向老板说明哦！', '短评打分': 5}
{'短评内容': '服务态度差,旁边就是酒吧噪音大，严重影响睡眠', '短评打分': 1}
{'短评内容': '住了五个晚上,遗憾的是没有住上江景房,但是住在四楼木板房,有个大平台也不错,能看到夜景,最后一天住在豪华房.比较靠近酒吧街,出入还是方便的,但是晚上可能会比较热闹.老板很帅...哈哈...反正就推荐一下...前台的美女,搞卫生的大妈,帅帅的老板,都是很健谈很热情..', '短评打分': 5}
{'短评内容': '位于酒吧街里头，有点偏，晚上热闹了点。老实说标准间条件不是很好，厕所也有点简陋，建议游客住木板房会特色点吧。老板很热情，到那了去南华门接我们入住，咨询一些问题都能帮忙解决~', '短评打分': 5}
{'短评内容': '就在酒吧街，交通方面，面对沱江，舒服。 房间可以接受。 ', '短评打分': 5}
{'短评内容': '很不错的江景，其实觉得住木板房好过江景房，因为木板房位于天台，景色特好！', '短评打分': 5}
{'短评内容': '推荐这家酒店的唯一原因，老板李云人不错。帮了很多忙，人很地道，长的很精神，门票之类的帮了些忙。其实酒店硬件条件真的很一般。\n总之评价在80分左右吧。', '短评打分': 5}
{'短评内容': '热水供应不正常、房间气味重、318房楼上是大热水器---噪音大、离酒吧街近喧哗到2点。', '短评打分': 1}
{'短评内容': '服务热情周到，房间整洁卫生，客栈在酒吧街，招牌小了一点，找不到的话会有人接~~晚上泡酒吧的话回去休息很方便', '短评打分': 5}
{'短评内容': '酒店还可以，酒店房间还能看到江景的，服务很好老板人挺热情的，性价比还不错，而且房间也能上网。', '短评打分': 5}
{'短评内容': '老板很热情，人也很好，住宿环境也不错。。。临江。。。值得入住。。。。', '短评打分': 5}
{'短评内容': '全新装修的房间非常干净，舒服，网速很快，服务也好。老板很喜欢运动，下午还和老板一起去打了篮球，不错。', '短评打分': 5}
{'短评内容': '老板好帅！也很能“ 策 ”！房间非常干净，舒服。打开窗就是美丽的沱江。地理位置也很不错哦。', '短评打分': 5}
{'短评内容': '住在沱江边的水云间，非常有诗意，房间格局很好，干净整洁，感觉蛮舒服的，那里的老板不但人长得帅气，而且又热情好客，有家的温暖。下次带朋友去，还住那里', '短评打分': 5}
{'短评内容': '房间还可以， 没有什么特色。出去玩也不会整天在房间，有澡洗有床睡而已。', '短评打分': 5}
{'短评内容': '感觉非常舒服。房间全新的装修，配套设施齐全，老板和员工热情好客，服务周到，很亲切！', '短评打分': 5}
