{'descr': '非常棒的酒店。明年还会来的', 'star': 5}
{'descr': '卫生方面还好，床单被罩还算干净，卫生间打扫也很好，洗漱用品也挺好。', 'star': 5}
{'descr': '服务态度挺好，服务也挺周到，房间挺干净，没什么异味，住的还比较满意。', 'star': 5}
{'descr': '服务态度不错，还有免费的早餐，虽然很简单但是这个价格已经很好。缺点就是空间太小。尤其卫生间。。。', 'star': 5}
{'descr': '环境不错，窗户大。剪台服务态度很好，又送早饭。', 'star': 5}
{'descr': '在周边没有其他经济型酒店的基础上，这个酒店显得比较有优势。各种设施比较齐全，和其他酒店相比，虽然电视是液晶的，但是由于机顶盒配置，住了2次都没能看上电视。还有就是插头较少，看电视就不能用电脑或给手机充电。', 'star': 5}
{'descr': '房间卫生间很小，空调老跳,老停。。。卫生也一般', 'star': 1}
{'descr': '不建议入住。卫生、服务、设施各项工作有待改进！', 'star': 1}
{'descr': '房间不是一般地小，除了床就只有走道了，卫生间倒是蛮大的，隔音效果不好，走廊里隔壁的声音听的清清楚楚，吃早餐的地方很mini，就2张桌子，早餐还是可以的，至少吃饱没问题。房间里的电视信号一般，很多台看不了。', 'star': 5}
{'descr': '( ^_^ )不错嘛', 'star': 3}
{'descr': '不错 隔音不行', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '没窗户的房间很不透气，光线也不好，其他都一般。', 'star': 5}
{'descr': '总体来说还算比较好的，交通方便', 'star': 5}
{'descr': '非常好，干净，性价比高', 'star': 5}
{'descr': '房间总体不错', 'star': 5}
{'descr': '床很舒服，就是枕头太软', 'star': 5}
{'descr': '隔音不好', 'star': 5}
{'descr': '谁住谁后悔,那也叫宾馆啊，冻死也不住那家了。', 'star': 1}
{'descr': '房间小，电视机距离太近。说有窗，结果房间没窗，卫生间有一窗。明知空调有问题，运行到半夜会停，也不告诉你。反正，谁住谁后悔。', 'star': 1}
{'descr': '没有特色，房间比较小，最难受的是卫生间没有隔断，洗澡很不舒服', 'star': 1}
{'descr': '总体来说还可以，卫生干净，服务热情周到，设施完善，价格不错', 'star': 3}
{'descr': '便宜 实惠 人性化 房间虽然小了点 还不错 138 158这个价位很超值', 'star': 5}
{'descr': '总体来说还不错，浴室的花洒水头很大，用着很舒服', 'star': 5}
