{'短评内容': '前台挺负责 环境挺卫生', '短评打分': 4}
{'短评内容': '蓬达大酒店房间比较干净整洁，交通便利，去景点很近，唯一不足是房间的味道和海滨城市不可避免的潮湿。', '短评打分': 3}
{'短评内容': '怎么说呢，客观评价还可以吧，房间还算大，不过看的出来时比较老的酒店了，服务态度挺好的，但是空调比较响，像发动机似得，害我晚上都 没怎么睡好。被子也有点潮。价格还比较好', '短评打分': 5}
{'短评内容': '总的来说不错，性价比比较高，服务也还可以，但是卫生条件不是很好，相对于三星级的酒店来说比较差。。                                                                                                ', '短评打分': 5}
{'短评内容': '性价比非常高的酒店，会像朋友推荐的~~~', '短评打分': 5}
{'短评内容': '酒店环境还好，服务态度真诚，就是价位在蓬莱这个地方与其他酒店比没啥优势。', '短评打分': 5}
{'短评内容': '环境还算不错，服务态度也比较好，就是早餐不该不含在内，价格略贵。', '短评打分': 5}
{'短评内容': '服务员态度不错', '短评打分': 3}
{'短评内容': '房间空调是摆设 卫生一般\n订房的时候给我调换了4次房间  原因是前台不会用电脑系统 真的很差', '短评打分': 1}
{'短评内容': '还算不错。不过希望装修能加强些，总体比较不错，有个台式电脑也就更好了', '短评打分': 5}
{'短评内容': '这家酒店还算是可以的，就是房间的设施稍显陈旧，再就是房间应该准备点客人的日常用品就好了，比如安全套啊什么的。蓬莱是我很喜欢的小城，民风很朴实，出去吃饭也非常好，给大家推荐京蓬小区的小吃一条街，那里饭店特别多，而且很实惠哦。', '短评打分': 5}
{'短评内容': '价格合适。住宿环境 干净~\n但是隔音效果一般~\n还不错啦~', '短评打分': 5}
{'短评内容': '酒店位置很好，设施完善，环境卫生很到位，感觉比较满意', '短评打分': 5}
{'短评内容': '设施够三至四星档次，但按照四星标准要求則略显陈旧。服务很好，卫生也令人满意。交通方便，距蓬莱阁等主要景点不算太远。酒店周围饮食，购物环境也不错。', '短评打分': 5}
{'短评内容': '服务到位，卫生也不差。交通便利，购物也还算方便。虽在旅游淡季，可双标间160的房价对三星级酒店而言性价比已经很高了。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店有点陈旧，感觉不值180元，没有餐厅。', '短评打分': 1}
{'短评内容': '觉得不好，热水很小，不是一般的小哦。那天不知为何，是消毒？那气味，在走廊里是吃不消的。', '短评打分': 1}
{'短评内容': '酒店不错，就是饭菜价格有点高。不如在外面吃啦。', '短评打分': 5}
{'短评内容': '总体感觉很好  就是房间有点小   \r\n但是非常有特色', '短评打分': 5}
{'短评内容': '感觉不错，价位合理，晚上周边不远处有很多烧烤店，交通便利，在蓬莱市中心位置。', '短评打分': 5}
{'短评内容': '干净卫生，服务好，周围环境也很好，设施略微陈旧', '短评打分': 5}
{'短评内容': '这家酒店还是比较老了，内部装修和设置都很陈旧。可能是十一人太多了，差点还没有房了，最后给了我们1间3人间的房。', '短评打分': 1}
{'短评内容': '离景区较近，但设施比较旧，连浴盆都没有，家具和装修是90年代的。顺便说一下，去蓬莱玩如果是自驾车住远一点的酒店也没关系，个人感觉格林豪泰不错，城市很小开车转一圈也就20分钟，很方便，还有，抹直口的海鲜一点都不好。', '短评打分': 1}
{'短评内容': '+酒店陈旧，地下车库很脏，性价比不好。也许跟假日有关。', '短评打分': 5}
{'短评内容': '酒店设施还可以，卫生一般，地理位置好，离景区近，服务不错。', '短评打分': 5}
{'短评内容': '位置不错，离景区打车只要起步价。而且，景区周边的饭馆都很宰人（听说的）。住在这，吃饭走几步，海鲜经济实惠。', '短评打分': 5}
{'短评内容': '网上订的家庭房，住进来后发现比我想象的要好，房间比较干净、舒适。顶一下！', '短评打分': 5}
{'短评内容': '设备太陈旧了，最可怕的是浴巾上还有前人留下的小块鼻毛和鼻屎的痕迹，吓得我差点没吐出来，谢天谢地从家里带来了准备游泳用的浴巾才化险为夷，真的是太失望了，打着是大酒店的名义，但是最基本的卫生条件却没有普通的快捷酒店好!\r\n另一方面，客观的说，这家酒店的服务还是不错的，住的时候电路出现了问题，服务员很悉心的解释，让修电工修理，并且在第一时间给我们换了房间。\r\n其他的方面来说就是交通了，地处蓬莱市中心，距', '短评打分': 1}
{'短评内容': '客观上说，蓬达酒店属于二级酒店，服务水平有点粗粗啦啦的，让人觉得像县委招待所。', '短评打分': 5}
{'短评内容': '卫生不是很理想，房间有霉味。', '短评打分': 5}
{'短评内容': '卫生条件挺不错的，床软硬适中，很舒服。', '短评打分': 5}
{'短评内容': '我第一次住进这样不安全的酒店，房间的窗户锁不死，外面是一个大大的晒台，外人很容易就会进入房间。害怕得一晚上没敢睡死。房间隔音也不好。\r\n当然价格也是便宜，这种房间这么个价吧', '短评打分': 1}
{'短评内容': '房间的价位应该提供早餐的', '短评打分': 1}
{'短评内容': '位置是市中心，不过酒店是老酒店设施有点旧了，房间暖气调了才好点，本来订两夜的，所以改住一夜了，这个价也有点贵了。', '短评打分': 1}
{'短评内容': '酒店的硬件设施还有待提高的,服务还不错,卫生很好位置很好出来打车很方便,就是酒店的指示牌不明显第一次去很不好找.', '短评打分': 3}
{'短评内容': '位置很好,出去玩都很方便,房间的卫生打扫的也很干净,但就是硬件设施上太陈旧了,而且感觉周围还有点吵,不太舒适,下次会选择一家更新一点的酒店.', '短评打分': 3}
{'短评内容': '很老的酒店，价钱还可以，地理位置也不错', '短评打分': 5}
{'短评内容': '房间里面的饮水机不方便还是用电水壶更方便一些,地理位置很好在市政府旁边.', '短评打分': 3}
{'短评内容': '都不错，就是楼下的停车场太小，而且旁边还有个门直通夜总会，夜总会的人很凶！看车的人每间隔一两个小时才下去查看一下，建议开车入住的人要注意车辆的安全问题！服务还算很到位，也很热情，房间干净整洁，总体感觉很好！距离蓬莱阁就5分钟车程，很近！', '短评打分': 5}
{'短评内容': '酒店看起来有些老旧了,房间里的设施陈旧些了,但卫生弄得到挺干净的,整体感觉价格也不贵,挺和算的.', '短评打分': 5}
{'短评内容': '我刚从那里回来，我认为该酒店的硬件和服务水平与其价格相关甚远，总服务台工作人员欺客，不诚实，建议大家不要预订该酒店。', '短评打分': 3}
{'短评内容': '卫生间下水不畅,洗浴后积水一直在卫生间地面积存!拖鞋不是一次性的.', '短评打分': 3}
