{'短评内容': '干净舒适不错的体验', '短评打分': 5}
{'短评内容': '此路段这个价格 公道！！！！！！！！！！！！！！！\n\n\n', '短评打分': 5}
{'短评内容': '@@@@@@@@@@@@@@@@@@@性价比不错！', '短评打分': 5}
{'短评内容': '干净，整洁，不错，就是一次性洗漱用品收费，不过下次还住！', '短评打分': 5}
{'短评内容': '入住时即交齐全部房费，这个方便了快速退酒店，此外，酒店和宝洁做活动，提供免费的洗浴用品，并有两瓶免费的矿泉水每天，不错，酒店内部环境和服务人员的态度比汉庭快捷酒店上海虹桥机场店的环境及服务人员的态度不知好了多少倍！！！！', '短评打分': 5}
{'短评内容': '还不错！交通不错，比较方便！！！\n早餐需要改进！！！', '短评打分': 5}
{'短评内容': '酒店卫生不行，不太干净的感觉。但服务还可以。汉庭别的店感觉干净些。', '短评打分': 1}
{'短评内容': '酒店挺新的，各方面也都ok，就是地点可能稍微有点难找。', '短评打分': 5}
{'短评内容': '就在湘雅附二医院对面，最近旁边在搞建设，附近的小区晚上会有野外K歌节目。', '短评打分': 5}
{'短评内容': '很好!很舒适,环境也不错!特价房除开没窗户其余都一样的.前台人员的服务态度也很好,做清洁的阿姨们的服务态度也很好!不错!喜欢住汉庭!', '短评打分': 3}
{'短评内容': '在天气冷的时候入住，感觉很温暖', '短评打分': 3}
{'短评内容': '房间不大，但是非常整洁，进门后的第一感觉很舒服，不错！', '短评打分': 5}
{'短评内容': '客房比较舒适，我下次还选择', '短评打分': 3}
{'短评内容': '价格低，服务好，交通便利，值得推荐。是在长沙住宿的理想地方之一。', '短评打分': 5}
{'短评内容': '还是比较好找的。周边烧烤比较多，没啥特别。', '短评打分': 3}
{'短评内容': '服务态度超好的,下次还会选择入住的', '短评打分': 3}
{'短评内容': '感觉还好!', '短评打分': 3}
{'短评内容': '价格还可以，离医院很近，性价比还算可以，早餐很丰盛，不过价格有些高，15元一份。价格还可以，离医院很近，性价比还算可以，早餐很丰盛，不过价格有些高，15元一份。', '短评打分': 5}
{'短评内容': '除了房间有点小外，其他都还可以。性价比一般，没有感觉特别值得推荐的地方', '短评打分': 5}
{'短评内容': '服务态度非常好，很热情，虽然是特价房但是比我以前住过的特价要好太多，很喜欢，住的非常开心', '短评打分': 5}
{'短评内容': '服务周到 价格合理  环境优雅  总之是个不错的选择', '短评打分': 5}
{'短评内容': '服务周到  交通方便  非常安静  价格合理   总之是个不错的酒店', '短评打分': 5}
{'短评内容': '交通便利，房间有点小，就是装修味儿大了点', '短评打分': 5}
{'短评内容': '没住，朋友去住了！应该不错吧！没听到她们抱怨！新酒店！', '短评打分': 5}
{'短评内容': '没有住，下大雨去不了，但订单也不能取消和推迟！', '短评打分': 1}
{'短评内容': '这家酒店离火车站很近，住的很舒服，床很大，服务态度也很好！可能是因为刚开吧，刚进去有一股刚装修的味道，味道不会很大，晚上有人塞卡片进来，安全措施还有待加强，总的来说是一个性价比很大的酒店，推荐大家去住！', '短评打分': 5}
{'短评内容': '酒店开张不久所以设施新～地处路口内安静没有闹市的嘈杂～服务态度好～唯一美中不足的是沐浴房排水不是很好望改进～给个好评～', '短评打分': 3}
{'短评内容': '房间干净，面积偏小', '短评打分': 3}
{'短评内容': '虽然是百元特价房，但是房间也很大，很干净，服务态度也好。。', '短评打分': 5}
{'短评内容': '大床很舒服，宾馆的服务员也很热情，下次还会住', '短评打分': 5}
{'短评内容': '大床很舒服，宾馆的服务员也很热情，下次还会住', '短评打分': 5}
