{'短评内容': '烟台开发区欧豪的酒店', '短评打分': 5}
{'短评内容': '除了房间略小一点，床有点高，不适合孩子睡以外，没别的毛病，性价比相当不错。', '短评打分': 5}
{'短评内容': '挺好的，各方面都很不错，卫生条件很好，酒店很干净，出行很方便，价格合适', '短评打分': 5}
{'短评内容': '酒店很舒服。', '短评打分': 5}
{'短评内容': '其它方面都很好，就是房间有点小。总体很好', '短评打分': 5}
{'短评内容': '+挺好', '短评打分': 5}
{'短评内容': '为了第二天赶班机而预定的  地理位置真的非常方便  在火车站和机场之间  如果有同样目的的人也可尝试   缺点是房间很小 有点挤  洗手间感觉清洁度一般', '短评打分': 5}
{'短评内容': '周围环境比较安静，房间设施还好，不过看起来有点旧，住住看     ', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '不错，酒店交通挺便捷的，下次出差还住这里。', '短评打分': 5}
{'短评内容': '+酒店服务环境不错，但周围沙滩很一般，不如金沙滩', '短评打分': 3}
{'短评内容': '+离机场较近但是购物不太方便', '短评打分': 5}
{'短评内容': '还算干静，就是离市区有点远。总体来说还可以。', '短评打分': 5}
{'短评内容': '环境不错。服务也还可以。\n\n就是卫生间的下水有点堵。', '短评打分': 3}
{'短评内容': '酒店环境很不错。服务也还可以。\r\n\r\n离机场也不算远。', '短评打分': 5}
{'短评内容': '附近有个市场，所以能买到便宜的水果，哈哈', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '酒店卫生状况还不错，就是卫生间小点儿。总体来讲还可以，值得推荐。', '短评打分': 5}
{'短评内容': '总体不错，性价比挺高。', '短评打分': 5}
{'短评内容': '对于此价位的酒店，我认为性价比还是比较高，交通也很方便', '短评打分': 5}
{'短评内容': '推荐！！！', '短评打分': 5}
{'短评内容': '入住还可以，就是电视没有信号，回去晚了，怕打扰服务员，一晚上没看电视，睡了一个好觉', '短评打分': 5}
{'短评内容': '总体来说还是不错的！\r\n改进意见2点\r\n1）服务员不要在8点以前在走道喧哗；\r\n2）定期检查客房下水，所有的管路的下水！建议1周1次。', '短评打分': 5}
{'短评内容': '虽然叫机场路店，可是离机场并不近，打车要30块钱。装修和设施比较旧，淋浴房下水道不通畅，房间内还有些霉味，另外这家正常情况只有早餐供应，附近有一个市场，但没什么看上去干净的饭店，所以偶尔凑合一天还行，久住还是很不方便。但是值得一提的是，这家的工作人员服务很热情。', '短评打分': 1}
{'短评内容': '为了方便登机才选择住在这里的， 实际离机场也不是很近， 条件一般', '短评打分': 1}
{'短评内容': '不错，值得推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '总体来说，很好的，就是空调不够热，没有睡衣，洗手间的门也坏了，关不了，在外面看电视，里边洗漱的声音都能听得到，', '短评打分': 5}
{'短评内容': '机场路店跟机场店区别真大呀，其他都还可以', '短评打分': 3}
{'短评内容': '还好，性价比不错', '短评打分': 5}
{'短评内容': '离机场没有我以为得那么近…… 内部还可以，性价比不错', '短评打分': 5}
{'短评内容': '大堂的温度很低', '短评打分': 5}
{'短评内容': '距离机场很近，非常方便。\r\n房间有点小，在经济型酒店中也算小了。', '短评打分': 5}
{'短评内容': '卫生服务方面都非常好,呆着很舒适,位置也不错,离机场很近,出行都很方便,很适合转机的朋友.', '短评打分': 3}
{'短评内容': '烟台机场路段格林豪泰酒店住了一宿感觉还是不错的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店服务很好热情周到,卫生条件也还可以,设施一般,地理位置不错,总体来说是一家值得推荐的酒店.', '短评打分': 3}
{'短评内容': '很一般的酒店~', '短评打分': 1}
