{'短评内容': '下次公司出差还是会考虑首选，总体还不错', '短评打分': 5}
{'短评内容': '经济实惠，还比较安静，卫生状况也还不错。网上预订也很方便。', '短评打分': 5}
{'短评内容': '除了房间隔音效果不太好，走道的声音影响休息之外，其他都没有可以评价的', '短评打分': 5}
{'短评内容': '环境好不错，设施一般。要是价格更便宜点就好了。', '短评打分': 5}
{'短评内容': '我订的没有窗户的房间，图便宜十几块钱，因为晚上十一点多才回回去睡觉，白天都在外面玩，所以没什么。地理位置很好，轻轨公车都有，到武汉三镇的车都有！房间干净。', '短评打分': 3}
{'短评内容': '环境舒适，性价比高，适合工薪阶级入住，就是单间没窗户有点遗憾！', '短评打分': 3}
{'短评内容': '个人觉得很不错 虽然房子很小 虽然很多房间没有窗 但是 说实话 我还蛮喜欢小小的感觉 除了订的房间没窗户 我觉得还蛮不错', '短评打分': 5}
{'短评内容': '这个价钱住这小的房间也算是可以了 \r\n房间小\r\n艳阳天的小厨挺好', '短评打分': 5}
{'短评内容': '在汉口的边上，周围环境一般，不过交通还算方便', '短评打分': 5}
{'短评内容': '因为晚上八点以后到店，所以提前预订需要信用卡担保，酒店环境很不错，地理位置也很好，出门就是高架，离汉正街不远。房间内很干净，下次还会去住！', '短评打分': 5}
{'短评内容': '房间很干净，不错，楼下有餐厅，很方便', '短评打分': 5}
{'短评内容': '1、希望该酒店对客房内的中央空调风力进行合理的监控，做到在不同的休息时段感受合适的空调温度。\r\n2、请此酒店的客房服务人员的服务态度改进一下，不要用凶恶的面孔和声音对客人说话。\r\n3、以后请不要把未清洁干净的床单和被罩给新入住的客人继续使用了。', '短评打分': 3}
{'短评内容': '此酒店离武汉市的汉口航空路商业街很近，逛街、购物及吃饭都非常方便.该酒店的前台工作人员们的服务理念及素质都很高，尤其是该店的店长更是亲力亲为的为入住的客人及时的处理相关的客房问题，让我们这些入住的客人感到非常的满意。另外此酒店房价也很合理，性价比很高，对艳阳天的会员们更是体贴周到，我太满意啦.现在我已经是艳阳天的会员了，我会一如既往的入住该酒店的。', '短评打分': 5}
{'短评内容': '总体来说还是不错的，订的是无窗的大床房，价格很不错，就是觉得床好像不算是大床，没有窗的确实感到有点不舒服。设施，卫生，服务都蛮好……交通也蛮方便，下次还会选择这里的，', '短评打分': 5}
{'短评内容': '149的价格有点小贵，位置在解放大道上介于轻轨太平洋站和宗关站之间，两边搭轻轨都得走上一段路\r\n房间有点小，空调风忽吹忽不吹，刚开始一点风斗没有。\r\n卫生还算好，沐浴露和洗发液建议入住旅客不使用酒店提供的，最好自己携带\r\n房间不大隔音，直到凌晨三四点，走廊里都有住客走来走去，大声喧哗，用力关门，影响休息\r\n不过酒店服务人员的态度还算可以', '短评打分': 1}
{'短评内容': '整个酒店给人的感觉很卫生，就是房间不隔音，不是很好', '短评打分': 3}
{'短评内容': '+本人是十月一日入住的,定的是大床房,感觉整体环境比较干净,门前交通也比较方便,整体上比较满意', '短评打分': 5}
{'短评内容': '服务很贴心，周到。地理位置不错，公交站和轻轨都有，唯一的不足就是隔音，效果太差了', '短评打分': 5}
{'短评内容': '1.房间里的烧水壶是坏的，拿的时候盖子突然掉了，害我整个右手被开水烫了；\r\n2.吹风机太少，晚上洗完头没有吹风机吹干头发，睡觉难受。', '短评打分': 5}
{'短评内容': '酒店环境感觉不错，比较舒适，性价比较高，用餐比较方便', '短评打分': 5}
{'短评内容': '服务员态度不是太好，临街晚上太吵！ 房间太小！', '短评打分': 1}
{'短评内容': '环境幽静、交通方便、干净卫生，就是价格有些贵，还一般不打折。', '短评打分': 3}
{'短评内容': '环境不错,服务很好,艳阳小厨经济实惠!', '短评打分': 5}
{'短评内容': '价钱还可以，性价比高，比较卫生，交通很方便', '短评打分': 5}
{'短评内容': '+服务态度很好,床也很舒服,只是宾馆多年了,略微显得有点旧,总得来说很不错~', '短评打分': 5}
{'短评内容': '我已入住预定酒店，但是客房价格是按前台标价，没有打折。', '短评打分': 5}
{'短评内容': '房间挺干净，设施齐全，不错', '短评打分': 5}
{'短评内容': '还不错，隔音效果不好，走廊上面说话听的很清楚，优点是价格合理', '短评打分': 3}
{'短评内容': '该酒店位置偏了点，不过环境还是挺好的，就是床总是响，不知道咋回事…', '短评打分': 5}
{'短评内容': '隔音效果不怎么样,卫生一般，还有烟灰！房间比较小', '短评打分': 5}
{'短评内容': '噪音太大了', '短评打分': 1}
{'短评内容': '房间显得小了', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '还可以吧 不过隔音效果是不咋地', '短评打分': 5}
{'短评内容': '酒店房间很干净，卫生都挺好的。虽然房间和厕所总体来说都比较小。交通有点不方便，服务态度看前台，有的很好又漂亮，有的丑服务又极差', '短评打分': 5}
{'短评内容': '隔音效果太差，就是一间大房用木板隔开，晚上让人无法入睡', '短评打分': 1}
{'短评内容': '地理位置合适，设施完备，客房保洁人员工作认真、态度温和。', '短评打分': 3}
{'短评内容': '这次入住客房保洁人员的态度非常令我满意', '短评打分': 5}
{'短评内容': '还行。性价比不错。', '短评打分': 3}
{'短评内容': '前台入住和结账都很慢，貌似吃饭的人比住的人多。哎 ，没办法住的大床是没有窗户的，差点背过去=。=还好只是小作停留。', '短评打分': 3}
{'短评内容': '吃的还不错，艳阳小厨不错，服务、管理落后。设施一般，价钱还可以。', '短评打分': 1}
{'短评内容': '比较干净卫生，总言之性价比比较高', '短评打分': 5}
{'短评内容': '服务很好：）也很方便 ', '短评打分': 5}
{'短评内容': '设备不错，就是中央空调有时候有点热，别的挺好，服务态度也不错~~~', '短评打分': 5}
{'短评内容': '网络速度实在是不敢恭维。', '短评打分': 5}
{'短评内容': '没有窗户会很难受的。还好只睡几个小时', '短评打分': 3}
{'短评内容': '感觉还不错的，价格比较优惠，住起来也挺舒适，结帐也很利索；网速有时比较卡，可能有人在看视频或者下载吧，建议升级一下网速或者作一些设备功能的改进', '短评打分': 5}
{'短评内容': '环境，卫生等等都还不错！不过套房加个沙发就更好了！', '短评打分': 5}
{'短评内容': '太小了。', '短评打分': 1}
{'短评内容': '房间太小前台服务太差服务员还好', '短评打分': 3}
{'短评内容': '房间太小前台服务太差', '短评打分': 1}
{'短评内容': '除了前台入住和结账很慢 其他都不错啊呢 特别是交通便利！', '短评打分': 5}
{'短评内容': 'no', '短评打分': 5}
{'短评内容': '服务比较到位，比较干净，交通较便利！', '短评打分': 5}
{'短评内容': '隔音不好 其他的还行', '短评打分': 3}
{'短评内容': '设施和卫生都很不错，但是隔音不是一般的差，基本上楼道上有点什么动静，都听得见。而且我们住的时候刚好武汉高温，竟然空调都不制冷！！前台的小姐还来一句大床房没有窗户是这样的（老子明明都是商务房，懒得和她争辩）。前台小姐素质低，楼层服务人员很负责，也很热情。', '短评打分': 1}
{'短评内容': '隔音非常不好。。。。整晚都在噪声中度过。。。。。', '短评打分': 5}
{'短评内容': '很不错。性价比非常高。', '短评打分': 5}
{'短评内容': '最大优点是便宜，缺点就多了，1是房间小，2是服务部是很好', '短评打分': 1}
{'短评内容': '房间空间小，隔音效果差，房间设施一般，有待改善', '短评打分': 5}
{'短评内容': '没有窗户很难受', '短评打分': 5}
{'短评内容': '房间偏小，隔音效果不好', '短评打分': 3}
{'短评内容': '还蛮干净的，就是房间很小，大堂不提供物品寄存。', '短评打分': 5}
{'短评内容': '房间价格很有竞争力，但服务就不敢恭维了！有个女服务员，长相不错，只是说话声音冷冰冰。住房间不要靠近铁路的，比较吵。一楼餐厅吃饭人很多，味道只能说一般般…', '短评打分': 5}
{'短评内容': '都还可以 就是隔音效果不是很好，整体感觉还可以。', '短评打分': 3}
{'短评内容': '就是隔音不太好 别的都很好', '短评打分': 5}
{'短评内容': '房间太不隔音了，简直就像没有门一样，走廊上的发生的事情就就像在身边一样，太可怕了，', '短评打分': 1}
{'短评内容': '房间有点小，进去了拐来拐去的。不隔音，其他还好。', '短评打分': 1}
{'短评内容': '酒店位置有点偏,其他条件都不错.', '短评打分': 3}
{'短评内容': '比较不错的酒店,就是位置有点偏.', '短评打分': 5}
{'短评内容': '服务人员的素质非常低下，业务能力非常一般', '短评打分': 1}
{'短评内容': '值得推荐，房间小了点', '短评打分': 3}
{'短评内容': '性价比还不错，卫生还可以。', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '感觉房间太小', '短评打分': 5}
{'短评内容': '第一次入住该酒店，感觉还不错！', '短评打分': 5}
{'短评内容': '不错，下次还来', '短评打分': 5}
{'短评内容': '很卫生干净，就是太吵了。房间隔音效果特别不好！隔壁一对情侣晚上做了好几次，我们听的很清楚。太……', '短评打分': 3}
{'短评内容': '总体感觉还不错，也是听朋友介绍的。但是，有一点点小的建议，枕头能多放一对就更好啦~', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '性价比很好的一个酒店..', '短评打分': 3}
{'短评内容': '总的来说，还是算性价比不错的酒店..', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店的卫生服务都还好，硬件设施舒适度也比较一般，价格合理适中。出行交通也很方便。还是可以推荐入住的酒店类型。', '短评打分': 3}
{'短评内容': '卫生还可以,很干净,设施也比较完善,就是房间隔音太次了,隔壁说话声都可以听到,地理位置还可以,服务热情周到,性价比不错,如果可以改善隔音问题,就会更好的', '短评打分': 3}
{'短评内容': '酒店的位置有点偏，不过交通还可以，酒店本身的环境一般', '短评打分': 3}
{'短评内容': '酒店的人员服务态度挺好的,但是里面的硬件设施不够完善,而且有些房间是没窗户的,所以舒适度就差了点,不过价位比较适中.', '短评打分': 3}
{'短评内容': '酒店比较经济实惠，150元能住这样的酒店就不错了.', '短评打分': 5}
{'短评内容': '没窗户  ', '短评打分': 5}
{'短评内容': '房间隔音效果一般', '短评打分': 5}
{'短评内容': '环境非常糟糕，房间太小，墙壁的隔音奇差！晚上睡觉居然能听到隔壁房间的打呼声，简直令人无法忍受，真想不通环境那么差的酒店怎么还能对外开放，强烈建议停业整顿！！！', '短评打分': 1}
{'短评内容': '楼下艳阳小厨不错', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '已经不是第一次住了啊，还是老问题，外面工作人员声音很大，晚上', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还可以了,设施方面也比较齐全的,周边交通也挺便利的,整体感觉价格还是比较合适的.', '短评打分': 5}
{'短评内容': '这家酒店蛮适合商务出行人仕入住，服务卫生很不错的，周边环境也不错，价格蛮方便的，价格方面也不贵，整体感觉性价比还是蛮合适的。', '短评打分': 5}
{'短评内容': '不行\r\n吵杂', '短评打分': 1}
{'短评内容': '酒店的房间里有些设备是不能用的,如电视,不过房间质量还是可以的,价格也比较合理.', '短评打分': 5}
{'短评内容': '设施与同价酒店相比很不错', '短评打分': 5}
{'短评内容': '价格来说还是挺不错的，环境比较一般，不过房间卫生还可以，位置也挺方便的', '短评打分': 5}
{'短评内容': '酒店总体来说挺好的,位置和价格都很合适,需要改进的就是,墙面重新粉刷一下,毛巾如果用袋子包装会更好,服务能热情一些.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都不是很好，房间里面没有空调。位置出行交通方便价格合理适中，地段位置很好，在解放大道上面，卫生服务也很达标。', '短评打分': 1}
{'短评内容': '位置很方便，特价房间的空间很小，没有窗户通风不好，别 的都很好，艳阳天在武汉还算是比较好的品牌酒店', '短评打分': 5}
{'短评内容': '酒店比较经济实惠，整体感觉还可以', '短评打分': 5}
{'短评内容': '房间空间过小，没有窗口，中央空调不开影响房间空气流通', '短评打分': 5}
{'短评内容': '酒店环境都很好,就是房间有点小,没有窗户,这个跟我预定时的价格有关.因为离我学校比较近才预定的,这个酒店离那些景区还是比较远的.', '短评打分': 1}
{'短评内容': '房间小了点', '短评打分': 5}
{'短评内容': '酒店卫生间的设的计非常好,不仅干净,设备也很新;我比较喜欢;不过房间面积有些偏小,没有窗户彩光和通风效果就不是很好了;楼层酒店服务员说话和工作声音太大了,有些吵人;希望能改善一下;不过其他方面都是不错的;', '短评打分': 5}
{'短评内容': '酒店周围环境不是很好,很脏很乱,酒店本身的环境硬件设施还不错,位置出行交通方便,就是周围环境不好.', '短评打分': 5}
{'短评内容': '感觉还是不错的,服务卫生都挺好的.价格也不贵', '短评打分': 5}
{'短评内容': '酒店的中央空调有一股油烟味，而且他的冷暖温度好像都不够，房间也比较小，交通挺方便的，价格也算可以接受。', '短评打分': 5}
{'短评内容': '酒店的硬件设施标准太差.环境设施也很一般,位置出行也不是很方便,价格也不是很优惠,总体对酒店不是很满意.', '短评打分': 1}
{'短评内容': '酒店还可以吧,蛮干净的,环境也不错,交通位置一般,价格还算优惠', '短评打分': 5}
{'短评内容': '房间面积太小了,而且当时的房间没有窗户,位置交通还不错,价格也不贵', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，价格也挺适合的，就是位置有点偏了。', '短评打分': 5}
{'短评内容': '我是帮朋友定的我只是去看了看，位子有点偏，但是酒店挺干净的，设施不错。听朋友说房间小了点。但总的还说是不错。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '就是房间太小了。', '短评打分': 5}
{'短评内容': '卫生条件和硬件设施有待提高', '短评打分': 5}
