{'descr': '挺不错的', 'star': 5}
{'descr': '地址很好找，设施一般，总之还是方便，交通业很方便，地址很好找，设施一般，总之还是方便，交通业很方便，地址很好找，设施一般，总之还是方便，交通业很方便', 'star': 5}
{'descr': '麻雀虽小，一应俱全。条件一般，没什么档次，但是服务绝对一流，值得入住', 'star': 5}
{'descr': '酒店不错，位置好，性价比高，服务业不错，下次去还住这个酒店', 'star': 5}
{'descr': '没有电梯，早餐较差，服务一般，环境不好。', 'star': 1}
{'descr': '服务还可以，就是没电梯，住在五楼拿行李很不方便。', 'star': 3}
{'descr': '窗帘破了个大洞都没人把它给换了，一点也不遮阳。地板是被水给发泡了，厕所马桶的抽水箱都没盖子的，OMG~~~', 'star': 1}
{'descr': '这个简直是旅馆，没有电梯就不说了，墙很脏，然后门很烂，隔音很垃圾，清晨八早就有人在外面闹，不过恶化你好的是，那个阿姨带我选房间，让我很不爽的是明明有一间我比较满意的，她说什么维修房，不给住，晕，都没求生意还嫩个拽。', 'star': 1}
{'descr': '非常方便，卫生，便宜，性价比超高！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '房间太小 早餐很差房间太小 早餐很差房间太小 早餐很差', 'star': 1}
{'descr': '去年住过 那是新装修之前 \n这次要到下午入住才知道', 'star': 5}
{'descr': '不错，地理位置比较优越，交通方便，整体感觉还好.', 'star': 5}
{'descr': '这是第二次入住，网速可以了。很实惠，推荐。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '好啊', 'star': 3}
{'descr': '性价比较高，前台服务一般,地理位置比较优越，整体感觉还好。', 'star': 5}
{'descr': '房间还不错，服务挺好', 'star': 3}
{'descr': '还行。就是有点小，网速不行，早餐不行。。。。服务还不错。。', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '不错不错，交通方便，也还干净，价格公道，很好。。。。。', 'star': 5}
{'descr': '墙面斑驳导致心情隐晦  让人不自觉的联想到色情片', 'star': 1}
{'descr': '性价比还不错', 'star': 3}
{'descr': '交通便捷便宜', 'star': 3}
{'descr': '请帮忙订今天的广州住宿', 'star': 3}
{'descr': '实惠，划算，去的时候很多学生入住。估计也是去考试的', 'star': 5}
{'descr': '    在凡事都追求“性价比”的今天，住店也一样。该酒店位于重庆市南岸区南坪南站台边，坐公交车却是较方便的。如果嫌路边太吵，旁边的四星级酒店海德酒店所处位置不也是和此酒店一样吗？但价格却要高好几倍哟！该酒店总共五层，每层均靠近路边有一排（可以看看街边的风景吧），靠近里边也有一排几间房（选择住里边的算是比较安静吧）。价格相比其位置和房间设施、服务也算是够性价比的。早餐味道及配品还不错吧，好像不管是网', 'star': 5}
{'descr': '这个价位，怎么说呢，还是符合他的定位的，值得推荐，毕竟比较经济', 'star': 5}
{'descr': '博大一式三份上产出率不堪重负为 一式三份地区性有碗话碗，有碟话碟为 ', 'star': 5}
{'descr': '没有电梯  在5楼 真够费劲的。另外网络基本上是摆设，不能用，住了两天，没有用一次。', 'star': 1}
{'descr': '还行吧，就是马路边很吵~~~~~~~~~~', 'star': 5}
{'descr': '不错，值得推荐，实惠。交通方便。就是好像有些门有点问题，要用力关才能关上。', 'star': 5}
{'descr': '位置还可以 就是房间太小 比较吵 我定的特价房 感觉有股味道 不舒服 卫生还可以', 'star': 3}
{'descr': '爬5楼没有电梯，房间一进去就是一股霉味，空调不制热！确实不怎么样', 'star': 1}
{'descr': '靠窗位置有点吵，其他还可以', 'star': 3}
{'descr': '还不错，特价房，还是挺满意的', 'star': 3}
{'descr': '服务态度很不错，交通很便利，只是设施不够新，并且没有真领到服务的深层意义所在：本人自带电脑，其网络无法连接，当我提出要求时未真正解决，而我入住前日及今日所做点评都在其他宾馆并使用使用自带手提，并未出情此情况。', 'star': 5}
{'descr': '位置在马路边上，比较吵。不爽哦！！！！！！！', 'star': 1}
{'descr': '实际入住还不错，交通也很好，有空可以再去，就是当时施工，有点不好~', 'star': 5}
{'descr': '地点不错，坐车很方便，还提供早餐，性价比高', 'star': 5}
{'descr': '出门就是车站，在火车站坐611就直接可以到，交通比较方便，服务也很好，就是第一天去的时候没热水。。。差点感冒\n早餐没吃不知道怎么样', 'star': 5}
{'descr': '酒店环境我个人觉得不好，所以我第二天就退房了，我最好到重庆正扬感觉比这个性价比好', 'star': 1}
{'descr': '房子有点旧，厕所热水有点小，有点吵，网速还可以，早餐还行，服务也行！', 'star': 5}
{'descr': '性价比高。屋内干净，床铺整洁，服务得体，坐车方便。', 'star': 5}
{'descr': '特假房确实不怎么样，空间小，装修不怎么样，还掉漆。', 'star': 3}
{'descr': '+其它都不错，就是网络信号太差', 'star': 5}
{'descr': '个人觉得装饰不够温馨,加上入住时外面在搞装修,窗外一直有人,感觉很不爽.还有就是厕所灯都是坏的..无语..房间就像是一般旅店的感觉.但是服务还是很好.', 'star': 1}
{'descr': '房间太小，卫生间还可以。\r\n没有电梯，一共五层。', 'star': 1}
{'descr': '不错的地方，如果有电梯那就完美了，早餐不好', 'star': 3}
{'descr': '比较方便的地方，出门就是车站，可以入住，继续关注', 'star': 3}
{'descr': '还可以 经济实惠，就是早餐比较简单，总的来说还是不错，又电梯就好了', 'star': 5}
{'descr': '我会向您的朋友推荐这家酒店,不是我住,是我同事住,他说环境还可以,不知道早餐怎样,没问!', 'star': 5}
{'descr': '对于学生来说条件可以了~出门就是公交站牌，只是早上有点吵', 'star': 3}
{'descr': '相比于7天来说感觉要差一些，服务态度感觉也要差一点，水压特别小，其他感觉还好吧，就是毛巾不太敢用，也没有一次性拖鞋，其实还是可以啦，就这个价位来说', 'star': 5}
{'descr': '还可以.我以后都用异龙\r\n希望`大家都来参加\r\n一去就有好的酒店住', 'star': 5}
{'descr': '酒店很卫生。。性价比很高！交通方便。。要是卫生间能有点洗衣粉洗衣服就更好了！', 'star': 5}
{'descr': '卫生条件还可以，早餐也不错，包子很好吃呀，地理位置嘛，就在公交站牌旁边，挺方便，但是重庆的公交太乱了，有些车不按站牌报站，害得', 'star': 5}
{'descr': '简单.还是比较实惠.方便', 'star': 5}
{'descr': '外面在装修，有点吵', 'star': 3}
{'descr': '就是没有电梯，位置还不错', 'star': 5}
{'descr': '＋环境不错，性价比还是挺高的', 'star': 5}
{'descr': '房间干净，挺舒适，服务态度挺好，很满意。', 'star': 5}
{'descr': '临近大马路比较吵，105有早餐还是不错的，虽然早餐很一般。', 'star': 5}
{'descr': '性价比很高 干净卫生 价格合理 服务很好 呵呵', 'star': 5}
{'descr': '服务不错&#183;&#183;条件一般&#183;&#183;交通比较方便&#183;&#183;', 'star': 3}
{'descr': '还行吧&#183;&#183;条件一般&#183;&#183;&#183;性价比一般&#183;&#183;坐车很方便&#183;&#183;', 'star': 5}
{'descr': '房间比较简单，但位置在主干道上，总体来说感觉一般', 'star': 1}
{'descr': ' 服务很好 很值', 'star': 5}
{'descr': '交通还算方便，门口就是公交车站，离万达广场一站路，到解放碑和火车站都有车，就是外墙在装修，有时候有装修声音，没有电梯', 'star': 5}
{'descr': ' 环境还好，交通比较方便，出门对面就是公交站，去火车站，解放碑等处均有直达公交。房间环境就这个价位而言还不错，挺实惠。', 'star': 5}
{'descr': '酒店出来就是公交车站牌，很方便，但是没有电梯，房间有股怪味。酒店外围正在施工，很吵，但是这个价位还是值了。', 'star': 5}
{'descr': '早餐的馒头不错，住的88 特价，就是没有台灯，太暗啦', 'star': 5}
{'descr': '外围正在装修,在房间里都可以跟装修工打招呼...', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '这段时间百捷之旅酒店正在外墙正在施工，在外面差点看不到酒店了。\r\n但是酒店里面的给人的感觉挺好！卫生、服务及设施在那个价位的酒店下，算是比较好的了。值得一提的是，酒店的早餐不错，尤其是小菜。', 'star': 5}
{'descr': '这几天主要是房子外墙在搞建设，其他都还一般，过的去吧', 'star': 5}
{'descr': '可以                                         ', 'star': 5}
{'descr': '没有电梯爬5楼，累！！！！！！！！！！！！在这里早饭好可以', 'star': 1}
{'descr': '性价比较好。总体来看还是可以接受的便捷宾馆。', 'star': 5}
{'descr': '酒店总体感觉一般!!楼道很有侵水的地方!房间大小将就!房间里有一股怪味!这个价钱拿下也别太多要求了!比较经济的酒店!  ', 'star': 5}
{'descr': '这里交通很方便，虽然没有电梯但是工作人员很热情，会主动帮忙提行李。后来没有预定也去住了一次，以后有机会还会去住，还有里面的点餐很好吃。', 'star': 5}
{'descr': '性价比很高,楼层较高,没电梯的酒店.值得一试', 'star': 3}
{'descr': '一般了。', 'star': 3}
{'descr': '可以继续入住', 'star': 3}
{'descr': '一般了，推荐。', 'star': 5}
{'descr': '性价比很不错，适合出差人士选择。', 'star': 5}
{'descr': '性价比高！', 'star': 5}
{'descr': '房间为中间走廊，左右为房间，算是整齐。房间内设施简单，未装修。\r\n无电梯，楼梯左侧雨水渗透的厉害，非常脏。\r\n唯独价格低些，这个价位有窗户，可以看到外面的马路以及南坪南路的站牌，交通还算方便。', 'star': 5}
{'descr': '还 不错，欢迎来住', 'star': 5}
{'descr': '还好吧，如果有电梯的话就更好了', 'star': 5}
{'descr': '环境很一般', 'star': 1}
{'descr': '一般的一般。', 'star': 1}
{'descr': '性价比比较高,早餐简单', 'star': 5}
{'descr': '我住了两天，感觉还是不错的，性价比不错。', 'star': 5}
{'descr': '百捷之旅的大门有点小不太明显不过还算好找早餐免费有包子馒头鸡蛋小菜稀饭等每天检查身分证感觉很安全隔音效果很不好', 'star': 5}
{'descr': '总体上一般', 'star': 5}
{'descr': '首先，在重庆南坪要找一家百元以下好一点的旅店，可能并不是件容易的事，而且还要求位置不太偏，设施不太遭，服务不太差，应该就是奢侈的希望。唯一的可比就是便宜，特价房的价位可能只能在那些小宾馆的日租房才能有。谈不上好，但价钱确实吸引人，再加上简单到不能再简单的早餐，应该就是它的竞争力吧。没有赞美，也没有批评，低价又一切不是低价以下的服务，就值得在无其他选择的时候选择它了。', 'star': 5}
{'descr': '临街的房间还不错，不临街的房间内有一些发霉的墙皮。因为我住在5层（酒店的顶层）屋顶上会有一些渗水的痕迹，不过还好没在我住的这段期间渗水。酒店的服务员服务还是很好的，早餐可以吃饱不过别太挑剔。我住的特价88元的大床间，房间有点小，电视还是模拟信号接收，不是很清晰。就价格上还是可以接受的，不过如果价格差不多的其他选择那就要慎重对待了，至少要先看看其他选择的条件，再做决定。', 'star': 5}
{'descr': '价格真的很便宜，在这个价位上，服务和卫生没得说，很好！窗户的隔音效果差了点哈！', 'star': 5}
{'descr': '服务很好。但是墙壁不干净，床上用品看起来不是白白的，干干净净的那种。我专门要的不是靠路边的房间，都还觉得外面马路上的车比较吵。没有电梯，幸好我住2层，否则提着个大箱子~~~~\r\n前台的服务很好！', 'star': 1}
{'descr': '房间设施还行，交通真的很方便，楼下就是公交站，就是房间太小了，早餐不好吃，前台有假币要小心', 'star': 5}
{'descr': '位置一般好找&#183;&#183;就是在入住的那天晚上电话故障了打不通真的很给我第一影响就不好&#183;&#183;而且没电梯！！！！', 'star': 1}
{'descr': '早餐很不错.电视可以收很多台.马桶下面有点生绣了.', 'star': 5}
{'descr': '酒店工作人员的服务态度很好，这点值得肯定！门口的安保也比较仔细，进出都认真地询问！性价比不错！就是房间有点小，但是价钱比较便宜！', 'star': 5}
{'descr': '所谓特价，确实很多地方差劲。', 'star': 1}
{'descr': '房间是我住过的经济型酒店中最小最窄的。没有电梯，住搂上就得慢慢爬。卫生间的毛巾有破损。住的坊间含早餐却没发给早餐券。只有一点可以肯定，在入住后外出再回来，前台和门卫会询问住哪个房间，如果当时只登记一个人，多带一个人进去都会要求登记。但总体不推荐再次入住。', 'star': 1}
{'descr': '还行吧.有可能会推荐下.', 'star': 5}
{'descr': '感觉还好吧&#183;&#183;&#183;就是感觉那个房间的地板有待改进！性价比还是不错的！也比较好找到这个位置！其他的都还好吧', 'star': 1}
{'descr': '酒店价格倒是蛮便宜的,服务卫生方面也还可以了,整体感觉还不错.值得推荐', 'star': 3}
{'descr': '地理位置稍微有点偏,但是价格还算实惠,酒店内部环境比较整洁,基本上还是可以推荐的.', 'star': 3}
{'descr': '有电梯就完美了。', 'star': 5}
{'descr': '总的来说很不错，性价比比较高。但是如果是靠近马路边的房间会有一点噪音。', 'star': 5}
{'descr': '楼梯太高了，没有电梯，其他都不错，服务和房间里的环境都不错，价格也很便宜，提供的早餐的种类少，希望能 在丰富些', 'star': 3}
{'descr': '总体感觉还是不错的,价格也比较便宜.卫生和设施还行,位置也还可以总体感觉是不错的.', 'star': 3}
{'descr': '楼道、房间有怪味（似臭味），入住多的时候晚间上网登录困难，大堂服务员态度一般。图便宜住这里ok。', 'star': 5}
{'descr': '就是没有电梯，二个是位置离南坪步行街有点远了', 'star': 5}
{'descr': '因为当时订的是特价房，酒店的价格还是非常优惠的。从经济角度而言还是值得推荐的。但是房间的面积很小，设施很一般。', 'star': 3}
{'descr': '酒店比较小,设施还可以比较齐全,地理位置有些偏不好找打车人家都不知道,卫生可以服务一般.', 'star': 5}
{'descr': '酒店实在是不太好找，打车的话出租车司机就找不到这个地方，酒店本身设施和服务方面有点弱，别的还可以，比较干净，价格还是比较实惠的，整体感觉还可以，不过要是商务出行的不要考虑这家酒店了', 'star': 5}
{'descr': '酒店周围环境很好,服务也很热情,而且价格很便利,挺不错的', 'star': 5}
