{'短评内容': '勉强凑合住一下。', '短评打分': 5}
{'短评内容': '158元一晚，性价比不算高。位置太背，设施太旧。洗手间比一般民居的还不如！', '短评打分': 1}
{'短评内容': '太偏僻，房间是挺大的，环境不是很好，隔音效果差', '短评打分': 1}
{'短评内容': '價錢合理~一般都可以的, 就是沒有空調(當日天氣又不是很冷, 20-23C)....晚上睡得有點熱...', '短评打分': 5}
{'短评内容': '交通方便，地理位置还行，就是房间的味道太大，通风效果不怎么样！', '短评打分': 5}
{'短评内容': '装修一般房间打扫的卫生还行，酒店的位置出行也就一般，价格的还行。', '短评打分': 3}
{'短评内容': '环境极差，卫生间和被铺脏，和路边的小旅店没什么具别。', '短评打分': 1}
{'短评内容': '在市区算是便宜的酒店，\n电梯不到一楼，如果你带着较多的行李就要考虑一下，\n要从室外的楼梯爬上二楼才能登记入住。\n地铁就在附近，交通算是很方便的，\n豪华单人间大床使用两张小床拼成的，而且很硬，没有心理准备会被梗到。\n热水和水压都够，房里有烧开水的电壶，\n窗子看不到外面却能把楼上下方可的喧哗声引进来，\n住客的水平不好，开着门大声聊天，很吵。\n只为了过夜，白天都在外，要求不多。还行！', '短评打分': 1}
{'短评内容': '性价比颇高的老宾馆.推荐', '短评打分': 3}
{'短评内容': '已入住曙前楼宾馆。谢谢！', '短评打分': 3}
{'短评内容': '性价比不错了，毕竟价格不贵，附近出行也方', '短评打分': 5}
{'短评内容': '应该和金城宾馆是一家，在金城宾馆院内，找金城宾馆好找些，地图上有。不远处有百货大楼生活区商业街署前路，还有农贸市场，吃的东西挺多，光寿司店都有三家。装修较老，墙角有掉皮，地毯，床上用品还算干净。这个价位还算可以吧', '短评打分': 5}
{'短评内容': '位置很清幽，环境也不错。虽然装修显得有点年代了，但还挺干净的，对得起这个价钱。超值！', '短评打分': 5}
{'短评内容': '还可以的，欢迎大家入住，房间旧了一些，有道路施工的。。。', '短评打分': 5}
{'短评内容': '房间装修的挺清爽，设施摆放的挺整齐，服务很到位，周边交通也挺便利的。', '短评打分': 5}
{'短评内容': '再次入住，感觉依然不错，以后还会再来，推荐！', '短评打分': 5}
{'短评内容': '价格还可以，这个价位的服务水平不能要求太高，一分钱一分货；就是难找了点。', '短评打分': 5}
{'短评内容': '价格很实惠，交通也很方便，就是有点旧啊~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '房间很大，地毯也不错，有网络很方便，周围逛街交通都很方便。\n唯一不太好的就是房间有股烟味。', '短评打分': 5}
{'短评内容': '还不错，离地铁也不远。\n附近也有挺多可以吃饭的地方', '短评打分': 5}
{'短评内容': '一分钱一分货吧，不能上网，电视效果也不好，感觉也不是很干净，下次应该不会来这住。', '短评打分': 1}
{'短评内容': '还可以吧。平安夜很开心', '短评打分': 3}
{'短评内容': '总体感觉还不错，电视很少台可以看的，床很软都很软，连地毯，很舒服。', '短评打分': 5}
{'短评内容': '服务人员态度还好，办事也挺周到，设施方面该有的都有，位置不错，出行很方便。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，设施摆放的很整齐，电视挺清晰，还能上网，感觉挺不错。', '短评打分': 3}
{'短评内容': '交通：位置相当的好，在广州城市中心地带，周围就有农林下路、王府井百货、中华广场商圈，去北京路、天河城也非常近，出酒店不远就是公交站和地铁站，总之交通很方便。\n客房：干净、整洁、安静、物品摆放整齐，可看出酒店日常管理还是到位的。装修就138元来说还是非常好的，与一些大型商务连锁酒店差不多，但房间宽敞多了，价格也低多了（一些所谓的连锁商务酒店要200元以上，房间小得很，设施也不好），令我惊喜的是138', '短评打分': 5}
{'短评内容': '环境还算安静,也挺容易可以找到，地理位置很便利', '短评打分': 5}
{'短评内容': '酒店离珠江挺近，周边风景挺好，周边乘坐公交地铁也挺方便，购物也挺方便。', '短评打分': 5}
{'短评内容': ',暑前宾馆干净宽敞价格适宜,物有所值', '短评打分': 3}
{'短评内容': '环境还可以，房间够大…装修有点久远了…', '短评打分': 3}
{'短评内容': '安静 又近地铁 就是在一个小区里面不太好找', '短评打分': 5}
