{'短评内容': '还行，比较方便。', '短评打分': 4}
{'短评内容': '房间很满意 住的很舒服 性价比非常高 早餐品种少点 别的都很好 酒店周围有很多餐厅 吃饭很方便', '短评打分': 5}
{'短评内容': '设施和卫生很好，地理位置也不错，很方便，下次还会入住。', '短评打分': 5}
{'短评内容': '很舒服的一个酒店，在胡同内，很安静，我喜欢。', '短评打分': 5}
{'短评内容': '酒店蛮不错的，不过还是喜欢住如家这种经济型的酒店，这家酒店，服务员态度蛮好，卫生也很干净，附近交通也很方便，性价比还好。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错，很干净也很舒适的酒店，主要是价格比较优惠，位置也很方便，性价比很好，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '服务员态度，卫生条件都还可以，地理位置挺方便，在市中心，不偏，性价比也不错，要是包含早餐就更好了', '短评打分': 5}
{'短评内容': '到北京基本都会去住，第一次是特惠房给免费升级了，很不错，所以第二次又去住，没升级，是一间窗外有很多机器的房间，有点噪音，第三次是元旦后去的，北京很冷，但宾馆很温暖，服务也很好，还是特惠房，窗户好小。交通方便，离地铁、公交几百米。离国子监、后海也近。', '短评打分': 5}
{'短评内容': '1，位置不错\r\n2，标的是4星，但是觉得只有准4星服务\r\n3，最大的硬伤是：酒店位置在胡同里，并且是禁止汽车驶入，单向行使的，自己带车很不方便，想开进去北边有个胡同也不方便，酒店的停车场面积不大，开车来京住这里停车和开进来不方便\r\n4，周围几家饭店不错', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '总体还不错，酒店在一个小胡同里，非常安静，早上还可以吃到地道的老北京早餐。如果换成繁华地带同样标准的房间的价格大概要高出一百元左右。\r\n', '短评打分': 5}
{'短评内容': '酒店4星，房间不错，不管商务和旅游住都非常好。最大特点是离北京市内大的景点都不远（如：天安门、故宫、龚王府、雍和宫、前、后海、鼓楼、烟袋斜街、国子槛等）', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很安静的一个酒店，离王府井也很近。房间里给人的感觉很温馨。428的房价有点高，400以下还可以。', '短评打分': 5}
{'短评内容': '我是12号入住的浙江游客，在酒店住了3个晚上，感觉这里环境不错，闹中取静，酒店的设施也还可以。。。服务态度让人有如到家的感觉，以后有机会去北京，还住这。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;酒店设施不好，环境也不好，下次不会在住了．&amp;lt;/P&amp;gt;', '短评打分': 1}
