{'短评内容': '近近景近景近近景近景将就将就近近景近景', '短评打分': 5}
{'短评内容': '酒店还可以 经济型酒店都差不多 这家也比较安静 但就是一到晚上网络就不行了,不然我还会住几天的', '短评打分': 5}
{'短评内容': '地理位置很好，房间虽然比较好但是干净。以后还会来住。', '短评打分': 5}
{'短评内容': '环境和服务态度一流，很舒适！就是位置偏僻！', '短评打分': 5}
{'短评内容': '地理位置有点偏，不过周围的环境挺好。住着很舒服。', '短评打分': 5}
{'短评内容': '环境还是比较不错的，服务也比较周到，下次还会去', '短评打分': 5}
{'短评内容': '总体感觉还行，就是地方隐蔽了点，比较难找', '短评打分': 5}
{'短评内容': ' 交通方便 离西湖和武林广场还蛮近的 整体来说不错的 ', '短评打分': 5}
{'短评内容': '整体都挺好的、\n每个服务员都是笑着打招呼的、\n看到心情就特别好、\n\n卫生方面也挺好的、\n24小时热水这点最好、\n跟家里一样舒服、\n每天都会来打扫、\n不会因为你是连着住几天、就偷懒中间不打扫、\n而且不会打扰客人的休息、\n是等出去了才进去打扫的、\n\n下次要是考试还是那边、\n我还是会去住如家的、', '短评打分': 5}
{'短评内容': '服务蛮好的。。。有时间还会去。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置不错，交通方便，性价比高。房间不大，隔音效果不好。', '短评打分': 5}
{'短评内容': '房间干净，虽然小一点，但是东西很全。就是隔音不怎么理想，住在上层的人洗澡，水滴的声音清清楚楚，一度以为是我自己房间里漏水。', '短评打分': 5}
{'短评内容': '房间太小了，出门不好打车，不好找。里面的东西贵的吓死人的。 泡面都要7元一桶的。', '短评打分': 5}
{'短评内容': '位置比起其他更中心的如家店，稍微偏了点，不过搞清楚方向和路线，其实离西湖商业区也很近。房间装修维护的较好，布置还不错。住处周围较为安静，方便休息。但如不熟悉地方，晚上回去有点不安全感，下了公交车走过来一侧是关门了的五金之类小店铺，一侧是城中的小河渠，大概走五百米，然后拐进池塘巷才到。晚上周围貌似有个别暖昧颜色的某某店，给人感觉不太好，不过问题不大，不理会就是了。', '短评打分': 5}
{'短评内容': '位置不错，房间也还干净，就是大床房有点小，住的感觉压抑，但对得起他的价格。整体不错。', '短评打分': 5}
{'短评内容': '蛮干净的、也很安静。性价比还是可以的在那个位置。。。', '短评打分': 5}
{'短评内容': '服务还不错，就是空调噪音和每天早上服务员收拾房间打扫卫生的声音较大，喜欢赖床的我一大早总要被吵醒一下。', '短评打分': 5}
{'短评内容': '比较难找阿。房间有点小。但是相当干净。下次还选如家。', '短评打分': 3}
{'短评内容': '环境不错，就是地方比较隐蔽，呵呵，下次还会光顾。', '短评打分': 5}
{'短评内容': '房间还是蛮温馨的。但跟望江门店没的比。空调有很大的响声。服务一般。', '短评打分': 1}
{'短评内容': '如家真的很不错，很干净，很便宜。很好。以后就住如家了。', '短评打分': 5}
{'短评内容': '酒店比较经济，环境和设施也可以。个人感觉不算难找。打的到环北市场正门，下车就可以看见汉庭的酒店，旁边就是市场的门口，然后去问市场的门卫池塘巷怎么走，其实就是从前门直走到后门，一出市场的后门就看见了。', '短评打分': 5}
{'短评内容': '还不错吧，蛮干净的，就是房间有点小，早上五点钟起床的时候没有热水', '短评打分': 5}
{'短评内容': '比较难找，正月保留时间晚，房间小，但是这个价位还是便宜的', '短评打分': 5}
{'短评内容': '比较安静，但周边不方便，没什么东西可以逛。公交也一般', '短评打分': 5}
{'短评内容': '如家酒店的坏境很好，入住方便，还可以烧热水喝，这次唯一的不足就是酒店的位置不是特别好找，其他都很好', '短评打分': 5}
{'短评内容': '环境相当好，以后来还是住这里', '短评打分': 3}
{'短评内容': '服务不错。比较难找.', '短评打分': 3}
{'短评内容': '房间还不错，挺干净的，没入住前，我以为没有窗户，住了才知道，每个房间都是有窗户的。其他都不错的，就是隔音效果不是很好！不过等我要睡觉了，也就蛮安静的了。基本上没声音！', '短评打分': 5}
{'短评内容': '服务态度很好，房间也很舒服，就是有点点不好找，找了很久才找到的…', '短评打分': 3}
{'短评内容': '房间较小，周围环境差，所以价格便宜。。。。', '短评打分': 5}
{'短评内容': '酒店很不错 就是位置不是很明显 卫生不错 就是小了点', '短评打分': 5}
{'短评内容': '在市中心，虽然有点难找，但挺安静的，价钱也合理', '短评打分': 5}
{'短评内容': '地方太偏僻了，很难找，除了太偏僻外，其他的还好吧', '短评打分': 5}
{'短评内容': '酒店不错  服务也很到位  就是位置不太好找啊  ', '短评打分': 5}
{'短评内容': '干淨、雖然房太小，位置好、雖然很多司機都不知道在哪。', '短评打分': 5}
{'短评内容': '地理位置不错，下次还会来，价格也不错。就是早上的时候有点吵，外面再打扫房间的声音比较大，市场也有声音', '短评打分': 5}
{'短评内容': '房间不错，这个价格很值！', '短评打分': 3}
{'短评内容': '位置有点不好找，但是其他的都还可以，缺点是有点吵，优点是便宜', '短评打分': 5}
{'短评内容': ' 偏，介绍的时候也没说明白。环北市场后面。', '短评打分': 3}
{'短评内容': '还不错··就是隔音差点···最大的问题就是地方不好找啊····绕了一大圈····可以再顶上再加个大牌子啊···', '短评打分': 5}
{'短评内容': '位置有点偏不太好找，不过价格实惠，还过得去', '短评打分': 5}
{'短评内容': '就是电视不太好，偏色，其他还好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '以后都不会在来这住了，本来是我的老根据地，每次到杭州都在这家的，虽然不好打车但感觉已熟悉了，也能克服交通不便的问题。可是最近两次过来都很让人失望和生气，服务变的好差差，而且房间卫生也不敢恭维了，洗澡间那个下水道的地方好多小飞虫子（让人很恶心）。我在商务中心打印了一些文件，服务员告诉收费一张一元，后来忙完了忘签那个消费单了，服务员竟然半夜快十二点打电话强调费用的问题，扰的一晚都没睡好。下次不会在住了', '短评打分': 1}
{'短评内容': '标准的如家风格，房间空间不大，干净，离繁华区和风景区及火车站都不算远，在主干道的巷子里，晚上安静，早上有点闹，巷子口没有明显标识。', '短评打分': 3}
{'短评内容': '找到丝绸城的话，挺好找的。位置虽然不是太好，但是离西湖，武林广场，火车站等不是太远，出去中河路就有公交车，我们早上出去都是步行的，可以享受一下早上的清新空气。大床房房间是不太大，但是干净卫生，服务态度挺好的，对于短期出行，白天玩晚上休息的游客来说足够了，早上也没有太吵（估计是我们习惯了吧），因为一大早就起来出去玩了。\n总体不错，十一的这个价格还可以接受，有机会的话还会去！', '短评打分': 5}
{'短评内容': '在杭州首选的酒店，干净整洁。(−_−＃)、、、每次出差都会在这边住！交通不方便，需要走出好远才能打到的士', '短评打分': 5}
{'短评内容': '还好！早餐也不错，又不贵。还有停车位。就是路口指示标志不够精确。', '短评打分': 5}
{'短评内容': '酒店在小巷子里，第一次去的人比较难找，住了两个晚上，房间里没吹风机，问了两天都没有，很郁闷....', '短评打分': 1}
{'短评内容': '酒店丝绸城附近的一个小巷子里，第一次去的人比较难找，酒店设施比较简陋，第一天去发现房间里没吹风机，问前台，说顾客借去还未归还，等第二天还未归还，第三天要退房时候去问，还是没吹风....本人到无所谓，但是女友长发...难道这么打的连锁酒店，连这么小小的设备都不能满足？？', '短评打分': 1}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '酒店比较好找.挺安静的,也看着蛮舒心得.', '短评打分': 3}
{'短评内容': '房间和设施都还行 就杭州的消费水平来说这个价格也属可以接受 但是窗帘不是很好 不能完全拉住 不知道是不是个别现象 还有色情小广告实在头疼 出去吃个宵夜回来厚厚一叠 希望酒店方面能设法杜绝', '短评打分': 5}
{'短评内容': '每次来都住这边，干净、整洁，服务也蛮不错。', '短评打分': 5}
{'短评内容': '一如既往的喜欢如家，就是偏了点。', '短评打分': 3}
{'短评内容': '房间空间有些小', '短评打分': 3}
{'短评内容': '位置不好，导航找不到，其他连锁店也不支持。', '短评打分': 1}
{'短评内容': '房间比较小，但挺温馨，电视也不错', '短评打分': 3}
{'短评内容': '很不错，房间很干净，走进去有种家的温馨感。大堂服务人员态度很好，靠近延安路，出行方便。', '短评打分': 5}
{'短评内容': '还行，不过离西湖有点距离，要自己租自行车前往。吃饭逛街方便。', '短评打分': 5}
{'短评内容': '房间还可以，就是没有餐厅，早餐的位置只有四张可以坐四个人的桌子，太小了。环境还可以。', '短评打分': 5}
{'短评内容': '价格很合适，离西湖很近，打车也就是起步价。去杭州旅游的朋友很适合。', '短评打分': 5}
{'短评内容': '环境不错，晚上安静，早上楼下拉货的很早就开始吵了。', '短评打分': 5}
{'短评内容': '房间还可以吧。。。。。。。。。。。。。。。。。。。。。 ', '短评打分': 5}
{'短评内容': '来杭州差不多都住在这边,房间不错,服务也好,就是网速晚上慢的跟蜗牛一样..唉.', '短评打分': 5}
{'短评内容': '每次到杭州都会住这边，就是房间有点小，打车不方便，但鉴于离办事的地方相对都比较近所以是首先。', '短评打分': 5}
{'短评内容': '还不错~如就家的一贯风格！卫生~~隔音效果太差了~！半夜三更的还有人在外面嘻嘻哈哈~而且地方比较偏~找不到啊~', '短评打分': 1}
{'短评内容': '房间还可以吧。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的条件很好卫生干净，不过卫生间洗澡的地方如果把帘子改成门就好了，因为水总数往外跑', '短评打分': 5}
{'短评内容': '还可以 隔音不敢恭维', '短评打分': 3}
{'短评内容': '因为是靠近环北市场，早上是有点吵的。房间还行吧。卫生间比较大。', '短评打分': 5}
{'短评内容': '这个价位，性价比还不错。房间稍小了一点。。。。', '短评打分': 5}
{'短评内容': '房间还可以。其他的也没什么了，这个价位来说，性价比还是比较高的。', '短评打分': 5}
{'短评内容': '不错，就是房间有点小。隔音不是很好的，但是还是很喜欢的', '短评打分': 5}
{'短评内容': '游玩西湖后来的这家酒店。第一次住如家，感觉很好。主要是卫生间够大，可以舒舒服服地洗头洗澡。干净整洁，很温馨。不过如果要去西湖玩的话，地段不能算好。', '短评打分': 5}
{'短评内容': '离浙一医院较近，但是第一次到的时候的确不好找；服务，没啥评价的，因为我们事少，呵呵。', '短评打分': 5}
{'短评内容': '地方偏僻，原以为这家会靠近西湖，坐公交方便，结果这家是开在小巷里面，坐公交打出租车都不方便。房间隔音效果不好，一大早附近市场上买卖的声音你在房间里就能听到。', '短评打分': 1}
{'短评内容': '房间虽然小点，但是以这样的价格在这样的地段住到这么干净整洁，服务态度有好的酒店，相当难得了啊', '短评打分': 5}
{'短评内容': '房间还是不错的，就是早上稍微有点吵，其他的也没什么了。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '除了房间小点 都很好 尤其是服务态度 相当棒', '短评打分': 5}
{'短评内容': 'ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ok ', '短评打分': 5}
{'短评内容': '位置不太好找，感觉在一个巷子里，不过算算和街面的汉庭的差价，感觉还是可以的，就是房间感觉有点小！', '短评打分': 5}
{'短评内容': '总的感觉还不错。蛮干净！但是门隔音不好，外面就是走道。', '短评打分': 5}
{'短评内容': '确实不太好找，用的GPS定位找的，还蛮顺利的，整体还挺干净，就是房间有点小。', '短评打分': 5}
{'短评内容': '房间颜色丰富.设施齐全.有家的感觉.下次来还会订如家.唯一可惜的是不赠送早饭券.希望以后会有.', '短评打分': 3}
{'短评内容': '安静整洁,有窗户,服务规范.', '短评打分': 3}
{'短评内容': '服务态度蛮好的，就是位置很难找\n\n另外，房间透气性不是很好', '短评打分': 5}
{'短评内容': '就是房间小了一点，但是对得起这个价格。好歹是市中心了~', '短评打分': 5}
{'短评内容': '手续方便快捷， 卫生情况很好， 而且非常安静。', '短评打分': 5}
{'短评内容': '房间还比较干净，服务态度也不错，和一般如家的客房及服务水准一样，还是比较值得信赖，价格也相对较低，离西湖也不是很远，下次去杭州仍会考虑入住。就是早点一般，不如城市如家的早点品种丰富。', '短评打分': 5}
{'短评内容': '房间五颜六色的，挺好看，呵呵，不过不怎么好找。', '短评打分': 5}
{'短评内容': ' 我现已入住杭州如家快捷的8409房间,房间非常好,前台服务员非常热情.', '短评打分': 3}
{'短评内容': '太太太偏了，出租司机都难找。而且在巨大的批发市场后面，环境堪称恶劣。再有就是房间很小，一看门一览无余。唯一不错的是卫生间相对来说还挺大。', '短评打分': 1}
{'短评内容': '这个店不错，就是位置有偏。网速还行。。。。。。。', '短评打分': 5}
{'短评内容': '房间看起来挺干净的，就是空间有点小，其他设施还是蛮好的', '短评打分': 5}
{'短评内容': '优点：房间虽小，但十分干净整洁；前台和客房服务都很不错；附近吃饭、逛街也都很方便；离火车站、西湖等景点较近，打车（不塞车）的话基本十几分钟就到了。 \r\n缺点：酒店位于小巷内，的士一般不进这条巷子。打车的话，可以直接打到环北市场门口，然后步行穿过环北市场（当逛街好了），从市场后门出去就可以看见酒店了。也因为离环北市场较近，所以相对较吵，清晨四点多五点开始楼下就渐渐热闹起来了。', '短评打分': 3}
{'短评内容': '还不错，就是位置不好找，在一个居民小区里面，不过旁边的批发市场很好', '短评打分': 3}
{'短评内容': '还不错，就是位置不好找，在一个居民小区里面，不过酒香不怕巷子深，质量好还是最主要的。', '短评打分': 3}
{'短评内容': '服务良好', '短评打分': 5}
{'短评内容': '优点：房间虽小，但十分干净整洁；前台和客房服务都很不错；附近吃饭、逛街也都很方便；离火车站、西湖等景点较近，打车（不塞车）的话基本十几分钟就到了。\r\n缺点：酒店位于小巷内，的士一般不进这条巷子。打车的话，可以直接打到环北市场门口，然后步行穿过环北市场（当逛街好了），从市场后门出去就可以看见酒店了。也因为离环北市场较近，所以相对较吵，清晨四点多五点开始楼下就渐渐热闹起来了。', '短评打分': 5}
{'短评内容': '就在环北市场后门正对面，非常好找，设施也很好，就是窗户小点，透气慢，有点闷，可能和天气有关', '短评打分': 5}
{'短评内容': '位置比较便利，交通很方便，距离主干道大约3-4分钟路程。很适合旅游入住。周边是服装批发市场，优点是很热闹，缺点是比较脏。总的来说很不错，以后还会住。', '短评打分': 5}
{'短评内容': '就是房间有点小，卫生很好，地理位置也不错，出门就能逛市场', '短评打分': 5}
{'短评内容': '还不错，很如家', '短评打分': 5}
{'短评内容': '＋房间有点小，还算比较干净。就是酒店地点不好找。', '短评打分': 5}
{'短评内容': '虽然在小巷不怎么好找，但周围交通还是比较便利的。去延安路那里步行也不是很远，周围是居民区，很安静的。性价比高', '短评打分': 5}
{'短评内容': '卫生就是，虽然位置难找了点，但是前台电话里说了后也不难找。', '短评打分': 5}
{'短评内容': '个方面都不错，离商业区旅游区近，交通也很方便。服务态度好', '短评打分': 5}
{'短评内容': '就是有点儿不好找啊~地理位置有点儿靠里了，不过性价比还不错哦~还有就是出了小巷其实公交也还方便，离车站和西湖都不远呢~', '短评打分': 5}
{'短评内容': '在一个市场的后门，小巷子里，周围还在修路，出租车要么不认识要么不进去，说不好走，不好打车，打车要到大路上，需要走一段。穿过走出去以后还算比较繁华，为生还可以，房间比较小，不过如家都比较小。', '短评打分': 1}
{'短评内容': ' 环境不错，交通还可以。', '短评打分': 5}
{'短评内容': '还不错，房间很温馨，蛮干净，位置也很中心，很方便，都不错的', '短评打分': 3}
{'短评内容': '+干净整洁', '短评打分': 5}
{'短评内容': '在一条小弄堂里，比较难找。房间比较小，但还干净，总体性价比可以。', '短评打分': 5}
{'短评内容': '是不是旅游旺季有点贵？200多元这个服务有点贵了。', '短评打分': 5}
{'短评内容': '这家店有两个缺点：\r\n1.地理位置不好，主要是不好找，在池塘弄里。那次住是自己开车去的，找的郁闷的一塌糊涂\r\n\r\n2.隔音效果极其差。一般这种问题只出现在老房子里，结果在这家如家新店里，这个问题极其严重，走路声，说话声，连冲马桶的声音都听得特别清楚', '短评打分': 1}
{'短评内容': ',我已成功入住杭州如家凤起路环北市场店。整体印象较好，干净，交通方便。', '短评打分': 5}
{'短评内容': '商务大床好一些。', '短评打分': 5}
{'短评内容': '房间小厕所大。', '短评打分': 5}
{'短评内容': '地方不好找，在小区里面，周围环境不是很好，酒店大堂和大床房房间有点小，但是离西湖还不算远，而且价格还算相对便宜！', '短评打分': 3}
{'短评内容': '酒店不是在街面上，位置有点不好找，大厅和房间都很小，但周围交通还算方便，距离西湖也不远', '短评打分': 5}
{'短评内容': '位置很不错，价格在杭州算是很低廉了，推荐', '短评打分': 5}
{'短评内容': '如家统一的标准，只要住过如家，都一样。地理位置离丝绸街很近。', '短评打分': 5}
{'短评内容': '    是一家不错的酒店！', '短评打分': 5}
{'短评内容': '位置非常好，到哪儿都很方便。', '短评打分': 5}
{'短评内容': '酒店其实位于环北市场后面的\r\n交通很方便，走出酒店到大马路对面就可以坐公交车去市中心和旅游点\r\n酒店大堂服务态度很好，很热情的\r\n房间卫生条件挺好，很干净，装修比较新，空调很强劲。\r\n如果想住的离景区稍微近点又怕花钱太多，这个如家是个不错的选择', '短评打分': 5}
{'短评内容': '连锁酒店，大同小异，地段还行，价格适中，还算安静。\n值得一提的是饮水器上的时间标签，很多酒店都没有关注到，比较在意细节', '短评打分': 5}
{'短评内容': '就是很好', '短评打分': 5}
{'短评内容': '性价比还是不错的，住着也蛮舒适的。就是位置不太好找，房间不是很大。总体来说还是不错的！', '短评打分': 5}
{'短评内容': '卫生条件不错，离丝绸市场很近，比较方便', '短评打分': 5}
{'短评内容': '位置太差了，的士司机根本找不到，而且是单行道，小巷子里，很难走。比边上的凤起路店便宜30来块好像……哎……认了。PS建议打的到凤起路环北市场站，然后穿过市场就能看到了，不过晚上市场关门，还得绕……对面丝绸市场……太无聊了，就卖丝绸的衣服……', '短评打分': 1}
{'短评内容': '挺干净的，也很安静，就是地方不太好找，走进好几百米', '短评打分': 1}
{'短评内容': '酒店位置比较偏，很难找，给前台打电话还说比较忙，等会在打，估计很多第一次来的人都得打电话问吧，房间还是比较小，尽量不住。', '短评打分': 1}
{'短评内容': '服务到位工作认真态度优异认真负责责任心强', '短评打分': 5}
{'短评内容': '不错的酒店，服务很好，很干净', '短评打分': 5}
{'短评内容': '比较难找的一个地方，无停车位，但住宿环境还可以。', '短评打分': 5}
{'短评内容': '还不错，交通算方便，房间也不错，总之物美价廉', '短评打分': 5}
{'短评内容': '有点吵了。房间也不大，但还比较卫生', '短评打分': 5}
{'短评内容': '服務挺熱誠的,但住房及退房的手續覺得辦理時間稍微有點長;\n另外晚上打車外出確實比較不好打,要走一段路.\n', '短评打分': 5}
{'短评内容': '在老城区内，有点难找。去之前，最好能熟悉地图。', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '这个酒店环境还是不错的，下面吃饭的地方也比较的多，但是那边打车过去还是不方便的，很多司机不想去，那边有很多的单行线。', '短评打分': 5}
{'短评内容': '非常的安静。位置的指示牌不够多，不好找。', '短评打分': 5}
{'短评内容': '酒店位置不在大街上，初次去的话不是很好找。\r\n大床房房间有点小，商务大床房还房间大小比较合适。\r\n卫生还不错。', '短评打分': 5}
{'短评内容': '酒店位置太难找；房间比想象中小很多，会感觉挤，没地方放行李；再一个隔音效果实在太差。好的方面是，卫生状况很不错。', '短评打分': 1}
{'短评内容': '整体很干净整洁，很舒服，虽然房间小了点，但是很舒服，价格也合理，位置也还不错的！蛮好蛮好', '短评打分': 5}
{'短评内容': '地方有些难找，在小区里面，我找了半天', '短评打分': 5}
{'短评内容': '酒店还是不错的，离西湖也近，价格在这个地区算很便宜了。唯一遗憾的是房间小了点，但还算物有所值。', '短评打分': 5}
{'短评内容': '不错，服务态度很好', '短评打分': 5}
{'短评内容': '行！不错！但是湖墅南路的，如家不行！态度差，隔音效果差！', '短评打分': 5}
{'短评内容': '太偏僻', '短评打分': 3}
{'短评内容': '非常合适。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '酒店位置很方便，市中心，中河路在高峰时段很堵，所以开车出去花了很长时间。酒店门口有个市场，我住的是高楼层，所以不像想象中会很吵，卫生和服务都挺好，前台很热情，见到住客就主动问好。总的来说挺满意的', '短评打分': 5}
{'短评内容': '上次入住的522房间很难受，每天凌晨就开始听到6楼传来流水的声音，而且长时间不停止，饱受折磨。', '短评打分': 1}
{'短评内容': '确实不错～最主要是卫生～应该还会入住～但如果有个长期光顾优惠价就好了～嘿嘿', '短评打分': 5}
{'短评内容': '总体下来还不错，我会想朋友推荐的，', '短评打分': 5}
{'短评内容': '房间太小太挤，地方也不好找，卫生还可以，但是价格有点偏高', '短评打分': 1}
{'短评内容': '总体感觉一般般，房间有点小但很温馨，不过毛巾发黄最好让他们来换一下，设施有点陈旧；建议大家三思而后行。', '短评打分': 1}
{'短评内容': '房间虽小,但五脏俱全.并且相当干净.地理位置优越,价格很公道,服务态度也不错.非常满意,还会再次入住的.谢谢~~', '短评打分': 5}
{'短评内容': '地方比较幽静，前台人员很客气；\r\n房间感觉一般，不过还是可以接受；\r\n清早的时候旁边的市场开业，比较吵。', '短评打分': 1}
{'短评内容': '基本上还都可以，建议住楼层高的，因为楼下是市场早上会很吵', '短评打分': 5}
{'短评内容': '整体感觉还可以，位置在一个小巷子里，很多出租车不知道怎么走。餐厅只提供早餐，要是午餐，晚餐也提供就好了。空调声音稍微大点。其他都还可以。', '短评打分': 5}
{'短评内容': '很干净很舒服', '短评打分': 3}
{'短评内容': '很不错的一家酒店', '短评打分': 5}
{'短评内容': '这个酒店我认为位置不错，靠着小商品市场，自己还能淘点东西，服务态度还不错，就是长的网线备的少，去晚了就借不到了', '短评打分': 5}
{'短评内容': '噪音比较大', '短评打分': 5}
{'短评内容': '总体感觉还是不错的一家酒店。参考其他网友所说的，选择了较高的楼层，晚上虽然还有部分来自环北市场的噪音，但是可以接受。附近吃饭的确不太方便，要走出去10分钟才有东西。室内设施最让我喜欢的是有饮水机，这个比烧水壶方便多了。', '短评打分': 5}
{'短评内容': '住着挺好的，服务态度也非常好。性价比高。', '短评打分': 5}
{'短评内容': '位置比较偏不是太好找,房间还行和其他的如家酒店比起来都差不多,性价比还不错,总体感觉还行.', '短评打分': 3}
{'短评内容': '酒店的住宿条件比较一般,而且房间的里的宽带使用的话是要单收费的,前台人员服务态度也比较冷淡,大堂经理挺热情的,地理位置还算方便.', '短评打分': 3}
{'短评内容': '如家中河路店，比凤起路店，武林广场店便宜40元，说是地理位置的原因，基本上就是每天的打车钱。这里的生活气息不是十分浓郁，上次从火车站坐21路公交车过来，路过双菱路，看到新丰小吃等等，很多店，可惜离得有些远了。', '短评打分': 3}
{'短评内容': '位置有些偏，找吃饭的地方不大好找，的士不大好找。性价比还可以。房间也还干净整洁舒服。', '短评打分': 5}
