{'短评内容': '相对于价格来说，各方面都很好。', '短评打分': 3}
{'短评内容': '很好，位置也好，酒店也干净。就是看起来就在汽车北站对面但是隔了一条河，还在走不少路。', '短评打分': 5}
{'短评内容': '虽然慢了点 在前台等了一个小时 不过态度还算不错 免费升级商务大床 还算满意', '短评打分': 3}
{'短评内容': '订的是家庭房,房间比较宽,很好,只是设施有点旧。虽然酒店有点小偏,交通还算方便。最看重的是酒店到各景点和火车站都近。', '短评打分': 3}
{'短评内容': '火车站汽车站边，位置不错。房间不错，床小了点，隔音有点差，值得住。离几个园林，景点都不远。门口有车站，打车也可以，但苏州出租不好打。', '短评打分': 5}
{'短评内容': '还可以满意 交通也方便 里面的环境也好 就是人多 服务慢', '短评打分': 5}
{'短评内容': '不错的地方，交通方便，空间比较大。服务态度比较好。不过电视机很小，位置也比较奇怪，看着比较辛苦。', '短评打分': 5}
{'短评内容': '感觉不错，餐厅很好。', '短评打分': 3}
{'短评内容': '不错的地方，交通方便，空间比较大。服务态度比较好。', '短评打分': 5}
{'短评内容': '第一次住莫泰，预定的特惠大床房，只能说一分钱一分货~电视的位置特别别扭，在床上根本看不到，必须站在门口看。。。最主要的是电视位置不能动啊！', '短评打分': 5}
{'短评内容': '住宿条件较高，房费较为合理，就是装潢不太合理，希望有所进步。', '短评打分': 3}
{'短评内容': '酒店蛮干净。还算好的。周边环境也好。步行到博物馆，还有园林很近', '短评打分': 5}
{'短评内容': '特价房设施比较旧，不过酒店离火车站，景点都特别近很方便。', '短评打分': 5}
{'短评内容': '交通便利，房间只能说对得起这个价格，就是电视机有点小毛病', '短评打分': 5}
{'短评内容': '苏州站站南广场正在修，所以该酒店没有地理位置优势，离火车站太远，交通只有202路，不方便，不过酒店环境不错。', '短评打分': 5}
{'短评内容': '交通很方便，很干净。就是有点潮。站在窗前能看见一条江，好像是江~  总之不错', '短评打分': 5}
{'短评内容': '挺好的，和朋友出去玩住的，就在火车站附近，性价比高：)', '短评打分': 5}
{'短评内容': '交通便利，环境不错，酒店门前有条河，可以钓鱼，下次去还住！', '短评打分': 5}
{'短评内容': '价格便宜，大床房158，卫生好、设施好、去火车站一站共交、去市内步行街远一点、不过打的也只有一个起步价。不错的。', '短评打分': 5}
{'短评内容': '还可以，就是住的房间布局很奇怪。交通很方便，去景点出门就可以坐车。', '短评打分': 5}
{'短评内容': '房间临街很早就被吵醒，附近没什么吃饭的地方', '短评打分': 1}
{'短评内容': 'jia价格决定一切,推存一下,有个着落点,太热了', '短评打分': 5}
{'短评内容': '太吵了，而且周边都没有什么饭店吃饭，打车也不是很方便', '短评打分': 1}
{'短评内容': '在这个位置，算是很安静啦，出门就是公园。公交车不多。外地来的还是以打的为主啦。到拙政园的距离很近，价格上，在这个位置也算便宜啦', '短评打分': 5}
{'短评内容': ' 环境还不错 也挺安静的', '短评打分': 3}
{'短评内容': '总体还可以，有点瑕疵，卫生间马桶有点问题。离火车站比想象中的远一些。公交线路较少且很早就没有车了。', '短评打分': 5}
{'短评内容': '还不错的，挺干净的。设施也还不错。。。主要是离火车站很近。。', '短评打分': 5}
{'短评内容': '还行，就是布置有点奇怪', '短评打分': 3}
{'短评内容': '不错，卫生，整洁，清净，是我住过莫泰中最好的一家了。员工相比其他莫泰店都比较都好。其他莫泰店，我订了，半天他们才能查到，入住没这么快速度。', '短评打分': 5}
{'短评内容': '房间空间不错，交通便利，唯一不足就是卫生上稍逊一点。', '短评打分': 5}
{'短评内容': '在这个位置，性价比不错．', '短评打分': 3}
{'短评内容': '我们五个女孩住一个家庭房，挺划算的，一个1.8米的大床加上1.2米的小床，也不挤，环境很好，相当舒服，绝对好评', '短评打分': 3}
{'短评内容': '已正常入住3天', '短评打分': 3}
{'短评内容': '设施陈旧，卫生状况差，挂衣服的地方好多灰尘。位置、价格还算不错', '短评打分': 1}
{'短评内容': '跟想象中的莫泰差距太大了，房间看上去很脏，很挤，最头疼的是隔音太差太差了，以后不会入住这家店了', '短评打分': 1}
{'短评内容': '房间里的床，桌子摆放很蹩脚，服务员素质很低', '短评打分': 1}
{'短评内容': '大床房设备有点旧，其他还可以、希望下次改进', '短评打分': 5}
{'短评内容': '住着还行吧，就是普通的酒店嘛，交通也还行吧', '短评打分': 5}
{'短评内容': '一般般吧,就住了一个晚上，住的特价房，说可以返还现金，弄的很麻烦。。。', '短评打分': 1}
{'短评内容': '住的地方，第二天早上7点多就开始楼上装修，打了好几个电话，都没解决 ', '短评打分': 1}
{'短评内容': '环境不错，就是床和被子不是很好，而且不能打免费电话。', '短评打分': 5}
{'短评内容': '地方不错，环境优美，门口有河，不错。以后还会到莫泰168入住', '短评打分': 5}
{'短评内容': '环境还不错～', '短评打分': 3}
{'短评内容': '酒店后面有工地在施工，服务态度不错，总体来讲还是不错的', '短评打分': 5}
{'短评内容': '酒店挺干净的，就是第二天涨价了,只能换别家了。', '短评打分': 5}
{'短评内容': ' 酒店条件很好，服务也不错，很舒适，性价比也很好，总之，相当满意。', '短评打分': 3}
{'短评内容': ' 酒店位置不错，预定的是特价房127。房间设施看起来比较旧，最要命的是热水龙头出水有一股霉味。不知其他非特价房也是这样。。总体', '短评打分': 3}
{'短评内容': ' 换了2个房间：\n第一个房间外边是空调，嗡嗡的响。要求调整\n第二个房间小，床有个角是坏的，不明白为什么第一个房间有吹风机，到第二个房间却没有了。没有浴霸，天冷不敢洗澡，空调制热效果不好，不开空调没事，开空调还是嗡嗡的响。', '短评打分': 1}
{'短评内容': '价格还是比较实惠的，只是特价的，安排在靠街的一边，隔河还有汽车北站，稍微有点吵吧，另外就是空调机子运行的声音也比较大；洗手间都配了吹风机还是很方便的', '短评打分': 5}
{'短评内容': ' 酒店的位置不错，离苏州火车站步行即可到达。房间干净、舒适，唯一的遗憾是空调制热不够给力。', '短评打分': 3}
{'短评内容': '第一次住莫泰，真的很差劲。房间小，隔音效果不好，而且上不了网。', '短评打分': 1}
{'短评内容': '先说说卫生,的确不怎么样，地上还有三根白色的吸管没有清扫。厕所没有放卫生纸。隔音效果很差，隔壁电视的声音都听得到。最郁闷的是，入住的时候反复问服务员：是不是临街的房间？服务员回答：不是。结果上来一看，不仅临街，而且过来过往的车的声音都听得到，很吵。问服务员能不能换一间，回答是：不能的，因为你们是事先预定的。整个无语。以后再也不去莫泰了。真的很差劲！', '短评打分': 1}
{'短评内容': '不错，周边环境还好。很多人入住。餐厅也还不错。这个价为非常好了。', '短评打分': 5}
{'短评内容': '好像不是莫泰的风格，空调是90年代的，晚上声音特吵，电视还是大块头，90年代的，只能收10个台不到。铺盖是脏的。', '短评打分': 1}
{'短评内容': '酒店房间太小，空调太差，开始给我开的是257房间由于空调异响又没暖风，后来换到252空调异响没有了 可还是没有热风，一夜差点就给冻死了。', '短评打分': 1}
{'短评内容': '离火车站很近，如果您是想在火车站边上找酒店的话，那它应该是您最佳的选择！', '短评打分': 5}
{'短评内容': '实在是不咋地，空调像火车一样，房间简陋，拜拜了。', '短评打分': 3}
{'短评内容': '恩恩，不错~~但是我们在刚刚入住时遇到了一些小问题~但当最后解决后，住进去还是很好 的，也有吹风机，细节很好~~很贴心', '短评打分': 5}
{'短评内容': '地方还行，吃饭也到慢方便的，就是热水不太好。要放好久，水压太小，电视太旧，台也太少。', '短评打分': 5}
{'短评内容': '旅游淡季的性价比还是非常好的，停车方便。', '短评打分': 5}
{'短评内容': '电视太差了,隔壁工地太吵了', '短评打分': 3}
{'短评内容': '满好的！地段有点偏', '短评打分': 3}
{'短评内容': '酒店很好，离火车站很近，从人民路走几步路就到了...', '短评打分': 5}
{'短评内容': '不错的酒店。。房间很好、、就是地理位置有点坑', '短评打分': 5}
{'短评内容': '房间干净卫生，装修也不错，近旅游景点和火车站', '短评打分': 5}
{'短评内容': '离汽车站看起来比较近，不过要从旁边桥上过去，大概10分钟时间。酒店比较干净，就是旁边没什么吃的', '短评打分': 5}
{'短评内容': '一般吧。房间中间竟然有根大柱子，只能侧身通过。房间外面走廊比较吵。', '短评打分': 3}
{'短评内容': '酒店设施比较陈旧，整体还不错，不过就是热水不热，没有办法洗澡。楼下美林阁不错。', '短评打分': 5}
{'短评内容': '环境还不错，离火车站和汽车北站很近 很方便', '短评打分': 5}
{'短评内容': '太吵了，空调之声保证你彻夜不眠。隔音不好，空调正好对着床。', '短评打分': 1}
{'短评内容': '帮朋友订的，据说还不错吧，值得推荐。下次来还住这里。', '短评打分': 5}
{'短评内容': '房间宽敞，干净整洁，前台态度服务不错，交通便利，', '短评打分': 5}
{'短评内容': '环境不错，周围很方便，离火车站，汽车站都很近，是个好地方。', '短评打分': 5}
{'短评内容': '比较舒适,就是感觉房间有点旧', '短评打分': 3}
{'短评内容': ' 总体感觉还不错，就是洗澡时沐浴液按不出来感觉很不爽。', '短评打分': 3}
{'短评内容': '房间空间很大，离汽车北站很近，是旅游下榻的理想酒店，下次还会住那里的', '短评打分': 5}
{'短评内容': '1，离开火车站很近。\n2，商务大床房旁边就是工地，有点吵。\n3，房间设施比较简单，适合回房间就睡觉的人。\n4，门口的停车场不是很规范，不过乱停也貌似没人管。', '短评打分': 5}
{'短评内容': '距离火车站很近，早上火车较早才选择这家酒店，但是性价比没那么高。', '短评打分': 5}
{'短评内容': '乘电梯不方便，没房卡就不能乘，有朋友来访很麻烦,', '短评打分': 1}
{'短评内容': '酒店在运河边上这点很喜欢，很宁静的感觉。离火车站有段距离，用走的话会比较累，但附近不远就有去火车站的BUS站台。房间空间设施布置等都还算不错，毕竟是经济旅店算不上很好但也差不到哪去，总之，还算满意吧！', '短评打分': 5}
{'短评内容': '酒店交通便利，设施较新。。', '短评打分': 3}
{'短评内容': '价格比较适中，处于老城区，较安静。住的大床房，房间设计有点奇怪，中间有个柱子。总的来说，还不错，适合旅游。', '短评打分': 5}
{'短评内容': '酒店不错 交通也挺便利', '短评打分': 3}
{'短评内容': '酒店离火车站、汽车站、景点都很近，出行很方便。', '短评打分': 3}
{'短评内容': '不送饮用水，不太好！房间比较小，但是只住一晚，也无所谓了。但是从火车站走过去还是有点距离的。门口的公交车202还不错！', '短评打分': 1}
{'短评内容': '很好，很喜欢，每次去都会选择此家。环境，地理位置很好，', '短评打分': 5}
{'短评内容': '地里位置好~到拙政园步行只有十分钟~到苏州火车站也只有十多分路程~住宿环境干净~宽敞~三床的家庭房~性价比高', '短评打分': 3}
{'短评内容': '位置挺好找的，出了苏州汽车北站就看到了，适合第二天一大早就要赶车的人。就是浴室的花洒出水有点不良，水太小了。', '短评打分': 5}
{'短评内容': '前台态度挺好的，就是在路边车多比较吵\u3000玻璃密封性比较差', '短评打分': 3}
{'短评内容': '到火车站，汽车站都不算远，隔河相望。但是要步行还真是挺困难的。大约要走20分钟左右。出租车也不太好搭\n环境还不错，开窗就能看到运河。\n周边吃饭不是很方便\n', '短评打分': 1}
{'短评内容': '还不错，环境很干净，交通很方便，下次如果出去还是会选这个名字的酒店。', '短评打分': 5}
{'短评内容': '酒店后面就是施工场地，很吵。\n酒店设施较旧，不像平时莫泰的风格。在家分店较为让人失望。', '短评打分': 1}
{'短评内容': '环境卫生、各方面的服务都不错，值得推荐。', '短评打分': 5}
{'短评内容': '性价比好，方便，干净，我公司来人都住这里。', '短评打分': 5}
{'短评内容': ' 非常棒的酒店，干净，规范，离车站也近', '短评打分': 3}
{'短评内容': '出行都比较方便，设施比较齐全，服务还好，值得推荐', '短评打分': 5}
{'短评内容': '莫泰苏州平齐路店房间一般，早餐15元一份，但连水都没有喝，只有馒头，粥，酱菜等，没有蛋，是我见过的莫泰早饭最差的一家店，太差了！', '短评打分': 3}
{'短评内容': '房间外边就是一片古城区，赞的', '短评打分': 3}
{'短评内容': '房间面积较大。很安静。美中不足下水道有点堵.离拙政园很近。下次可以选择', '短评打分': 3}
{'短评内容': '就在老城区，去各种景点很方便！！酒店的环境也不错~~', '短评打分': 5}
{'短评内容': '如果自己开车去还行，如果不是自驾的，那边交通不方便，公交车站都有段距离，而且打车也不方便。服务一般，国定假期里面前台既然只有一个人在。退房都等半天。', '短评打分': 5}
{'短评内容': '优势在于距离火车站、汽车北站、拙政园、狮子林较近。房间比较宽敞、条件不错，比较安静。但是前台服务态度较差，而且高峰时候居然只有一个工作人员，令人惊讶。到店后等待清洁时间将近半个小时，接待员还一直要求我加价换房间，令我非常反感。', '短评打分': 1}
{'短评内容': '原先预定的是大床房，去到的时候说房价都涨了，只能给我们特价房。如果无法兑现就不应该接受预定，觉得被欺骗了。而且特价房环境超差，甚至连要多张被子也没有。这次旅程住过3家酒店，最差是莫泰了，以后再也不会来。', '短评打分': 1}
{'短评内容': '位置不错，隔河就是汽车北站和火车站，不过由于苏州火车站南广场废弃了，到北广场还是得坐公交车，不过到汽车北站的话不行也只需要10多分钟。房间也还不错，特别是临河一侧的房间，窗外风景也很美。', '短评打分': 5}
{'短评内容': '酒店离景点都挺近的，入住第一天出现点小状况，不过很快就给解决了。', '短评打分': 5}
{'短评内容': '莫泰酒店服务太差，以后决不再住这家酒店了，失望！', '短评打分': 3}
{'短评内容': '办理入住速度慢 其余还很不错 字数你妹 你妹 你妹', '短评打分': 5}
{'短评内容': '这个酒店真的不错，我住的商务大床房，房间很大，而且床也很大，应该是两米乘两米的，离拙政园和火车都只要两站公交，很方便。而且我感觉比同价位的如家好很多。', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '房间小,性价比不等.', '短评打分': 3}
{'短评内容': '在火车站旁边,卫生条件还好.价格适中的经济型酒店', '短评打分': 5}
{'短评内容': '不错呦，去玩的地方都挺方便的。', '短评打分': 3}
{'短评内容': '房间挺干净的～哈哈', '短评打分': 3}
{'短评内容': '房间有点小，但河对面是汽车站，出行方便', '短评打分': 3}
{'短评内容': '帮亲戚预定入住的,地理位置不错,出行交通也很方便,只是酒店的隔音有待提高', '短评打分': 5}
{'短评内容': '电视很小，周边没啥东西。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '莫泰我一直很喜欢的酒店品牌，酒店服务态度很好，我今天晚上快10点了电脑突然连接不上，然后我打电话他们很热情地来帮我进行调整', '短评打分': 5}
{'短评内容': '环境很好，房间大，设备很齐全，价格比RJ还要便宜些，离拙政园很近，基本就是一站地的路程，离狮子林也不远，过了河就是火车站，在高铁北站下的车，要做811路很快就到', '短评打分': 5}
{'短评内容': '酒店还不错，交通比较便利，酒店的餐饮业貌似不错，值得入住，会向同事推荐入住，一般出差在外 ，会有机会再次入住的。', '短评打分': 5}
{'短评内容': '酒店还在装修，我们过去的时候10分钟就看到2次和前台吵架。房间也差可能我们住的是还没从新装修的房间。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '地段很不好！汽车都开不进去！现在在封路！走进去起码10分钟~~强烈不推荐啊！强烈不推荐啊！强烈不推荐啊！强烈不推荐啊！', '短评打分': 1}
{'短评内容': '价钱很合理', '短评打分': 3}
{'短评内容': '地理位置很好，交通便利，周边旅游景点众多，但远离商业圈。客房环境很好。', '短评打分': 5}
{'短评内容': '态度好，位置也行，公交方便。如果路修好了那就更棒了', '短评打分': 5}
{'短评内容': '地段非常，就在汽车北站对面，离火车站一个起步价，到市中心也非常近，非常方便。就是房间面积小了点，其他都不错。', '短评打分': 5}
{'短评内容': '现在酒店门口正在修路，成单行道了，出租车只能绕圈开或者自己走进去，但是酒店靠这一片很美的河边，门口也有公交，总之如果不是修路性价比还是很高的', '短评打分': 5}
{'短评内容': '太旧了，太旧了，不推荐。位置还是不错的，但是酒店的设施实在是太旧了。', '短评打分': 1}
{'短评内容': '卫生差，设备旧，服务更是不好，后悔了', '短评打分': 3}
{'短评内容': '很安静，就在火车站对面还比较方便，床单蛮好温馨的。不过环境没有我想象中的好，开了两个房间，有一个房门的猫眼没有，从外面能看见里面，卫生间太小了，一个人都有点挤，还有价格有点小贵~', '短评打分': 5}
{'短评内容': '交通方便，房间还算干净，一般出差住住。。。', '短评打分': 5}
{'短评内容': '酒店离火车站汽车站都比较近，交通便利，在几家快捷酒店中算中等，还不错～', '短评打分': 5}
{'短评内容': '隔音效果非常不好，大清早就被走廊里的声音吵醒了。', '短评打分': 1}
{'短评内容': '酒店正对新客运中心 不过这几天门前在修路 可能会不太方便 但环境还是不错滴~', '短评打分': 5}
{'短评内容': '还好，东西有点旧了，老婆说床也有点小，还有门前在修路，看的见汽车站，但隔着河，“看山跑死马”，过去汽车站的话要走20分钟。', '短评打分': 5}
{'短评内容': '十干净，但桌子太小了！', '短评打分': 3}
{'短评内容': '房间设施还不错，网络挺方便的，交通也挺便利，不错。', '短评打分': 5}
{'短评内容': '挺清爽干净的，空调效果也不错，还算安静吧', '短评打分': 5}
{'短评内容': '现在酒店门前的马路在修建，所以有点不方便，还算安静，房间也不小，就是酒店的走廊里没空调，热，整体不够舒心的感觉。', '短评打分': 1}
{'短评内容': '酒店本身很不错，设计合理，干净卫生…靠近拙政园、博物馆和火车站，交通方便。但是后面一直在没日没夜的施工，环境很嘈杂，影响休息！', '短评打分': 3}
{'短评内容': '环境一般，服务还好，坐车不方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '交通很方便，停车位很多，前台服务快速周到，室内也比较干净', '短评打分': 5}
{'短评内容': '很好，非常好，住的也很开心，很舒适。推荐给朋友了，她们也会来住的！！！', '短评打分': 5}
{'短评内容': '我们去酒店的时候酒店门前在修路，晚上打车不太方便。我们住的二楼，房间布局不太合理，电视机在床侧面，看电视机不舒服，在床对面有几平米的 空间基本上是用不上的。', '短评打分': 1}
{'短评内容': '不错的经济型酒店，干净简洁，还能免费上网。', '短评打分': 5}
{'短评内容': '还可以，苏州到处都修路，门口修路变成单行线，比较不爽', '短评打分': 5}
{'短评内容': '酒店地理位置不错，就是打车太难。\n房间很整洁，干净。但是床和枕头离高档酒店差的很远。', '短评打分': 5}
{'短评内容': '环境有待改善\n交通不方便\n房间太小\ncccccccccccccccccccccccccc\n', '短评打分': 1}
{'短评内容': '房间挺干净、舒服的，有免费矿泉水提供。\n早餐也不错吃，就是美林阁太贵且难吃，不建议午餐、晚餐在这吃。', '短评打分': 5}
{'短评内容': '位置很好,北站对面,就是走起来要半小时', '短评打分': 3}
{'短评内容': '短期内不建议入住,酒店门前修路不怎么好走,同时酒店附近工地施工,清晨很吵闹.', '短评打分': 1}
{'短评内容': '条件不错，干净，安静，服务也到位。', '短评打分': 3}
{'短评内容': '总的来说还可以…', '短评打分': 3}
{'短评内容': '特价房虽然小但还挺干净的，值得一去。。。。。。', '短评打分': 5}
{'短评内容': '服务态度很好，住得很舒服，谢谢', '短评打分': 3}
{'短评内容': '一般。', '短评打分': 3}
{'短评内容': '三合一洗发水不好用,其它不错', '短评打分': 3}
{'短评内容': ',很好,谢谢!出入很方便,会再来。', '短评打分': 3}
{'短评内容': '离火车站很近很近，赶火车很方便，环境也很好。', '短评打分': 5}
{'短评内容': '房间小，隔声差，家具比较旧，沐浴液之类的用品不足，服务员还刷错卡。', '短评打分': 1}
{'短评内容': '还行吧，离汽车站火车站近，就是特价房比较小。', '短评打分': 5}
{'短评内容': '离火车站，汽车站都比较近，出行方便，只是刚入住时酒店后面在施工，有些吵。', '短评打分': 5}
{'短评内容': '还好，就是方便，其它的一般吧！靠火车站很近', '短评打分': 5}
{'短评内容': '干净，位置很好，前面就是护城河，景色很好，内部装修很新，唯一感到不足的就是附近的饭店很差。', '短评打分': 5}
{'短评内容': '商务大床房的床我很喜欢,房间很干净的,离火车站也蛮近的,坐公车蛮方便。就是晚上的洗澡水不够热,早上还可以', '短评打分': 3}
{'短评内容': '酒店交通方便,环境不错', '短评打分': 3}
{'短评内容': '酒店性价比不错，闹中取静，只是周边饮食选择较少。酒店离火车站只有两站路程，乘公车到平齐花苑下车，对面就是，如果在齐门站下，要转个弯到平齐路，路程也还不算太远。', '短评打分': 5}
{'短评内容': '我订的百元房  真的很合算啊   本以为是特价房的   没想到是大床房  很喜欢  住得很舒服噢', '短评打分': 5}
{'短评内容': ' 酒店餐厅管理不到位', '短评打分': 3}
{'短评内容': '酒店方便快捷，位置很好，视野很好，楼前有一条河，很美。', '短评打分': 5}
{'短评内容': '住的挺好的，就是隔音效果太差了。还有房间后面的空地上一直在施工，特别是晚上，挺吵的。', '短评打分': 5}
{'短评内容': '很舒服，而且还有吹风筒哦，设计比较精致。挺好的。', '短评打分': 5}
{'短评内容': '地理位置较为便利，对面是汽车北站，从火车站就能看到酒店，步行20分钟吧，公交不方便坐，打车要排很长队，要是行李不多不妨步行，晒着太阳欣赏河边美景。从酒店步行20分钟能到拙政园，打车去虎丘也只要十几块。\n不好的地方是背对街的一面客房对着工地，日夜施工，风景不美倒其次，噪音有够心烦意乱。', '短评打分': 5}
{'短评内容': '位置很好，很干净，值得推荐，下次还会选择', '短评打分': 5}
{'短评内容': '环境可以，交通也方便，同样的商务大床房间好像有区别，要选择好，总体还是不错', '短评打分': 5}
{'短评内容': '太旧了..墙皮都脱落了 进屋一股很浓的烟味... 反映之后才给喷的空气清新剂', '短评打分': 1}
{'短评内容': '还不错..电视太小了点...其他还不错...', '短评打分': 5}
{'短评内容': '房间还好啦！', '短评打分': 3}
{'短评内容': '房间还好啦！距离观前街2.2公里。', '短评打分': 3}
{'短评内容': '＋隔音效果不好', '短评打分': 3}
{'短评内容': '还不错~环境还可以！前面就是古运河！晚上的环境灰常好！', '短评打分': 5}
{'短评内容': '定的是特价房，100元，很超值，也很干净，离拙政园、狮子林非常近，离火车北站、汽车北站也很近。不过特价房内的设施很少，窗外施工噪声很吵，不过晚上十点多才回去，倒头就睡着了；睡眠时，容易警醒的同志请谨慎订购。', '短评打分': 5}
{'短评内容': '酒店周边环境不错，晚上也很安静，离高速公路和火车站都不算远。不足之处是开业时间久了点，装修有点陈旧。', '短评打分': 5}
{'短评内容': '服务很好，住的也很舒服，就是临街有点吵。', '短评打分': 5}
{'短评内容': '交通方便，地理位置好，还有停车场。住了几次了。', '短评打分': 5}
{'短评内容': '价格适中，就是周围没有吃饭和便利店', '短评打分': 3}
{'短评内容': '家庭房通道太多了，三张床摆了三个通道比较晕，其它还好！', '短评打分': 5}
{'短评内容': '房型结构太差，开始我订的158的大床房，后来改成178的标间，还是不似乎很满意', '短评打分': 1}
{'短评内容': '交通很方便,去旅游景点也很方便,住宿环境也不错,整体的感觉还是不错的', '短评打分': 5}
{'短评内容': '空调太差床太硬电视太老旧', '短评打分': 3}
{'短评内容': '房间很大，品质挺好的，离拙政园、师子林、观前街等景点都算近，因为火车站广场在施工，走路不方便，约半小时，我们用打车只要起步10元就到，非常方便，推荐', '短评打分': 5}
{'短评内容': '价格偏高房间设施不是很好隔音好差！家具质量差', '短评打分': 1}
{'短评内容': '此酒店就杀位置好. 进出苏州方便.而且安静. 性价比高..推荐.', '短评打分': 5}
{'短评内容': '这家酒店很适合大学生外出旅行居住，环境不错，交通很方便的，真诚推荐', '短评打分': 5}
{'短评内容': '酒店价格合理，还算 安静，交通方便,是 旅游的好住处', '短评打分': 5}
{'短评内容': '住了很多次了。每次都来苏州都是选这家，不错', '短评打分': 5}
{'短评内容': '交通还算是方便，房间也挺大的，干净卫生，离火车站很近。', '短评打分': 5}
{'短评内容': '一切都好，就是离市区不算太近。其他的都可以接受', '短评打分': 5}
{'短评内容': '酒店配套的美林阁餐厅，晚上8：30替职供餐。但是8：20我就被拒绝进入了。态度也很一般。。。。。。。。。', '短评打分': 1}
{'短评内容': '离汽车站较近，房间干净卫生，用餐就在楼下美林阁。前台办理退房的动作特别慢，要赶车的还是早点准备。', '短评打分': 5}
{'短评内容': '交通方便，临街房间比较闹。早餐自助太差，晚点去连鸡蛋都没有了。', '短评打分': 5}
{'短评内容': '一般，硬件设施还可以，但晚上比较吵，都没办法睡觉的。居住环境一般，我住的房间浴洗室的镜子上还有好多的血渍，害我们吓了一跳。', '短评打分': 5}
{'短评内容': '评价:一般,晚上很吵', '短评打分': 3}
{'短评内容': '这家酒店我最常住，经济实惠，离火车站又近，出行很方便。', '短评打分': 5}
{'短评内容': '酒店房间适中，干净，服务态度还行，性价比不错，就是远了点。', '短评打分': 5}
