{'短评内容': '早餐不错，停车场比较小。其他的都不错。可以看见瓯江。', '短评打分': 5}
{'短评内容': '设施旧，\n房间凉，\n服务一般，\n价格高。\n不过交通便利，\n周边小商店多', '短评打分': 5}
{'短评内容': '酒店外观看上去比较陈旧了。入住时前台给升了数字商务房间，好像是2010年新装修的，房间还不错，22楼窗外视野很宽阔。含早餐还不错挺丰富的，服务人员的态度也很温馨，退房速度很快，综合感觉商务出差可以选择的酒店。', '短评打分': 5}
{'短评内容': '经常住，服务真不怎么样，没办法，出差办事离这里比较近。', '短评打分': 5}
{'短评内容': '因为位置比较好，所以去温州出差的话经常住！', '短评打分': 5}
{'短评内容': '酒店陈旧，内装一般，不送水果，三星水平', '短评打分': 3}
{'短评内容': '不错的酒店，但江景房无江景，因为离江太远', '短评打分': 3}
{'短评内容': '酒店房价偏高，服务亟待改善：门口迎宾帅锅从来不帮忙，前台也是面无表情，貌似老板没法他们工资一样。', '短评打分': 1}
{'短评内容': '各方面还行，房间较小，但装修不错。不过拿个万用插座拿了1个小时，告知说服务员在吃饭……', '短评打分': 5}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '非常好的一家酒店，舒适，景观优美，便利。下次可考虑继续入住', '短评打分': 5}
{'短评内容': '老酒店啦，房间啦，服务老，总之很一般，下回应该不会再住这里的吧，其他也没什么可以说啦。', '短评打分': 1}
{'短评内容': '酒店设施一般，服务不错', '短评打分': 3}
{'短评内容': '滿意', '短评打分': 3}
{'短评内容': ' 不错的酒店，位置也不错，服务也还一般。住的还算舒服。', '短评打分': 5}
{'短评内容': '老牌酒店   不失不过  就这样  没啥特别感觉   你也不能说他不好', '短评打分': 5}
{'短评内容': '酒店位置交通比较方便，服务热情，房间也比较舒适，就是价格高了些，性价比不好。', '短评打分': 5}
{'短评内容': '酒店有点年份了，原来很好的，现在时间久了感觉设施有点老了。但服务还不错。', '短评打分': 5}
{'短评内容': '所谓的行政房，房间太小。早餐品种也不多。', '短评打分': 1}
{'短评内容': '该酒店位置还可以，卫生也可以，下次会继续选择。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '在个天桥低下，过过得去的酒店。装修较老!~', '短评打分': 5}
{'短评内容': '还是继续选择了该酒店，赠送的早餐感觉就是还是需要改进一下，可选的品种以及花样不够。', '短评打分': 5}
{'短评内容': '还是选择了国贸酒店，周边吃饭地方比较多选择，安静。住了好几天还感觉不错。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很老的酒店，但在温州这个酒店很贵的地方，他也是那个价格了。虽然装修比较老，但是其它配套和服务还是不错的', '短评打分': 1}
{'短评内容': '我住的是行政楼层，但是发现房间装修属于老式的装修，空调好像不大稳定，一会很热一会很冷，服务员打扫卫生时间一般都会很久才安排估计是人手不够的原因吧。洗手间的洗澡还是浴缸+布帘，看来温州的四星酒店还是价格偏高，内部设施和装修要改善了。', '短评打分': 5}
{'短评内容': '房间的卫生设施还行，酒店的位置出行是挺方便的，价格还是偏高了，服务还好。', '短评打分': 5}
{'短评内容': '还不错  环境优雅  地理位置优越   服务态度也好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '这晚住的这个房间还不错！下次还会入住 ，尽管价格高了点！', '短评打分': 5}
