{'descr': '蛮好的', 'star': 5}
{'descr': '酒店比较干净，旁边紧挨苏果超市和建设银行，出行也比较方便（走路5分钟有公交车站）。\n但房间大小不一，我和父母分别住了两间房，我那间因为在过道顶头非常小、非常暗，只有一个非常小的窗户。其实我们一行订了2间分别5天的住宿，完全可以给我们一个好点的房间，也省去了我后来换房间的麻烦。\n酒店隔音不好，电视声、隔壁上厕所声都会传过来。', 'star': 5}
{'descr': '除了不太安静，其他都还好，住的四楼，还有吹风机，房间也比较大', 'star': 5}
{'descr': '绿色的主色调哦……', 'star': 3}
{'descr': '安静，服务态度好，打扫及时。这是一家性价比高的快捷酒店。', 'star': 5}
{'descr': '如家条件还好，就是这个价格好像在很多地方预定一样规格的浮动很大，这个让我们很难弄。', 'star': 5}
{'descr': '很实惠，但是晚上居然有警察来临检，大半夜的被吵醒了，囧', 'star': 5}
{'descr': '酒店房间干净卫生，比以往住的如家酒店稍大一点，就是地理位置稍微偏一点，吃饭不太方便。', 'star': 3}
{'descr': '很好 很好 很好 很好 很好 很好 很好  很好 很好 很好', 'star': 5}
{'descr': '第二次入住，离南京农业大学很近，环境还不错', 'star': 5}
{'descr': '总体感觉还不错，服务员态度也好，主要是房间干净，灯光也好，而且还有很多人性化设施，很值得入住的一家酒店！！', 'star': 5}
{'descr': '不错，挺好的，周围也有很多吃的，而且服务也很好', 'star': 5}
{'descr': '还好了，就是周围买饭的比较少，房间还是可以的', 'star': 5}
{'descr': '住了好多次了，真的很满意!环境很好，交通比较方便。', 'star': 5}
{'descr': '替别人定的宾馆，条件还好，就是地址有点难找。', 'star': 5}
{'descr': '这个酒店房间比较小，和图片上的不怎么对得上', 'star': 3}
{'descr': '还是莫泰168的房间和环境好，而且周末还胀价', 'star': 1}
{'descr': '蛮好的，挺实惠，就是有点偏，下次应该还回去光临的！', 'star': 5}
{'descr': '还不错，房间挺大，位置好。考试的时候可以去住，离考试地点近，周围环境好，离大学近。', 'star': 5}
{'descr': '说实话，我是因为考公而住进去的，但是房间隔音效果实在不敢恭维，我一夜都被隔壁的声音搅合得没有睡着，严重影响了我第二天的发挥。当时和前台咨询过，不过因为房间被定满了，不好调换。', 'star': 1}
{'descr': '很温馨的说，收拾的也比较干净，离我们学校比较近，如果有同学来我一般都会向同学推荐这家的 ', 'star': 5}
{'descr': '在上海这个价位的房间这样子已经很不错了，房间不算大，只有一张桌子，但设施还算齐全，24小时热水，也比较干净。如果有去附近办事的推荐这家，经济实惠。', 'star': 5}
{'descr': '很好，蛮干净的，最主要的是价格实惠，离开一号线地铁也不远，附近也有吃的地方。', 'star': 5}
{'descr': '25号入住的，26号退房就来点评了，房间很不错，热水空调都很给力，唯一缺点就是床有点硬，睡了不习惯。早上9点多还有冲击钻的声音，后来才知道好像是隔壁几间房间在换空调。不过总体来说很实惠，价格也很实惠。', 'star': 5}
{'descr': '方便就是无电梯\n退房房卡忘还了\n改天还得拿回去\n幸亏我就住附近\n要不咋整啊？？', 'star': 5}
{'descr': '酒店没电梯 上楼有点不便\n环境一般 价格很实在', 'star': 5}
{'descr': '价位比较实惠，房间也还可以，值得推荐。。。。。。', 'star': 5}
{'descr': '交通方便，服务也不错。。。。。。。。。。', 'star': 5}
{'descr': '服务态度不错，环境地理位置也很方便。值得推荐。。。。。', 'star': 5}
{'descr': '还可以，只是经常把入住搞成不入住，给订单带来麻烦.', 'star': 5}
{'descr': '房间空调不给力，床太搁了，一点也不舒服呢！热水还可以，楼道里烟味很大。', 'star': 1}
{'descr': '房间感觉很整洁，不错。空间有点紧凑，但这个价位很值。', 'star': 5}
{'descr': '还可以，价格合理，总体环境也不错。交通也方便，周围吃饭的选择也很多。', 'star': 5}
{'descr': '价格还可以，房间比较干净，交通还算方便。', 'star': 3}
{'descr': '服务不错，但是房间不太好，窗户外面是墙壁，我不喜欢这样的房间。', 'star': 5}
{'descr': '因办事方便选择了这里，一贯的如家风格，服务很好，干净卫生，但一切很简陋，商务大床房价格偏高却非常迷你。', 'star': 5}
{'descr': '价格还算便宜 设施还可以  但是卫生间环境不太好 ', 'star': 5}
{'descr': '还可以，主要是比较近，价格实惠。周边还算方便，也可以停车。', 'star': 5}
{'descr': '干净', 'star': 3}
{'descr': '上海景程酒店的价格很不错', 'star': 3}
{'descr': '商务大床房，不错哦', 'star': 3}
{'descr': '上次住的，感觉不错，昨天推荐了一位同事去住了。', 'star': 5}
{'descr': '还算干净，早餐简单了些，还算安静，去周边学校比较方便，去紫金山也不远', 'star': 5}
{'descr': '房价真的很便宜，虽然远一点，但是我们在宝山区办事，还是方便的。', 'star': 5}
{'descr': '卫生间是干湿分离的，很好，下次还会来住，位置也不错，出去就有地铁。', 'star': 5}
{'descr': '空调比较吵 性价比极高 这个等级的酒店价格算是最低了', 'star': 5}
{'descr': '方便快捷，卫生干净，点评完毕，20至2000字以内', 'star': 5}
{'descr': '环境不错，交通便利\n环境不错，交通便利\n环境不错，交通便利\n环境不错，交通便利', 'star': 5}
{'descr': '不错，离南理工和南农大都很近，大概10分钟。晚上附近还有水果卖。', 'star': 5}
{'descr': '性价比果然挺高的，很满意，就是108的房间居然没有顶灯，只有小台灯', 'star': 5}
{'descr': '酒店很干净、清爽，服务态度很好。我下次还选它。', 'star': 5}
{'descr': '＋很干净，挺好的', 'star': 3}
{'descr': '比较温馨，有点挤，设施一般，附件吃饭的地方蛮多，较', 'star': 5}
{'descr': '房间床不错  环境也可以 就是硬件设施需要检查，，电视无法看， 网络有故障 马桶抽水是坏的。。。。。。 ', 'star': 5}
{'descr': '还不错，早餐很好', 'star': 3}
{'descr': '一直比较喜欢这个酒店，环境蛮好的，价格比较合适。性价比比较高', 'star': 5}
{'descr': '不错，性价比高，比较干净。装饰的和有特色，总体感觉不错。 \n经济实惠，距离地铁一号步行约15分钟。总体来说还不错啦！ \n\n', 'star': 5}
{'descr': '很好很干净，停车也方便', 'star': 3}
{'descr': '这家店经济实惠，服务态度还不错，管理也比较好。', 'star': 5}
{'descr': '非常不错，房间也大，很舒服，周边购物挺方便的', 'star': 5}
{'descr': '经济实惠，性价比高，交通还算方便，值得推荐', 'star': 5}
{'descr': '还不错，房间设计格局可爱，就是周围环境不好，油烟味重！', 'star': 5}
{'descr': '难找。', 'star': 3}
{'descr': '总体还可以，卫生也不错。--------------------', 'star': 5}
{'descr': '总体还可以，地理位置也比较好。下次还会考虑入住。', 'star': 5}
{'descr': '酒店干净舒适够大', 'star': 3}
{'descr': '靠马路的这面晚上有点吵！其他的 还可以 ！', 'star': 1}
{'descr': '第三次住了，除了隔音稍稍差点，其他的真的很好。', 'star': 5}
{'descr': '设施一般吧，价位合理，周边有不错的小吃。', 'star': 5}
{'descr': '离南理跟南农都不远，旁边还有苏果超市跟两家银行，还是比较方便的。不过我们住的房间后面是个工地，白天有点吵。宾馆的条件还可以，算是标准配置吧，服务态度也还不错，就是感觉价钱稍微高了点', 'star': 5}
{'descr': '又一次来住了。\n还不错.总体比较卫生。\n超市，公交比较便利，距离地铁口，1公里不到\n附近有在建楼盘，但是晚上不施工，睡觉时间比较安静。\n还有停车位，感觉很好。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '还不错.总体比较卫生。\n超市，公交比较便利，距离地铁口，1公里不到\n附近有在建楼盘，但是晚上不施工，睡觉时间比较安静。\n还有停车位，感觉很好。', 'star': 5}
{'descr': '环境不错。', 'star': 3}
{'descr': '比较方便.\n签名:王鹏', 'star': 3}
{'descr': '不错，性价比高，比较干净。装饰的和有特色，总体感觉不错。 \n经济实惠，距离地铁一号步行约15分钟。总体来说还不错啦！ \n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '环境优雅，出行方便，房间整洁，设施齐全。一个字好好好好好好好好好好好好好好好好好好好好好好好好好。djsaklskfjkldasj ', 'star': 5}
{'descr': '不错,但少了一套用品。不过及时补上了。早餐也不错。', 'star': 3}
{'descr': '酒店环境非常好、几乎每个房间都有窗户、而且晚上一点也不嘈杂。交通也很方便。10分钟就到地铁一号线、附近有超市和饭馆、总的来说非常的值！会想继续住下去~^^', 'star': 5}
{'descr': '比较注重细节，有回家的感觉，个别房间偏小', 'star': 5}
{'descr': '勉勉强强能住  总体还不错\n网速也勉强\n反正对得起这个价钱', 'star': 5}
{'descr': '装修设施还可以，就是距离市区远了一些，后院有停车场。', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '离农大和南理工很紧，安静，标间不错，普通大床方空间较小，总体来说不错', 'star': 5}
{'descr': '交通方便，比较经济，服务较好，就是淋浴间太小，', 'star': 5}
{'descr': '交通方便，比较经济，服务较好，就是淋浴间太小。', 'star': 5}
{'descr': '酒店环境不错，价格要是能在便宜些就好了。离地铁稍微有些远，要走10几分钟的路程。', 'star': 5}
{'descr': '= =因为朋友没有带身份证，前台不给上去，很负责任。。\n不过隔音效果有点差。。\n', 'star': 5}
{'descr': '性价比不错，只是设施并不是很好。定的双人间没有大灯，只有两盏小灯，也没有床头柜= =\n', 'star': 5}
{'descr': '很不错的宾馆，干净温馨。服务员态度也很好。', 'star': 5}
{'descr': '不错，旁边有个超市比较方便！离南农比较近', 'star': 5}
{'descr': '环境优雅，服务很好，为旅客提供了很好的住宿环境，希望一直能继续发扬和保持下去。', 'star': 5}
{'descr': '很干净，不错，值得推荐！', 'star': 3}
{'descr': '  不错', 'star': 3}
{'descr': '酒店隔音不好，一大早就在装修，结账速度很慢，服务态度一般，很失望', 'star': 1}
{'descr': '环境蛮好的，就是房间有些小，还是标间好。还有就是之前没说明是暗窗，结果给的房间是暗窗的', 'star': 5}
{'descr': '挺好，挺干净！下次会再去，就是隔音不是太好！', 'star': 5}
{'descr': '其他还好，居然连个大灯都不给，虽然是小单间', 'star': 1}
{'descr': '服务不错，态度蛮好，环境也还可以。就是这个点评非得要20字，若是我喜欢用文言文点评，岂不是会死人，这个不好', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '房间干净卫生还可以，就是酒店不提供午餐和晚餐，太不方便了。而且酒店附近也没什么吃饭的地方。', 'star': 5}
{'descr': '一进去感觉房间太小了，有点不习惯，但是比较干净，装饰的和有特色，总体感觉不错。', 'star': 5}
{'descr': '交通很便利，旁边就有苏果超市，房间布置也很温馨，是我这次出差住过的锦江之星、莫泰168、如家三家里面感觉最好的一家。遗憾的是酒店只提供早餐，没有午餐和晚餐提供。', 'star': 5}
{'descr': '环境、服务均好，价格适中，以后会推荐给朋友、同学', 'star': 5}
{'descr': '这家客户还行，虽然有点旧，但是挺干净，装修挺温馨的。', 'star': 5}
{'descr': '环境很好，很安静，交通很方便，如果价钱在便宜点就更好了！', 'star': 5}
{'descr': '蛮干净的，虽然比不上豪华的大酒店，可是室内布置的色调让人有种温馨的感觉。经济实惠，距离地铁一号步行约15分钟。总体来说还不错啦！', 'star': 5}
{'descr': '服务态度不错环境也可以，收费也挺合理', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '环境蛮好，隔音很不错，被罩是粉色的很适合女生呢', 'star': 5}
{'descr': '  98元入住大床房，房间干净整洁，交通便利！', 'star': 3}
{'descr': '房间设计不错,配套齐全,就是靠马路的一边有点乱,离地铁站没有想象的近.总体好评', 'star': 3}
{'descr': '就是便宜，其它一般吧，但是还是可以住住的。', 'star': 5}
{'descr': '卫生环境比较好。', 'star': 3}
{'descr': '还可以！服务也还不错！交通也算便利！还可以使用 消费券 ，不错！', 'star': 5}
{'descr': '房间比较干净，总体还不错，原以为有电脑的，去了才发现只有网线。。。而且去的那几天后边的工地还在施工，午休时有点受打扰了。', 'star': 5}
{'descr': '刚好在南农大办事，第一次住这家店，还不错，挺干净，服务员也还不错，挺好的，推荐', 'star': 5}
{'descr': '挺安静，环境也不错，态度也蛮好的，下次去附近的话还会住', 'star': 5}
{'descr': '不错，挺干净的，价格实惠，环境也不错，交通也不错，就是要走10多分钟', 'star': 5}
{'descr': '挺好的，就是房间跟跟窗子有点小，挺干净的', 'star': 5}
{'descr': '环境还可以，窗户采光不是太好，与同类别的连锁店价格有点高。', 'star': 5}
{'descr': '总体来说不错，如果预定的房型可以更改，就更好了。', 'star': 5}
{'descr': '环境不错 性价比好', 'star': 3}
{'descr': '房间稍微有点小，没有挂衣服的地方，卫生间不错，很干净', 'star': 5}
{'descr': '总体还不错,订房程序若再灵活就更好,比如订房后不能更改房型', 'star': 3}
{'descr': '学校附近，方便，性价比算是挺高的一个快捷酒店了', 'star': 5}
{'descr': '感觉环境蛮好，出行方便，服务态度不错。以后还会来。', 'star': 5}
{'descr': '靠院内的房间很安静，装潢比较现代化。住的很舒服，一觉睡到天亮。', 'star': 5}
{'descr': '如家快捷酒店（南京月牙湖银城东苑店）环境和卫生很好，周围交通便利，下下次去南京还选择它。', 'star': 5}
{'descr': '离农大很近，但有天晚上热水不怎么的，哥受凉了！', 'star': 1}
{'descr': '服务不错，环境跟好，跟想象中的一样，下次出差还去', 'star': 5}
{'descr': '很温馨…就是洗澡水温不够热…', 'star': 3}
{'descr': '房间较小但比较安静，卫生间比较简陋，总的来说，性价比还是比较高的。', 'star': 5}
{'descr': '已入住,谢谢', 'star': 3}
{'descr': '服务态度好，设施齐全，旁边有银行，超市，很方便。挺好的酒店，性价比高。', 'star': 5}
{'descr': '服务设施都很好，只是因为学生考试临时提高价格，', 'star': 5}
{'descr': '很好，环境很不错.离景点很方便，有公交直达', 'star': 5}
{'descr': '价格实惠，室内装潢简约大气，离两所学校都比较近', 'star': 5}
{'descr': '交通便利，周围有公交车站，服务态度很好，比较干净，推荐。', 'star': 5}
{'descr': '新开的酒店，但是没有装修味道，是我住过的最好的如家。', 'star': 5}
{'descr': '很不错的如家，服务态度非常好，服务人员非常热情！再接再厉！', 'star': 5}
{'descr': '服务态度，住宿环境一级棒的～没的说，下次还会再住！', 'star': 5}
{'descr': '不错,态度服务不较好，房间有桌子 椅子等等', 'star': 5}
{'descr': ' 干净整洁 服务态度好。可是热水器水不够热', 'star': 3}
{'descr': '房间很整洁，很干净，网络也好用。就是离地铁站远，门口有公交站。', 'star': 5}
{'descr': '房间空间不算大，但很干净很温馨，就是住的房间旁边有施工，早上有点吵~~总的来说，值得入住~~', 'star': 5}
{'descr': '\n南京月牙湖银城东苑店这家如家蛮好的，就是退房时间早', 'star': 5}
{'descr': '条件很好很舒适', 'star': 3}
{'descr': '很好的服务，第二次住了！整洁干净，真的很不错！', 'star': 5}
{'descr': '没有吹风机，房间比较小，窗外没风景。。。。。。。', 'star': 5}
{'descr': '挺好的。', 'star': 3}
{'descr': '服务周到，环境干净优雅，房间内很有家的氛围，入住感到很温馨', 'star': 5}
{'descr': '环境不错，服务还挺好，下次朋友过来还推荐入住如家酒店', 'star': 5}
{'descr': '酒店整体服务环境都不错，就是不提供早餐让人没有回家感觉，附件有超市，购物较方便。大床房较小不过也还温馨。', 'star': 5}
{'descr': '和其它的如家一样，很干净，很舒适，这么冷的天空调很给力，就是卫生间地面下水道设置位置不合理，墙角有积水，仅我一间房间。', 'star': 5}
