{'descr': '订了好几次了，京东上比美团还便宜', 'star': 5}
{'descr': '服务还不错，无线网络的质量也可以，作为出差真还不错。去晋祠也很方便。因为我是喜欢逛商业区，所以觉得离商业区（柳巷）有一点点小距离，当然打车也就是起步价。', 'star': 1}
{'descr': '+舒适、安静', 'star': 5}
{'descr': '+舒适、安静', 'star': 5}
{'descr': '这个店还不错 位置就在迎泽大街边上 去游乐场很方便', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '不错不错  好长时间以前住的 里面的设施都已经忘记啦   但我记得用品方面好像缺点什么', 'star': 3}
{'descr': '酒店环境还市不错的，离商业街也比较近。酒店的卫生也很好，就是价格相对高了点。', 'star': 5}
{'descr': '+太原迎泽公园店还不错,比较满意,要是窗户再大点就更好了~', 'star': 5}
{'descr': '这个店内的设施比柳巷那个店的感觉要好一些 位置还是不错的', 'star': 5}
{'descr': '没有停车场，停车不方便。房间电视不大，应该大点。', 'star': 3}
{'descr': '酒店很干净，房间挺整洁，不错', 'star': 5}
{'descr': '都很不错的，下次去还住那。', 'star': 5}
{'descr': '各项服务都很好，唯独卫生间没有浴液，我想浴液应该可以提供的吧！', 'star': 5}
{'descr': '在迎泽公园的边上，交通方便，环境服务也不错，值得推荐。', 'star': 5}
{'descr': '位置很好，交通方便，位于迎泽大街边但不喧闹，住宿环境很好，紧邻公园；设施好，卫生很好；服务周到热情，尤其是前台接待员亲切热情，能不厌其烦地解答客人问题，介绍周边情况，且非常有礼貌，业务熟练，办手续很有效率，不用等很长时间。是出差旅游住宿很好的酒店选择。', 'star': 5}
{'descr': 'hai ke yi', 'star': 5}
{'descr': '虽在路边，但房子结构很隔音。不错。', 'star': 5}
{'descr': '停车不方便', 'star': 1}
{'descr': '一般', 'star': 5}
{'descr': '条件不好，位置也不好，不喜欢', 'star': 1}
{'descr': '位置比较好,价格有点高,靠近马路的房间比较吵.性价比不高', 'star': 1}
{'descr': '地段不错，步行10分钟即可到达火车站。价格偏贵，上网速度太慢。', 'star': 3}
{'descr': '前厅太小并乱糟糟的感觉，电梯也是如此，停车位极少、并且很不安全，价格略高，位置虽然偏市中心、但是门前交通那叫混乱和堵塞！', 'star': 1}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '应该将早餐在改进一下，每位15元，吃的有些单调了；电视频道也应在丰富一下', 'star': 5}
{'descr': '应该将早餐在改进一下，每位15元，吃的有些单调了；电视频道也应在丰富一下', 'star': 5}
{'descr': '餐厅提供的食品种类少了一些,酒店很新设施完善很干净,地理位置在市中心去哪都方便.', 'star': 3}
{'descr': '餐厅提供的食品种类少了一些,酒店很新设施完善很干净,地理位置在市中心去哪都方便.', 'star': 3}
{'descr': '网速快、服务热情、房间面积很大、商务间床很大很舒适。\r\n临街房间早晨有点吵、餐厅的饭不是很好吃，还不能送餐。', 'star': 5}
{'descr': '网速快、服务热情、房间面积很大、商务间床很大很舒适。\r\n临街房间早晨有点吵、餐厅的饭不是很好吃，还不能送餐。', 'star': 5}
{'descr': '地段不错', 'star': 5}
{'descr': '地段不错', 'star': 5}
{'descr': '很不错的快捷商务酒店，应该是新开的吧，很干净的，设施也不错，出门就是公车站牌，总体来说性价比算是比较高了！！！', 'star': 5}
{'descr': '很不错的快捷商务酒店，应该是新开的吧，很干净的，设施也不错，出门就是公车站牌，总体来说性价比算是比较高了！！！', 'star': 5}
{'descr': '酒店比较新。酒店的服务卫生以及设施都很好的，酒店的位置以及交通不错的，性价比不错的酒店', 'star': 5}
{'descr': '酒店比较新。酒店的服务卫生以及设施都很好的，酒店的位置以及交通不错的，性价比不错的酒店', 'star': 5}
{'descr': '太原的锦江之星酒店价位基本相同但是设施不一样,这家分店没有五一路的酒店条件好,下次会选择五一路店', 'star': 5}
{'descr': '太原的锦江之星酒店价位基本相同但是设施不一样,这家分店没有五一路的酒店条件好,下次会选择五一路店', 'star': 5}
