{'短评内容': '交通方便，周圍餐廳多吃也方便。', '短评打分': 4}
{'短评内容': ' 房间内的设施很合理，住的很舒服，卫生也不错。前台服务态度有待改进，早餐说是到九点，过了八点就没东西了。', '短评打分': 3}
{'短评内容': '房间很大，环境也不错，性价比很高，就是地点有些偏', '短评打分': 5}
{'短评内容': '环境不错，房间也很好，下次还会再去.........................', '短评打分': 5}
{'短评内容': '酒店很不错很好~酒店餐厅里的东西也还过得去~服务也很好~房间干净~很有情调~适合情侣度假~就是隔音差点~外出乘车交通不太方便~附近有ATM有便利店~旁边的时尚餐厅挺好吃~推荐的~~就是下雨门口有点脏~还有出租车都不一定都会去~不过我女朋友很喜欢啦\n\n---------------------------------------------------------------------------', '短评打分': 5}
{'短评内容': '酒店很不错很好~酒店餐厅里的东西也还过得去~服务也很好~房间干净~很有情调~适合情侣度假~就是隔音差点~外出乘车交通不太方便~附近有ATM有便利店~旁边的时尚餐厅挺好吃~推荐的', '短评打分': 5}
{'短评内容': '环境一般，本来想要个有浴缸的房间，结果告知套房才有。实地看了套房，588的价格可以住江滩公园旁的江城明珠豪生大酒店的江景房了，显然不值，也就将就了。', '短评打分': 5}
{'短评内容': '房间挺好的，卫生间设计挺别致的，个人大爱！地段有点偏，搭公交的士不是很方便。', '短评打分': 5}
{'短评内容': '不错1~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间比较小，环境一般，窗户还关不严，空调是挂式的，不是中央空调，很冷。', '短评打分': 1}
{'短评内容': ' 整体不错，装修风格舒适整洁，干净。就是衣架少 无柜门。', '短评打分': 3}
{'短评内容': '房间够大，环境还不错，但是一下雨，酒店门口就积了很多水，人要绕很远才能避过。', '短评打分': 5}
{'短评内容': '环境不错，服务态度好！', '短评打分': 3}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '什么都好,只有床单的卫生特别差,几次人还没睡进去就看到有头发.都怀疑是不是上个人睡了没洗。', '短评打分': 5}
{'短评内容': '总体来说还行，不过网上订时说有早饭的，到店后说餐厅在装修，没有早饭。\n浴室还是蛮好的，就是房间有点小味道，交通还算方便，离东湖不远。\n同一条马路往东湖方旁边有许多小酒吧小咖啡店。', '短评打分': 5}
{'短评内容': '酒店还挺有味道！', '短评打分': 3}
{'短评内容': '房间整体格调比较浪漫，灯光效果不错，洗浴室为透明玻璃设计，适合情侣。还有水果赠送。总体感觉还可以，如果赠送早餐的话会更好。', '短评打分': 5}
{'短评内容': '环境不错，比较清新，简洁，让人感觉心情不错，餐厅饮食再多样化些会更好', '短评打分': 5}
{'短评内容': '这个价格范围内住过算最好的酒店之一啦,环境很不错,床单都是花纹的,很浪漫,位置可以,在水果湖,附近什么都有.', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 3}
{'短评内容': '酒店服务不错，平安夜还是礼物送，不过就是打的司机都不认识那个地方，晕', '短评打分': 3}
{'短评内容': '不错，环境好，安静，今天是圣诞节入住还送了圣诞小礼品，心里暖暖的，不错', '短评打分': 3}
{'短评内容': '因为出差，附近也没什么特别合适的酒店，就选了这家。相对于对面那家速8，这家的风格是迥异的。装修很现代，整面墙的窗户，比一般经济型酒店的小窗户强多了。但是卫生间居然是全透明玻璃的！！虽说有一面可以拉下来百叶窗挡着，但也有点前卫过头了，推荐关系特别熟的人一起住，或者一个人住，非情侣的一男一女千万别一起去住。', '短评打分': 5}
{'短评内容': '这个是我自己住的，有点被服务员感动到了，居然把我留在屋子里没有洗的袜子帮我洗了，还留了一个心形的纸条，上面写着“看您工作比较忙，帮您把袜子洗了晾好了，有问题联系我”', '短评打分': 5}
{'短评内容': '个性单间稍微有点小，还是时尚单间比较好，不过价格不一样嘛，装修风格很现代，很喜欢', '短评打分': 5}
{'短评内容': '酒店适合年轻人入住吧 浴室容易漏水 其他还好。网速也不错。', '短评打分': 5}
{'短评内容': '很棒，酒店装修典雅，值得入住，早餐也不错，下次还会住在这里。只是大雨后酒店前面的排水不畅，导致出行不便。', '短评打分': 5}
{'短评内容': '酒店环境和服务比起以前都差了一些，希望下次来的时候能找到前几次入住的温馨感觉！', '短评打分': 3}
{'短评内容': '酒店环境不错，很新，物品配置也全，希望前台接待人员态度和蔼一点', '短评打分': 5}
{'短评内容': '房间不大，还行。服务一般。\n邻近的西餐厅价格偏高。走十分钟到歩行街，沿路有好几家吃的。打车到汽车站十来分钟，从汽车站到机场不堵车五十分钟左右。\n性价比还行，不过取消了免费早餐了。', '短评打分': 5}
{'短评内容': '帮朋友订的，和我自己的那间时尚单人房相比小点，不过性价比还是蛮高的。', '短评打分': 3}
{'短评内容': '安静。\r\n交通还好。\r\n床不是很灵，床垫应该换了。\r\n送水果。但送早餐取消了。\r\n房间味重。', '短评打分': 5}
{'短评内容': '房间还不错，正好在那附近学习，比对面的速8感觉好，只是酒店已经不提供早餐了，但预定的时候还是显示有。另外周边没什么好逛的，不过还好吃饭的地方挺多', '短评打分': 3}
{'短评内容': '房间有蟑螂，但是服务员的服务很贴心细致周到，房间空调非常吵', '短评打分': 5}
{'短评内容': '位置偏，房间小，价格贵，朋友们不要住这里。的士也不好打。', '短评打分': 3}
{'短评内容': '我是第二次发表评论, 这两次评论基于两个极端.第一严重投诉了北京一家酒店,第二次我必须表扬这家酒店,卫生,设施都还算不错;最主要的是服务员的态度实在很贴心,到位; 我第一住这家酒店时, 一个叫什么心兰的服务员还帮我把袜子洗掉了,还留言问候,让人感觉很温暖;第二次,我去还有水果送,然后服务员在打扫时看到我没有鼠标垫鼠标不方便,还特意拿了个鼠标垫给我.我举这个例子是想说她们真的在用心服务客户,观察客户', '短评打分': 5}
{'短评内容': '酒店整洁，温馨，前台服务态度很好，可惜取消了早餐。', '短评打分': 5}
{'短评内容': '酒店的设施不错,很干净,早餐也还不错,价格也比较便宜.', '短评打分': 5}
{'短评内容': '如果能把早餐花样增加一点儿的话，就更完美了。', '短评打分': 5}
{'短评内容': 'very good!~!!酒店還不錯..就是櫃台服務員態度有待改善~', '短评打分': 5}
{'短评内容': '早餐太差，其他的还行，小巧精致，适合年轻人。', '短评打分': 1}
{'短评内容': '＋很好…房间很大…隔音还行…就是电视没有中央五台…', '短评打分': 5}
{'短评内容': '胜家的服务和住宿环境比较好，我最喜欢的是它的浴室，透明的，可以边淋浴边看电视，一种享受。相对较差的是它的早餐，太单调了，可选的品种很少，几乎没什么选择的。', '短评打分': 3}
{'短评内容': '胜家的服务和住宿环境比较好，我最喜欢的是它的浴室，透明的，可以边淋浴边看电视，一种享受。相对较差的是它的早餐，太单调了，可选的品种很少，几乎没什么选择的。', '短评打分': 5}
{'短评内容': '第二次过来住了，到的比较晚，定的个性单间没了给换了个电脑房，感觉跟上次一样不错，现在还有水果送了，以后早餐内容能丰富一点就更好了。', '短评打分': 5}
{'短评内容': '位置不错，但是服务员态度不太好。房间比较干净，有水果送，早餐品种比较多。', '短评打分': 5}
{'短评内容': '服务不错房间较干净', '短评打分': 5}
{'短评内容': '挺好，东湖和博物馆都比较近，值得推荐，比较新……………………', '短评打分': 3}
{'短评内容': '其他都比较好，就是退房太慢!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '武汉夏天天气很热，但到酒店后，房间内无冷气。等打开空调后，3-5个小时后才降到30度，始终降不到25度，请店家改善一下。', '短评打分': 1}
{'短评内容': '房间内地上有不少头发，，洗浴液的瓶子外面都是黏糊黏糊的，，肯定是上个客人用剩下的。房间内没有挂衣服的，设计不人性化，性价比差！', '短评打分': 1}
{'短评内容': 'manhao', '短评打分': 3}
{'短评内容': 'keyi', '短评打分': 5}
{'短评内容': 'yijing dianpingle', '短评打分': 3}
{'短评内容': '蛮不错的', '短评打分': 5}
{'短评内容': '酒店入住感觉不错', '短评打分': 5}
{'短评内容': '房间很大，性价比不错，位置稍微有点偏', '短评打分': 5}
{'短评内容': '位置有点偏，价格不便宜。', '短评打分': 1}
{'短评内容': '酒店门口确实下大雨的时候积水严重，车子的轮胎淹没了三分之一。', '短评打分': 3}
{'短评内容': '总体感觉还不错，房间里还赠送两小瓶矿泉水。', '短评打分': 5}
{'短评内容': '武汉的交通很糟糕，这两天下大雨，酒店门前的积水严重。整体感觉不错，符合要求，下次来武汉还会入住。', '短评打分': 5}
{'短评内容': '卫生和设施都还行，位置也是挺好找的，价格还是有优惠的。', '短评打分': 5}
{'短评内容': '胜家玫瑰是一家新装修的酒店,比较时尚,房间也大,不错.', '短评打分': 5}
{'短评内容': '房间不错，性价比比较高，但是早餐太差了。', '短评打分': 3}
{'短评内容': '酒店的房间大小正好，卫生打扫的很干净，让人感觉很整洁很舒适，设施方面也不错，电视机挺大的，还给配备了电脑，感觉这个价格能有这样的设施挺值得的。酒店的位置也挺好的，靠近东湖挺近的，出行很方便，整体感觉性价比还是蛮高的，值得推荐。', '短评打分': 5}
{'短评内容': '对酒店的环境硬件设施都很满意，卫生服务也很达标，价格合理适中，位置出行交通还是非常方便的，整体来讲算是性价比很好的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '整体感觉还不错，就是前台办公效率比较低.服务慢的.其它方面不错.位置挺好的，方便出行.', '短评打分': 5}
{'短评内容': '装修不错，位置有点偏僻，不过靠近东湖', '短评打分': 3}
{'短评内容': '酒店还比较新，设施不错，靠近东湖，环境不错，就是交通不太好', '短评打分': 5}
{'短评内容': '房间布置的蛮温馨的，被子很舒服，服务也还行！', '短评打分': 5}
{'短评内容': '设施不错，服务员态度也很好，就是隔音和早餐比较差。', '短评打分': 5}
{'短评内容': '第2次入住，感觉依旧，望保持提高！', '短评打分': 5}
{'短评内容': '酒店各方面都不错,房间比较大,也很干净舒适.', '短评打分': 5}
{'短评内容': '价位好，离市中心比较远，公交不便，但离武汉大学近！', '短评打分': 5}
{'短评内容': '位于水果湖地区，毗邻洪山广场、东湖、武汉大学，风景很好，很安静。酒店服务热情及时，房间干净舒适。周边交通很方便，也有很多不错的饭店。如果以后有机会在到武汉旅行，胜家玫瑰还会是我的首选。', '短评打分': 5}
{'短评内容': '装修感觉8错，服务一般，入住的时候还搞错房型，中途让我们换的，打扫卫生也不太及时，但是性价比不错啦', '短评打分': 5}
{'短评内容': '新装修的酒店，服务和卫生比较好，下次还住这里', '短评打分': 5}
{'短评内容': '很好！推荐！已经评价一次了！', '短评打分': 3}
{'短评内容': '很好！在武汉白鹭街一带有好几家经济型酒店，同等价位中，胜家玫瑰商务酒店让人的感觉不像是住经济型酒店，很有品位，很时尚，很舒适，很方便。建议出差或短住的客人可以考虑。唯一不足是：要是有酒店自己的洗衣服务就好了。我因出差时间长了些，需要洗衣，结果是通过酒店拿到外面去洗的，花了一笔不小的银子，比北京都贵！', '短评打分': 5}
