{'短评内容': '不错，空间挺大的，都是实体墙，不像很多酒店都是隔板', '短评打分': 5}
{'短评内容': '房间很宽敞，也很干净，前台服务态度很好，虽然外观看上去有些陈旧，但是里面挺不错的，有窗户，热水空调也很方便。唯一的缺点就是隔音效果有待改善。', '短评打分': 5}
{'短评内容': '交通便利，酒店价格也比较合理，不足之处是附近吃饭的地方较少', '短评打分': 5}
{'短评内容': '酒店偏，比较安静，没有吃饭的地方。酒店内部设施还需加强。竟然不能刷卡！', '短评打分': 1}
{'短评内容': '还行~比较干净，就是地方有点小。服务倒还可以的，还有就是没有早餐…', '短评打分': 5}
{'短评内容': '很不错的宾馆，在农科院东门，比较安静，离学院南路较近。也很干净，方便，就是网线差点', '短评打分': 5}
{'短评内容': '挺好挺好，环境挺好的，价格比较公道，推荐推荐', '短评打分': 5}
{'短评内容': '  房间干净卫生，价格实惠。', '短评打分': 3}
{'短评内容': '环境吵，条件差，浴室龙头漏水，电梯超级简陋。希望以后不会有机会再去了。', '短评打分': 1}
{'短评内容': '环境卫生好，服务人员态度热情，交通便利推荐.', '短评打分': 5}
{'短评内容': '位置挺好的，很好找。位置挺好的，很好找。', '短评打分': 5}
{'短评内容': '价廉物美，交通方便，与工作地方很近。价廉物美，交通方便，与工作地方很近。', '短评打分': 5}
{'短评内容': '这家酒店的位置很好，紧邻北三环，距13号线和4号线都不远，出行较为方便，不足之处是酒店的设施较旧', '短评打分': 5}
{'短评内容': '基本上海算可以，价格也合理，就是如果有早餐就更好了。', '短评打分': 5}
{'短评内容': '挺好的，介绍孩子和同学一起住呢。服务员态度挺好。', '短评打分': 5}
{'短评内容': '位置非常不错，环境也挺好，虽然设备有点老，但是性价比很高。服务态度也蛮不错的。', '短评打分': 5}
{'短评内容': '交通很方便 服务也很周到', '短评打分': 3}
{'短评内容': '宾馆环境还不错,距离学校近,较方便还是很不错', '短评打分': 5}
{'短评内容': '价格与网上一样，吧台接待很漂亮，后面有个鲜花市场， 就是门锁年久不怎么好用、有机会大家自己去住住吧，50 字以内啊啊啊啊啊啊啊 啊啊啊啊啊啊啊啊 啊啊啊啊啊', '短评打分': 5}
{'短评内容': '中蔬卉园宾馆位置的较好，交通较为方便。\n卫生很好，也较为安静。\n一次性拖鞋需要在服务台另要，也可以借吹风机。\n旁边有多家饭馆，吃饭十分方便。', '短评打分': 5}
{'短评内容': '这次预订的宾馆还是不错的，整体环境干净整洁，交通也很方便，只是离地铁站远了点，服务也不错，很安静，还是值得推荐的。', '短评打分': 5}
{'短评内容': '还行，就是路边，到联想桥南就可以看到了。就是离地铁远了一点，去大钟寺地铁走路还要十几分钟。服务也还可以。', '短评打分': 5}
{'短评内容': '已入住。环境可以。押金真高。', '短评打分': 3}
{'短评内容': '酒店总体感觉 不错，比较干净卫生，但是酒店不能刷卡付费，只能用现金支付，这点对于外出旅客非常不方便，希望酒店能够改进。', '短评打分': 5}
{'短评内容': '酒店的性价比很高，服务也很到位，离学校很近，非常适合小住一晚\n                          \n                    \n', '短评打分': 5}
{'短评内容': '希望酒店能提供多种房费缴纳方式，目前只支持现金交易，对于外出差旅人士非常不便，携带现金不如刷卡方便。', '短评打分': 5}
{'短评内容': '前台的服务员态度很好。环境还不错，房间也还可以挺亮堂的，设施齐全该有都有，面积够用，卫生间稍小点。不足是地毯挺脏的，房间里没有专门挂湿衣服的架子，没有小夜灯。希望改进。总体还是很不错的。', '短评打分': 5}
{'短评内容': '经济实惠，交通便利。离地铁站和公交站都比较近，酒店卫生也还不错，服务员态度也挺好。但是酒店不能刷卡，非常不方便。', '短评打分': 5}
{'短评内容': '房间设施陈旧，但是面积挺大，最主要的是安静', '短评打分': 5}
{'短评内容': '酒店的条件挺不错，环境挺不错，服务也挺不错', '短评打分': 5}
{'短评内容': '很不错，比预想的要好，要是房间里再多一个垃圾桶、，床边安装插座就更好了', '短评打分': 5}
{'短评内容': '这个价格的房间挺大的，就是房间有点潮湿，地毯不太干净被子床单比较旧，然后呢刷不了卡，如果能刷卡房间里有冰箱和保险箱就更好了，总体还不错。', '短评打分': 5}
{'短评内容': '这次定了两个房间，那就再评论一次吧。\n\n宾馆的服务还是蛮不错的，态度也挺好。\n\n好像2楼的换液晶电视，4楼的还是普通电视（至少我住的房间是这样）\n\n总体：好评', '短评打分': 5}
{'短评内容': '交通还算便利，附近有4号线和13号线。房间条件还可以，物有所值，值这个价钱。\n\n不足：不能刷卡，多带现金交押金。提示：街对面有农行的柜员机（找的我好辛苦，原来就在对面）', '短评打分': 5}
{'短评内容': 'The hotel is good.The price is not expensive,and the service is much better. ', '短评打分': 5}
{'短评内容': '地理位置确实很方便，也很好找，不过内部地毯有些陈旧。', '短评打分': 5}
{'短评内容': ' 挺好的，服务员态度挺好，环境也不错，好像新换液晶电视呢，我倒是没来的及享受，相信以后应该更好，个人建议比较合理。', '短评打分': 3}
{'短评内容': '总体比较满意，地理位置也可以，有超市有饭店，离地铁也不远，就是要有一次性拖鞋就好了', '短评打分': 5}
