{'短评内容': '还好的，住着习惯', '短评打分': 5}
{'短评内容': '性价比很高，不错的.去汽车站和市区都挺方便。', '短评打分': 5}
{'短评内容': '总体感觉比较干净整洁，比较满意吧！交通也比较方便。', '短评打分': 3}
{'短评内容': '总体感觉比较干净整洁，比较满意吧！', '短评打分': 5}
{'短评内容': '                                                                                                 不错', '短评打分': 5}
{'短评内容': '住宿的条件挺不错的，很舒适，而且明码标价', '短评打分': 5}
{'短评内容': '很好，再接再厉。', '短评打分': 5}
{'短评内容': '环境不错，不是在闹市，但交通方便。', '短评打分': 5}
{'短评内容': '电视有点坏了，靠近街边，很吵。不过也对得起价格了。', '短评打分': 5}
{'短评内容': '无意中发现房间有棋牌室，哈哈...意外发现，很好', '短评打分': 5}
{'短评内容': '很好.', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '性价比较高,靠里的房间晚上也很安静。卫生间稍旧了些,作为自家旅游的选择很实惠。', '短评打分': 5}
{'短评内容': '很好!很方便,很舒适!!', '短评打分': 5}
{'短评内容': '还不错,蛮干净的,服务态度也不错,下次可以考虑继续住,就是希望卖的东西能多点.', '短评打分': 5}
{'短评内容': '蛮好的\r\n', '短评打分': 5}
{'短评内容': '虽然网上说是在市中心。但是实际去了发现应该在是在靠近郊区了，不过到市区大概打的需要10元左右，起步费多一点。房间一半，属于旅馆标准，价格貌似网上还是比较贵的，听说直接去前台支付，100一晚都可以了。酒店门口就有站点，去市区还是比较方便的，不过末班车5点半就没有了。周边比较荒凉吃的地方也比较少。', '短评打分': 5}
{'短评内容': '总结一点，便宜', '短评打分': 1}
{'短评内容': '临街的房间隔音很差，另一边的还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '服务卫生都不错，就是酒店隔音不太好。有些吵。价钱还合理。总体不错。地段稍微有些偏。不过自驾游的可以选择，下了高速，很快就到。', '短评打分': 5}
{'短评内容': '100元的价格很值得了，不过建议房间弄个电脑，宜兴地区很多同价格的基本有电脑供客户使用的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '偏宜物有所值', '短评打分': 5}
{'短评内容': '酒店各方面条件感觉都挺不错的,很干净,而且人员服务也很到位,性价比挺高的.', '短评打分': 3}
{'短评内容': '卫生服务都很好,位置也不错,离我办事的地方很近,交通也比较方便,就是房间隔音效果不好.', '短评打分': 3}
{'短评内容': '酒店隔音不太好，有点吵，位置也不是太方便，稍微有点偏，酒店本身环境还可以，挺干净的，服务也不错 ', '短评打分': 5}
{'短评内容': '其实酒店的硬件条件很一般，环境设施都没有什么特别的，但是位置在宜兴就算是挺不错的，比较方便也。', '短评打分': 5}
