{'短评内容': '设施太老旧，床头插座是坏的，房顶竟然没有灯只有台灯', '短评打分': 1}
{'短评内容': '位置还不错，总体感觉一般。', '短评打分': 5}
{'短评内容': '不错，离火车站停进的', '短评打分': 5}
{'短评内容': '地理位置很方便，离火车站很近，只要步行3~5分钟。卫生不错，只是人气不旺，毕竟孝感是个小城市。可以理解。', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比很高', '短评打分': 5}
{'短评内容': '在孝感还算可以的酒店，但不能以4星级酒店来考虑。服务很热情很好，尤其是酒店餐厅的服务员。性价比还可以。', '短评打分': 5}
{'短评内容': '还不错，就是早餐品种少了点西餐的糕点', '短评打分': 5}
{'短评内容': '非常好，下次一定来！', '短评打分': 5}
{'短评内容': '套房设施很好，有家的感觉，很舒服.\r\n卫生间排水不太顺畅，要是能改进就更好了.', '短评打分': 5}
{'短评内容': '性价比好', '短评打分': 5}
{'短评内容': '这是我住过的性价比最高的酒店，推荐入住', '短评打分': 5}
{'短评内容': '离火车站很近，早餐很有地方特色。但设施陈旧，隔声较差。例如客房内部分灯不亮，卫生间门锁损坏，隔壁房间衣柜内衣架的撞击声音非常明显。', '短评打分': 5}
{'短评内容': '还不错，性价比可以', '短评打分': 5}
{'短评内容': '已经住过好几次了。\r\n  还不错', '短评打分': 3}
{'短评内容': '不错。值得住', '短评打分': 3}
{'短评内容': '房间宽大舒适，设施也较全。就是卫生间狭小，布局也极不合理，一推门就撞马桶。', '短评打分': 5}
{'短评内容': '性价比比较高，就是房间网速比较慢', '短评打分': 5}
{'短评内容': '商务酒店的价格，4星级的享受。', '短评打分': 5}
{'短评内容': '离火车站很近 打车也就3元\r\n', '短评打分': 5}
{'短评内容': '服务不错，就是设施有点老化了', '短评打分': 3}
{'短评内容': '好.不错的地方', '短评打分': 5}
{'短评内容': '态度有待提高。', '短评打分': 5}
{'短评内容': '环境不是很好   房间太小  ', '短评打分': 5}
{'短评内容': '位置很占优势&#183;&#183;&#183;&#183;不过里面略微有点点旧。\r\n总体还是不错的，就孝感这个城市而言，要是能便宜点就好了。', '短评打分': 5}
{'短评内容': '很不错的酒店~我已经住第二次了！绝对推荐，服务，设施都很不错', '短评打分': 5}
{'短评内容': '感觉位置有点偏了,附近没什么场所,早餐还不错,离店那天是圣诞节,服务员送了一个苹果,感谢一下.', '短评打分': 5}
{'短评内容': '地理位置非常好,离火车站很近,出行都很方便,卫生服务方面也都不错,很热情,就是设施有点陈旧了.', '短评打分': 3}
{'短评内容': '我感觉还是挺不错的酒店,服务态度挺好的,房间的卫生和设施也不错,酒店的位置也很好离火车站很近,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '除了隔音效果一般以外，其它都不错，交通方便。', '短评打分': 5}
{'短评内容': '设施旧了一些,服务还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置比较好，但是设施有点老化', '短评打分': 5}
{'短评内容': '不错！很方便！', '短评打分': 5}
{'短评内容': '当地来说还可以，环境挺好的，价格也比较便宜，酒店就在火车站旁边，挺方便', '短评打分': 3}
{'短评内容': '离孝感火车站很近，走过去也只要5分钟。\r\n   位置不错', '短评打分': 5}
{'短评内容': '一般!特别是旁边的烧烤摊太多!到处都是烟!', '短评打分': 1}
{'短评内容': '早餐稍显单调一点，比同城的王朝大酒店差一个档次，有的房间窗户大不开，需要维修了，价格还算不错，性价比算不错的了，火车站附近，入住乘车都很方便。总体来说，还算OK！', '短评打分': 5}
{'短评内容': '房价适中，早餐免费而且很好，品种多味道也不错。', '短评打分': 5}
{'短评内容': '酒店的整体感觉不错的,环境卫生都可以的,酒店的位置不错的,性价比还可以的,酒店值得推荐入住的', '短评打分': 5}
