{'短评内容': '房间太潮了', '短评打分': 1}
{'短评内容': '地理位置，性价比还不错 推荐 。不足是隔音太差，电视也没几个台。。。。', '短评打分': 5}
{'短评内容': '地理位置虽然在中山路上，但周围环境一般。', '短评打分': 1}
{'短评内容': '订的特价房，本来就没抱什么希望知道肯定是没窗户或者是暗窗的房间了，到了酒店后前台主动给我换了间明窗的房间。酒店的位置很不错，步行到栈桥也就十几分钟。沿着中山路就能找到机场大巴，步行大概五分钟左右。', '短评打分': 5}
{'短评内容': '地点有点偏，房间一般，说是三星，可没有。定的匆忙，节日期间能有房，将就了。', '短评打分': 3}
{'短评内容': '酒店很干净，服务很好，交通特别便利，明年还计划去，值得推荐！！', '短评打分': 3}
{'短评内容': '酒店不能刷卡，条件很简陋，很潮湿', '短评打分': 5}
{'短评内容': '找這家飯店花了好長時間，和服務員溝通也花了好長時間，最后入住進去，才發現同住人要共用毛巾等之類的沐浴用品，這叫什麽服務啊', '短评打分': 1}
{'短评内容': '位置比较好比较靠近天主教堂，卫生设施还行，服务价格都可以。应该说算是比较不错的酒店。', '短评打分': 5}
{'短评内容': '我很负责的说，这个酒店真的是很一般，让我很失望，公平的讲，就位置还可以，其他都不好。', '短评打分': 1}
{'短评内容': '房间隔音非常不好，并且房间意味很大，有没有更换被罩的，态度很差，发票不是酒店自己发票，建议亿龙取消酒店的资格', '短评打分': 1}
{'短评内容': '首先，酒店不太好找，费了半天功夫才找到，入住以后（我住的是9262房）房间潮气很大，床罩是花的，看起来不大干净；隔音太差，在房间里睡觉就感觉睡在走廊里一样，最让人不满的是，在结账的时候被告暂时知没有发票，害的本人没有能报销房费（本人是出差），不过该酒店地理位置还行，离栈桥和火车站都挺近。', '短评打分': 1}
{'短评内容': '都一般啦', '短评打分': 3}
{'短评内容': '都一般啦,只是位置好点而已', '短评打分': 5}
{'短评内容': '住宿条件尚可 但是第一晚死活上不了网  有点愤慨，之后两晚就好了。 对于这个价格来说  性价比还是很高的  周围很热闹 交通很方便 小吃街就在附近', '短评打分': 5}
{'短评内容': '真的很不错，下次去青岛还会选择这，交通很方便，下了火车走10几分钟就到了，到各个景点坐公交车也很方便，这个酒店就在天主教堂的背面，价格还很便宜，推荐！！', '短评打分': 5}
{'短评内容': '房间大大小小格局畸形，灯光昏暗，酒店门口很近就是垃圾站，二楼有的房间窗帘拉开就是马路边，为了安全酒店吧窗子弄成不锈钢格子栏杆，有的房间窗子打开就是内院，反正感觉非常不好，完全一个家庭旅馆，别说3星，2星都达不到！酒店前台说不清楚怎么从火车站过去，绕了起码40分钟才找到！建议单身女生慎选！！', '短评打分': 1}
{'短评内容': '酒店的配置硬件比较一般，周围景色还不错，位置出行也很方便，距离栈桥很近。', '短评打分': 5}
{'短评内容': '卫生设施挺一般，服务态度挺好的，位置也还行，但是酒店房间有蟑螂我本来是订了好几天后来我就住了一天就走了太恐怖了，其他的都很一般，服务态度确实挺不错的。', '短评打分': 1}
{'短评内容': '这家说是酒店，其实感觉内部的装修更像是农家院的样子\r\n它的最大好处是挨着中山路，也就是青岛的商业区，另外离火车站汽车站非常近，交通很方便，但是第一次来的话，这个地方也不是很好找\r\n房间特别特别小，卫生间很挤，马桶和洗手池挨得非常近\r\n屋里总是特别潮，从那带出来的衣服都是湿的\r\n每天进屋都需要开空调先除湿一下\r\n但是服务员态度真的都很不错，这点上很满意\r\n可就这个地方，真的是非常不值这个价格', '短评打分': 1}
{'短评内容': '优点：酒店所处位置很好，离栈桥步行不超三十分钟。周围就是商业街，购物饮食也很方便。工作人员服务态度很好，很亲切\r\n缺点：不支持银联刷卡消费，住店感觉很不方便，低楼层晚上比较吵，房间隔音也不是很好，隔壁洗刷时声音很大，吵醒了一回。楼层高的没网线，很不方便。洗刷间没有防滑垫，地面很滑，装修略显陈旧，跟人感觉不是很舒服。\r\n', '短评打分': 5}
{'短评内容': '匆忙间电话预定的，如果不是要信用卡担保，让我看后没法不住这。说是准3星，我住的就是酒店加盖的房子，房间里很阴。钱到没少要，和一些好的快捷酒店没法比。', '短评打分': 1}
{'短评内容': '交通很便利 距离有名的劈柴院很近！', '短评打分': 5}
{'短评内容': '到旅馆后原先订的房间没有  换了个房间  不是很好  房间内异味很重  网线还不能上  特别郁闷', '短评打分': 1}
