{'短评内容': '方便实惠价格合理', '短评打分': 5}
{'短评内容': '一切都好，就是旁边的居民楼里养了公鸡，你无法睡个好觉', '短评打分': 5}
{'短评内容': '地理位置不错,酒店人员服务态度也好，很热心，就是我们住的地方挨着马路，开窗会有点吵', '短评打分': 5}
{'短评内容': '3月中旬去的版纳，在云之舍住的小套房，很经济实惠的连锁酒店，干净，可以简单早餐，无限上网，免费接机，免费通话，交通方便，强烈推荐。。', '短评打分': 5}
{'短评内容': '酒店环境很好。还有停车位的说。很满意', '短评打分': 3}
{'短评内容': '环境不错 卫生干净 还可以免费接机 推荐入住', '短评打分': 3}
{'短评内容': '今天离开版纳了，云之舍很不错的。', '短评打分': 3}
{'短评内容': ':云之舍景洪店卫生干净,服务态度也好,光线好,尤其卫生间大,水足,原来计划试住一下,因感到舒服,一连住了八天,缺点是卫生间有点积水.', '短评打分': 3}
{'短评内容': '酒店很好，房间大，也挺干净的。还要再住几天。', '短评打分': 3}
{'短评内容': '挺干净，服务也周到。比较满意的~~~~就是要在早上8点以后入住，去早了没有房间。', '短评打分': 5}
{'短评内容': '酒店干净，服务态度好。就是地理位置有点偏。', '短评打分': 5}
{'短评内容': '   我们已入住西双版纳云之舍洒店.这里环境优美.干净.', '短评打分': 3}
{'短评内容': '位置很好找，周边餐厅众多。房间舒适，还配备了荞麦枕头。', '短评打分': 5}
{'短评内容': '设施还行，就是酒店打扫卫生都是在下午，这个很不明白，其它都还好', '短评打分': 5}
{'短评内容': '给同事订的，据说环境、交通还不错，就是酒店没有电梯~~住在4楼~', '短评打分': 5}
{'短评内容': '干净、舒适，服务周到，离机场很近，开车15分差不多就到了。大力推荐。', '短评打分': 5}
{'短评内容': '我们入住那几天，版纳旅游还很多人，找到那么舒适且价格便宜的房间，确实让我开心！', '短评打分': 5}
{'短评内容': '出入住感觉前台服务员挺亲切的，进入房间后感觉布置也挺好的！', '短评打分': 5}
{'短评内容': '价廉物美', '短评打分': 3}
{'短评内容': '版纳旅游  不错的选择~~~~  上哪都很方便   下次还住这', '短评打分': 5}
{'短评内容': '酒店环境很好，说是房间内能上网，但试了老半天也上不去，所以需要上网的时候只好到前台去上无线网，这一点很不方便。', '短评打分': 5}
{'短评内容': '很一边的经济型酒店，卫生间太差，毛巾看上去脏兮兮的只能擦手。而且小房间及卫生间连挂衣服的挂钩都没有一个，很不方便。如果按如家在江浙沪地区的水准比较，应该更好些。', '短评打分': 5}
{'短评内容': '住的是家庭房，设施新，干净。地理位置不错，吃早点方便。', '短评打分': 3}
{'短评内容': '挺不错的，价钱公道，服务也还不错。最重要的是干净，下次我还选择云之舍', '短评打分': 5}
{'短评内容': '我们已经入住4天，每天入住5间房', '短评打分': 3}
{'短评内容': '房间不大，特别是卫生间很小。电吹风要到前台索取才有。房间铺设的是强化地板，楼上走动声音很大。', '短评打分': 1}
{'短评内容': '挺好的，网速杠杠的，房间很干净，房价很合理，总之哪哪都好。', '短评打分': 5}
{'短评内容': '这是一家很好的酒店,在繁华的市区,但周围环境又比较安静,停车方便,房间非常干净,性能价格比非常好, 特别是特色两居室和三居室的套房, 非常值得推荐.周围各种美食非常多,价格也很公道. 就是房价比较少,需要提早预定', '短评打分': 5}
{'短评内容': 'Inside room is OK, but there is no elevator.  Due to Chinese New Year, price is not so cheap.', '短评打分': 5}
{'短评内容': '酒店本身还是不错的，地点亦很好。只是预定的小套间在第一天晚上被调整为标准间，产生了一点小插曲。但总体服务不错，卫生条件亦好。', '短评打分': 5}
{'短评内容': '我和朋友两次到云南基本都住云之舍，如今已经三次了，这是一家很不错的连锁酒店，价格公道，设施不错，服务也很好，以后还会入住。', '短评打分': 5}
{'短评内容': '房间较宽敞，比起周边旅店好很多，性价比高', '短评打分': 3}
{'短评内容': '酒店位置比较理想，距离各处交通都比较方便。', '短评打分': 5}
{'短评内容': '满意！从卫生条件到硬件设施与别处的经济连锁酒店无异，符合预期~', '短评打分': 5}
{'短评内容': '房间真的不错，性价比很高。只是院子小了一点，没有花园哦', '短评打分': 5}
{'短评内容': '房间干净，价格便宜，停车位也有十几个，推荐。', '短评打分': 5}
{'短评内容': '环境很好，卫生间间也比较大，就是住的一间比较小，要是能匀出一些就好了，打扫卫生不专业，只是换换废纸篓。', '短评打分': 5}
{'短评内容': '打车不方便~住在四楼不知道是什么声音，感觉像发电机的声音呢吵了一晚上， 很影响休息~ ', '短评打分': 1}
{'短评内容': '酒店不错，干净，只是没有电梯。服务态度很好。', '短评打分': 3}
{'短评内容': '对了，大堂还提供免费上网，房间有免费宽带或wifi接入，很适合所有网络控和网络生活者，我就是用笔记本在小屁孩定了第二天的“望天树、植物园、橄榄坝的所有优惠门票”。', '短评打分': 5}
{'短评内容': '云之舍酒店连锁（景洪店）位置优越，位于西双版纳州府景洪市勐混路（景洪市旅游局对面），距离市中心广场步行只需10分钟。房间设施很新，床铺很舒服，有独立的免费停车场，同时热水很充足，这点是我媳妇最喜欢的地方，房间配置的液晶电视、电话，总体上来说是一家适合旅游、自驾游朋友首选的歇息之地。', '短评打分': 5}
{'短评内容': '房间很干净，位置也还很便利，晚上十点多到了西双版纳，酒店安排了接机，感觉很好。酒店合作的司机很热情，免费送市内各个景点，包车也不贵，最后还帮助送到机场，下次还住在云之舍。', '短评打分': 5}
{'短评内容': '地理位置很好，楼下就有好多饭店，离市中心很近，房间很干净，以后再来就住这里了。', '短评打分': 5}
{'短评内容': '我们住的小套间，真的不错呢。还能做饭哦。就是院子稍小了点儿。', '短评打分': 5}
{'短评内容': '价格公道，环境不错，停车也方便，推荐。', '短评打分': 3}
{'短评内容': '非常满意。我们定的是家庭小套房，很有家的感觉，干净温馨，孩子喜欢极了。酒店位置也不错，附近吃饭的地方很多。', '短评打分': 3}
{'短评内容': '位置很好 离曼听公园和美美咖啡啊 财春青啊都不远 而且房间干净 条件不错 价格也好 比直接在门店订便宜', '短评打分': 5}
{'短评内容': '房间比较干净，住得顶楼，一整夜都有很大的水泵的声音，严重影响睡眠！', '短评打分': 5}
{'短评内容': '设施都很新，交通方便，距离翻胎厂，南站这俩站挺近的。满意', '短评打分': 3}
{'短评内容': '温馨的人性化服务。。。清新整洁的房间布局。。。方便便捷的地理交通位置。。。物超所值的性格比。。。支持一下。。。', '短评打分': 5}
{'短评内容': '服务非常好，房间很干净，这个价格经济实惠', '短评打分': 5}
{'短评内容': '干净卫生，物有所值。床很软很舒服，空调制热有点慢。', '短评打分': 5}
{'短评内容': '交通方便，房间干净整洁，价额合理，服务态度很好。', '短评打分': 5}
{'短评内容': '酒店位于度假村内，性价比很高，非常干净。能上网', '短评打分': 3}
{'短评内容': '服务到位，比较干净！向大家推荐这件连锁酒店！不过说句真话，没有昆明的连锁的舒服！', '短评打分': 5}
{'短评内容': '酒店各方面都还可以！就是服务不是很到位。。卫生间练纸都不提供！遗憾。。。', '短评打分': 5}
{'短评内容': '每次到景洪我都是住这家酒店，总体来说还不错。', '短评打分': 5}
{'短评内容': '比较干净，晚上无骚扰电话；不含早餐且早餐太单调了点，不过也差不多了', '短评打分': 5}
{'短评内容': '电视信号不好，住了三天，只有一天能看电视。网上预订之前特意打电话给前台，说前台大厅可以无线上网的，结果根本不能无线上网。还好大厅里有台公用电脑，不过很多人在用，还得排队等', '短评打分': 5}
{'短评内容': '好很好非常好', '短评打分': 3}
{'短评内容': '价格比较便宜吧，是连锁酒店。不过貌似是新开的，在装修，比较吵。不要让酒店给订车，比正常的价格高很', '短评打分': 5}
{'短评内容': '位置不太好找，环境不错，很干净.设施都比较新', '短评打分': 5}
{'短评内容': '.房间格局还不错.就是没电梯.也没早餐.早餐要1人拾块钱', '短评打分': 3}
{'短评内容': ' 开业不久，各方面都很新，房间也挺安静舒适。前台很不错，有问必答，离机场相当近。', '短评打分': 3}
{'短评内容': '地段还好，主要是版纳本来就小，住哪也差不多，这家洗澡水很大，洗的很爽，就是没电梯，这个美中不足，但是整体还不错的。', '短评打分': 5}
{'短评内容': '环境简约舒适，服务热情，地理位置在市区，外出很方便', '短评打分': 5}
{'短评内容': '酒店是新开的，很干净，位置好，门前就是当地小吃街', '短评打分': 5}
{'短评内容': '非常不错，位置很好而且电话免费。前台的服务小姐态度也很好。', '短评打分': 5}
{'短评内容': '很不错，环境很好，还能上网，性价比很高，每次来都住', '短评打分': 5}
{'短评内容': '酒店条件还可以，比较干净，服务尚可，停车场稍小', '短评打分': 5}
{'短评内容': '酒店的位置相当方便，周边风味餐馆众多值得一试！', '短评打分': 5}
{'短评内容': '酒店不错哦！', '短评打分': 3}
{'短评内容': '环境舒适,房间整洁干净,服务很好,十分满意', '短评打分': 3}
{'短评内容': '干净，卫生，就这个价位来说还不错了。就是没电梯，不太方便。', '短评打分': 5}
{'短评内容': '很不错的酒店,有家的感觉,安静也很干净...有冰箱这点很贴心,要是能有电梯就更好了!工作人员服务也不错,有问必答!帮忙订的机票价格也很便宜!酒店位置也很不错,市中心.而且离很多景点和小吃街步行街都很近!最好的一点是每个房间都有无线网,对年轻人来说很贴心啊!酒店也是新装修的,真的很不错,下回还要住这家!', '短评打分': 5}
{'短评内容': '服务不错，，，，，，，，，，，，，，，，，，，，，，，也很干净，，，，，，，，，，，，，，，，，，，，，，，，，，，，，房间也很新！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '干净整洁，就是要爬楼梯', '短评打分': 3}
{'短评内容': '简单，舒适，典型的经济型酒店，就是没电梯，爬5楼太累了，总体性价比还不错。 可能因为是新开的酒店，不能刷卡。', '短评打分': 5}
{'短评内容': '这家酒店很不错，性价比非常高，房间很新，设施也很全，我个人很满意，下次还来住，服务也还行，最重要的是环境很安静，适合度假', '短评打分': 5}
{'短评内容': '很干净，新开不久，不错！价钱很合适！下次去还会住这~', '短评打分': 5}
{'短评内容': '服务态度一般，不好也不差，只是临马路的房间有点吵，换了个房以后，卫生间的味道比较大，懒得再换了。主要是便宜，别的比不上七天如家这样的连锁酒店', '短评打分': 5}
{'短评内容': '干净、整洁。周围环境安静，用餐也方便。只是没有电梯真的有点累。', '短评打分': 5}
{'短评内容': '干净、舒适。可能刚开业，还有些服务跟不上。酒店周围环境安静，用餐方便。只是不通公交车。', '短评打分': 5}
{'短评内容': '是新开的酒店，环境很干净，硬件设施也很好，值得推荐。', '短评打分': 5}
{'短评内容': '很好，新装修的很干净，房间大，环境不错。以后还会住。', '短评打分': 5}
{'短评内容': '经济实惠，就是没电梯，提着行李爬楼梯太累。', '短评打分': 5}
{'短评内容': '新装修的，有股味道，有些工程还没有完工，典型的经济型酒店！还不错吧！', '短评打分': 5}
{'短评内容': '酒店不错，新装修的，很齐全，还送了张会员卡。。。', '短评打分': 5}
