{'短评内容': '价格不便宜，没早餐，蛮干净的，香水味也好闻', '短评打分': 5}
{'短评内容': '不便宜 隔音差 交通比较方便 逛光谷商业街的话 的士起价费可到', '短评打分': 5}
{'短评内容': '酒店里光谷商业街不远 的士车起价费可到 相对住在商业街的话 这里还是比较安静的\n酒店不知是新开的店还是新装修的 走廊里装修的问道很重 房间里还好 基本没味道\n\n非常郁闷的额是酒店隔音不好 墙壁貌似很薄 隔壁房间煲电话粥的害得我睡不好 偌大的酒店其实也没住那么多人 怎么那么巧就给我隔壁安排一个爱说话的女人呢 鸹燥 真是讨厌\n\n如果除去不隔音的因素 或者 您不会因为隔壁的噪音而影响睡眠 那么这个酒店值', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '性价比不错，周边吃饭的地方比较多，就是有点不好找。', '短评打分': 5}
{'短评内容': '再光谷商业步行街里面，环境很安静，前面一排4s店。\n不错哦~ 离华中科技大学也很近。', '短评打分': 5}
{'短评内容': '比较满意~下次还会再去~希望房间可以装修新点~~~~~~~', '短评打分': 5}
{'短评内容': '环境可以，服务还不错，离华科近,交通好，价格一般', '短评打分': 5}
{'短评内容': '还不错，我还比较喜欢。就是地方偏了一些。。。。。。。。。。', '短评打分': 5}
{'短评内容': '住宿条件还可以，就是位置有点偏，不是很好找', '短评打分': 5}
{'短评内容': '因为看了网上客人的点评入住该酒店，住了五天，感觉非常好，干净舒服，还有电吹风很方便，周边吃饭打车很便捷，去华科走路15分钟，', '短评打分': 5}
{'短评内容': '酒店很安静。附近吃的很多。离华中科大也很近。空调十分暖和。就是房间比较小。', '短评打分': 5}
{'短评内容': '酒店位置在步行街里面，出租车无法开到门口，到的那天还下雨，非常狼狈。房间比较小，早餐品种少，感觉一般，下次不会再住。', '短评打分': 1}
{'短评内容': '喜欢这家店的床，别的真得很一般,每次去都住这个地方，离办事的地方比较近，性价比较高', '短评打分': 5}
{'短评内容': '还是那些话。已入住了很多次了，每次都感觉不错。', '短评打分': 5}
{'短评内容': '不错的酒店，已入住过多次，也做了多次点评', '短评打分': 5}
{'短评内容': '好好，除了停车问题没处理好外，其他都 不错的', '短评打分': 5}
{'短评内容': '服务态度一般，个别设施如地板损坏，对于网站预订客户不是太积极，往往提供的都是较差的房间。', '短评打分': 5}
{'短评内容': '很不错,很干净,超预期.离我办事的地方很近,赞一个', '短评打分': 5}
{'短评内容': '总体感觉不错\u3000房间有些老旧\u3000隔音效果差', '短评打分': 3}
{'短评内容': '房间很干净 装修还比较新 周环境围不错 没有什么噪声 ', '短评打分': 5}
{'短评内容': '房间小了点！隔音不大好~！但是服务不错！', '短评打分': 5}
{'短评内容': '前台素质真的不咋的， 太死板了。不过也不能难为人家，也就只是个前台而已，能要求怎么样呢！！下次不去就好了 ！', '短评打分': 1}
{'短评内容': '离我们公司非常近，打车很方便，周围吃饭的地方也很多，价格也比较实惠，随便住住不错，但对于旅游的人来说可能不太适合', '短评打分': 5}
{'短评内容': '整体感觉还不错，房间挺干净的，位置安静又便捷，唯一的遗憾是房间较小，且隔音不好~~~', '短评打分': 5}
{'短评内容': '这家酒店每次有朋友来看我都去那里住。环境不错。而且卫生条件也好。。就是房间有点小。。很温馨。。', '短评打分': 5}
{'短评内容': '环境条件都很一般，我觉得酒店很干净的程度。', '短评打分': 1}
{'短评内容': '很好的酒店,一百多价格,有二三百的价值\n不错,下次还会入住', '短评打分': 5}
{'短评内容': '还不错，挺方便,价位也不高，在创业街上，方便到光谷出差的人', '短评打分': 5}
{'短评内容': '  位置在步行街上,不好找,出租车开不进去。房间隔音不好,其它尚可。', '短评打分': 5}
{'短评内容': '来武汉出差基本就会定这个酒店，价格不贵，但应该有的设施都有，例如电吹风，很多经济型酒店都要到前台去借，但这家酒店就有，加的被子也准备好了，卫生间和淋浴房都比较干净。位置打车会比较方便，出差的住不错。', '短评打分': 5}
{'短评内容': '大床间不错，挺舒适的……就是厕所马桶有些吵，房间的隔音效果不好', '短评打分': 5}
{'短评内容': '酒店比较干净，就是地址不对，找了很久，不过枕头和床很舒服，那个晚上睡得很好，比之前的好几家星级酒店都好，下次去还住这家，就冲着睡得满舒服的，别的一半，不过155的价格确实性价比不错。', '短评打分': 5}
{'短评内容': '房间较小，但符合这个价格。洗澡水很舒服，水流很大。房间的隔音不还好。总的来说还是值得住的。', '短评打分': 5}
{'短评内容': '卫生什么的都还可以~就是隔音效果不好。。', '短评打分': 5}
{'短评内容': '总的来说还不错的酒店，比较经常住，在此推荐', '短评打分': 5}
{'短评内容': '酒店位置稍微不太好找，隔音效果太差，装修一般', '短评打分': 5}
{'短评内容': '还可以，很整洁，就是有点偏。周围没有什么好玩的地方。', '短评打分': 5}
{'短评内容': '还算不错 就是有点难找。。。位置还不错 距离光谷步行街打车7块 周围环境很好~', '短评打分': 5}
{'短评内容': '各条件总体来说不值180这个价钱。房间大但没有7天汉庭的干净。隔音一般。优点是网速快。可玩网游。', '短评打分': 5}
{'短评内容': '感觉还不错，就是隔音效果差点，其他都行。', '短评打分': 5}
{'短评内容': '不错，也住了很多次了。下次还会考虑入住的，', '短评打分': 3}
{'短评内容': '环境，卫生还不错，服务也很好，在这边购物也很方便。下次推荐朋友来', '短评打分': 3}
{'短评内容': '酒店舒适安静，地理位置也不错，车位解决是头等大事。', '短评打分': 5}
{'短评内容': '房间挺大的，卫生条件也很好，就是房间实在是太不隔音了！', '短评打分': 5}
{'短评内容': '还不错。地点比较安静,在步行街上。风格像如家。唯一 不足是电视太小', '短评打分': 3}
{'短评内容': '环境很好，用品比较全，离华科距离比较进，总的来说住得很舒服。', '短评打分': 5}
{'短评内容': '不错的商务性酒店，价格不高，环境也好。就是不在路边，不大显眼，遗憾。', '短评打分': 5}
{'短评内容': '还好。收拾的挺及时，有点如家的感觉。唯一不满的就是网速，太慢了。', '短评打分': 5}
{'短评内容': '因要拜访光谷的客户，住这里还是很方便的。并且因飞机晚点，打电话去前台要求保留房间，前台很客气的答应了，这一点很好。下次还会入住。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '地理位置偏，适合到华工办事居住', '短评打分': 5}
{'短评内容': '性价比很高，不错，下次还会来', '短评打分': 5}
{'短评内容': '环境还行  位置不是很方便 ', '短评打分': 5}
{'短评内容': '还行。就是远了点~还有发票开得很不正规，估计不是真发票...', '短评打分': 5}
{'短评内容': '还不错,整体还好,只是早餐不太行.', '短评打分': 5}
{'短评内容': '隔音条件太差', '短评打分': 1}
{'短评内容': '对于到创业街或华科的工薪阶层来说，不失为一个好去处', '短评打分': 5}
{'短评内容': '没什么缺点啦，都非常好\r\n要是偶尔做活动，便宜些就更好了', '短评打分': 5}
{'短评内容': '卫生间比较小，其它都不错', '短评打分': 5}
{'短评内容': '性价比比较高，服务比较周到，房间比较大，就是浴室小了点儿，总的来说很不错~', '短评打分': 5}
{'短评内容': '房间不是很大,但是设计非常合理,麻雀虽小,五脏具全的感觉,价格不贵,比七天等还要低一些,但是房间内有提供吹风机,是中央空调.房间色调明亮.很满意,位置稍有点不好找.', '短评打分': 5}
{'短评内容': '水很大很热 很卫生 周围很安静，环境很好 离光谷很近 方便', '短评打分': 5}
{'短评内容': '总体还不错，就是房间隔音效果不好，楼道里有人说话，在房间内听得很清楚', '短评打分': 3}
{'短评内容': '服务态度很好，房间很温馨，交通还算便利，水温不是很好，住着很舒服，卫生情况很好，能及时打扫，不错', '短评打分': 5}
{'短评内容': '房间比较小，卫生还可以 ，管理一般。', '短评打分': 3}
{'短评内容': '位置，卫生，性价比都不错，值得再次入住。不过，停车要收费。', '短评打分': 5}
{'短评内容': '位置还可以。前台服务效率不错。\r\n\r\n房间里的墙体开裂，灯掉了一角玻璃，洗手间水龙头声音好大，莲蓬头旁边漏水，电视显像管坏了，颜色有一角偏绿\r\n房间隔音效果不好。', '短评打分': 1}
{'短评内容': '不错的酒店。下次还住。唯一不足是餐厅午餐晚餐价格高了点，和酒店不太相称。', '短评打分': 5}
{'短评内容': '总的来说，还好吧。但是房间实在不隔音', '短评打分': 5}
{'短评内容': '卫生还可以， 房间有点小。服务一般化', '短评打分': 5}
{'短评内容': '总体感觉还行。', '短评打分': 5}
{'短评内容': '还不错，下次再去', '短评打分': 5}
{'短评内容': '已经去住了两次了，很不错', '短评打分': 5}
{'短评内容': '卫生还可以  房间有点小', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '前台服务很好，很安静，性价比很好。', '短评打分': 5}
{'短评内容': '还算比较不错。', '短评打分': 5}
{'短评内容': '有点吵，地方有点小；\r\n感觉订的房与自己去付全费的房不一样~！', '短评打分': 5}
{'短评内容': '房间不隔音，有点吵，位置比较好，出行还是比较方便，没体会到有什么服务，房间的卫生和设施还不错，整体感觉性价比还不错', '短评打分': 3}
{'短评内容': '环境比较安静，卫生也是做的不错，唯一卫生间空间有点小，在武汉155元的价格还是很便宜', '短评打分': 3}
{'短评内容': '还行吧。在光谷附近算便宜的了。', '短评打分': 5}
{'短评内容': '环境还不错，比较安静.', '短评打分': 5}
{'短评内容': '酒店整体上还不错，位置也可以，就是房间有点小，房间的墙面、天花有些裂缝，不太好看，服务也还可以，房间没有电吹风，要自己去前台要', '短评打分': 5}
{'短评内容': '干净，价格合理，很安静。就是在步行街里面，打车过去不太好找到。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错卫生服务也很好，价格合理适中，出行交通比较方便，值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '酒店环境应该安静一些,比较吵.其它各方面服务还算可以.位置很好方便出行.', '短评打分': 3}
{'短评内容': '预定这家酒店,总是20:00后需要信用卡感觉很麻烦.其它各方面都算比较不错.卫生及设施各方面都比较符合我的标准,出行相对来讲对于我办事的地方很近所以非常方便.', '短评打分': 3}
{'短评内容': '位置不错，就是晚上有点吵，房间比较挤!', '短评打分': 5}
{'短评内容': '比较适合商务,酒店网络很方便', '短评打分': 5}
