{'短评内容': '令人失望啊', '短评打分': 3}
{'短评内容': '感觉还不错，就是隔音差点，服务人员很热情的。。在青岛这个价位算是合适的了', '短评打分': 5}
{'短评内容': '还行，特价房挺实惠的，房间不大。附近可逛的地不多。', '短评打分': 5}
{'短评内容': '酒店还可以,早餐不好, 空调室外机声音太响,影响?????但我还是比较喜欢这家酒店的.', '短评打分': 5}
{'短评内容': '酒店很一般  没有早餐~ 但是很人性化~我比较喜欢', '短评打分': 5}
{'短评内容': '的确很好，里面很干净很宽敞，值得推荐，价格也合理', '短评打分': 5}
{'短评内容': '房间很好，这是我住过最好商务酒店了，干净卫生，房间很大，床很舒服，洗澡的花洒爽，以后青岛就来这里住了，比一些老四星好多了。', '短评打分': 3}
{'短评内容': '这个酒店条件很一般~感觉很空旷~ 但是适合公司报销~你懂得~', '短评打分': 5}
{'短评内容': '他们家的豪华商务大床房带浴缸真的好舒服 就是前台有点让我不满意 我为了入住方便在网上订的3.11日的入住，为保万无一失3.10日晚上去他们店里交的押金 可是一早去了前台告知昨天晚上把房卖了要我等 给我挑了一套大套房 等下午我订的房间其他客人结账收拾完了再通知我换房这点做得还可以 我比较满意', '短评打分': 5}
{'短评内容': '酒店环境优美，位置很好，交通便利。\n', '短评打分': 3}
{'短评内容': '帮家人订的，据说条件还不错，主要价格还是比较划算的，返还的多', '短评打分': 5}
{'短评内容': '不错，值得入住，价位也合适！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '价格超值，环境不错，停车非常方便！下次去还要住这里，', '短评打分': 5}
{'短评内容': '这个绝对超值，别看酒店的外观不怎么好，但是里面的设施确实不错！', '短评打分': 5}
{'短评内容': '酒店是新装修的，很高雅，还带一个仿古的院子，一站路远有美特好超市和新业广场，方便卫生', '短评打分': 3}
{'短评内容': '非常不错，干净卫生,值得入住，很好，地理位置有点偏', '短评打分': 5}
{'短评内容': '房间不隔音，睡眠质量受限，不建议。出门打车不方便。', '短评打分': 1}
{'短评内容': '很好，很干净，很新，周围很方便，打车到南京路有辽阳西路路口好像', '短评打分': 5}
{'短评内容': '环境还不错。挺干净的。服务态度也挺好的.就是买东西不太方便', '短评打分': 5}
{'短评内容': '硬件环境感觉比较满意，就是网速有时很慢。下次还会入住的', '短评打分': 5}
{'短评内容': '前台,客房都不错，早餐性价比不高.地理位置稍偏一些，打车不方便\n', '短评打分': 5}
{'短评内容': '第一次入住这个酒店，是看到评论超过90多分才定的，硬件环境感觉比较满意，就是网速不是很快。下次还会入住的。', '短评打分': 5}
{'短评内容': '空调有时太热了，地理位置稍偏一些，打车不方便', '短评打分': 5}
{'短评内容': '价格合适，性价比优于速8，浴室的水密封需要改进', '短评打分': 5}
{'短评内容': '该酒店设施很好,前台服务态度热情友好,而且优质优价,值得。是我以后到青岛首选酒店', '短评打分': 3}
{'短评内容': '都还行，服务挺热心的，不过暖气不要开的温度太高，容易跳闸。设施不是很人性化，灯光，镜面的设计不好。看得出来老板以前不是干酒店这行的。', '短评打分': 5}
{'短评内容': '冷死人了啊。天气冷的话还是别来这家酒店了。暖气只要一开，不出10分钟就会跳闸。其它的方面还是可以的。', '短评打分': 1}
{'短评内容': '卫生，设施等都不错。装修都还挺新的。但毕竟是新酒店，有些地方设置的还不是很人性化。比如，房间里面镜子太少，就浴室有一面小镜子。没有着装的大镜子。', '短评打分': 5}
{'短评内容': '我感觉服务还是很贴切的，以后还会经常来住的，', '短评打分': 5}
{'短评内容': '酒店的硬件设施还可以。就是空调不给力。全是冷风。还有一点就是离景区有点远。不是很方便。价钱有点贵。最后提醒去青岛的童鞋，在火车站附近的房子不错。晚上可以出来在海边溜达，白天可以去德式建筑看看。', '短评打分': 5}
{'短评内容': '不怎样的，不值这价钱。不怎样的，不值这价钱', '短评打分': 1}
{'短评内容': '环境还不错。挺干净的。服务态度也挺好的。。。 ', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。\n一定要人写满50个字，烦不烦啊。。。。。。。。。。。。。。。。。。。。。。。一定要人写满50个字，烦不烦啊。。。。。。。。。。。。。。。。。。。。。。。一定要人写满50个字，烦不烦啊。。。。。。。。。。。。。。。。。。。。。。。一定要人写满50个字，烦不烦啊。。。。。。。。。。。。。。。。。。。。。。。一定要人写满50', '短评打分': 5}
{'短评内容': '位置还可以，虽然不在海边，但也不是很远，打车一、二十元即可到达常去的地方，酒店很新，环境不错，硬件也都很不错，但就是房间装修的味道太大，希望能够多做一下除味工作。', '短评打分': 5}
{'短评内容': '这家酒店是8月份新开张的，硬件设施应该说还是不错的。尤其是双标房，简洁、宽敞，住得还是很舒服的。网络通畅，电视机是液晶的，淋浴龙头的花洒也很给力。但是，也因为是新开张的，个别房间还有些装修后的味道，尤其是1楼的房间，我们后来搬到了5楼，基本没什么问题了。另外，员工的工作还跟不上节拍。住了三天，一次性用品没有齐过，第一天缺拖鞋，第二天缺肥皂，第三天更好，连房间都不打扫了。晚上有一位负责人过来，还以为', '短评打分': 5}
{'短评内容': '位置很好，酒店的双人房有阳台，空间不错，大床房无阳台，显得相对小一些。新开的酒店，干净。淡季时也为200多的标准。全青岛，旺季时房价都翻番。', '短评打分': 5}
