{'短评内容': '干净整洁；地理位置优越', '短评打分': 5}
{'短评内容': '每次去盐城必住的酒店！房间很大，设施也新！性价比很好，早餐也很好，希望能保持！另外，酒店的游泳池不错，值得一试！', '短评打分': 5}
{'短评内容': '这个宾馆位置上很有优秀，周围很安静院子很干净。', '短评打分': 5}
{'短评内容': '各项硬件设施都很不错，服务也很好，不足之处在于出行不方便。', '短评打分': 5}
{'短评内容': '环境优美，卫生服务尚可。但地理位置相对偏僻，不易外出。', '短评打分': 5}
{'短评内容': '应该是盐城最好的酒店了，内部环境和硬件均不错，地段有些偏但是离高速挺近。早餐一般。', '短评打分': 5}
{'短评内容': '相当豪华的酒店，非常棒的泳池，可能是盐城最好的酒店了。', '短评打分': 3}
{'短评内容': '酒店规模挺大的，园林式的院也挺美，就是打车不方便，能免费游泳健身，但还没去试过，餐厅也没去试，刚入住，呵呵~', '短评打分': 3}
{'短评内容': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '在西餐厅吃了两顿晚饭，总觉得性价比很低。\n\n早餐很好。', '短评打分': 5}
{'短评内容': '酒店非常非常大，所以显得很空旷。生意好像不是很好，基本上看不见什么人。设施还可以，景色非常好。但是明显的国营特色。服务一般。\n\n餐饮价格很贵，与其质量和盐城这个地方相比。', '短评打分': 5}
{'短评内容': '酒店规模很大，新酒店，性价比不错，就是位置较偏，打车不方便', '短评打分': 5}
{'短评内容': '这家酒店是盐城最好的五星酒店 非常豪华气派 就是地理位置比较偏 如果不开车的话出行打车不方便', '短评打分': 5}
{'短评内容': '很好的酒店 南京的金陵酒店管理集团管理 非常豪华气派 这次住的是套房 才七百多 性价比很高', '短评打分': 5}
{'短评内容': '硬件条件一流，早餐很丰富，周围不太方便。', '短评打分': 5}
{'短评内容': '环境很不错，早餐也很好，房间的设施很舒心，就是盐城的水质太差，房间里装个净水直饮系统就更好了。', '短评打分': 5}
{'短评内容': '位置较偏，没有自驾车，不建议入住。其他都还不错。', '短评打分': 5}
{'短评内容': '再次入住，感觉很好。就是价格涨幅较大。', '短评打分': 5}
{'短评内容': '新开的酒店，除了位置比较偏外，其它的条件都非常好！值得推荐！', '短评打分': 5}
{'短评内容': ' 宾馆很气派，硬件不错，就是离市中心有点远', '短评打分': 5}
{'短评内容': '酒店位置稍微偏点，其他还不错。！！！！！！！！！！1', '短评打分': 3}
{'短评内容': '酒店离市区较远，不适合散客，自驾还可以。', '短评打分': 5}
{'短评内容': '服务好，环境不错', '短评打分': 5}
{'短评内容': '高级房的双床房，房间不大，浴室不大。早餐一般。服务不错。游泳池水温25度，冷。', '短评打分': 3}
{'短评内容': '豪华大床房，房间不大，卫生间设施一般。浴缸不大，淋浴房不大。早餐很一半。服务还不错。游泳池水温只有25度，冷。', '短评打分': 5}
{'短评内容': '米饭里吃出玻璃。。。等了一个多小时，服务员都躲在背后议论纷纷，没人出面解决问题，服务不到位。。\r\n\r\n真的不敢推荐呢。。', '短评打分': 1}
{'短评内容': ' 酒店很漂亮宽敞，房间舒适！', '短评打分': 5}
{'短评内容': '非常不错的酒店，交通不方便。', '短评打分': 3}
{'短评内容': '非常好的酒店，唯一遗憾的就是酒店位置很偏，没有出租车，需要由酒店叫车，但是收取来的车费，', '短评打分': 3}
{'短评内容': 'hao!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!111', '短评打分': 5}
{'短评内容': '完全达到五星的标准，服务业很好，房间很舒适，很整洁，\r\n遗憾的是房间有几只蚊子，最后服务生用驱蚊剂杀死了，\r\n还有就是没有出租车，酒店帮助叫车，但是来酒店的打表费由客人支付，\r\n希望解决', '短评打分': 5}
{'短评内容': '地理位置比较偏,设施服务很好,早餐一般', '短评打分': 3}
{'短评内容': '这家酒店住的还是蛮舒适的，服务卫生方面都能达到五星级的标准，设施方面也是相当不错，周边环境一般，位于工业区里，周边有公交，但是打车不是很方便。如果到周边办事住这家确实不错。性价比蛮高的。', '短评打分': 5}
{'短评内容': '感觉蛮好的酒店，房间里很干净，服务员态度热情周到，性价比不错，交通方便，下次还会入住。', '短评打分': 5}
{'短评内容': '我们之前入住的是盐城驿都金陵大酒店但是酒店满房了就入住了这家，这家酒店的硬件还是比较不错的，配置也很新，但是房间有刚刚装修的味道，位置如果不是自驾的话也不是很方便，整体来讲算是比较一般的酒店管理方面感觉都不如金陵好。', '短评打分': 5}
{'短评内容': '酒店里环境、各方面条件都不错，就是出行不便。', '短评打分': 5}
{'短评内容': '酒店淋浴水量较小，不像五星级。', '短评打分': 5}
{'短评内容': '硬件确实不错，环境很好，宾馆本身就是一个公园，晚上睡觉时听到蛙声一片，很有意境。可是宾馆比较偏僻，打车很不方便，宾馆的服务一般，请求礼宾部和前台帮助打车，都不很主动。', '短评打分': 3}
{'短评内容': '酒店服务卫生方面还是蛮不错的，设施也比较齐全，就是周边交通不是很方便，整体感觉性价比还可以。', '短评打分': 5}
{'短评内容': '硬件很好，可是位置很偏，打车很不方便，酒店前台以及礼宾人员不愿意帮助打车，另外，酒店并没有加入金陵饭店贵宾计划，下次还是选择驿都金陵饭店。', '短评打分': 1}
{'短评内容': '酒店太远,交通不方便.服务还是可以的.', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '设施都蛮新，服务很好，就是位置太偏．', '短评打分': 5}
{'短评内容': '價格還算合理。位置偏了些，但是有車還是很方便的。', '短评打分': 5}
{'短评内容': '酒店非常舒服，房间还有露台，环境很美就是远了一点。如果想好好休息清静一下是很好的地点。', '短评打分': 5}
{'短评内容': '酒店环境卫生很不错,设施很新也很齐全,位置有些偏交通不方便,自己开车还可以.', '短评打分': 3}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,服务人员也比较热情,但地理位置有点偏,不太好找.', '短评打分': 3}
{'短评内容': '好\r\n', '短评打分': 5}
{'短评内容': '在盐城应该是最好的酒店了~性价比非常高~~就是位置偏远一点。', '短评打分': 5}
{'短评内容': '这个酒店的条件我觉得还可以，环境也还算是不错的，十一期间的价格我们还能接受，位置嘛挺方便的。', '短评打分': 3}
