{'短评内容': '位置交通便利', '短评打分': 4}
{'短评内容': '连锁酒店还是不错的。值得推荐。具体什么样，大家也都晓得，也不用详细描述了。推荐！', '短评打分': 5}
{'短评内容': '酒店位置很好，离步行街跟机场都很近，出行也方便。房间虽小了点，但是非常干净，如家一贯的风格，入住就像进了家。', '短评打分': 5}
{'短评内容': '房间很干净,每个服务员都很热情的和客人打招呼', '短评打分': 3}
{'短评内容': '酒店很干净，比较喜欢“如家”的风格，有家的感觉。\n就是如家的房间基本都很小', '短评打分': 5}
{'短评内容': '位置好，交通便利，有餐厅，地铁施工目前噪音已不大，一贯如家的品质。建议有大件行李的不要住11楼，电梯不到。', '短评打分': 5}
{'短评内容': '房间的墙壁和铺盖的颜色设计的很舒服，很温馨，空调上还绑着柳条~', '短评打分': 5}
{'短评内容': '再一次入住，没的说，服务非常好的，下次果断还投靠', '短评打分': 5}
{'短评内容': '距离市中心很近                房间很小啊', '短评打分': 5}
{'短评内容': '酒店整体的位置还不错，从机场打车25分钟20元，到滇池40元，圆通山步行半个小时，金马坊步行20分钟。但是现在在修地铁，所以早高峰的时候打车有些困难，别的时间完全没有问题。再说说房间，干净，整齐，设备还算齐全，房间有有线网，免费，大堂有无线网，免费，大堂还有一台免费使用的能上网的计算机，不错。卫生间只有洗浴的用品，没有洗漱的用品，只有一次性拖鞋，没有可供洗澡用的拖鞋，没有吹风机。早餐只能说是吃饱，', '短评打分': 5}
{'短评内容': '如家很给力啊，呵呵，干净整洁。。。都不用说了', '短评打分': 5}
{'短评内容': '入住方便，有早餐。挺好的！', '短评打分': 3}
{'短评内容': '态度好，卫生好，地段好。可选择。', '短评打分': 3}
{'短评内容': '   住的不错，服务好，就是不管饭。', '短评打分': 3}
{'短评内容': '很好，每次去昆明都住这家酒店，隔音也不错。哈哈。', '短评打分': 5}
{'短评内容': '如果要在市区转转这家酒店是个不错的落脚点，地处北京路。房间干净整洁，但是晚上有广告从门下塞入让人感觉非常不好。', '短评打分': 5}
{'短评内容': '酒店位置还行，离南屏步行街较近，楼下正在修地铁，交通拥堵。房间比较小，酒店的餐厅建议大家别去了，没有煤气，上菜非常慢。', '短评打分': 5}
{'短评内容': '已入住，环境还可以住宿费怎么返', '短评打分': 3}
{'短评内容': '市中心的位置，一惯如家的作风干净简洁。服务好', '短评打分': 5}
{'短评内容': '价格有点点贵呢 不过有空调有电脑有热水挺好的 就是特地选的电脑房结果电脑声音不能外放让我有点点小失望 原本想来看电影的 希望能及时解决一下这个问题！', '短评打分': 5}
{'短评内容': '环境和地理位置都不错 但是就是这个地段太难打车拉 还有住在靠路这面的房间晚上会听到修地铁的声音', '短评打分': 3}
{'短评内容': '酒店位置不错,就是房间小了点，另外就是隔音差了点，总体来说还是不错的！', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 3}
{'短评内容': '和其它如家一样，没什么特别不一样的地方。', '短评打分': 5}
{'短评内容': '和其它如家一样，就是修路交通不好。', '短评打分': 3}
{'短评内容': '北京在修地铁，出门很不好打车，房间很小，也很吵。不过卫生条件还行。', '短评打分': 1}
{'短评内容': ' 很方便，谢谢', '短评打分': 3}
{'短评内容': '房间还很干净，就是热水一般。', '短评打分': 3}
{'短评内容': '地段很好 方便 房间可以 卫生条件可以 空间稍小 去的时候在搞粉刷 走廊味道很重...这个感觉不好\n另外前台的服务一般 比北沪广深等地的服务差太多了\n昆明人民太有福气了 所以才会比较牛气的吧\n总的来说 还是推荐入住的', '短评打分': 1}
{'短评内容': '就在金格百货旁边，交通挺方便，不过最近旁边工地太多。。。。', '短评打分': 3}
{'短评内容': '综合还不错、就是如果行李多了麻烦点。要上楼梯。而且门前在修地铁多少都有点噪音。房间的隔音效果没有那么好。', '短评打分': 5}
{'短评内容': '服务态度不错，但房间有点味道，通风也不太好', '短评打分': 1}
{'短评内容': '还可以  就是昆明在修地铁 道路不是太好    酒店的位置还不错', '短评打分': 5}
{'短评内容': '东风广场正在修地铁，所以酒店很吵，附近烟尘很大。', '短评打分': 1}
{'短评内容': '干净整洁，是如家的风格，就是在修地铁，有点灰', '短评打分': 5}
{'短评内容': '帮朋友订的酒店，这个价位的话，性价比还算过得去啦~ 不过据说被单、毛巾之类的显得比较旧，希望酒店能及时更换或者漂白消毒~', '短评打分': 5}
{'短评内容': '酒店位置不错,就是房间小了点', '短评打分': 3}
{'短评内容': '位置不错，走路到南屏步行街10分左右，还可以顺便去金马碧鸡坊，就是楼下修地铁有点不方便。', '短评打分': 5}
{'短评内容': '还不错了，如家一贯的风格，只是早上餐厅的早餐太对不起15元/位了，比锦江之星的早餐差太多', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '离要去的地方很近，酒店还行。比较好找。要是有早餐就更好了', '短评打分': 5}
{'短评内容': '整体不错，房间偏小！推荐入住，地理位置不错，非常方便！', '短评打分': 5}
{'短评内容': '酒店位置还行，设施也还可以，可以满足低工薪人群的住宿需要。', '短评打分': 1}
{'短评内容': '不错……', '短评打分': 3}
{'短评内容': '交通比较便利，但前面的北京路在修地铁，对出行会造成一定影响，房间隔音效果不好，别人的动静都听得到！觉得一般般！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置很好，离东风广场和南屏步行街很近。\n只是酒店有点小，房间一般，如家一贯的风格吧。', '短评打分': 5}
{'短评内容': '外面在修路，周围环境不是很好，但是这个位置也算是不错的性价比了。', '短评打分': 5}
{'短评内容': '房间没想象的那么大，但是很温馨，干净，服务态度很好', '短评打分': 3}
{'短评内容': '离步行街近，安静，干净，而且是我第一次住被子不是白色的酒店，不过200块的价格就不显得怎么经济了，早餐也只送一个。', '短评打分': 5}
{'短评内容': ' 总体感觉还不错，就是不知道为什么这次住的房间比较小…', '短评打分': 3}
{'短评内容': '酒店房子11楼是活动房改造的，像迷宫，不利于消防，180元的房子太小，差评啊', '短评打分': 3}
{'短评内容': '地理位转置方便。离我要去的公司很近。就是没有早餐，不是太好。', '短评打分': 5}
{'短评内容': '昆明如家快捷酒店正在修地铁，不方便。', '短评打分': 3}
{'短评内容': '我对如家印象还是比较好的，这家如家位置还好，就是在一个小巷子里。', '短评打分': 5}
{'短评内容': '地方是繁华，出行方便，修地铁有点吵。进门不好找，在二楼入口', '短评打分': 5}
{'短评内容': '如家还是服务好。。卫生还行。。就是修地铁不主便。。靠近市中心。。', '短评打分': 5}
{'短评内容': '位置还不错，就是房间有点小，而且最近门口在修路，交通不太方便。', '短评打分': 3}
{'短评内容': '房间小了点\n ', '短评打分': 5}
{'短评内容': '位置好，但是现在外面在修路，不是很方便。', '短评打分': 5}
{'短评内容': '与别的如家店差不多，各方面都挺好，唯感不足的是店门实际在二楼，拉着行李走台阶上二楼很不便，且上次我被安排住十一楼，电梯只能到十楼，到十一楼要走圆型楼梯，很窄，提着大件行李实在不便。', '短评打分': 1}
{'短评内容': '房间有点小，房间靠近楼道，晚上声音比较大，隔音效果不太理想', '短评打分': 5}
{'短评内容': '如家酒店住的不错,以后有机会还住这里.', '短评打分': 5}
{'短评内容': '上次已经住过一次了，这次是第二次入住。如家秉承了一贯的好服务，不错，推荐。', '短评打分': 3}
{'短评内容': '很不错的位置，不过去的时候在修地铁，交通还算是比较方便。房间第一次住的窗户关不紧，有点小冷。不过总体的性价比还是很高的。', '短评打分': 5}
{'短评内容': '临街一侧很吵，不过如家还是不错滴，如果有吹风机就更好了', '短评打分': 5}
{'短评内容': '不错很方便，也很干净', '短评打分': 5}
{'短评内容': '还可以，离市中心还挺近', '短评打分': 5}
{'短评内容': '总体很好，就是昆明的交通太恼火了，大半个城市都在修路', '短评打分': 5}
{'短评内容': '东风广场附近，位置非常好。不过因为在市中区也有点吵。', '短评打分': 5}
{'短评内容': '酒店位置很好,很方便.不过前台服务一般,比双龙那家如家服务差远了.', '短评打分': 5}
{'短评内容': '房间很干净，很温馨，让人有家的感觉，地理位置不错到商业街很近！', '短评打分': 5}
{'短评内容': '交通方便，服务周到，地处东风广场，出行等很方便。', '短评打分': 5}
{'短评内容': '很不错，我们到达的时候，已经快深夜了，但是酒店的服务还是很好！', '短评打分': 5}
{'短评内容': '前台服务态度不错，虽然动作稍慢。早餐不好吃，品种少，小孩子也要收费，不推荐。目前北京路修地铁，出租车不能直接到门口。', '短评打分': 5}
{'短评内容': '住在11层，好像是阁楼。大堂在2层，一层到二层需要提着行李上去，很不方便。电梯到10层，10层到11层还得走，哎！\r\n幸好其它都满意，下次要住10层以下。', '短评打分': 5}
{'短评内容': '到二楼才有电梯，对携带较重行李的客人不太方便', '短评打分': 5}
{'短评内容': '这家酒店 和价钱一点都不成正比  位置不好。设施差。。。门面也不好看。。。不是很舒服。。服务倒还是可以。。。如果价格下调点 还是可以。。', '短评打分': 1}
{'短评内容': '位置不错，就是在建轻轨，十分的不方便', '短评打分': 5}
{'短评内容': '位置挺好的离南屏街挺近的。我住的是特惠房窗户是靠走廊的人走来走去的时候有点吵，还有房间的隔音也不是很好隔壁洗澡的话声音很大。', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '很不错的酒店，床很舒服，但是酒店大堂太小了，几乎就是一个走廊，而且价格也不便宜。', '短评打分': 1}
{'短评内容': '该酒店位置处于昆明市商业区，出行与购物均比较便利！酒店的服务不错，前台接待很热情，还可提供免费行李寄存，值得推荐！', '短评打分': 5}
{'短评内容': '推荐时说是市中心,交通便利,但因修轻轨,北京路全封闭,出门不好打车,最可恶的是出租车司机不愿去,在很远的地方就让下车,只能走回酒店', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店位置真的不错，就是周围有些店铺很是吵闹，夜里的音乐都响到很晚', '短评打分': 5}
{'短评内容': '房间隔音确实不好，门框缝有点宽，外面的声音都能听到。', '短评打分': 3}
{'短评内容': '服务员收拾房间比较慢，中午回来还没有收拾好，头前晚上的送餐餐盘还仍然在房间。', '短评打分': 5}
{'短评内容': '特惠房隔音不行，没有窗子，好在晚上不吵~~~', '短评打分': 5}
{'短评内容': '就是房间太小了，其他的都还可以，位置很好，步行街很近！交通也很方便，去机场楼下可以有公交！总的来说还是可以的！', '短评打分': 5}
{'短评内容': '如家都一样 不错，交通、服务态度都很好 房间很温馨。缺点：我住的是149的房间隔音效果很不好。', '短评打分': 3}
{'短评内容': '位置交通很方便，卫生态度都很好，不过就是房间的隔音效果不好，走道里的声音等都能听到', '短评打分': 5}
{'短评内容': '如家一样', '短评打分': 5}
{'短评内容': '房间太小了，性价比不高。', '短评打分': 1}
{'短评内容': '还不错，不过推荐住169以上的房间，149的通风隔音都不好，临近电梯比较吵。', '短评打分': 3}
{'短评内容': '定的是149的特价房，隔音通风都不好，但价格就是这样也没办法。面积比想象的大一点，酒店位置也不错，到南屏街、金马碧鸡都能走到，分别是10分钟和25分钟的路程，但总体昆明1环内不大，所以都很近，建新园到处都有，酒店出门右转再人民东路上就有一家，再往前走就到沃尔玛了。那边还有一个如家，酒店总体不错。如果想住南屏那边，家乐福对面有一家7天。要说的是这个如家的餐厅还不错，可以试一试，主要是隔音太差了，尤其', '短评打分': 5}
{'短评内容': '我比较喜欢住这种类型的酒店,酒店环境挺温馨的,服务卫生也挺不错的,价格方面这样稍微偏高些了,可能跟城市有关吧.整体感觉还是不错的,值得推荐.', '短评打分': 3}
{'短评内容': '酒店的条件环境都还算是可以的，价格适中，如果到这个附近的话，我觉得还是可以考虑的。', '短评打分': 3}
{'短评内容': '还可以，值得', '短评打分': 5}
{'短评内容': '全国连锁，设备就不多说了，就是价格再便宜些就好了。', '短评打分': 3}
{'短评内容': '如家一致的风格，人性化服务做得好！', '短评打分': 5}
{'短评内容': '位于春城市中心，交通和地理位置很方便。楼下就是金格购物中心，离春城老字号米线店——建新园步行仅7分钟。服务亦很周到。只是，酒店大堂要爬2节台阶，有点不太方便，但可以当做锻炼身体吧。呵呵~~', '短评打分': 5}
{'短评内容': '简单、快捷', '短评打分': 5}
{'短评内容': '没有茶餐厅不方便', '短评打分': 5}
{'短评内容': '我很喜欢这家酒店,地理位置非常好,离市中心很近,出去玩都很方便,卫生服务方面做的也都不错,住着很舒适,是一家性价比比较高的酒店.', '短评打分': 3}
{'短评内容': '酒店总体来说硬件设施，环境和服务都还是不错的，但是毕竟是经济型酒店，多多少少都会有点不足，也能说是十全十美，不过也是比较不错的，性及比挺高的。', '短评打分': 3}
{'短评内容': '酒店是连锁酒店,性价比比较不错.卫生条件也不错,房间色彩比较好有温馨的感觉.不过卫生间稍有一些狭小,', '短评打分': 3}
{'短评内容': '很干净，住的很舒服', '短评打分': 5}
{'短评内容': '总体感觉还不错,卫生也比较干净,价格还挺优惠的,性价比还是比较高的.', '短评打分': 3}
{'短评内容': '从丽江赶来时凌晨到的，等了很久才有说房间可以开，特价房卫生很不错，淋浴也很不错，性价比可以', '短评打分': 5}
{'短评内容': '地理位置不错,,环境也还好了.', '短评打分': 5}
{'短评内容': '还可以，集成了如家酒店一网的风格，就是特价房空间太小，在里面由于没有外窗都没有时间概念了。总体感觉不错，特价房应该再便宜些。', '短评打分': 5}
{'短评内容': '当时安排了间,刚粉刷完的房间,有很重的味道,后来投诉了,就给换了间房,面积很小,而且是没电梯的房间.', '短评打分': 3}
{'短评内容': 'No lift to lobby on floor one! The room size is too small for the special rate room.The lobby is too small.  \nThe bath shower is very comfortable.', '短评打分': 1}
{'短评内容': '这家经济型的酒店没什么特色,就是地理位置还不错的,周边交通蛮方便的,价格方面也比较合适的.', '短评打分': 5}
{'短评内容': '酒店比较满意,卫生和设施比较好,房间不是很隔音,我住过所有的如家酒店都是隔音不好,跟经济型酒店相比如家还是不错的.', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的，设施条件不太好，有些陈旧了，周边环境还可以了，交通蛮方便的，整体感觉价格还是比较合适的。', '短评打分': 5}
{'短评内容': '酒店环境很好,位置就在市中心出行很方便,卫生很好服务也不错,设施很新比较齐全,很喜欢这家酒店.', '短评打分': 5}
{'短评内容': '卫生服务都比较一般，而且酒店也不太好找，找了很久才找，总体感觉不太好', '短评打分': 1}
{'短评内容': '酒店房间内的床上用品不太干净,应该更新一下,而且房间内彩光不太好,我们住的最里面的房间,酒店前台位置不太好,总体感觉还是不错的.', '短评打分': 5}
{'短评内容': '无论是去步行街、金马碧鸡坊、花市还是药材市场都不远。地理位置超好，价位低就不要有太多要求了，不过大堂在2楼，有大件重的行李的话拿上去很费劲，总之还算满意。', '短评打分': 5}
{'短评内容': '酒店还不错，干净整洁，服务也不错，就是设施有点旧', '短评打分': 5}
{'短评内容': '卫生方面还算不错的,设施条件也挺齐全的,价格也蛮合适的.', '短评打分': 5}
{'短评内容': '很干净的酒店,地理位置很好,距离步行街很近,步行10分钟左右就可以过去,环境卫生都很好,价格也很优惠.', '短评打分': 5}
{'短评内容': '酒店很干净,而且房间也很舒适,周围环境也挺不错的', '短评打分': 5}
{'短评内容': '酒店离市中心很近，交通饮食很方便。', '短评打分': 5}
{'短评内容': '基本条件可以,很简捷又不简单.', '短评打分': 5}
{'短评内容': '很好，下次还入住', '短评打分': 5}
{'短评内容': '不知道Elong之前和如家怎么沟通的，居然我到店的时候服务员没有查到我的预定记录。我给他看确认短信，他们说有可能是传真机的问题没有收到预定传真。好在当天还有一间我需要类型的空房刚打扫完。\r\n如家风格就不必说了，内窗房其实一点也不憋气，只是窗子朝楼道而已。好像一层只有一件内窗房，还很抢手，楼道里也比较安静，没赶上别人的大声喧哗。\r\n', '短评打分': 5}
{'短评内容': '酒店比较干净卫生，交通方便，位置就在市区', '短评打分': 5}
{'短评内容': '酒店的地理位置很方便，设施、服务都不错', '短评打分': 5}
{'短评内容': '酒店位于市中心价格也很便宜,环境设施也不错.', '短评打分': 5}
{'短评内容': '热水器坏的，都是凉水，服务态度也不好', '短评打分': 1}
