{'descr': '一般般的吧', 'star': 3}
{'descr': '具体地点在西四环郑常庄站。这段时间旁边的一栋正在盖楼，比较吵。走廊特别特别长。\n水不错。如果不在乎大床房太小的话，一个人还是可以住的。话说我一个人住都觉得有点挪不开地儿——如果椅子拉开的话就顶到床沿了，想坐进去还有点困难……胖子建议不要住！\n服务人员很有礼貌。上下电梯要刷卡这点比较麻烦。还有访客要登记也很麻烦，虽然安全，晚上走走廊的时候旁边安全通道竟然有人敲玻璃吓我一跳。\n最后，如果不是王菲演唱会', 'star': 1}
{'descr': '  很好', 'star': 3}
{'descr': '服务态度很好 唯一一个硬伤就是离五棵松地铁站还有点距离 公交4站 走的话估计要40分钟。但是整体还是不错的 值得推荐', 'star': 5}
{'descr': '还不错 就是房间有点潮。别的都还可以吧。卫生还好，枕头有点少。', 'star': 5}
{'descr': '条件不错', 'star': 5}
{'descr': '朋友住的，说大床房有没有窗的，第二天给换了，基本满意', 'star': 5}
{'descr': '酒店周围十分安静，服务员服务态度也十分好。房间很整洁。下次还会去的。', 'star': 3}
{'descr': '房间不错，可惜在一楼，有点儿吵。退房很快。', 'star': 3}
{'descr': '纱窗未清理 不干净   户外噪声影响室内休息  总体来说一般', 'star': 5}
{'descr': '这次的房间有点儿不好，在一层。其他的还好。浴室下水不太好。', 'star': 5}
{'descr': '感觉不错~~价格公道，下回有机会还会去。。。。。。', 'star': 5}
{'descr': '不是第一次住了 很满意 服务 舒适度什么的 都没的说', 'star': 5}
{'descr': '服务只有表面的热情。基本也没啥服务。设施差，太闹，也打不到车。', 'star': 1}
{'descr': '卫生不错 前台服务也很好 值得推荐！！！！', 'star': 3}
{'descr': '酒店不错 值得推荐 前台服务很好 卫生也不错', 'star': 3}
{'descr': '房间挺干净 整洁 就是空间有点小 整体不错  值得推荐', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '住的周日百元房。地方不难找，从四环上就能看见大大的汉庭Logo。只是名字叫五棵松店，离五棵松可有一段距离。前台服务不错，比之前住过的其他汉庭好，楼道里的保洁员见了人也会主动打招呼。\r\n电梯在按楼层之前需要刷一下房卡，这点不错，省得一帮发小广告的人混进来在门口扔小牌儿。\r\n大厅没有咖啡喝，我们还特地找了一下，因为在别的汉庭见过。\r\n晚上比较吵，挨着四环车过来过去的，晚上被吵醒好几次。', 'star': 3}
{'descr': '住的周日百元房。地方不难找，从四环上就能看见大大的汉庭Logo。只是名字叫五棵松店，离五棵松可有一段距离。前台服务不错，比之前住过的其他汉庭好，楼道里的保洁员见了人也会主动打招呼。\r\n电梯在按楼层之前需要刷一下房卡，这点不错，省得一帮发小广告的人混进来在门口扔小牌儿。\r\n大厅没有咖啡喝，我们还特地找了一下，因为在别的汉庭见过。\r\n晚上比较吵，挨着四环车过来过去的，晚上被吵醒好几次。', 'star': 5}
{'descr': '很好没什么好挑剔的', 'star': 5}
{'descr': '酒店很不错哦！', 'star': 3}
{'descr': '酒店条件非常不错，就是电视有点小，床单有点脏，服务人员动作慢', 'star': 5}
{'descr': '汉庭总体来说都不错，就是这个店的地方有点难找，说是五棵松店，以为是在五棵松附近，结果从五棵松又走了很久才找到', 'star': 5}
{'descr': '就地点来说还是比较好找的，其他没什么，就是停车位紧张了点。', 'star': 5}
{'descr': '从五棵松地铁到酒店刚好3公里，交通比较方便，但是位置略偏，周边餐饮的选择性较少；\r\n住的是豪华大床房，房间简单干净，性价比还是比较高的，但住宿当天刚好赶上隔壁房间的夫妻吵架还打架，隔音效果差，以至于震撼程度完全影响休息。', 'star': 5}
{'descr': '本以为紧挨五棵松地铁站，所以对酒店的位置有点失落。但是酒店的环境和服务以及价位还是很令人满意的~', 'star': 5}
{'descr': '因为是在寸土寸金的首都啊，综合评价还是推荐。', 'star': 5}
{'descr': '前台接待十分和蔼，服务十分到位。位置也很好，很安静，很舒适。个人感觉性价比比较高。推荐朋友们来这家店。周围酒店不少，但感觉比周围的其他酒店性价比高。', 'star': 5}
{'descr': '服务还好', 'star': 3}
{'descr': '还行吧', 'star': 1}
{'descr': '第一次住在那边，感觉还好', 'star': 5}
{'descr': '很不错，父母很满意！', 'star': 5}
{'descr': '周末百元房很值，不错，推荐', 'star': 5}
{'descr': '交通很方便就在路边很醒目的位置，还有免费停车服务。综合起来算是性价比很高的酒店了，下次还会再住的。', 'star': 5}
{'descr': '感觉很好，环境不错，设施完备，唯一的不足就是地点标注不明，距离五棵松站太远了。', 'star': 5}
{'descr': '还可以吧， 但是性价比不高', 'star': 1}
{'descr': '环境不错，房间设计比较合理，特别是洗手间配备的吹风进很人性化！总体感觉非常满意！', 'star': 5}
{'descr': '物有所值', 'star': 5}
{'descr': '房间虽然不大，但是入住后感觉非常舒服，卫生、服务都比较满意，性价比不错！值得入住！！！', 'star': 5}
{'descr': '总体还可以，适合到北京出差入住。', 'star': 5}
{'descr': '不错就是交通不是很方便', 'star': 5}
{'descr': '酒店整体来说还是不错...特别是有个保安师傅人特别的好。位置虽说离五棵松远了点，但交通也还算方便。\r\n唯一令我非常不满的是前台服务员的态度，一些小事我就不详说了，因为基本都给我解决了，但是最后结账的时候，那个姓朱的女服务员态度只能用恶劣来形容。我和我朋友在楼下吃早饭有时是登记在房费上，有时直接给的现金，说实话我当时也搞不清最后应结算多少钱，后来我朋友说数目不对，我就询问服务员，她的脸色就变得特别难', 'star': 1}
{'descr': '整体的设施环境很一般，没什么特色', 'star': 3}
{'descr': '酒店的服务还算可以，环境一般，设施条件有点简单，位置倒是还行，挺方便的。', 'star': 3}
{'descr': '抚慰态度非常好 但距离五棵松篮球馆也挺远的 ', 'star': 5}
{'descr': '服务还不错，位置也还好，出行很方便，价格呢比较适中 ', 'star': 3}
{'descr': '服务快捷周到，设施适用，位置不错；暖气不太热，空调不太好用。谢谢！', 'star': 5}
{'descr': '很干净 很舒适', 'star': 5}
{'descr': '性价比高，比较舒适', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '除了床有点硬，还有就是边上在拆房也不知道啥的，有点吵，临着马路的是双层玻璃外，老婆说被子有点重，其他也找不到啥缺点了。\r\n\r\n服务员很好，态度都不错，值得一住的哦。', 'star': 3}
{'descr': '除了床有点硬，还有就是边上在拆房也不知道啥的，有点吵，临着马路的是双层玻璃外，老婆说被子有点重，其他也找不到啥缺点了。\r\n\r\n服务员很好，态度都不错，值得一住的哦。', 'star': 5}
{'descr': '位置还不错，这边出行是很方便的，房间的卫生和设施也挺好，服务我也很满意，我觉得这家酒店性价比比较高的 值得推荐', 'star': 3}
{'descr': '这是我最喜欢住的快捷酒店了，房间大，干净，服务员也很热情。特别是，早餐不错！', 'star': 5}
{'descr': '不错，虽然路途有点远，交通不方便，但便宜', 'star': 3}
{'descr': '楼层的房间居然有80多间，很大。而电梯在一侧，从电梯走到顶头的房间很多路。靠近顶头的房间可能是钟点房比较密集，经常听到有女子喊叫的声音，扰人。', 'star': 1}
{'descr': '对于出行来说 还是比较方便 很不错', 'star': 5}
{'descr': '前台服务响应速度再快点就好了。', 'star': 5}
{'descr': '  总体都还不错，设施房间都比较新颖，环境很好，车位少了一些但外面也是免费停车。只不过房间内有好多很小的小飞虫老围着灯转！', 'star': 5}
{'descr': '不错的酒店 ', 'star': 5}
{'descr': '酒店房间网络上网比较不方便,其他的总体感觉还都很满意.', 'star': 3}
{'descr': '这家酒店的住宿条件还可以了，房间里弄的挺干净的，设施方面也比较齐全的，就是位置不太好，离公交地铁还得走挺长的路呢，价格方面还是比较合适的。', 'star': 5}
{'descr': '酒店服务态度不错，环境也挺好的地理位置也很好，交通很方便', 'star': 5}
{'descr': '酒店的价格比较便宜，服务环境也不错，地理位置也挺好的，交通很方便', 'star': 5}
{'descr': '总体来说还是不错的，挺干净，也很安静，住着比较舒服', 'star': 5}
{'descr': '酒店的环境硬件设施都很不错位置出行交通也很方便，在地铁1号线附近，服务卫生都很达标，价格觉得有些偏高，其它都还好。', 'star': 5}
{'descr': '房间的隔音效果不是很好,其他方面还是不错的；很干净舒适；价格也很合理；性价比还是较高的；值得推荐一下；', 'star': 5}
{'descr': '酒店环境不错，不过开始去以为离地铁很近，但是去了以后才知道从酒店到那要3站', 'star': 5}
{'descr': '算是一家性价比不错的酒店', 'star': 5}
{'descr': '因为我要在解放军302医院办事,所以住在此酒店。因为此酒店是国内著名较大型的连锁酒店所以才选择的。真是名副其实，感觉不错，下次还住此酒店。', 'star': 5}
{'descr': '住着很舒服!!每次去都住那里!!', 'star': 5}
{'descr': '店内环境很好，服务很热情，住的很舒服，地理位置不太好，早餐质量一般。', 'star': 5}
{'descr': '洗浴的热水不是很好,其他方面还可以,价格也挺实惠,服务也很热情', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
