{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '酒店地理位置非常好,性价比也不错,很舒适干净整洁,服务也不错,值得推荐的酒店.\n', '短评打分': 5}
{'短评内容': '酒店面积很大，设计较合理。早餐丰富，但服务员面无表情。', '短评打分': 5}
{'短评内容': '一家挺新的酒店，设施和服务都还不错，可以一住。\n', '短评打分': 5}
{'短评内容': '一家挺新的酒店，设施和服务都还不错，可以一住。\n', '短评打分': 5}
{'短评内容': '客房服务很好', '短评打分': 3}
{'短评内容': '价格有点贵,硬件条件很好，前台服务也很不错,是市中心很好的5星级酒店.', '短评打分': 5}
{'短评内容': '交通方便，服务周到，下次还会入住的！！！', '短评打分': 5}
{'短评内容': '环境、服务、条件都很不错，环境、服务、条件都很不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，服务人员很热情', '短评打分': 3}
{'短评内容': '很好的酒店，各方面都好，下次还住。就是价格稍贵。', '短评打分': 5}
{'短评内容': '＋服務不錯，房間整潔。', '短评打分': 5}
{'短评内容': '价格稍贵一些，位置难找，服务很好，浴室的玻璃很奇怪', '短评打分': 5}
{'短评内容': '很好的酒店，很好的服务，有机会还会入住本酒店', '短评打分': 3}
{'短评内容': '环境硬件都不错', '短评打分': 3}
{'短评内容': '服务很好也很人性化', '短评打分': 5}
{'短评内容': '很好的酒店，周到的服务，下回还会继续 选择', '短评打分': 5}
{'短评内容': '服务员说话很生硬，其他都一般', '短评打分': 1}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '性价比非常好，而且服务人员也很周到细心.整体水平挺好的.', '短评打分': 5}
{'短评内容': '整体感觉很好,前台接待,装修,设备设施,都好.但两个问题:一是游泳池在室外,天气不好时无法锻炼;二是服务有点问题,已经为我开了床后,一会儿又重复叩门通知要开床', '短评打分': 5}
{'短评内容': '整体环境都可以 房间面积稍微小了点，不过洗手间的面积还可以。床感觉有些高了，整体感觉性价比还可以。', '短评打分': 5}
{'短评内容': '我住的房间很干净， 前台服务一般， 床不够软， 其它都很好。 还是推荐的。', '短评打分': 5}
{'短评内容': '该说的前面的驻客都说了。确实很不错。只是室外的游泳池使酒店略显逊色。', '短评打分': 5}
{'短评内容': '经常来深圳出差,第一次入住了位于深圳中心区的JW 万豪酒店. 入住后的感受超过了我原来的期望. 原本订了酒店的豪华客房,到前台时酒店因为暂时没有豪华房而帮我升级到了至尊豪华房.房间大概50多平米,有两面的窗户,一面朝着深圳高尔夫球场,一面朝着香蜜湖,视野很开阔.到了晚上的时候一边欣赏深南大道的夜景,一边听这酒店里提供的IPHONE播放器的音乐,让我这次出差感到非常放松.酒店的床比一般的床高, 睡上', '短评打分': 5}
{'短评内容': '深圳JW万豪酒店作为一个标准高端商务酒店，让我倍感顶级酒店的效率和与时俱进的高端电子产品所带给客人的便利。房间是全自动设定的，窗帘可以用按钮自动开合。值得一提的是酒店可以顺利联接任何网站，不受限制，这是其它五星级酒店所做不到的。', '短评打分': 5}
{'短评内容': '深圳万豪酒店的入住过程让我一直充满惊喜。 \n酒店的地理位置非常好，离地铁口就5分钟的路程。深圳的主要景点，都在地铁沿线，而且，深圳的地铁很便宜，全程也才五块，大大减少了我们出行的烦恼。 \n再表扬一下床品，太舒服了，游玩回来，躺在柔软高大的床上，很放松,还可以煮一杯新鲜的咖啡,免费的哦!两台电视在客厅和洗手间里,无论是股票还是好看的电影,我都不想漏过一秒钟.\n真的不错,下次还要来住.', '短评打分': 5}
{'短评内容': '非常值得再次光临的国际水准的酒店。大多数服务生是实习生，却有着极高的服务水平。早餐不错。刚入住时有些味道，叫服务生开窗后好了许多。推荐！\r\n', '短评打分': 5}
{'短评内容': '从前台到餐厅，有一大批武汉旅游学校的实习生，服务格外温馨周到。偶尔遇上前台的老员工，略显生硬。春节期间价格优惠，非常值得推荐。遗憾的事，泳池是户外的，天冷不能享用。', '短评打分': 5}
