{'短评内容': '早餐一般吃的', '短评打分': 3}
{'短评内容': '原来滨州的汽车站已经不在这附近，而是离这里差不多有十多公里路~~小背篓餐厅的菜还是不错滴，以菌为主打。可惜早餐太不丰盛了~~房间不大，可能是因为设计吧，使得空间感增强\r\n房间的抽水马桶有点问题~', '短评打分': 5}
{'短评内容': '房间宽敞舒适配置全，环境很好的一家酒店。', '短评打分': 5}
{'短评内容': '设施齐全，位置很不错。配置标准也比较高。', '短评打分': 5}
{'短评内容': '我常去滨州那边出差觉得这家酒店很不错，有星级酒店的标准。', '短评打分': 5}
{'短评内容': '挺舒适的，网速挺快，性价比高', '短评打分': 5}
{'短评内容': '总体感觉还是不错的，就是房间的隔音效果不是很好，因为我住的靠近电梯，外面人说话的声音听的很清楚。', '短评打分': 5}
{'短评内容': '酒店的设施很是齐备，我比较喜欢安静，这就不错~房间的隔音效果很好', '短评打分': 5}
{'短评内容': '地理位置很好，在主要街道上，离商业街也不远。', '短评打分': 5}
{'短评内容': '在这种二级城市也就只能找出这么个干净点的宾馆，别论档次，住住还是可以的。', '短评打分': 5}
{'短评内容': '位置还是不错的,出行都很方便,但就是房间的硬件设施太陈旧,感觉不太舒适,下次不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店位置还属于市区中心,但设施和价格不够匹配.', '短评打分': 1}
