{'短评内容': '床户不能开，是全部封住的。', '短评打分': 5}
{'短评内容': '酒店的性价比很高，离东莞市中心要40分钟左右。\n离厚街镇中心只需10分钟。总体来说', '短评打分': 5}
{'短评内容': '五星级的酒店，五星级的设施+服务，确实不错，值得推荐 ', '短评打分': 5}
{'短评内容': '感觉大厅很气派，整体环境不错，价格实在，会客很给力，下次还会光顾！', '短评打分': 3}
{'短评内容': 'Very Grand hotel, but the room is quite small, anyway its nice.', '短评打分': 5}
{'短评内容': '490元入住性价比较高，听朋友说原来要7、8百的，离展馆很近，是参展者的最佳选择。', '短评打分': 5}
{'短评内容': '住的是酒店的老楼，价格不便宜，不过房间还不错，只是电视机很老，也比较小，早餐也比较一般，但是在厚街那种地方，五星酒店这个价格还算不错的了。', '短评打分': 5}
{'短评内容': '条件很好，价格不便宜。', '短评打分': 3}
{'短评内容': '环境好，服务好，位置好，早餐好，价格廉，下次还要住这里', '短评打分': 5}
{'短评内容': '酒店位置很好  性价比很高  下次还会来入住', '短评打分': 5}
{'短评内容': '酒店性价比不错,只是位置差了一点儿, 不太方便.但是方便的地方五星级就比这家贵很多了.自己比较吧', '短评打分': 5}
{'短评内容': 'B座的位置从前台走过去有点远，A座和主楼好点。', '短评打分': 5}
{'短评内容': '酒店服务很不错，我们定的房间由于房间不够，就免费升级了。', '短评打分': 5}
{'短评内容': '在东莞属于性价比方面较高的酒店，下次应该还是会入住。', '短评打分': 5}
{'短评内容': '早餐还是很不错的。有中式也有西式的，很丰盛。', '短评打分': 5}
{'短评内容': '总体尚可，但是A楼的房间隔音效果有问题，隔壁房间讲电话的声音清晰可辨。', '短评打分': 5}
{'短评内容': '位置偏离中心区打车不便酒店环境一流房间不错附近饮食不便', '短评打分': 3}
{'短评内容': '超棒的酒店现在入住很实惠！床超大超舒服 。卫生间也很大', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '还不错的酒店，硬件设施很OK，不过服务上，尤其是门童，专业度和态度还很有待改进。其他工作人员都很热情。性价比也很不错，值得再次入住。', '短评打分': 5}
{'短评内容': '老的五星级酒店，设施还不错，服务也可以，值得推荐', '短评打分': 5}
{'短评内容': '总体不错在厚街性价比铰高。', '短评打分': 3}
{'短评内容': ' 还好', '短评打分': 3}
{'短评内容': '今天又住了一次，还是老样子，以后再来的时候住到主楼也许会好一些吧\r\n', '短评打分': 3}
{'短评内容': '因为住的不是主楼所以房间有点陈旧，不过值得一提的是正规的足疗做的很是不错！', '短评打分': 3}
{'短评内容': '因为住的不是主楼所以房间有点陈旧，不过值得一提的是正规的足疗做的很是不错！', '短评打分': 5}
{'短评内容': '位置非常好，酒店的餐食也非常好，就是价格高了不少。值得推荐。\r\n', '短评打分': 3}
{'短评内容': '这是一家不错的酒店，但是老楼的房间设施有点旧，比主楼差很多。', '短评打分': 5}
{'短评内容': '豪装，房间大，设施豪华，不错，不过价格也不错', '短评打分': 5}
{'短评内容': '我自己没住过，按说没资格点评，但这么多年都给加拿大客商订这个酒店，我们这客户是比较挑剔的人，让他住着很满意，看来这家酒店还是有它独特的地方。', '短评打分': 3}
{'短评内容': '總體來講還不錯，隻是周邊可逛的地方比較少，幸好去市區也不太遠。', '短评打分': 3}
{'短评内容': '说实在的,很满意,性价比好，在上海住这样的标准至少价钱要番倍.我们的外国朋友对这家酒店赞不绝口.', '短评打分': 3}
{'短评内容': '相当好的酒店，就是登记后去房间要走太长时间。下次来还要住', '短评打分': 5}
{'短评内容': '工作人員的服務態度很好，\r\n大廳衛生很不錯。\r\n但離店的時候才發現電視櫃頂有好多塵。\r\n朋友說還不錯。', '短评打分': 5}
{'短评内容': '该酒店很好', '短评打分': 5}
{'短评内容': '还算可以，而且离工厂又很近。客人感觉都好。价格也便宜。', '短评打分': 5}
{'短评内容': '酒店装饰的很大气,但附近没有什么好玩的,只能呆在房间', '短评打分': 5}
{'短评内容': '不错的,喜欢住这里.就是周边在修理轻轨,路都堵车着,希望快点修好道路通畅些!', '短评打分': 5}
{'短评内容': '还不错，只是搞卫生的有点马虎', '短评打分': 5}
{'短评内容': '典型的中国暴发户酒店，富丽堂皇，但是装修经不起细看。床很舒服。但是其他设施弄得过于shining了 \r\n', '短评打分': 5}
{'短评内容': '早餐不错,就是缺了点变化,多住几天的话,会有点闷.其他印象不深,因为都是交易会期间,晚上回来休息.逗留在酒店的时间其实不算多.', '短评打分': 5}
{'短评内容': '都不错。就是展会期间收费偏高。', '短评打分': 5}
{'短评内容': '服务非常不错，值得住', '短评打分': 5}
{'短评内容': '酒店的服务人员很仔细，一个很重要的文件走的时候丢在房间垃圾堆，一个月后打电话过去酒店人员竟然还帮我保管着，还帮我寄了过来，实在很感谢！！！下次去一定还会再住，推荐大家入住，位置也很好，就在会展中心正对面', '短评打分': 3}
{'短评内容': '酒店的房间和设施都很不错，卫生也很好，位置也可以，每年参加展会都会住在这里，很方便。', '短评打分': 5}
{'短评内容': 'everything is perfect except price and the slow check-in time..........', '短评打分': 5}
{'短评内容': '酒店的门口公交很少，价格有点高，不过设施条件和服务都很不错，挺满意的。', '短评打分': 3}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '去参加展会的，住那里就非常不错，对面就是展厅，很方便', '短评打分': 5}
{'短评内容': '绝对气派的大堂,但经不起细看.做工粗略.', '短评打分': 5}
{'短评内容': '酒店的各方面都可以 ，五星的酒店，价格还是很优惠的，就是 位置有点偏', '短评打分': 5}
{'短评内容': '这家酒店挺不错的，服务很细致也比较人性化，房间比较干净，上次去的时候正好是展会的时候，价格有点高', '短评打分': 5}
{'短评内容': '西餐厅太丢人了\r\n其他还好', '短评打分': 5}
{'短评内容': '推荐入住', '短评打分': 5}
{'短评内容': '酒店整体感觉都还不错,没有发现什么问题', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '总体感觉还好，如果不是商务中心的服务不好，我想给打高分。&lt;br /&gt;\n&lt;br /&gt;\n离开酒店后发生一件事让我不太满意的事情，商务中心的服务不好，我有东西忘记在酒店，我要求酒店给我快递，我自己付钱。酒店商务中心同意了，我特意嘱咐不要用中国邮政的EMS，因为他们服务不好，要用我指定的快递公司。可是酒店商务中心小姐很强硬的说：我们和他们签了合同，我们只可以用他们！我说：“我自己付', '短评打分': 3}
{'短评内容': '这次住了新楼精英房，觉得房间好大好漂亮，非常舒服，听服务员说床是特别订做的，躺上去感觉果然不一样，还有一个空中花园，上面有个很大的游泳池，过些天就可以去游泳了，真好', '短评打分': 5}
{'短评内容': '廣交會期間入住,價格是貴很多,前台的服務不好,一直無法確認訂房狀況,我從台灣打電話3次還搞不定,透過e-long才訂到房.&lt;br /&gt;\n&lt;br /&gt;\n床的舒適度100分,睡眠品質很好,但A/B樓距過遠,酒店離市區較遠,是必須忍受的不方便處.', '短评打分': 3}
{'短评内容': '这次住的商务房，房间很大，客房设施很齐备，还配有桑拿蒸气，很适合我这样一住10天以上的项目客人，价格还好，算合理。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;总体评价一流：广东现代国际展览中心就在马路对面，参展很方便。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;中餐厅的早茶味道不错，而且物美价廉。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '总体评价一流：广东现代国际展览中心就在马路对面，参展很方便。中餐厅的早茶味道不错，而且物美价廉。', '短评打分': 5}
{'短评内容': '这里的服务特别值得一提！凌晨3点多我太太突然觉得头晕不舒服，联系他们的值班经理Simon，马上就带着店医上了房间，经初步诊断是急性肠炎，不到10分钟就送到了医院。住了4天，感觉服务真的很好，很专业，交通也很方便，到深圳机场只用了40分钟不到。', '短评打分': 5}
{'短评内容': '赞！真是不错的酒店，服务员和蔼亲切，床位宽大舒适，房内还有电脑可以直接免费上网，省了我好多事，我在意大利都很少见如此精品的酒店，值得推荐。朋友介绍过来的，来之前还担心服务和设备设施跟不上香港的酒店。住了两天，感觉是物超所值，房价也很抵。', '短评打分': 5}
