{'短评内容': '还行，就是餐厅菜品质量不行', '短评打分': 5}
{'短评内容': '普普通通的酒店，离口岸不远，但是车不太好打，退房那天还扛着行李走下坡到路边才打到。房间好小，也就图个性价比了。', '短评打分': 5}
{'短评内容': '一个很上档次的饭店。如果去得话，还住。房间干净，宽敞。\n', '短评打分': 5}
{'短评内容': '不错。值得住。硬件好，早餐也不错。出租车有时不好找，但门童很热情。', '短评打分': 5}
{'短评内容': '珠海骏德会酒店内的设施是算以前比较早的星级标准，现在来说 是有些旧了！ 送的洗头服务还可以！但是早餐实在非常非常一般！', '短评打分': 5}
{'短评内容': '非常不错的酒店，环境，态度都很好，就是游泳池没开', '短评打分': 5}
{'短评内容': 'NND，今天被前台那个美女给忽悠了，说商务间价格比豪华单间价格贵，里面跟好，我就商务间，里面没有浴池，豪华单间有浴池，价格比豪华单间贵20元，其他的就跟豪华单间完全一样。看来以后还是继续住豪华单间了。', '短评打分': 5}
{'短评内容': 'NND,居然涨价了，年前比现在要便宜20钱呢。', '短评打分': 5}
{'短评内容': '同样的房间，周末涨了60元。总体酒店还可以', '短评打分': 5}
{'短评内容': '比较干净，有免费洗头，不错啊。。。。，推荐', '短评打分': 5}
{'短评内容': '总体感觉还可以，有免费的洗发券，就是附近吃饭不是很方便。', '短评打分': 5}
{'短评内容': '酒店房间中规中矩管理的不错，房间很干净，位置也不错。\n就是餐厅一般。', '短评打分': 5}
{'短评内容': '非常好 不过很难找到 早餐一般 菜有点不新鲜\n', '短评打分': 5}
{'短评内容': '房间不错，和宽敞。我和朋友每次去珠海都住这个酒店', '短评打分': 5}
{'短评内容': '不错，不错，性价比很高，周围也很方便，值得一住。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间很大很干净，硬件好，服务员态度服务都很好，周边吃饭及交通也方便。有个7超市在酒店门口很方便哦！还有水果也都很方便买到！但是打车一定记得讲价啊！推荐', '短评打分': 5}
{'短评内容': '总的感觉不错，房间打扫得很干净，还给了附近spa的免费洗头卷，挺好的很值得入住的宾馆。', '短评打分': 3}
{'短评内容': '靠近口岸，酒店位于小区内，环境还是不错的，值得入住。', '短评打分': 5}
{'短评内容': '老酒店房间内的设施虽然不很现代，但很干净，很舒适的感觉，很喜欢。\r\n不过唯一不足的地方是餐厅，午餐餐牌种类很少。', '短评打分': 5}
{'短评内容': '性价比还算好,早餐稍差,环境比较安静,下次还会考虑入住.', '短评打分': 5}
{'短评内容': '酒店很安静有种远离城市的喧哗，酒店的餐饮也很好味道很不错。', '短评打分': 5}
{'短评内容': '对酒店的印象非常好，这家店提供了非常优质细腻的服务，细节做的很到位很好。', '短评打分': 5}
{'短评内容': '酒店位置位于山脚下，环境优美，空气清新。', '短评打分': 5}
{'短评内容': '酒店的配置设施不是很新了，有些配置稍显陈旧。但是卫生做的很彻底，房间还是很干净的。', '短评打分': 5}
{'短评内容': '在珠海算是老字号的酒店了，位置非常好，服务也很专业。', '短评打分': 5}
{'短评内容': '设施齐全，服务周到，性价比高', '短评打分': 5}
{'短评内容': '酒店地段不错，环境很好，非常安静，房间干净整洁，出行方便', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 5}
{'短评内容': '走路去澳门边境大概15分钟，很方便，山脚下的酒店，环境好，安静，自己开车过去也很便利', '短评打分': 5}
{'短评内容': '房间配套设施齐全，服务员主动帮我们叫车，自助餐好，适合我胃口', '短评打分': 5}
{'短评内容': '一家很舒服的酒店，适合家人一起度假入住。位置稍微偏远了一点，如果早餐服务能完善一点，就非常好了！', '短评打分': 5}
