{'descr': '还不错哦还不错哦', 'star': 5}
{'descr': '很不错 住的特价大床房 以为没有窗 很幸运住到了有窗的房间 这个价格在上海真的真的很便宜 而且交通挺方便的 门口就是公交车站 到地铁也就5分钟走路左右 不错', 'star': 5}
{'descr': '酒店环境还可以！卫生一般！墙壁的隔音不是很好！', 'star': 5}
{'descr': '房间有股烟味，墙外就有一个在建工地，噼噼啪啪的响个不停关着窗户都能听到外面的声音，很难入眠', 'star': 1}
{'descr': '其他都还好吧，就两点问题：1、窗外就是施工工地，真的太吵了；2、网络每十分钟就掉一线，服务员上来解释说交换机出了故障，当天没有修好...；3、从门缝塞进来的小卡片的问题，酒店应该重视下。', 'star': 1}
{'descr': ' 干净舒适 设施齐备 很方便 唯一欠缺的是环境有点吵', 'star': 3}
{'descr': '总体感觉还行，卫生、环境、服务质量属于这个档次。', 'star': 5}
{'descr': '酒店不错，交通很方便，也挺干净', 'star': 3}
{'descr': '房間有一股怪味,大概是厠所發出的,給人感覺就不是很乾淨.', 'star': 1}
{'descr': '方便就是一切', 'star': 3}
{'descr': '还不错吧，比较实惠。就是无窗，就是为什么要我写20个字啊，麻烦。', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '旁边就是工地，早晨工地的施工声音把我吵醒就再也睡不着了，很烦躁', 'star': 1}
{'descr': '房间隔音太差，总是有不良卡片塞进门缝，早上窗外很吵，被吵醒就睡不着了', 'star': 1}
{'descr': ' 洒店服务好房间舒适清洁', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': '不错房间挺开净', 'star': 3}
{'descr': '性价比不错，总体来说比较干净舒适，虽然房间比较小，但是这个价位在上海的确不贵，而且离五角场商业圈近，吃饭购物都方便。', 'star': 3}
{'descr': '卫生环境很不好，墙上有点脏，也许是特价房就这待遇？', 'star': 3}
{'descr': '设施不错，环境也不错', 'star': 3}
{'descr': '非常不错  环境好 服务态度也可以 就是价格再便宜一点就好了！！', 'star': 5}
{'descr': '没有原来说好的房间了，到了之后让你往别的高的房间去住', 'star': 1}
{'descr': '居然无窗~也没标注下~前台某人服务态度很差~~~走到地铁站也要十分多钟~~~坐公车还算方便~客房服务更换用品时间比较适宜', 'star': 1}
{'descr': '价格还比较划算，但是环境一般，房间比较小，还算是干净。', 'star': 5}
{'descr': '很好。', 'star': 3}
{'descr': '价格很实惠 房间也挺好 住的特价大床房 虽然没有窗但是很安静 唯一恼火的就是老是有人从门缝里丢广告卡片', 'star': 5}
{'descr': '一般般，但离我办事的地方特别的近，所以就选择了！', 'star': 5}
{'descr': ' 还不错 ', 'star': 3}
{'descr': '酒店太靠近高架桥，噪音比较明显，房间布局太紧促，卫生间占整个房间的1/3，床大，所以可以活动的空间就很小。', 'star': 1}
{'descr': '128元的会员价确实挺超值的，客房也挺干净的，只是前台工作人员不是很热情', 'star': 5}
{'descr': '还不错，服务态度很好，房间条件也不错，以后还可以作为选择。', 'star': 5}
{'descr': '还行，空调噪音较大。', 'star': 3}
{'descr': '酒店离高架比较近，有些房间比较吵。前后换了5间房间，才找到个比较满意的，不过服务员的态度不是一般的好，这个赞;另外，我在办入住手续的时候，好像是有位酒店的阿姨打扫房间，发现客人留下的手机，就交到了前台，这个赞；不赞的是，晚上有人发名片大小的小广告，内容我就不说了，你们懂的，设想一下，坐在房间好好的，门突然一响，很烦，一晚上几次塞小广告的；交通呢，门口就是车站，但是不管是三号线大柏树站还是江滩镇站都', 'star': 5}
{'descr': '可以可以可以可以可以可以可以可以可以可以可以可以', 'star': 5}
{'descr': '格林豪泰上海大柏树店前台服务一般客小', 'star': 3}
{'descr': '还可以…卫生有待改进', 'star': 3}
{'descr': '其实都还可以，唯一的缺点就是附近太没人气，想吃个东西也要走很远。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '位置有点偏，房间还是蛮温馨的，早餐太差了。有待改进！', 'star': 1}
{'descr': '价格比较实惠，服务水平实在有限，比起其他连锁酒店，还有很大的差距。\n卫生间的下水道反味，离高架路太近，只有一层玻璃窗，对于睡觉轻的人来说还是有些吵。\n我订的豪华大床房，但是面积都给了卫生间，房间很小，很挤；网速超慢，baidu个路线图，都显示不全；离大柏树站还是有些远的，走路得15分钟到20分钟。早饭15一位，也没啥。早上出门，到下午4点回到房间时，卫生还一点没打扫。\n购物离五角场近，打车起步价就', 'star': 1}
{'descr': ':交通便利、干净卫生、', 'star': 3}
{'descr': '很好 很满意 很强大很好 很满意 很强大很好 很满意 很强大很好 很满意 很强大很好 很满意 很强大', 'star': 5}
{'descr': '环境还可以。就是房间太小了。交通也很可以。距离我总公司很近', 'star': 5}
{'descr': '这个酒店非常优秀，特别安全，上电梯必须要刷房卡才可以，值得推荐。房间干净，离地铁3号线大柏树站比较近，出行方便。', 'star': 5}
{'descr': '费尽周折才订到的~没让我失望 干净 舒适 性价比高', 'star': 5}
{'descr': '前台服务人员态度不错，我住单人间房间也挺好。总的来说一个人住经济实惠舒适吧。', 'star': 5}
{'descr': '\u3000房间设施还可以，交通很好，离地铁近。房间稍小。', 'star': 3}
{'descr': '酒店离高架近，太吵了，', 'star': 5}
{'descr': '房间太小，没纸巾，但是服务不错。没咖啡吧，住客来客人接待不方便，建议设一个小咖啡吧。', 'star': 5}
{'descr': '酒店条件很好！交通也还可以。就是服务有点小问题。我提前预订的，到入住的时候对我说没房间了。最后还是给我解决了。只是心情不大开心。', 'star': 3}
{'descr': '服务一般般，酒店环境觉得不是很好。总之比想象中差很多。', 'star': 3}
{'descr': '床很大很舒服，卫生也很好，前台很有礼貌！', 'star': 3}
{'descr': '还可以就是临近马路有点吵', 'star': 5}
{'descr': '窗口对高架桥，真的太吵了！服务员态度很冷淡！环境还可以接受！', 'star': 1}
{'descr': '酒店位置离轨道交通很近，出行很方便，附近也容易找。附近吃东西也方便，便宜。', 'star': 5}
{'descr': '服务态度还行,性价比也不错.办会员卡还有不少优惠.', 'star': 3}
{'descr': '性价比还可以,而且网点很多.总能找个一个点适合自已.', 'star': 5}
{'descr': '服务态度还行', 'star': 5}
{'descr': '房间小，紧靠高架有噪音，卫生间有股难闻的味道，不会再考虑入住。', 'star': 1}
{'descr': '个别前台服务员服务时显得有些不耐烦。其他服务都还ok', 'star': 5}
{'descr': '                   挺舒适的。', 'star': 5}
{'descr': '相比其他经济型酒店，这个还是比较不错的，房间规则，也比较温馨', 'star': 5}
{'descr': '这间酒店没有亮点没有缺点，离地铁也有10分钟路程，周围吃饭不方便。', 'star': 1}
{'descr': '总体还不错，但房间太小了点，离地铁也不是很近哦！', 'star': 5}
{'descr': '交通不方便,开车去就好,还有哪些伯伯保卫们让人家很不爽', 'star': 1}
{'descr': '服务很好，房间很干净。住的很舒服。就是隔音还需改进。', 'star': 5}
{'descr': '现在到上海的人都是去世博，但职员连世博专线巴士在哪都不清楚。\n淋浴水量比较少，温度又不稳定。\n交通不方便，到了大柏树站还要走十多分钟，吃也不方便。', 'star': 1}
{'descr': '还不错，就是房间是在太小了', 'star': 5}
{'descr': '很好的一家店  就是感觉价格还是有点高了。便宜点就好了。', 'star': 5}
{'descr': '整体来说还不错~ 下了地铁还是要打车去， 不过起步价就行了', 'star': 5}
{'descr': '去上海前一天才订到酒店，酒店还算比较干净，服务也挺好的，就是离地铁有一点距离，三号线打车起步价就能到，八号线翔殷路打车十五块能到，直接坐到世博站耀华路站下车进六号门中国馆站', 'star': 5}
{'descr': '这家店客人很多   价格还算比较适中  去上海旅游的推荐   去城隍庙做123路   去南京路做537路比较划算  去人民广场做952路  还算方便   去世博有点远  但是可以做地铁3号线  转8号线     周围小吃卫生情况不是十分好  但是有大点的饭店  就是价钱贵了点  还算可以   ', 'star': 5}
{'descr': '这家店的床好舒服，世博一天下来，累死了，睡着好舒服！', 'star': 5}
{'descr': '房间稍小,距离3号线10分钟脚程,很方便', 'star': 5}
{'descr': '总体还行，位置太偏', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '门口有个保安很凶，给他看了房卡，还要报房号，好像我是不速之客，以为今天他可以立功了抓到恐怖分子了，冲着他这张黑不溜秋的脸我倒感觉这个保安是不是假的，冒名顶替的，不知他为何要如此“客气”。建议：一.假如今天上班前在家发生的怄气请不要带到酒店来，假如今天被上司嗑了，请自查原因不要发泄在旅客头上；二.酒店领导选保安是千万千万注意外表形象，具有反面想象的人不宜做贵酒店的保安。', 'star': 3}
{'descr': '这家连锁酒店不错，格林豪泰在连锁酒店中档次属于比较高的，这家酒店比起以前干净程度上好像有点不及，也行呀时间长了产生疲劳感，不过总体还是不错', 'star': 5}
{'descr': '交通方便。旅馆的设备一般。', 'star': 1}
{'descr': '交通比较便捷，离上海火车站步行20分钟。房间设施全，比较宽敞，安静，有电脑有网线。但是市话要收费0.3元/分钟。', 'star': 5}
{'descr': '总的来说一般般~', 'star': 3}
{'descr': '交通挺便利', 'star': 1}
{'descr': '公共洗衣房还是有特色，但熨斗不能拿回房间服务便只能列入经济型中的范例！不知道是优点还是缺点；位置远离商业街！', 'star': 5}
{'descr': '经济型酒店， 性价比还可以', 'star': 5}
{'descr': '地理位置较偏僻，设施一般', 'star': 5}
{'descr': '继续努力', 'star': 5}
{'descr': '离地铁很近，但是服务态度不太好', 'star': 5}
{'descr': '房间太小鸟~~', 'star': 1}
{'descr': '住的是二楼的一间房，窗户开度很小，窗外是一堵墙，所以光照和通风不好。屋内有异味，经过本人勘察可能来自卫生间下水管道。住了一天，换到别的地方去了。', 'star': 3}
{'descr': '餐饮和交通不是很方便，房间内设施比较旧', 'star': 1}
{'descr': '虽然房间小一点，但住着还是比较舒服的，淋浴不错，空调也很好。', 'star': 5}
{'descr': '电梯比较难过，还要刷卡。订的世博尊享，条件无边简陋，和名字比，略微有被糊弄的感觉', 'star': 1}
{'descr': '和预期的格林豪泰有一定差距~服务态度一般~不够热情~环境也不是很好~周围环境比较嘈杂~早餐也不好~', 'star': 1}
{'descr': '酒店很好，就是外面太吵', 'star': 5}
{'descr': '酒店环境还可以，就是地点远，去世博不方便！', 'star': 5}
{'descr': '卫生服务方面还算可以，就是环境略微吵了点，工作人员就是微笑上不太敢苟同，有点别扭', 'star': 5}
{'descr': '世博期间涨价了，也没有了中、晚餐，稍微有点不便。但总体性价比不错。', 'star': 5}
{'descr': '设施齐全，价格公道，服务周到，是一家超值的酒店。', 'star': 5}
{'descr': '整体不错但有点吵', 'star': 3}
{'descr': '整体不错，我给父母亲定的，他们比较满意！', 'star': 5}
{'descr': '位置不错但是很吵', 'star': 5}
{'descr': '非常舒适，服务很不错', 'star': 5}
{'descr': '酒店的房间有点小，窗户很小，不过卫生间很大，卫生总体还可以。\r\n可能是因为世博的原因，登记手续很严，需要刷房卡才能使用电梯。\r\n我入住那一天的前台服务不是很好，感觉说话很刻薄，不会笑，给人感觉不温馨。', 'star': 5}
{'descr': '服务还不错，设施卫生什么的也还挺好的，我住的那间房说是最安静的，不过还是觉得有点吵，毕竟窗外就可以看到高架，路上还是比较吵的。', 'star': 5}
{'descr': '太靠近高架桥,有点吵.', 'star': 5}
{'descr': '有点失望', 'star': 1}
{'descr': '我是为朋友订的房间，酒店位置很好，交通方便，去浦东机场和虹桥机场都方便，在路口转一个弯就有机场大巴四线站，步行10来分钟就到轨道3号线站，但不足之处的是，房间离高架太近，有点吵。', 'star': 5}
{'descr': '满好 很喜欢 性价比满高的', 'star': 5}
{'descr': '价格比较适中', 'star': 3}
{'descr': '这个酒店的隔音很不好，就在高架旁边，晚上会影响睡觉。', 'star': 5}
{'descr': '蛮干净的，不过就是空间小了点，有些压迫！', 'star': 5}
{'descr': '饮食方面周边没有什么饭店，只能到酒店的餐厅去吃，在上海只能说价格不能说贵，也不便宜。', 'star': 3}
{'descr': '感觉不错，再次入住。一个人住订的豪华大床房，感觉也不会像其他人说的那么吵。价格方面则还不如酒店会员优惠。', 'star': 3}
{'descr': '比较适合出差人士。从浦东机场坐4号线到大柏树，转个弯就到。不坐的士也可以的。', 'star': 5}
{'descr': '环境好，交通便利', 'star': 5}
{'descr': '太吵闹了，隔壁就是高架，还有工地，朋友周末来上海玩，为了离开我家近点才找这里。当时去发现这些问题想换，由于周末其他地方没有房间。只能将就将就。洗澡水是冷的，当时客服回答淋浴器坏了。修了整整一天，郁闷', 'star': 1}
{'descr': '就是比较吵，因为离高架近', 'star': 5}
{'descr': '还不错，就是靠近高架有点吵', 'star': 5}
{'descr': '酒店当时安排的房间位置不是很好,在顶层的房间空气感觉不太好,卫生方面还是可以,价格还算实惠吧.', 'star': 3}
{'descr': '不错哦', 'star': 5}
{'descr': '环境还是不错的，比一般的经济型酒店好多了', 'star': 5}
{'descr': '靠近高架，稍微有点吵。', 'star': 1}
{'descr': '这个位置离朋友比较近,酒店前台服务态度一般,房间面积有些小,在这个位置上感觉酒店有些贵了,如果要是这个价格含早餐就比较合适了.', 'star': 3}
{'descr': '酒店的位置挺不错的，很干净，设施完善，就是挨着高架比较吵一点，还有就是结账的时候，因为前台人手少，速度慢。', 'star': 3}
{'descr': '前台在忙碌时候check in &amp; out比较无序\r\n看的出是认真在做 但希望能安排好\r\n网络应在开卡时就主动告知客人 需要用的话 是什么用户名和密码 而不是等客人来问才告知\r\n卫生间异味比较明显 一直开着排风扇也效果不好 虽然门关了就能隔绝 但还是希望有所改善', 'star': 1}
{'descr': '这家酒店的服务卫生方面还是不错的,设施方面也比较齐全的,周边环境一般了,交通不是很方便的,价格方面还是比较合适的.', 'star': 3}
