{'descr': '相关的卫生不错，门也安全。周围还挺荒的', 'star': 4}
{'descr': '距离上海交通大学比较近，从东川路站下车步行10分钟即到。', 'star': 5}
{'descr': '性价比比较高,距离几所大学很近,交通比较方便,服务也满意!', 'star': 5}
{'descr': '干净卫生， 性价比高。 离上海交通大学和地铁5号线近，交通方便。周边环境也不错。 适合家庭自费人员居住。', 'star': 5}
{'descr': '地點方便，房間很大且打掃得很乾淨，很適合商務旅行過夜。', 'star': 5}
{'descr': '不大，没有沙发小茶几地毯什么的。不过还可以,因为另外一个人，是满好的记忆的', 'star': 5}
{'descr': '锦江之星，一如既往的好，而且交通比较便利，下次还回来，经济实惠。', 'star': 5}
{'descr': '很干净，就是价格小贵，店里的价格才197', 'star': 5}
{'descr': '很安静，交通方便，适合商务出行，房间比较紧凑，有免费宽带', 'star': 5}
{'descr': '商务大床房 好烟 毛巾上一股烟味很重 房间不是很大 有点小 总体一般吧', 'star': 3}
{'descr': '干净卫生， 性价比高。 离上海交通大学和地铁5号线近，交通方便。周边环境也不错。 适合家庭自费人员居住。', 'star': 5}
{'descr': '房间很干净，大小也合适，就是交通噪音大了点。', 'star': 3}
{'descr': '酒店服务不错，住了几次了。最近早餐涨价了', 'star': 5}
{'descr': '安静，服务比较好。hhhhhhhhhhhhh', 'star': 5}
{'descr': '店内环境、设施什么的都挺好的，就是电视机有雪花点，附近100米范围内没有便利店，买东西麻烦一点', 'star': 5}
{'descr': '闵行地区的快捷酒店算可以了.如果价格再便宜点就更好了.', 'star': 5}
{'descr': '交大附近性价比最合理的酒店了。每次服务都很好，硬件还是稍微差些', 'star': 5}
{'descr': '干净卫生，符合锦江之星一贯的风格，位置还可以，到附近办事的话住这里比较合适。', 'star': 5}
{'descr': '位置还可以，到附近办事的话住这里比较合适。', 'star': 5}
{'descr': '服务人员都很热情友好，宾馆在高架路旁边 我住的是背面 房间比较清爽 干净 隔音感觉一般 但是也不算吵 早餐收费15元一人 大床房和四个标间在背面的 临高架的那面不知道吵不吵 ', 'star': 5}
{'descr': '不错，就是价格小贵', 'star': 3}
{'descr': '服务不错，性价比高！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '锦江之星一贯的舒适床具，因为地理位置的关系，很安静，中午的商务套餐也很不错，性价比高，服务也很好：）', 'star': 5}
{'descr': '蛮干净，但是没有吹风机，有的毛巾看起来有点脏。', 'star': 5}
{'descr': '新开没几年的店，离开交大时候的回忆\n一年多以后再次入住，感觉很温馨。和家人一起的\n服务员很热情，房间很大很舒服很干净。\n四月到了，还能走去交大看看樱花，享受下湖光春色，很美', 'star': 5}
{'descr': '酒店位置比较好 靠近交大 然后锦江一贯非常卫生 消毒水味道有点浓', 'star': 5}
{'descr': '挺大  挺舒服  就是网速有点儿慢  还有商务间的浴室么的消耗品浴帽  不知道是忘了还是怎么的...', 'star': 5}
{'descr': '环境很好，服务态度不错，就是房间内配套食品欠缺，楼下买东西不方便。', 'star': 5}
{'descr': '卫生干净、价格实惠、早餐不错、服务态度真诚，是个好酒店！', 'star': 5}
{'descr': ' 条件不错', 'star': 3}
{'descr': '酒店有无烟房。房间的布置也很温馨。离地铁一站路，公交站出门就有，离上海交通大学也很近。性价比不错。', 'star': 5}
{'descr': '卫生挺好，房间挺干净，床单被子也挺干净的，用的很放心，价格不贵，挺实惠的。', 'star': 5}
{'descr': '服务挺人性化的，卫生打扫也不错，住的还挺舒适的。', 'star': 5}
{'descr': '房间布置的简洁清爽，卫生打扫的很干净，价格也公道，住的挺满意的。', 'star': 5}
{'descr': '酒店的硬件设施和服务让我很满意，价格也不贵，值得推荐。', 'star': 5}
{'descr': '服务员责任心比较强，有什么需要都会放在心上，卫生也到点就打扫，收拾的很干净。', 'star': 5}
{'descr': '距离地铁站不到10分钟，机场快线巴士也过这里，出行还是比较便利的。', 'star': 5}
{'descr': '锦江之星（上海闵行东川路店）的位置不是太好，不过去开发区还是很方便的，而且此酒店的硬件设施和服务都很让人感觉眼前一亮，房价不是很贵，属于性价比比较高的，并且离黄浦江还有超市都很近，让人感到满意。服务方面，人员都比较热情，有问有答，有求必应，房间打扫也很及时。缺点就是离主干道太近，晚上噪音不小。', 'star': 5}
{'descr': '离黄浦江近，周围超市之类的也有，买东西方便，个人觉得性价比高。', 'star': 5}
{'descr': '还不错 外面车来车往的，不过到晚上还好，一大早就开工。房间隔音不太好，旁边房间的声音都能听到。其他条件都很不错，环境啊，卫生啊都不错', 'star': 5}
{'descr': '环境太吵', 'star': 5}
