{'短评内容': '早餐挺好的！！', '短评打分': 4}
{'短评内容': '就在火车站出口处,交通便利,环境不错,房间也比较干净整洁。挺不错的。', '短评打分': 3}
{'短评内容': '服务态度差啊！里面的设备很破旧，三人间的床有一个是临时加的。', '短评打分': 1}
{'短评内容': '酒店就在火车出口站旁边,交通就餐便利,酒店设施一般,房间虽小但干净舒适,价位平。', '短评打分': 3}
{'短评内容': '服务和设施  都不怎么好    不会再住了', '短评打分': 1}
{'短评内容': '太喧闹了  火车进站的声音很明显  但是确实很方便  离火车站太近了', '短评打分': 1}
{'短评内容': '进火车站方便快捷，环境不是很吵，比较舒适', '短评打分': 5}
{'短评内容': '总体不错。价格最好优惠。', '短评打分': 3}
{'短评内容': '服务态度好', '短评打分': 3}
{'短评内容': '订了一个标间和三人间，全家人出行。\n酒店很干净 热水供应的也不错 关键是离火车站真的很近 总之这次是比较满意的', '短评打分': 5}
{'短评内容': '就在火车站，吃住行巨方便。楼下是最爱的麦叔叔很开心', '短评打分': 5}
{'短评内容': '环境还是可以的，主要是离火车站比较近，交通方便！', '短评打分': 5}
{'短评内容': '还不错的，价格很实惠，很方便，就在火车站出口旁边，房间硬件配置都还好，床很大，睡的很舒服，不过就是隔音效果不太好，还是听的到火车的鸣笛声；', '短评打分': 5}
{'短评内容': '住的标准三人间，房间内环境很不错，在这种交通很便利的地方 这个价钱真的是很便宜了\n唯一的缺点就是 晚上会有火车的声音！会影响睡眠啊', '短评打分': 5}
{'短评内容': '环境还不错，服务很好，交通便利，价钱不贵，总体还行吧，住的是豪华双人间。', '短评打分': 5}
{'短评内容': '地带挺好，出行交通挺方便，早餐口味挺不错，服务挺周到的。', '短评打分': 3}
{'短评内容': '离火车站挺近，赶火车挺方便，房间挺大的，隔音效果还好，设施挺齐全的，住的还算舒适。', '短评打分': 5}
{'短评内容': '酒店门口就有公交车，离火车站也挺近，出行还是很方便的。', '短评打分': 3}
{'短评内容': '服务上感觉挺亲切的，卫生很达标，卫生间没什么异味，床单被子也挺干净的。', '短评打分': 5}
{'短评内容': '房间面积还好，电视是老款的，但是质量还好，床单被子弄的挺干净，用着挺放心的。', '短评打分': 3}
{'短评内容': '房间装修挺简单的，设施挺齐全，采光也挺好，网速很快，总体感觉还不错。', '短评打分': 5}
{'短评内容': '服务人员办事效率挺快的，还能寄存行李，感觉挺方便的。', '短评打分': 3}
{'短评内容': '性价比比较高，硬件设施挺完善，位置挺好，出行交通挺便利。', '短评打分': 5}
{'短评内容': '服务态度还好，房间挺宽敞的，基本设施都有，有的还配备电脑，感觉挺不错。', '短评打分': 5}
{'短评内容': '房间还好，设施挺齐全的，电视电脑的都有，位置挺不错，离火车很近，赶火车很方便。', '短评打分': 5}
