{'短评内容': '商品不错，性价比较高。', '短评打分': 5}
{'短评内容': '环境优美，地理位置好，交通方便，房间舒适卫生，早餐丰富。设施很人性化，网络高速信号好，窗外风景好。有特别的开床服务，房间小摆件的设计也很有特色。', '短评打分': 4}
{'短评内容': '环境优美，地理位置好，交通方便，房间舒适卫生，早餐丰富。设施很人性化，网络高速信号好，窗外风景好。有特别的开床服务，房间小摆件的设计也很有特色。性价比不错，但是中间出了些差错，前台处理的很不人性化。', '短评打分': 4}
{'短评内容': '来香港每次都住住这里哦 逛街实在是太方便了 累了就可以回去休息一下 附近吃的也多 银龙和翠华都有 价格也不错 ', '短评打分': 5}
{'短评内容': '大堂已经装修完毕，前台的服务非常好。不足是客房有些陈旧', '短评打分': 5}
{'短评内容': '房间窗子不能开 有点闷 。地理位置不错', '短评打分': 4}
{'短评内容': '酒店位置很好，楼下就有地铁，出行方便，但是房间装修太旧！住过的香港酒店为数不多的感觉有点脏。check in要等到下午三点！！办理入住的服务人员态度比较差！', '短评打分': 2}
{'短评内容': '酒店位置很好，楼下就有地铁，出行方便，但是房间装修太旧！住过的香港酒店为数不多的感觉有点脏。check in要等到下午三点！！办理入住的服务人员态度比较差！', '短评打分': 2}
{'短评内容': '酒店位置比较好，交通非常方便，就在弥敦道上，离广东道的海港城走路8分钟，到维多利亚港也近。但最近1楼装修，很吵，灰尘大', '短评打分': 4}
{'短评内容': '房间大、床也大、虽然酒店设施旧了一点，只要干净完全不会影响入住心情^o^  去过五次香港 已经住了这家酒店3次。说明还是值得一住呀……贵点也是成正比滴', '短评打分': 5}
{'短评内容': '各方面都非常不错', '短评打分': 5}
{'短评内容': '地理位置很不错，以后会再来', '短评打分': 3}
{'短评内容': '酒店位置很不错 主要是当时特价订了特别核算，我12月这次过去就没有再订holidayinn 因为涨价了好贵。', '短评打分': 5}
{'短评内容': '位置不错 周边繁华 设施也好', '短评打分': 5}
{'短评内容': 'ITS GOOD FOR THE BUSINESS TRIP', '短评打分': 5}
{'短评内容': '性價比很好................', '短评打分': 4}
{'短评内容': '位置好，价格适中~交通方便~不错~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '非常好！交通\\购物非常便利,下次再来入住!', '短评打分': 5}
{'短评内容': '第二次推荐客人住这个酒店了，当然是不错的啦', '短评打分': 5}
{'短评内容': '非常好！去香港就不要嫌酒店贵，以后去香港血拼还会住这里的，离海港城，星光大道都很近', '短评打分': 5}
{'短评内容': '客人指定的酒店，应该住得不错的，比较信任连锁酒店。', '短评打分': 5}
{'短评内容': '采购商自己指定的连锁酒店，应该还是不错的。', '短评打分': 5}
{'短评内容': '法国采购商指定的酒店，应该不错的，没有听他说有什么不好的。', '短评打分': 5}
{'短评内容': 'very convenient location with reasonable price\ngood and sincere services ', '短评打分': 5}
{'短评内容': '这家酒店位置的确不错，但是不要住经济房，晚上根本不能睡觉，酒店外边的机器声好象在车间里一样，不隔音。本人刚住过，第一晚就不得不换房。', '短评打分': 1}
{'短评内容': '1800HKD 这个价钱不值,春节前后香港的酒店太贵了', '短评打分': 1}
{'短评内容': '，假日酒店虽然比较老，可是很干净整齐，服务生很有礼貌。地理位置超好，逛街吃饭都非常方便。', '短评打分': 3}
{'短评内容': '  服務態度很好.床上用品与洗手間設施及用品齊全、整洁、舒适.房間寬敞,裝修還挺新的.酒店旁即是地鐵口,出行与購物都很方便.在香港的四星級酒店中,性价比較高.', '短评打分': 3}
{'短评内容': 'very good,在香港来说是一家不错的酒店，就在市中心尖沙咀，去哪都方便，买东西，周围都有大商场，吃饭的选择也很多，很值得推荐的一家酒店。', '短评打分': 5}
{'短评内容': '酒店房间很舒服，前台服务非常热情，周边环境很方便，想在尖沙咀购物的客人推荐这个酒店！', '短评打分': 5}
{'短评内容': '不错的酒店，到了前台说了几句好话免费升级了，赞一个，关键是位置太好了。。。。。。。', '短评打分': 5}
{'短评内容': '服务很好，只是阴面房间有点潮', '短评打分': 3}
{'短评内容': '住着舒适，出行方便，各方面服务都还比较满意。\n', '短评打分': 5}
{'短评内容': '这么老的酒店还卖到净价1600的价格高了，上网140一天的价格也高了。如果不是去看IMAX电影不会住这家。不过房间在香港来说算是大的了，大床也比较大。其实住在对面的凯悦离影院更近，重庆大厦楼下的兰芳园奶茶还不错，就是价格也偏高，普通茶餐厅的奶茶十元以下，他家却十五，老店更要17，杯子还比别家小，大陆人去多了，香港老店也变成奸商了。', '短评打分': 5}
{'短评内容': '已经多次点评了，已经多次点评了，已经多次点评了，已经多次点评了，', '短评打分': 5}
{'短评内容': '服务非常满意，位置也好，价格适中，以后还会入住。', '短评打分': 5}
{'短评内容': '位置很好，购物很方便，离中环很近，应该将还是不错，价位有些高', '短评打分': 5}
{'短评内容': '酒店不错，地理位置好，双床标间的面积挺大，床也很大，性价比不错。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '拿到房卡时间太迟', '短评打分': 3}
{'短评内容': '这家酒店小巧干净，交通便利，出门就是地铁，离星光大道比较近，步行即可！\n就是有点贵哦！', '短评打分': 5}
{'短评内容': '很好，下午还有点心送到房间，和国外住的假日一样', '短评打分': 5}
{'短评内容': '+一如既往的好', '短评打分': 5}
{'短评内容': '香港金域酒店还好', '短评打分': 5}
{'短评内容': '酒店的位置很好，去海港城和坐地铁都非常方便。如果去香港购物游的话，这酒店是非常不错的选择。', '短评打分': 5}
{'短评内容': '酒店的服务很好，房间很大，房间装修得很温馨，硬件设施齐全，住着很舒适', '短评打分': 5}
{'短评内容': '酒店在市中心，去哪购物都很方便，前台服务员很热情周到，性价比较高。下次还会住的', '短评打分': 5}
{'短评内容': '酒店地处市中心，出行很方便，房间很大，住着特别的舒服，酒店的餐饮不错，种类多，口味好，物超所值的酒店', '短评打分': 5}
{'短评内容': '酒店的位置不错，地处尖沙咀弥敦道上，酒店对面就是地铁口，步行15分钟就能到海港城，购物很方便，住宿环境也不错', '短评打分': 5}
{'短评内容': '旁边是重庆大厦...\r\n不过是很方便~\r\n相比之下 比较推荐\r\n帝国饭店和九龙饭店', '短评打分': 5}
{'短评内容': '设施有些陈旧，卫生条件还不错.位置不错挺方便出行的.', '短评打分': 5}
{'短评内容': '居然没有牙刷，不过也好吧，香港的酒店好像都没有呢', '短评打分': 5}
{'短评内容': '在九龙算是位置好 价钱能接受的饭店', '短评打分': 5}
{'短评内容': '总体不错，就是价格偏高！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;香港的酒店就是小气。反正地理位置好，玩起来也方便&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '房间很干净,春节期间入住刚好免费升级了新装修的房间,床的弹性刚好很舒服.酒店位置极佳,一酒店出门就是尖沙咀地铁站,晚上到维港星光大道散步也不过五分钟步程.真的很棒,不过价格就稍贵了点,但是下次来如果在九龙过夜的话应该还会住这里.', '短评打分': 5}
{'短评内容': '行政房我没住过，经济房就太小了，床也小，还说是大床房！酒店设施还可以！&lt;br /&gt;\n交通方便，离地铁站较近！&lt;br /&gt;\n床太软了！', '短评打分': 3}
