{'descr': '酒店不错。', 'star': 3}
{'descr': '无线网络不可用，感觉一般', 'star': 3}
{'descr': '房间给把梳子呗，卫生状况还算可以，交通挺便利的，今晚又得去了，没有家里钥匙，悲哀啊', 'star': 5}
{'descr': '除了床小点，其他都不错。晚上出门还能看河边的灯光景色。', 'star': 3}
{'descr': '总体不错，旁边有个公园，可以晨练，早餐小米粥好喝。房间自来水不好有铁锈味', 'star': 3}
{'descr': '设施好，服务优，性价比高', 'star': 3}
{'descr': '离机场十多分钟，早餐很少。房间不大，两张床很小，而且靠得很近，最主要的是床很不舒服，不是硬，是感觉凹凸不平的。', 'star': 1}
{'descr': '帮同事订的，同事带着孩子去的海贝尔。回来之后，建议自助游还是先从网上订酒店，到当地租车就行，一天的租车费是600元，可以去很多地方。房间据说还算可以，毕竟是比较正规点的酒店。', 'star': 5}
{'descr': '还不错，性价比很高，就是水不太干净，好像不是这一家宾馆的问题，早餐比较少\n房间相比于其它的IBIS来讲，卫生条件稍微差一些', 'star': 5}
{'descr': '很简约~电视小~床比较小(大床)~服务不错~在楼上看风景挺好~   在淡季的话不会选择```价格在旺季还可以~交通方便~', 'star': 5}
{'descr': ' 跟七天差不多 稍稍艺术一点 价格这样的酒店小贵 广州都可以住四星了', 'star': 3}
{'descr': '这个季节不好定酒店，只能凑合了。一致标准的宜必思风格，无可挑剔也无舒适感，权且一夜无地可挑，也只有它了。', 'star': 1}
{'descr': '挺好的，地理位置便利，周边比较安静，适合出差人士，就是有点小贵，他们说再过一个月就要调价了，这时候还是旅游季节。', 'star': 5}
{'descr': '很标准的快捷，房间还算干净，就是有点小，服务态度很不好，价格也不便宜，这个地方的旅游旺季价格就是哄抬物价，也没办法。', 'star': 1}
{'descr': '可以', 'star': 3}
{'descr': '在呼伦贝尔算还是可以的，就是服务员收拾房间太马虎，早餐也过于简单\n和其它地方的ibis相比，稍差一些\n单总体风格和别处的都是一样的，如果想找干净安静的住地，这儿还是不错的选择', 'star': 5}
{'descr': '性价比高，服务热情，周到，酒店位置距离市中心，餐饮方便,条件不错，卫生、整洁、房价不高，房间略小，门口就有公交车，出租车打车方便，新开张的酒店', 'star': 5}
{'descr': '帮朋友订的...很晚才到，房间也留着。很不错..', 'star': 5}
{'descr': '酒店不错，干净小巧，是不错的经济型酒店，就是这个季节价格比较高，显得不够经济了。', 'star': 5}
{'descr': '冬天来的时候最好的酒店一百多，现在都没地住，指着这仨月把全年的钱都挣出来了。', 'star': 5}
{'descr': '旅游季节房价贵的没边儿，涨了3倍都算是比较厚道的了，没辙啊', 'star': 5}
{'descr': '海拉尔宜必思酒店（呼伦贝尔），每次来都住这里。早餐还不错，尤其服务态度很好～！', 'star': 5}
{'descr': '海拉尔宜必思酒店（呼伦贝尔），每次来都住这里。早餐还不错，尤其服务态度很好～！就是旺季太贵了～！', 'star': 5}
{'descr': '位置、环境非常好，房间内部设施与其它宜必思酒店一致，但个别前台服务员与其它宜必思酒店相比就差了，居然在前台对顾客发脾气，东西扔得“咚”啊“咚”的，不符合宜必思承诺的在任何一个店都会享受到在NY,在上海一样的服务。此外，旅游季节与平时的价格差别也太大了。           ', 'star': 5}
{'descr': '在好几个国家住过ibis，都是统一装修，统一规格，没什么惊喜，但很标准。海拉尔这家也是一样，作为商业连锁酒店还是值得信赖的。缺陷是这里的服务员态度很差，耍脾气，而且业务很不熟练，让人失望。\n', 'star': 5}
{'descr': '整体还算不错，推荐吧。希望下次工作再做细致一些。', 'star': 5}
{'descr': '退房后不查房，对我们最大的信赖。比较经济。房间干净整洁。', 'star': 5}
{'descr': '没的选，凑合住吧。房间味道很重，电蚊香要到前台交100块押金才借给你，要自己去取，说什么都不给送到房间。', 'star': 5}
{'descr': '早餐较单一，每天都一样。其他还好，夏季旅游高峰时段价格不太符合', 'star': 5}
{'descr': '不错，虽然我觉得价格还是比较高，前台服务一般，但是在旅游旺季还是个不错的选择', 'star': 5}
{'descr': '两个床挨得像一张大床，空间太小了！外面景色倒是不错！', 'star': 1}
{'descr': '很不错的酒店，硬件设施、软件服务我都很满意。加上海拉尔的蓝天、白云让我在这里的日子里心情舒畅、记忆深刻！想念在海拉尔的日子！！', 'star': 5}
{'descr': '宜必思酒店周遍环境安静,离河边近。标间两床距离太近,早餐品种少20元较贵,午晚餐只有水饺和咖喱饭。', 'star': 5}
{'descr': '良好', 'star': 3}
{'descr': '前台很生猛，还算干净。一般一般。季节性旅游城市，千万别挑剔，', 'star': 5}
{'descr': '很不错，出差这段时间会断断续续来住，在海拉尔能有这样程度已经很不易了', 'star': 5}
{'descr': '总体感觉不错！刚去酒店的房间有不好闻的味道，找服务员调换了很多房间终于有一间比较满意！服务员服务周到，而且有求必应。虽然酒店房间不大，但设计非常合理，所有设备都有，免费宽带很方便！下次如果去还会选择这里！', 'star': 5}
{'descr': '非常不错的酒店，安全卫生，服务态度好，唯一不足的地方就是房间有点小，双标房的床太窄了', 'star': 5}
{'descr': '房间很干净，布置也合理，服务很好，价格实在太诱人了168元住二晚。不足之处是窗户太小了', 'star': 5}
{'descr': '除了餐饮有待加强以外，其他都很满意！下次有机会再去海拉尔，还会选择它。', 'star': 5}
{'descr': '酒店硬件很好，房间很满意，很干净、简洁；卫生间很有特色且非常干净；整体服务还不错，态度很好；唯一不足在于酒店的餐饮方面，品种太单调，双休日不能喝到咖啡(因为相关的服务员放假了，无人煮)；不过，总体来讲还不错，下次有机会再到海拉尔，一定会再选择这里！', 'star': 5}
{'descr': '一流的价格，二流的服务！晚上入住等了10分钟才排到我们，父母二老进房间时惊喜的发现还有别人已经在房间了！原来前台居然向开发商学会了“一房二卖”！', 'star': 1}
{'descr': '不错的经营理念，环保意识很强，下次还会选择继续入住。', 'star': 5}
{'descr': '房间设施简单了点，可能是冬天，周围很冷清，\n电视就十几个频道，连CCTV-5都没有', 'star': 1}
{'descr': '晚上到店，只有一个人值班。等了一会儿才拿到房间钥匙，刚打开房门发现一个大惊喜：尖叫！房里居然已经有人入住了！', 'star': 1}
{'descr': '海拉尔宜必思酒店（呼伦贝尔）住宿条件很好，交通方便，这个季节房价特别优惠，下次到海拉尔还到宜必思酒店住，朋友去了我也会推荐住宜必思酒店。', 'star': 5}
{'descr': '很值得推荐，设施都不错，唯一问题是吃饭需要走点距离，房间电话收费有点贵，长途7毛一分，其他宾馆基本4毛', 'star': 5}
{'descr': '价格在还很公道，估计是旅游淡季吧。整体浴室很干净。 很好下次还会住', 'star': 5}
{'descr': '卫生：干净整洁，东西安排的很合理。\r\n服务：体验了 check-in，check-out，效率正常，但是洗衣服务让人很诧异，自己乘电梯拿到前台，最后还得抽时间去前台拿，有点不人性化。而且没有按照洗衣单来办事，我填的是衬衣折叠，最后挂着撑开拿回房间的。\r\n设施：很尴尬，为什么没有单独的毛巾，只有浴巾（单人间）。\r\n位置不错：在伊敏河旁边，夏天的时候一定要关窗，防止蚊虫进来，草原都是如此。\r\n舒适度：', 'star': 5}
{'descr': '+整体还不错，早餐贵而且算不上好，旺季价格宰人', 'star': 5}
{'descr': '总体感觉酒店比较新，房间虽然小了点，但是设计的还算蛮合理的，蛮现代的感觉，总之小而紧凑吧感觉，早餐相对太简单了，没什么可吃的，不推荐，其它都还行，和一般的经济酒店差不多。', 'star': 5}
{'descr': '房间太小了 不值', 'star': 5}
{'descr': '在海拉尔就算是好酒店了。旅游旺季，房价超贵的，房间很小，前台服务员服务意识有待加强，也就冲着是雅高的牌子去的。位置很好，在伊敏河边，里当地叫“街里”的三角地很近。', 'star': 5}
{'descr': '1、房间很小，标间床很小，只有0.8米，且睡着不舒服，入住的房间淋浴器已破，要从旁边出水，台盆无法下水。\r\n2、前台服务一般，订的是标间但营销大床房想变相加价。\r\n', 'star': 1}
{'descr': '只是匆匆过了一夜，基本上可以，我定的价位能带电脑免费上网就好了。', 'star': 5}
{'descr': '现代化的管理比较规范，位置很好，也很干净，但是房间小，床特小。价格在旅游季节实在是偏高。', 'star': 5}
{'descr': '非常差的酒店，房间狭小，设施维护很差，厕所马桶难冲水，淋浴下水不畅，淋浴水小的可怜。在国外经常住IBIS，为什么酒店开到国内就变这个德性了？海拉尔的酒店黑的不得了，周末这个酒店竟然要448元每天，最雷人的是，在结帐的时候，让我签一个住宿单，上面正常价格是348元每天，后面写上15元早餐，85元加床，才凑齐448元，真是明目张胆的敲诈，根本没有早餐和加床。奉劝想去海拉尔，满洲里旅游的人，千万别住海拉', 'star': 1}
{'descr': 'good  good   good   good   ', 'star': 5}
{'descr': '干净明快的酒店,位置很好。', 'star': 5}
{'descr': '床非常非常小！显然老外不懂国内人的需求！', 'star': 1}
{'descr': '我预定房间是388元一晚，结账时候收了我488元，后经核实确实388元，酒店也按照原价收取了。不知道酒店是哪出了问题。', 'star': 5}
{'descr': '很干净，是不错的酒店。', 'star': 5}
{'descr': '酒店位置很好,卫生非常干净,设施不错,就是价格太贵,不过海拉尔这个季节酒店都很贵.', 'star': 5}
{'descr': '酒店卫生很干净，室内装修很好，地理位置一般，早点不好15元/位', 'star': 5}
{'descr': '国际标准化设施和卫生标准，服务很好。就是床单和枕套需要更新了。目前的价格有些高了，不过这个时期该地区普遍价格比淡季高一倍以上。', 'star': 5}
{'descr': '位置好，环境也比较舒适，设计简约，喜欢他们的整体卫生间，电视机和双人床有点小，反正是旅行，凑合也能用', 'star': 5}
{'descr': '这种酒店在中国最多不值200块。房间那么小，四星级的价格，1-2星的质量。早上很早就停冷水，到退房时候11点了还没来。热水都是红色的，还得我们脸没办法洗，牙不能刷，跟前台反映，就是一句不好意思，在检修。对你们来说是一次检修而已，对我们旅客而言，就是一次不愉快的住宿。这么高的价格早餐也没的。', 'star': 1}
{'descr': '旅游旺季的价格提高了100元，挺过分的，但位置以及设施都还令人满意。', 'star': 5}
{'descr': 'keyi', 'star': 5}
{'descr': '很好的商务酒店，有早餐和餐饮就更好了', 'star': 5}
{'descr': '整体来说没问题。', 'star': 5}
{'descr': '服务员太少，服务意识较其它地区差，且房间纸巾质量差，地理位置好但是不方便出行', 'star': 5}
{'descr': '整体性价比不错，就在河边，大桥的钟楼夜景非常漂亮。过桥就是商业区。', 'star': 5}
{'descr': '服务态度一般，卫生还可以，总体上不错', 'star': 1}
{'descr': '性价比还算可以类型环境和如家差不多，自助早餐有点贵15，网络也不是很快。', 'star': 3}
{'descr': '入住的酒店环境不错，特别是地理位置。可以看到呼伦贝尔的很多景致。夜色很美。房间的隔音也很好，不吵！经济型酒店的性价比真的很高！我觉得这样的小城前台的服务已经很不错了！不要用四星级酒店的服务去比较经济型酒店！毕竟没花那样多的钱！', 'star': 5}
{'descr': '基本还算可以，和如家、锦江之星差不多，旅游旺季这个性价比还算可以', 'star': 5}
{'descr': '新酒店  都不錯  就是浴室很小  經濟型酒店這樣也合理\r\n', 'star': 3}
{'descr': '酒店还算干净， 但前台服务很差，好像没有培训过，直接从招待所服务员就转过来了。  且位置不很好， 打车要走一段路。', 'star': 1}
{'descr': '性价比非常高的一家酒店，很干净 很温馨 下次还会选择', 'star': 5}
{'descr': '酒店的服务和卫生条件非常不错，设施用品也很完善，位置方便，就是他们没有早餐不太好，其他都是不错的。', 'star': 3}
{'descr': '果然是經濟型酒店 甚麼都很簡約 房間晚上可以說的上冷\r\n但是也有好處 穿好衣服時就不覺得熱了 早餐雖然也很簡\r\n單是美式的 但對於喜歡喝咖啡的人來說 也還不錯', 'star': 5}
{'descr': '房间的空调不太好使，有点冷，卫生还行，位置挺好的，这边出行也是非常方便的，服务也可以，整体感觉性价比还行', 'star': 3}
{'descr': '这家酒店就是属于那种经济型的,有些设施简陋.但价格还是比较实惠的.', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '不错', 'star': 5}
