{'短评内容': '睡觉时挂在墙上的画框掉了，如果是玻璃的不堪设想啊。。', '短评打分': 1}
{'短评内容': '前台服务不好，居然到店说无房，打电话到ELONG才给解决', '短评打分': 1}
{'短评内容': '比较好(80分)。', '短评打分': 3}
{'短评内容': '安静整洁，主要是交通比较方便\r\n如果出差的话，感觉是不错的选择', '短评打分': 3}
{'短评内容': '酒店各项设施，服务上乘，性价比加高。自驾地点不太好找，事先查一下地图较好。', '短评打分': 3}
{'短评内容': '挺不错的，下次来还住这里。房间很宽敞，也很干净，位置也不错\r\n', '短评打分': 3}
{'短评内容': '酒店性价比较高。', '短评打分': 5}
{'短评内容': '挺舒服的，很喜欢这里的枕头，睡的挺开心的。位置还行，虽然离中心区有一点距离，不过走半小时大概也到了，就是打车比较难。总的来说还挺好的。', '短评打分': 5}
{'短评内容': '不错，离机场路线也比较近，到泉城只要几分钟', '短评打分': 5}
{'短评内容': '\u3000房间很小,还算干净', '短评打分': 5}
{'短评内容': '+服务态度不错', '短评打分': 5}
{'短评内容': '性价比很好，房间比较干净，设施齐全，服务周到热情，下次还会住的。', '短评打分': 5}
{'短评内容': '还不错哦，服务态度蛮好的', '短评打分': 3}
{'短评内容': '房间很大，离办事的地方较近。', '短评打分': 5}
{'短评内容': '位置很好，购物方便，服务态度不错，干净舒适', '短评打分': 3}
{'短评内容': '酒店房间设置非常人性化，卫生干净，服务态度很好，住着很舒服', '短评打分': 5}
{'短评内容': '新酒店设施还可以.不过服务有些死板.住两人需要两人身份证没有不让住.位置在火车站不过室内隔音效果还可以.', '短评打分': 5}
{'短评内容': '非常舒适也很干净，感觉比其他的连锁酒店要好，很满意的。', '短评打分': 5}
{'短评内容': '很干净很舒服。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，也很干净，位置也不错，值得推荐', '短评打分': 5}
{'短评内容': '装修很新', '短评打分': 5}
