{'短评内容': '相当差', '短评打分': 1}
{'短评内容': '酒店竞然没有热水，洗手间小得很，服务态度好差，早餐难吃死啦，总之就是差劲！！！', '短评打分': 1}
{'短评内容': '＋环境很好，很安静。出门不远有好吃街和酒吧，很方便。早餐菜品较少，希望改善', '短评打分': 3}
{'短评内容': '酒店水平一般，服务和软件设施还应跟上', '短评打分': 3}
{'短评内容': '＋环境不错，房间干净，设施新，没有装修的异味，旅游区能有这个性价比不错了，本来定了个小房间试试，看了以后直接换了间大房，厚待自己，呵呵', '短评打分': 3}
{'短评内容': '酒店坐落在峨眉山脚下，客运中心上边，环境很好，也很赶紧，物超所值', '短评打分': 5}
{'短评内容': '觉得很不错，非常精致的酒店，住的豪华园景大床房，很安静很方便，值得推荐!', '短评打分': 5}
{'短评内容': '房间油漆味厉害、环境不错、房间一般、早饭不行、', '短评打分': 5}
{'短评内容': '酒店装修很新，服务周到，价格很合理，地理位置优越，食衣住行都很方便。', '短评打分': 3}
{'短评内容': '性价比非常高的酒店，地理环境、服务态度和餐饮质量都没的说。距离温泉距离十分近，下次一定继续选择这间酒店', '短评打分': 5}
{'短评内容': '我们订的豪华园景房，刚开始安排的那个房间正对湖，感觉有点小，和网上介绍40~50平米不太相符；服务员给调换了一间大点的房间，位置却不太好，窗前正对有麻将包间和厕所；看了几间都不能两全，算了，将就了。', '短评打分': 5}
{'短评内容': '酒店很别致，很漂亮，来一趟四川住的最好的酒店了，就是房间稍微小了点，如果这个价格能住在二楼稍微大些的房间就好了，可以看到湖边庭院的风景应该很不错。', '短评打分': 5}
{'短评内容': '离温泉近，房间不错！', '短评打分': 3}
{'短评内容': '非常的后悔只是定了一个特价房，酒店的环境还是很不错，如果定一个在二楼的标间应该可以看到整个酒店的花园，房间的设施也是不错的，在旅游景区来说应该算是非常不错的选择了。', '短评打分': 5}
{'短评内容': '环境不错，很安静，适合居住，下次有机会还要入住。', '短评打分': 5}
{'短评内容': '新开的一家酒店，环境非常好，而且离灵秀温泉很近，三分钟左右就到了，很方便。', '短评打分': 5}
{'短评内容': '很好的，想去泡温泉了，就一直都选择这一家。', '短评打分': 5}
{'短评内容': '酒店很好，豪华房空间很大，设施很新。前台服务也十分周到细致，一早五点多出发上山，酒店提前准备好了早餐外带，很愉快的体验。', '短评打分': 3}
{'短评内容': '很不错的酒店！环境优美.干净，前台也很有礼貌，服务态度也好，要求拼床十来分钟就搞定了。而且早餐很丰富，选择很多。是我在旅游区中住过的比较好的酒店了。', '短评打分': 5}
{'短评内容': '还可以 李宏', '短评打分': 3}
{'短评内容': '优点：地理位置好，坐观光车和大巴方便，周围安静，不临街，设施新。\n缺点：早餐太差。品种和品质都不好。和酒店价格不符合。房间装修味道很重。新开张酒店，服务等配套不太完善例如电话一直有故障，无法拨打。', '短评打分': 5}
{'短评内容': '环境不错，新装修味大。', '短评打分': 3}
{'短评内容': '酒店很新，服务业还不错，信价比颇高，温泉也很有特色！', '短评打分': 5}
{'短评内容': '感觉什么都还好,环境也还不错,我唯一觉得就是床太硬了。', '短评打分': 3}
{'短评内容': '新开酒店，设施很新，但卫生间无淋浴隔断，设计缺陷，望改进，离温泉较近，方便。', '短评打分': 3}
{'短评内容': '酒店刚开业很干净很新，就是装修味道很大', '短评打分': 3}
